Estimado	Estimado		
aconsejo	aconsejo		
como	como		
padre	padre		
que	que		
te	te		
reprimas	reprimas		
en	en		
tus	tus		
pasiones	pasiones		
y	y		
fieresas	fierezas		
y	y		
que	que		
no	no		
agas	hagas		
ningun	ningún		
negosio	negocio		
sin	sin		
la	la		
entera	entera		
aprovasion	aprobación		
de	de		
tu	tu		
suegro	suegro		
,	,		
pues	pues		
una	una		
por	por		
todas	todas		
sirvate	sírvate		
de	de		
govierno	gobierno		
que	que		
el	el		
negosio	negocio		
que	que		
hisieres	hicieres		
sin	sin		
su	su		
aprovasion	aprobación		
yo	yo		
lo	lo		
desaprovare	desaprobaré		
y	y		
te	te		
abandonare	abandonaré		
enteramente	enteramente		
.	.		
para	Para		
tu	tu		
inteligensia	inteligencia		
te	te		
aviso	aviso		
que	que		
por	por		
tu	tu		
Cuenta	cuenta		
y	y		
riesgo	riesgo		
por	por		
las	las		
cargasiones	cargaciones		
tuyas	tuyas		
	(		
de	de		
marca	marca		
MC	MC		
y	y		
la	la		
de	de		
MR	MR		
	)		
tengo	tengo		
cargado	cargado		
a	a		
bordo	bordo		
del	del		
Navio	navío		
vriendschap	Vriendschap		
van	van		
brugge	Brugge		
	(		
su	su		
capn	capitán		
Adriaes	Adriaes		
Lenders	Lenders		
	)		
45	45		
balas	balas		
de	de		
Cacao	cacao		
	(		
peztes.	peztes.		
ptas.	ptas.		
94228	94228		
a	a		
27	27		
p.	p.		
qq.	qq.		
	)		
.	,		
Cuyo	cuyo		
Conosimto	conocimiento		
y	y		
factura	factura		
te	te		
mandare	mandaré		
con	con		
los	los		
sigtes	siguientes		
navios	navíos		
	.		
y	Y		
sirvate	sírvate		
esta	ésta		
de	de		
aviso	aviso		
para	para		
lo	lo		
que	que		
mira	mira		
a	a		
seguro	seguro		
,	,		
y	y		
q	que		
dhas	dichas		
cargasiones	cargaciones		
iran	irán		
saldadas	saldadas		
con	con		
plata	plata		
.	.		
por	Por		
las	las		
que	que		
escrivo	escribo		
a	a		
tu	tu		
suegro	suegro		
,	,		
a	a		
Jacques	Jacques		
Milhar	Millar		
aine	Aine		
,	,		
a	a		
P.	P.		
Oré	Oré		
a	a		
bordeaux	Bordeaux		
,	,		
y	y		
a	a		
Pieter	Pieter		
Martens	Martens		
y	e		
hijo	hijo		
,	,		
veras	verás		
q	que		
doy	doy		
orden	orden		
a	a		
dhos	dichos		
Milhar	Millar		
y	y		
Ore	Oré		
para	para		
que	que		
te	te		
passe	pase		
la	la		
Venta	venta		
de	de		
my	mi		
Navio	navío		
,	,		
el	el		
que	que		
considero	considero		
todavia	todavía		
en	en		
bordeaux	Bordeaux		
	,		
de	de		
lo	lo		
que	que		
yo	yo		
aca	acá		
ire	ire		
sabiendo	sabiendo		
	.		
y	Y		
sy	si		
fuere	fuere		
asy	así		
el	el		
que	que		
estea	esté		
alla	allá		
todavia	todavía		
,	,		
yo	yo		
hire	iré		
mandando	mandando		
mas	más		
Caudal	caudal		
para	para		
que	que		
tengas	tengas		
con	con		
que	qué		
Cargarmelo	cargármelo		
de	de		
provisiones	provisiones		
y	y		
mandarmelo	mandármelo		
aquy	aquí		
en	en		
derechura	derechura		
,	,		
de	de		
lo	lo		
que	que		
te	te		
dare	daré		
mas	más		
claresa	clareza		
cuando	cuando		
vaigan	vayan		
los	los		
Navios	navíos		
de	de		
febrero	febrero		
:	.		
esto	Esto		
es	es		
lo	lo		
que	que		
ocurre	ocurre		
alla	allá		
	.		
procuraras	Procurarás		
no	no		
perder	perder		
tiempo	tiempo		
y	y		
avisarme	avisarme		
por	por		
via	vía		
de	de		
st	Santo		
thomas	Tomás		
y	y		
por	por		
toda	toda		
parte	parte		
de	de		
lo	lo		
que	que		
ay	hay		
	,		
para	para		
mi	mi		
govierno	gobierno		
	.		
es	Es		
Cuanto	cuanto		
se	se		
me	me		
ofrese	ofrece		
,	.		
y	Y		
solo	sólo		
me	me		
resta	resta		
el	el		
rogar	rogar		
a	a		
Dios	Dios		
te	te		
gue	guarde		
y	y		
te	te		
dee	dé		
Juisio	juicio		
para	para		
governarte	gobernarte		
,	,		
y	y		
a	a		
my	mí		
fuersa	fuerza		
para	para		
aserte	hacerte		
hombre	hombre		
ea	etc		
.	.		
Tu	Tu		
Padre	padre		
que	que		
te	te		
Estima	estima		
y	y		
la	la		
Bendision	bendición		
te	te		
echa	echa		
.	,		
David	David		
morales	Morales		
Somos	Somos		
	,		
a	a		
Dios	Dios		
Gracias	gracias		
,	,		
en	en		
10	10		
del	del		
Corriente	corriente		
	.		
He	He		
logrado	logrado		
la	la		
ocasion	ocasión		
de	de		
Cargar	cargar		
por	por		
tu	tu		
Cuenta	cuenta		
y	y		
riesgo	riesgo		
en	en		
el	el		
Navio	navío		
de	de		
Goedenstoop	Goedenstoop		
	(		
su	su		
capn	capitán		
Daniel	Daniel		
Knuttel	Knuttel		
	)		
6	6		
Balas	balas		
de	de		
Algodon	algodón		
,	,		
como	como		
veras	verás		
por	por		
el	el		
incluso	incluso		
conosimiento	conocimiento		
:	,		
las	las		
que	que		
importan	importan		
segun	según		
la	la		
factura	factura		
que	que		
acompaña	acompaña		
	(		
P.	P.		
558	558		
	)		
	,		
Cuya	cuya		
Cantidad	cantidad		
devito	debito		
en	en		
tu	tu		
cuenta	cuenta		
:	.		
Dios	Dios		
lo	lo		
lleve	lleve		
a	a		
salvamento	salvamento		
y	y		
te	te		
depare	depare		
buen	buen		
mercado	mercado		
.	.		
y	Y		
referiendome	refiriéndome		
a	a		
todo	todo		
lo	lo		
dho	dicho		
arriva	arriba		
,	,		
no	no		
ocurre	ocurre		
otra	otra		
Cossa	cosa		
sino	sino		
partisiparte	participarte		
que	que		
todos	todos		
nosotros	nosotros		
quedamos	quedamos		
de	de		
salud	salud		
y	y		
que	que		
la	la		
misma	misma		
deseamos	deseamos		
que	que		
todos	todos		
alla	allá		
la	la		
goseis	gocéis		
,	,		
y	y		
que	que		
Dios	Dios		
os	os		
gue	guarde		
por	por		
ms	muchos		
as	años		
	.		
Tu	Tu		
Padre	padre		
que	que		
te	te		
estima	estima		
y	y		
la	la		
Bendision	bendición		
te	te		
echa	echa		
	,		
David	David		
morales	Morales		
	.		
No.	No.		
el	el		
algodon	algodón		
te	te		
remito	remito		
a	a		
15	15		
plas	placas		
	.		
ello	Ello		
vale	vale		
y	y		
corre	corre		
al	al		
presio	precio		
de	de		
18	18		
plas	placas		
y	y		
	,		
por	por		
lo	lo		
tanto	tanto		
	,		
lo	lo		
tendras	tendrás		
para	para		
ty	ti		
	.		
y	Y		
no	no		
mostrar	mostrar		
la	la		
factura	factura		
a	a		
nadie	nadie		
,	.		
solo	Sólo		
desir	decir		
q	que		
te	te		
Cuesta	cuesta		
18	18		
plas	placas		
la	la		
	,		
pa	para		
tu	tu		
govierno	gobierno		
	.		
repara	Repara		
en	en		
el	el		
conosimto	conocimiento		
que	que		
dise	dice		
	:		
	«		
uny	uny		
van	van		
avary	avary		
tot	tot		
hudes	hudes		
	»		
	.		
