Sr	Señor		
mesmo	mismo		
	;		
y	y		
me	me		
enviara	enviará		
un	un		
par	par		
de	de		
medias	medias		
negras	negras		
de	de		
tres	tres		
ilos	hilos		
buenas	buenas		
y	y		
bien	bien		
anchas	anchas		
que	que		
sean	sean		
bien	bien		
cunplidas	cumplidas		
	,		
porq	porque		
son	son		
para	para		
un	un		
sazerdote	sacerdote		
q	que		
me	me		
las	las		
tiene	tiene		
encargadas	encargadas		
	;		
de	de		
galon	galón		
negro	negro		
veinte	veinte		
baras	varas		
	;		
de	de		
galon	galón		
dorado	dorado		
otras	otras		
veinte	veinte		
	;		
de	de		
iladillo	hiladillo		
negro	negro		
angosto	angosto		
dos	dos		
piezas	piezas		
	;		
de	de		
lo	lo		
dho	dicho		
dorado	dorado		
una	una		
pieza	pieza		
	;		
de	de		
lo	lo		
dho	dicho		
azul	azul		
otra	otra		
pieza	pieza		
	;		
de	de		
lo	lo		
dho	dicho		
paxizo	pajizo		
otra	otra		
pieza	pieza		
	;		
de	de		
iladillo	hiladillo		
ancho	ancho		
paxizo	pajizo		
una	una		
pieza	pieza		
	;		
de	de		
lo	lo		
dho	dicho		
azul	azul		
otra	otra		
pieza	pieza		
	;		
dos	dos		
gruesas	gruesas		
de	de		
botones	botones		
de	de		
metal	metal		
	;		
una	una		
dozena	docena		
de	de		
ebillas	hebillas		
doradas	doradas		
de	de		
mugeres	mujeres		
	;		
otra	otra		
dozena	docena		
doradas	doradas		
de	de		
ombre	hombre		
-	;		
dos	dos		
dozenas	docenas		
de	de		
gargantillas	gargantillas		
de	de		
perlas	perlas		
	;		
una	una		
dozena	docena		
de	de		
chinelas	chinelas		
	;		
una	una		
dozena	docena		
de	de		
escarpidores	escarpidores		
	;		
dos	dos		
papeles	papeles		
de	de		
alfileres	alfileres		
dorados	dorados		
de	de		
a	a		
peso	peso		
	;		
un	un		
paquete	paquete		
de	de		
navajas	navajas		
	;		
dos	dos		
piezas	piezas		
de	de		
zintas	cintas		
de	de		
lana	lana		
de	de		
rrioseco	Rioseco		
	;		
media	media		
dozena	docena		
de	de		
baldoque	balduque		
de	de		
rrioseco	Rioseco		
dorados	dorados		
	;		
otra	otra		
media	media		
dozena	docena		
pajizos	pajizos		
de	de		
lo	lo		
mesmo	mismo		
	;		
otra	otra		
media	media		
dozena	docena		
negros	negros		
	;		
otra	otra		
media	media		
dozena	docena		
de	de		
blancos	blancos		
del	del		
mesmo	mismo		
	;		
cuatro	cuatro		
gruesas	gruesas		
de	de		
cordones	cordones		
de	de		
rrioseco	Rioseco		
de	de		
nuebe	nueve		
ilos	hilos		
	;		
veinte	veinte		
baras	varas		
de	de		
franga	franja		
de	de		
punta	punta		
de	de		
españa	España		
de	de		
una	una		
punta	punta		
	;		
un	un		
papel	papel		
de	de		
gaqueros	jaqueros		
	;		
dos	dos		
papeles	papeles		
de	de		
peines	peines		
de	de		
paris	parís		
entero	entero		
	;		
otros	otros		
dos	dos		
papeles	papeles		
de	de		
medio	medio		
paris	parís		
	;		
dos	dos		
dozenas	docenas		
de	de		
peines	peines		
para	para		
moñienes	moñienes		
de	de		
boxo	boxo		
	;		
otras	otras		
dos	dos		
dozenas	docenas		
de	de		
de	de		
lo	lo		
dho	dicho		
	;		
y	y		
me	me		
enviara	enviará		
media	media		
ressma	resma		
de	de		
papel	papel		
de	de		
escrivir	escribir		
	,		
que	que		
me	me		
aze	hace		
falta	falta		
lo	lo		
vastante	bastante		
	.		
y	Y		
me	me		
ara	hará		
vmd	VM		
gusto	gusto		
de	de		
alquirir	adquirir		
notizia	noticia		
de	de		
saber	saber		
a	a		
como	cómo		
anda	anda		
la	la		
pimienta	pimienta		
y	y		
el	el		
clabo	clavo		
fino	fino		
	,		
para	para		
cuando	cuando		
buelba	vuelva		
alla	allá		
el	el		
ordinario	ordinario		
enviar	enviar		
por	por		
un	un		
poco	poco		
	.		
y	Y		
es	es		
cuanto	cuanto		
se	se		
me	me		
ofrece	ofrece		
cansar	cansar		
a	a		
vmd	VM		
	.		
de	De		
esta	ésta		
de	de		
vmd	VM		
	,		
Blascosancho	Blascosancho		
y	y		
Abril	abril		
6	6		
de	de		
1740	1740		
	.		
quien	Quien		
los	los		
aumentos	aumentos		
de	de		
vmd	VM		
desea	desea		
	,		
Bernardo	Bernardo		
Carpintero	Carpintero		
Sr	Señor		
Joseph	Joseph		
Barrera	Barrera		
	.		
