Perico	Perico	NCMS000	perico
Carcel	cárcel	NCFS000	cárcel
.	,	Fc	,
a	a	SPS00	a
presencia	presencia	NCFS000	presencia
de	de	SPS00	de
el	el	DA0MS0	el
sr	señor	NP00000	señor
Cura	cura	NCMS000	cura
y	y	CC	y
Justicia	justicia	NCFS000	justicia
	.	Fp	.
y	Y	CC	y
toda	toda	DI0FS0	todo
esta	esta	DD0FS0	este
noche	noche	NCFS000	noche
siete	siete	Z	7
Hombres	hombres	NCMP000	hombre
y	y	CC	y
el	él	PP3MS000	él
ocho	ocho	Z	8
apaliando	apaleando	VMG0000	apalear
las	las	DA0FP0	el
puertas	puertas	NCFP000	puerta
de	de	SPS00	de
la	la	DA0FS0	el
yglesia	iglesia	NCFS000	iglesia
	,	Fc	,
cantando	cantando	VMG0000	cantar
y	y	CC	y
tocando	tocando	VMG0000	tocar
con	con	SPS00	con
un	un	DI0MS0	uno
almirez	almirez	NCMS000	almirez
y	y	CC	y
probocandome	provocándome	VMG0000+PP1CS000	provocar+me
sin	sin	SPS00	sin
dejarme	dejarme	VMN0000+PP1CS000	dejar+me
un	un	DI0MS0	uno
poco	poco	RQ	poco
sosegar	sosegar	VMN0000	sosegar
	,	Fc	,
desde	desde	SPS00	desde
las	las	DA0FP0	el
diez	diez	Z	10
de	de	SPS00	de
la	la	DA0FS0	el
noche	noche	NCFS000	noche
asta	hasta	SPS00	hasta
las	las	DA0FP0	el
seis	seis	Z	6
de	de	SPS00	de
la	la	DA0FS0	el
mañana	mañana	NCFS000	mañana
.	.	Fp	.
q	Que	CS	que
el	el	DA0MS0	el
salirme	salirme	VMN0000+PP1CS000	salir+me
de	de	SPS00	de
la	la	DA0FS0	el
Carcel	cárcel	NCFS000	cárcel
fue	fue	VSIS3S0	ser
porq	porque	CS	porque
con	con	SPS00	con
los	los	DA0MP0	el
accidentes	accidentes	NCMP000	accidente
q	que	PR0CN000	que
me	me	PP1CS000	me
an	han	VAIP3P0	haber
dado	dado	VMP0000	dar
me	me	PP1CS000	me
pensaba	pensaba	VMII0S0	pensar
morir	morir	VMN0000	morir
con	con	SPS00	con
un	un	DI0MS0	uno
canasto	canasto	NCMS000	canasto
	.	Fp	.
ya	Ya	RG	ya
te	te	PP2CS000	te
lo	lo	PP3CNA00	lo
diria	diría	VMIC0S0	decir
estrada	Estrada	NP00000	estrada
	,	Fc	,
q	que	CS	que
el	el	DA0MS0	el
pobre	pobre	AQ0CS0	pobre
se	se	P00CN000	se
quedo	quedó	VMIS3S0	quedar
conmigo	conmigo	SPS00+PP1CSO00	con+mí
en	en	SPS00	en
el	el	DA0MS0	el
Calabozo	calabozo	NCMS000	calabozo
y	y	CC	y
penso	pensó	VMIS3S0	pensar
me	me	PP1CS000	me
hubiera	hubiera	VASI0S0	haber
muerto	muerto	VMP0000	morir
.	.	Fp	.
mira	Mira	VMM02S0	mirar
donde	dónde	PA000000	dónde
llega	llega	VMIP3S0	llegar
la	la	DA0FS0	el
benganza	venganza	NCFS000	venganza
q	que	CS	que
uno	uno	PI0MS000	uno
esta	está	VMIP3S0	estar
con	con	SPS00	con
les	los	DA0MP0	el
autos	autos	NCMP000	auto
a	a	SPS00	a
Vallad	Valladolid	NP00000	valladolid
y	y	CC	y
un	un	DI0MS0	uno
propio	propio	NCMS000	propio
a	a	SPS00	a
Palencia	Palencia	NP00000	palencia
	,	Fc	,
a	a	SPS00	a
el	el	DA0MS0	el
sr	señor	NP00000	señor
Probisor	provisor	NCMS000	provisor
	,	Fc	,
para	para	SPS00	para
q	que	CS	que
de	dé	VMSP0S0	dar
orden	orden	NCMS000	orden
para	para	SPS00	para
sacarme	sacarme	VMN0000+PP1CS000	sacar+me
de	de	SPS00	de
aqui	aquí	RG	aquí
	;	Fx	;
pero	pero	CC	pero
si	si	CS	si
no	no	RN	no
me	me	PP1CS000	me
faboreces	favoreces	VMIP2S0	favorecer
de	de	SPS00	de
q	que	CS	que
bengan	vengan	VMSP3P0	venir
por	por	SPS00	por
mi	mí	PP1CSO00	mí
para	para	SPS00	para
chancilleria	chancillería	NCFS000	chancillería
me	me	PP1CS000	me
despeño	despeño	VMIP1S0	despeñar
de	de	SPS00	de
la	la	DA0FS0	el
torre	torre	NCFS000	torre
abajo	abajo	RG	abajo
solo	sólo	RG	sólo
porq	porque	CS	porque
no	no	RN	no
se	se	P00CN000	se
bengen	venguen	VMSP3P0	vengar
de	de	SPS00	de
mi	mí	PP1CSO00	mí
	,	Fc	,
porq	porque	CS	porque
si	si	CS	si
me	me	PP1CS000	me
aciñan	aciñan	X	x
me	me	PP1CS000	me
pondran	pondrán	VMIF3P0	poner
en	en	SPS00	en
la	la	DA0FS0	el
Carcel	cárcel	NCFS000	cárcel
	,	Fc	,
q	que	CS	que
en	en	SPS00	en
dos	dos	Z	2
dias	días	NCMP000	día
dieron	dieron	VMIS3P0	dar
con	con	SPS00	con
mi	mi	DP1CSS	mi
bida	vida	NCFS000	vida
en	en	SPS00	en
tierra	tierra	NCFS000	tierra
;	.	Fp	.
el	El	DA0MS0	el
Pedimento	pedimento	NCMS000	pedimento
se	se	P00CN000	se
presento	presentó	VMIS3S0	presentar
	,	Fc	,
pero	pero	CC	pero
como	como	CS	como
si	si	CS	si
no	no	RN	no
se	se	P00CN000	se
ubiera	hubiera	VASI0S0	haber
echo	hecho	VMP0000	hacer
	.	Fp	.
la	La	DA0FS0	el
respta	respuesta	NCFS000	respuesta
fue	fue	VSIS3S0	ser
	«	Fra	«
no	no	RN	no
a	ha	VMIP3S0	haber
lugar	lugar	NCMS000	lugar
	»	Frt	»
	,	Fc	,
conq	conque	CS	conque
presenta	presenta	VMIP3S0	presentar
un	un	DI0MS0	uno
pedimento	pedimento	NCMS000	pedimento
alegando	alegando	VMG0000	alegar
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
sabes	sabes	VMIP2S0	saber
y	y	CC	y
q	que	CS	que
no	no	RN	no
pude	pude	VMIS1S0	poder
decir	decir	VMN0000	decir
la	la	DA0FS0	el
berdad	verdad	NCFS000	verdad
por	por	SPS00	por
la	la	DA0FS0	el
parentela	parentela	NCFS000	parentela
de	de	SPS00	de
y	y	CC	y
enemiga	enemiga	NCFS000	enemigo
q	que	PR0CN000	que
me	me	PP1CS000	me
profesan	profesan	VMIP3P0	profesar
.	.	Fp	.
q	Que	CS	que
benga	venga	VMSP0S0	venir
un	un	DI0MS0	uno
rector	rector	NCMS000	rector
esta	esta	DD0FS0	este
noche	noche	NCFS000	noche
antes	antes	RG	antes
q	que	CS	que
benga	venga	VMSP0S0	venir
el	el	DA0MS0	el
Propio	propio	NCMS000	propio
de	de	SPS00	de
Palencia	Palencia	NP00000	palencia
para	para	SPS00	para
marcharnos	marcharnos	VMN0000+PP1CP000	marchar+nos
mana	mañana	RG	mañana
dia	Día	NCMS000	día
de	de	SPS00	de
Ntra	Nuestra	DP1FSP	nuestro
sra	Señora	NP00000	señor
	,	Fc	,
Por	por	SPS00	por
quien	quien	PR0CS000	quien
te	te	PP2CS000	te
lo	lo	PP3CNA00	lo
pido	pido	VMIP1S0	pedir
encarecidamte	encarecidamente	RG	encarecidamente
	.	Fp	.
por	Por	SPS00	por
no	no	RN	no
arrestarme	arrestarme	VMN0000+PP1CS000	arrestar+me
a	a	SPS00	a
morir	morir	VMN0000	morir
desesperado	desesperado	VMP00SM	desesperar
embio	envío	VMIP1S0	enviar
a	a	SPS00	a
el	el	DA0MS0	el
chico	chico	NCMS000	chico
a	a	SPS00	a
pie	pie	NCMS000	pie
y	y	CC	y
tan	tan	RC	tan
tarde	tarde	RG	tarde
por	por	SPS00	por
no	no	RN	no
tener	tener	VMN0000	tener
tintero	tintero	NCMS000	tintero
aqui	aquí	RG	aquí
	.	Fp	.
y	Y	CC	y
se	se	P00CN000	se
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
a	a	SPS00	a
el	el	DA0MS0	el
Mtro	mtro.	NP00000	mtro.
de	de	SPS00	de
niños	niños	NCMP000	niño
q	que	PR0CN000	que
esta	está	VMIP3S0	estar
inmediato	inmediato	AQ0MS0	inmediato
a	a	SPS00	a
esta	esta	DD0FS0	este
yglesia	iglesia	NCFS000	iglesia
y	y	CC	y
no	no	RN	no
me	me	PP1CS000	me
le	le	PP3CSD00	le
quiso	quiso	VMIS3S0	querer
dar	dar	VMN0000	dar
	.	Fp	.
espero	Espero	VMIP1S0	esperar
agas	hagas	VMSP2S0	hacer
esto	esto	PD0NN000	esto
sin	sin	SPS00	sin
dilacion	dilación	NCFS000	dilación
	,	Fc	,
q	que	CS	que
ya	ya	RG	ya
puedes	puedes	VMIP2S0	poder
estar	estar	VMN0000	estar
echo	hecho	VMP00SM	hacer
Cargo	cargo	NCMS000	cargo
de	de	SPS00	de
su	su	DP3CS0	su
Maldad	maldad	NCFS000	maldad
	.	Fp	.
si	Si	CS	si
el	el	DA0MS0	el
templo	templo	NCMS000	templo
de	de	SPS00	de
Dios	Dios	NP00000	dios
an	han	VAIP3P0	haber
estado	estado	VMP0000	estar
apaliando	apaleando	VMG0000	apalear
toda	toda	DI0FS0	todo
la	la	DA0FS0	el
noche	noche	NCFS000	noche
	,	Fc	,
	¿	Fia	¿
q	qué	PT0CN000	qué
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
aguardar	aguardar	VMN0000	aguardar
de	de	SPS00	de
esta	esta	DD0FS0	este
jente	gente	NCFS000	gente
	?	Fit	?
azlo	Hazlo	VMM02S0+PP3CNA00	hacer+lo
sin	sin	SPS00	sin
dilacion	dilación	NCFS000	dilación
	,	Fc	,
q	que	CS	que
de	de	SPS00	de
aqui	aquí	RG	aquí
no	no	RN	no
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
sacar	sacar	VMN0000	sacar
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
Maldades	maldades	NCFP000	maldad
	.	Fp	.
Dios	Dios	NP00000	dios
te	te	PP2CS000	te
lo	lo	PP3CNA00	lo
pagara	pagará	VMIF3S0	pagar
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
pido	pido	VMIP1S0	pedir
te	te	PP2CS000	te
G	guarde	VMSP0S0	guardar
los	los	DA0MP0	el
as	años	NCMP000	año
de	de	SPS00	de
mi	mi	DP1CSS	mi
deseo	deseo	NCMS000	deseo
	.	Fp	.
de	De	SPS00	de
esta	esta	DD0FS0	este
Yglesia	iglesia	NCFS000	iglesia
de	de	SPS00	de
Cavezon	Cabezón	NCMS000	cabezón
	,	Fc	,
y	y	CC	y
Septe	septiembre	NCMS000	septiembre
7	7	Z	7
de	de	SPS00	de
82	82	Z	82
.	.	Fp	.
Tu	Tu	DP2CSS	tu
Hermano	Hermano	NP00000	hermano
q	que	PR0CN000	que
tu	tu	DP2CSS	tu
salud	salud	NCFS000	salud
y	y	CC	y
berte	verte	VMN0000+PP2CS000	ver+te
desea	desea	VMIP3S0	desear
	,	Fc	,
Barela	Varela	NP00000	varela
