Sentencias	Sentencias		
.	,		
fol	folio		
366	366		
.	.		
La	La		
fornicacion	fornicación		
se	se		
dice	dice		
q	que		
es	es		
pecado	pecado		
mortal	mortal		
porq	porque		
por	por		
se	se		
impide	impide		
el	el		
bien	bien		
de	de		
la	la		
prole	prole		
q	que		
se	se		
â	ha		
de	de		
engendrar	engendrar		
y	y		
at	at		
qui	qui		
,	,		
los	los		
osculos	ósculos		
,	,		
âbrazos	abrazos		
y	y		
tactos	tactos		
para	para		
nada	nada		
de	de		
esto	esto		
desde	desde		
luego	luego		
en	en		
estas	estas		
cosas	cosas		
no	no		
âcontece	acontece		
q	que		
aya	haya		
pecado	pecado		
mortal	mortal		
.	.		
Y	Y		
asi	así		
añade	añade		
el	el		
mismo	mismo		
Doctor	doctor		
Angelico	Angelico		
:	:		
de	de		
dos	dos		
modos	modos		
se	se		
dice	dice		
ser	ser		
cosa	cosa		
pecado	pecado		
mortal	mortal		
.	.		
El	El		
uno	uno		
es	es		
segun	según		
su	su		
especie	especie		
	,		
y	y		
de	de		
los	los		
ôsculos	ósculos		
,	,		
abrazos	abrazos		
ea	etc		
,	,		
segun	según		
su	su		
razon	razón		
	,		
no	no		
nombran	nombran		
pecado	pecado		
mortal	mortal		
.	.		
Cayetano	Cayetano		
.	,		
in	in		
eôdem	eodem		
fol	folio		
.	.		
Su	Su		
expositor	expositor		
dice	dice		
:	:		
los	los		
ôsculos	ósculos		
ea	etc		
,	,		
pueden	pueden		
tomarse	tomarse		
de	de		
modos	modos		
.	.		
El	El		
primero	primero		
absolutamte	absolutamente		
	.		
y	Y		
assi	así		
no	no		
contienen	contienen		
alguna	alguna		
cosa	cosa		
inordinada	inordinada		
y	y		
por	por		
tanto	tanto	RG	tanto
pueden	pueden	RG	tanto
licitamte	licitamente	RG	tanto
practicar	practicar	RG	tanto
en	en	RG	tanto
señal	señal	RG	tanto
de	de	RG	tanto
venebolencia	benevolencia	RG	tanto
ea	etc	RG	tanto
	.	RG	tanto
Fr	Fray	RG	tanto
Ju	Juan	RG	tanto
de	de	RG	tanto
la	la	RG	tanto
trinidad	Trinidad	RG	tanto
en	en	RG	tanto
su	su	RG	tanto
crisol	Crisol	RG	tanto
.	,	RG	tanto
tom	tomo	RG	tanto
2	2	RG	tanto
.	,	RG	tanto
fol	folio	RG	tanto
524	524	RG	tanto
.	.	RG	tanto
Ay	Hay	RG	tanto
dos	dos	RG	tanto
modos	modos	RG	tanto
de	de	RG	tanto
delectacion	delectación	RG	tanto
:	.	RG	tanto
uno	Uno	RG	tanto
que	que	RG	tanto
consiste	consiste	RG	tanto
en	en	RG	tanto
cierta	cierta	RG	tanto
proporcion	proporción	RG	tanto
con	con	RG	tanto
el	el	RG	tanto
organo	órgano	RG	tanto
del	del	RG	tanto
sentido	sentido	RG	tanto
del	del	RG	tanto
tacto	tacto	RG	tanto
,	.	RG	tanto
y	Y	RG	tanto
este	éste	RG	tanto
no	no	RG	tanto
condena	condena	RG	tanto
porq	porque	RG	tanto
no	no	RG	tanto
es	es	RG	tanto
lascivo	lascivo	RG	tanto
ni	ni	RG	tanto
sensual	sensual	RG	tanto
aunq	aunque	RG	tanto
sea	sea	RG	tanto
sentido	sentido	RG	tanto
	,	RG	tanto
sino	sino	RG	tanto
licito	lícito	RG	tanto
y	y	RG	tanto
honesto	honesto	RG	tanto
:	.	RG	tanto
y	Y	RG	tanto
assi	así	RG	tanto
lo	lo	RG	tanto
enseñan	enseñan	RG	tanto
todos	todos	RG	tanto
los	los	RG	tanto
doctores	doctores	RG	tanto
	.	RG	tanto
Notesse	Nótese	RG	tanto
el	el	RG	tanto
que	que	RG	tanto
dice	dice	RG	tanto
que	que	RG	tanto
assi	así	RG	tanto
lo	lo	RG	tanto
enseñan	enseñan	RG	tanto
todos	todos	RG	tanto
los	los	RG	tanto
Doctores	doctores	RG	tanto
.	.	RG	tanto
Mal	Mal	RG	tanto
podra	podrá	RG	tanto
darme	darme	RG	tanto
el	el	RG	tanto
señor	señor	RG	tanto
cura	cura	RG	tanto
uno	uno	RG	tanto
siquiera	siquiera	RG	tanto
q	que	RG	tanto
enseñe	enseñe	RG	tanto
lo	lo	RG	tanto
contrario	contrario	RG	tanto
.	.	RG	tanto
Y	Y	RG	tanto
para	para	RG	tanto
no	no	RG	tanto
cansar	cansar	RG	tanto
pongo	pongo	RG	tanto
aqui	aquí	RG	tanto
ôtros	otros	RG	tanto
muchos	muchos	RG	tanto
	,	RG	tanto
q	que	RG	tanto
todos	todos	RG	tanto
los	los	RG	tanto
tengo	tengo	RG	tanto
en	en	RG	tanto
mi	mi	RG	tanto
celda	celda	RG	tanto
presentes	presentes	RG	tanto
.	,	RG	tanto
Y	y	RG	tanto
por	por	RG	tanto
las	las	RG	tanto
citas	citas	RG	tanto
podran	podrán	RG	tanto
buscarse	buscarse	RG	tanto
.	.	RG	tanto
Navarro	Navarro	RG	tanto
,	,	RG	tanto
cap	capítulo	RG	tanto
si	si	RG	tanto
cui	cui	RG	tanto
de	de	RG	tanto
pqnit.	pqnit.	RG	tanto
dist.	dist.	RG	tanto
1	1	RG	tanto
.	,	RG	tanto
num	número	RG	tanto
15	15	RG	tanto
.	.	RG	tanto
Manul	Manuel	RG	tanto
Rodrigz	Rodríguez	RG	tanto
	,	RG	tanto
in	in	RG	tanto
sum.	sum.	RG	tanto
.	,	RG	tanto
tom	tomo	RG	tanto
1	1	RG	tanto
	,	RG	tanto
cap	capítulo	RG	tanto
203	203	RG	tanto
.	,	RG	tanto
num	número	RG	tanto
2	2	RG	tanto
.	.	RG	tanto
Lessio	Lessio	RG	tanto
,	,	RG	tanto
lib	libro	RG	tanto
4	4	RG	tanto
.	,	RG	tanto
cap	capítulo	RG	tanto
3	3	RG	tanto
	,	RG	tanto
duda	duda	RG	tanto
8	8	RG	tanto
.	,	RG	tanto
num	número	RG	tanto
56	56	RG	tanto
.	.	RG	tanto
Thomas	Tomás	RG	tanto
Sanchez	Sánchez	RG	tanto
,	,	RG	tanto
de	de	RG	tanto
matrim	matrimonio	RG	tanto
	,	RG	tanto
lib	libro	RG	tanto
9	9	RG	tanto
.	,	RG	tanto
disp	disposición	RG	tanto
46	46	RG	tanto
.	,	RG	tanto
â	a	RG	tanto
num	número	RG	tanto
3	3	RG	tanto
.	.	RG	tanto
Lumbier	Lumbier	RG	tanto
,	,	RG	tanto
sobre	sobre	RG	tanto
la	la	RG	tanto
proposicion	proposición	RG	tanto
40	40	RG	tanto
.	,	RG	tanto
tom	tomo	RG	tanto
3	3	RG	tanto
.	,	RG	tanto
num	número	RG	tanto
918	918	RG	tanto
.	,	RG	tanto
in	in	RG	tanto
6	6	RG	tanto
edit.	edit.	RG	tanto
Diana	Diana	RG	tanto
,	,	RG	tanto
in	in	RG	tanto
sum	sum	RG	tanto
.	,	RG	tanto
fol	folio	RG	tanto
719	719	RG	tanto
.	,	RG	tanto
num	número	RG	tanto
6	6	RG	tanto
.	.	RG	tanto
Salmaticenses	Salmaticenses	RG	tanto
,	,	RG	tanto
tom	tomo	RG	tanto
6	6	RG	tanto
.	,	RG	tanto
moral	moral	RG	tanto
S.	S.	RG	tanto
3	3	RG	tanto
.	,	RG	tanto
fol	folio	RG	tanto
177	177	RG	tanto
.	.	RG	tanto
Dicastillo	Dicastillo	RG	tanto
,	,	RG	tanto
de	de	RG	tanto
inst.	inst.	RG	tanto
.	,	RG	tanto
lib	libro	RG	tanto
1	1	RG	tanto
.	,	RG	tanto
disp	disposición	RG	tanto
3	3	RG	tanto
.	,	RG	tanto
duda	duda	RG	tanto
15	15	RG	tanto
num	número	RG	tanto
213	213	RG	tanto
.	.	RG	tanto
Navarra	Navarra	RG	tanto
,	,	RG	tanto
in	in	RG	tanto
manual.	manual.	RG	tanto
.	,	RG	tanto
cap	capítulo	RG	tanto
16	16	RG	tanto
.	,	RG	tanto
num	número	RG	tanto
11	11	RG	tanto
.	.	RG	tanto
Martino	Martino	RG	tanto
	,	RG	tanto
de	de	RG	tanto
Magist.	magist.	RG	tanto
trait.	trait.	RG	tanto
de	de	RG	tanto
temperant.	temperant.	RG	tanto
quest.	quest.	RG	tanto
3	3	RG	tanto
de	de	RG	tanto
luxur.	luxur.	RG	tanto
Umberto	Umberto	RG	tanto
,	,	RG	tanto
in	in	RG	tanto
exposit.	exposit.	RG	tanto
reg.	reg.	RG	tanto
Divi	divi	RG	tanto
August	august	RG	tanto
.	.	RG	tanto
Gabriel	Gabriel	RG	tanto
,	,	RG	tanto
lect.	lect.	RG	tanto
7	7	RG	tanto
in	in	RG	tanto
can.	can.	RG	tanto
missg.	missg.	RG	tanto
lit.	lit.	RG	tanto
E.	E.	RG	tanto
Nider	Nider	RG	tanto
.	,	RG	tanto
in	in	RG	tanto
sum.	sum.	RG	tanto
precept.	precept.	RG	tanto
6	6	RG	tanto
.	,	RG	tanto
cap	capítulo	RG	tanto
2	2	RG	tanto
.	.	RG	tanto
Margarita	Margarita	RG	tanto
	,	RG	tanto
de	de	RG	tanto
confesores	confesores	RG	tanto
,	,	RG	tanto
6	6	RG	tanto
precepto	precepto	RG	tanto
.	.	RG	tanto
Viguèr	Viguer	RG	tanto
.	,	RG	tanto
lib	libro	RG	tanto
institut.	institut.	RG	tanto
.	,	RG	tanto
cap	capítulo	RG	tanto
7	7	RG	tanto
.	,	RG	tanto
S.	S.	RG	tanto
5	5	RG	tanto
.	,	RG	tanto
vers.	vers.	RG	tanto
7	7	RG	tanto
.	.	RG	tanto
Azòr	Azor	RG	tanto
.	,	RG	tanto
part	parte	RG	tanto
3	3	RG	tanto
.	,	RG	tanto
lib	libro	RG	tanto
3	3	RG	tanto
.	,	RG	tanto
vers.	vers.	RG	tanto
objicies.	objicies.	RG	tanto
San	San	RG	tanto
Anton	Antón	RG	tanto
.	,	RG	tanto
part	parte	RG	tanto
2	2	RG	tanto
.	,	RG	tanto
tit	título	RG	tanto
5	5	RG	tanto
.	,	RG	tanto
cap	capítulo	RG	tanto
1	1	RG	tanto
.	,	RG	tanto
S.	S.	RG	tanto
9	9	RG	tanto
.	.	RG	tanto
Silvio	Silvio	RG	tanto
,	,	RG	tanto
2	2	RG	tanto
.	,	RG	tanto
lg.	lg.	RG	tanto
quest.	quest.	RG	tanto
154	154	RG	tanto
.	,	RG	tanto
art	artículo	RG	tanto
4	4	RG	tanto
.	,	RG	tanto
conclus	conclusión	RG	tanto
4	4	RG	tanto
.	.	RG	tanto
Salas	Salas	RG	tanto
,	,	RG	tanto
1	1	RG	tanto
.	,	RG	tanto
2	2	RG	tanto
	,	RG	tanto
quest.	quest.	RG	tanto
74	74	RG	tanto
.	,	RG	tanto
tract	tract	RG	tanto
.	.	RG	tanto
13	13	RG	tanto
.	.	RG	tanto
disp	disposicion	RG	tanto
6	6	RG	tanto
.	.	RG	tanto
sect	sect	RG	tanto
.	.	RG	tanto
20	20	RG	tanto
.	.	RG	tanto
num	número	RG	tanto
139	139	RG	tanto
.	.	RG	tanto
Remigio	Remigio	RG	tanto
,	,	RG	tanto
in	in	RG	tanto
sum	sum	RG	tanto
.	.	RG	tanto
tract.	tract.	RG	tanto
2	2	RG	tanto
.	,	RG	tanto
cap	capítulo	RG	tanto
6	6	RG	tanto
.	,	RG	tanto
S.	S.	RG	tanto
2	2	RG	tanto
.	,	RG	tanto
num	número	RG	tanto
2.	2.	RG	tanto
Y	Y	RG	tanto
para	para	RG	tanto
no	no	RG	tanto
cansarme	cansarme	RG	tanto
en	en	RG	tanto
citas	citas	RG	tanto
.	:	RG	tanto
Pichòr	Pichor	RG	tanto
de	de	RG	tanto
matrim	matrimonio	RG	tanto
	,	RG	tanto
Vicente	Vicente	RG	tanto
varon	Varón	RG	tanto
.	,	RG	tanto
Filucio	Filucio	RG	tanto
.	,	RG	tanto
Frullenhc	Frullenhc	RG	tanto
.	,	RG	tanto
Decales	Decales	RG	tanto
.	,	RG	tanto
Araujo	Araújo	RG	tanto
.	,	RG	tanto
Candido	Cándido	RG	tanto
.	,	RG	tanto
Mora	Mora	RG	tanto
.	,	RG	tanto
Hurtado	Hurtado	RG	tanto
y	y	RG	tanto
Zanardo	Zanardo	RG	tanto
dicen	dicen	RG	tanto
lo	lo	RG	tanto
mismo	mismo	RG	tanto
.	.	RG	tanto
Y	Y	RG	tanto
si	si	RG	tanto
aun	aún	RG	tanto
son	son	RG	tanto
necesarios	necesarios	RG	tanto
màs	más	RG	tanto
,	,	RG	tanto
los	los	RG	tanto
darè	daré	RG	tanto
:	,	RG	tanto
que	que	RG	tanto
estos	éstos	RG	tanto
sòn	son	RG	tanto
solamte	solamente	RG	tanto
los	los	RG	tanto
que	que	RG	tanto
hasta	hasta	RG	tanto
aôra	ahora	RG	tanto
hè	he	RG	tanto
visto	visto	RG	tanto
:	.	RG	tanto
quedo	Quedo	RG	tanto
esperando	esperando	RG	tanto
tiempo	tiempo	RG	tanto
para	para	RG	tanto
buscar	buscar	RG	tanto
mas	más	RG	tanto
Doctores	doctores	RG	tanto
,	,	RG	tanto
aunq	aunque	RG	tanto
sera	será	RG	tanto
trabajo	trabajo	RG	tanto
en	en	RG	tanto
balde	balde	RG	tanto
si	si	RG	tanto
el	el	RG	tanto
señor	señor	RG	tanto
cura	cura	RG	tanto
no	no	RG	tanto
me	me	RG	tanto
dà	da	RG	tanto
uno	uno	RG	tanto
siquiera	siquiera	RG	tanto
que	que	RG	tanto
apruebe	apruebe	RG	tanto
su	su	RG	tanto
dictamen	dictamen	RG	tanto
.	,	RG	tanto
Porq	porque	RG	tanto
tal	tal	RG	tanto
qual	cual	RG	tanto
que	que	RG	tanto
lo	lo	RG	tanto
àpruebe	apruebe	RG	tanto
discurro	discurro	RG	tanto
no	no	RG	tanto
los	los	RG	tanto
habra	habrá	RG	tanto
visto	visto	RG	tanto
.	.	RG	tanto
citados	Citados	RG	tanto
autores	autores	RG	tanto
de	de	RG	tanto
este	este	RG	tanto
papel	papel	RG	tanto
,	:	RG	tanto
36	36	RG	tanto
	.	RG	tanto
