Mazarulleque	Mazarulleque	NP00000	mazarulleque
todo	todo	PI0MS000	todo
a	a	SPS00	a
Causa	causa	NCFS000	causa
de	de	SPS00	de
hallarse	hallarse	VMN0000+P00CN000	hallar+se
en	en	SPS00	en
esa	esa	DD0FS0	ese
Ciud	ciudad	NCFS000	ciudad
desde	desde	SPS00	desde
el	el	DA0MS0	el
Domingo	domingo	NCMS000	domingo
Juan	Juan	NP00000	juan
Joseph	José	NP00000	josé
	,	Fc	,
quien	quien	PR0CS000	quien
tiene	tiene	VMIP3S0	tener
las	las	DA0FP0	el
llaves	llaves	NCFP000	llave
de	de	SPS00	de
la	la	DA0FS0	el
Cevada	cebada	NCFS000	cebada
y	y	CC	y
esca-ña	escaña	NCFS000	escaña
	.	Fp	.
esta	Esta	DD0FS0	este
noche	noche	NCFS000	noche
lo	lo	DA0NS0	el
esperamos	esperamos	VMIP1P0	esperar
y	y	CC	y
se	se	P00CN000	se
despachara	despachará	VMIF3S0	despachar
del	del	SPS00+DA0MS0	de+el
todo	todo	PI0MS000	todo
a	a	SPS00	a
dho	dicho	VMP00SM	decir
Mozo	mozo	NCMS000	mozo
.	.	Fp	.
Amigo	Amigo	NP00000	amigo
	,	Fc	,
esta	esta	DD0FS0	este
manana	mañana	NCFS000	mañana
ha	ha	VAIP3S0	haber
determinado	determinado	VMP0000	determinar
el	el	DA0MS0	el
Amo	amigo	NP00000	amigo
Juan	Juan	NP00000	juan
Joseph	José	NP00000	josé
dar	dar	VMN0000	dar
la	la	DA0FS0	el
escaña	escaña	NCFS000	escaña
y	y	CC	y
Zevada	cebada	NCFS000	cebada
	.	Fp	.
de	De	SPS00	de
esta	ésta	PD0FS000	este
tres	tres	Z	3
fs	fanegas	NCFP000	fanega
y	y	CC	y
de	de	SPS00	de
escaña	escaña	NCFS000	escaña
9	9	Z	9
fs	fanegas	NCFP000	fanega
	,	Fc	,
digo	digo	VMIP1S0	decir
de	de	SPS00	de
Avena	avena	NCFS000	avena
	.	Fp	.
No	No	RN	no
se	se	P00CN000	se
le	le	PP3CSD00	le
olvide	olvide	VMSP0S0	olvidar
a	a	SPS00	a
Vmd	VM	NP00000	VM
el	el	DA0MS0	el
Papel	papel	NCMS000	papel
de	de	SPS00	de
Polvora	pólvora	NCFS000	pólvora
	,	Fc	,
porque	porque	CS	porque
en	en	SPS00	en
huete	Huete	NP00000	huete
no	no	RN	no
la	la	PP3FSA00	lo
ai	hay	VMIP3S0	haber
.	.	Fp	.
No	No	RN	no
fiarse	fiarse	VMN0000+P00CN000	fiar+se
de	de	SPS00	de
nadie	nadie	PI0NN00N	nadie
	,	Fc	,
que	que	CS	que
Manuela	Manuela	NP00000	manuela
Y	y	CC	y
io	yo	PP1CSN00	yo
somos	somos	VSIP1P0	ser
bastantes	bastantes	PI0CP000	bastante
para	para	SPS00	para
sacar	sacar	VMN0000	sacar
a	a	SPS00	a
Vmd	VM	NP00000	VM
airoso	airoso	AQ0MS0	airoso
.	.	Fp	.
La	La	DA0FS0	el
tia	tía	NCFS000	tía
Anica	Anica	NP00000	anica
dize	dice	VMIP3S0	decir
si	si	CSI	si
quiere	quiere	VMIP3S0	querer
Vmd	VM	NP00000	VM
darle	darle	VMN0000+PP3CSD00	dar+le
una	una	DI0FS0	uno
fa	fanega	NCFS000	fanega
de	de	SPS00	de
trigo	trigo	NCMS000	trigo
	.	Fp	.
se	Se	P00CN000	se
lo	lo	PP3CNA00	lo
Ymbie	envié	VMIS1S0	enviar
a	a	SPS00	a
dezir	decir	VMN0000	decir
a	a	SPS00	a
Juan	Juan	NP00000	juan
Jph	José	NP00000	josé
en	en	SPS00	en
mi	mi	DP1CSS	mi
carta	carta	NCFS000	carta
	.	Fp	.
En	En	SPS00	en
qto	cuanto	PA000000	cuanto
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
Vmd	VM	NP00000	VM
dize	dice	VMIP3S0	decir
de	de	SPS00	de
que	que	CS	que
dho	dicho	VMP00SM	decir
Padre	padre	NP00000	padre
Vea	vea	VMSP0S0	ver
si	si	CS	si
yo	yo	PP1CSN00	yo
,	,	Fc	,
Dn	don	NP00000	don
franco	Francisco	NP00000	francisco
sacristan	Sacristán	NP00000	sacristán
Y	y	CC	y
Amigos	amigos	NCMP000	amigo
estan	están	VMIP3P0	estar
Constantes	constantes	NCFP000	constante
pa	para	SPS00	para
que	que	CS	que
el	el	DA0MS0	el
Avogado	abogado	NCMS000	abogado
alegue	alegue	VMSP0S0	alegar
,	,	Fc	,
Digo	digo	VMIP1S0	decir
que	que	CS	que
por	por	SPS00	por
mi	mí	PP1CSO00	mí
Y	y	CC	y
Manuela	Manuela	NP00000	manuela
no	no	RN	no
abra	habrá	VMIF3S0	haber
tropiezo	tropiezo	NCMS000	tropiezo
	,	Fc	,
pero	pero	CC	pero
por	por	SPS00	por
los	los	DA0MP0	el
demas	demás	NCMS000	demás
no	no	RN	no
digo	digo	VMIP1S0	decir
nada	nada	PI0NN00N	nada
	,	Fc	,
pues	pues	CS	pues
la	la	DA0FS0	el
carta	carta	NCFS000	carta
que	que	CS	que
Vmd	VM	NP00000	VM
dize	dice	VMIP3S0	decir
discurro	discurro	VMIP1S0	discurrir
que	que	CS	que
el	el	DA0MS0	el
Amigo	amigo	NP00000	amigo
Garrote	Garrote	NP00000	garrote
no	no	RN	no
ha	ha	VAIP3S0	haber
remitido	remitido	VMP0000	remitir
a	a	SPS00	a
dho	dicho	VMP00SM	decir
Pe	padre	NP00000	padre
Carta	carta	NCFS000	carta
ninguna	ninguna	DI0FS0	ninguno
,	,	Fc	,
y	y	CC	y
quizas	quizás	RG	quizás
ni	ni	CC	ni
aun	aún	RG	aun
este	éste	PD0MS000	este
la	la	PP3FSA00	lo
abra	habrá	VAIF3S0	haber
recivido	recibido	VMP0000	recibir
.	.	Fp	.
yo	Yo	PP1CSN00	yo
he	he	VAIP1S0	haber
Ydo	ido	VMP0000	ir
a	a	SPS00	a
preguntar	preguntar	VMN0000	preguntar
por	por	SPS00	por
el	él	PP3MS000	él
Y	y	CC	y
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
dicho	dicho	VMP0000	decir
Marqta	Mariquita	NP00000	mariquita
no	no	RN	no
Viene	viene	VMIP3S0	venir
hasta	hasta	SPS00	hasta
el	el	DA0MS0	el
Domingo	domingo	NCMS000	domingo
27	27	Z	27
de	de	SPS00	de
este	éste	PD0MS000	este
	.	Fp	.
te	Te	PP2CS000	te
avise	avise	VMSP0S0	avisar
que	que	CS	que
si	si	CS	si
no	no	RN	no
la	la	PP3FSA00	lo
ha	ha	VAIP3S0	haber
recivido	recibido	VMP0000	recibir
Vaia	vaya	VMSP0S0	ir
al	al	SPS00+DA0MS0	a+el
Correo	correo	NCMS000	correo
y	y	CC	y
remita	remita	VMSP0S0	remitir
a	a	SPS00	a
Vmd	VM	NP00000	VM
respta	respuesta	NCFS000	respuesta
y	y	CC	y
al	al	SPS00+DA0MS0	a+el
Pe	padre	NCMS000	padre
la	la	DA0FS0	el
suia	suya	PX3FS000	suyo
,	.	Fp	.
por	Por	SPS00	por
mi	mí	PP1CSO00	mí
Y	y	CC	y
Manuela	Manuela	NP00000	manuela
Vien	bien	RG	bien
puede	puede	VMIP3S0	poder
el	el	DA0MS0	el
Avogado	abogado	NCMS000	abogado
alegar	alegar	VMN0000	alegar
	,	Fc	,
que	que	CS	que
en	en	SPS00	en
qto	cuanto	PA000000	cuanto
podamos	podamos	VMSP1P0	poder
le	le	PP3CSD00	le
serviremos	serviremos	VMIF1P0	servir
y	y	CC	y
aun	aún	RG	aun
mas	más	RC	más
	,	Fc	,
Como	como	CS	como
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
tengo	tengo	VMIP1S0	tener
ofrecido	ofrecido	VMP00SM	ofrecer
en	en	SPS00	en
la	la	DA0FS0	el
que	que	PR0CN000	que
tendra	tendrá	VMIF3S0	tener
Vmd	VM	NP00000	VM
en	en	SPS00	en
el	el	DA0MS0	el
Correo	correo	NCMS000	correo
el	el	DA0MS0	el
Domo	domingo	NCMS000	domingo
	.	Fp	.
A	A	SPS00	a
fr	fray	NP00000	fray
Alonso	Alonso	NP00000	alonso
escrivi	escribí	VMIS1S0	escribir
al	al	SPS00+DA0MS0	a+el
Ynstante	instante	NCMS000	instante
para	para	SPS00	para
que	que	CS	que
a	a	SPS00	a
Vmd	VM	NP00000	VM
remita	remita	VMSP0S0	remitir
el	el	DA0MS0	el
Pedimto	pedimento	NCMS000	pedimento
de	de	SPS00	de
Manuela	Manuela	NP00000	manuela
Y	y	CC	y
Carta	carta	NCFS000	carta
del	del	SPS00+DA0MS0	de+el
Prior	prior	NCMS000	prior
	.	Fp	.
discurro	Discurro	VMIP1S0	discurrir
escrivira	escribirá	VMIF3S0	escribir
a	a	SPS00	a
Vmd	VM	NP00000	VM
al	al	SPS00+DA0MS0	a+el
Ynstante	instante	NCMS000	instante
Y	y	CC	y
lo	lo	PP3CNA00	lo
remitira	remitirá	VMIF3S0	remitir
.	.	Fp	.
Lleva	Lleva	VMIP3S0	llevar
el	el	DA0MS0	el
mozo	mozo	NCMS000	mozo
dos	dos	Z	2
pellejos	pellejos	NCMP000	pellejo
de	de	SPS00	de
Vino	vino	NCMS000	vino
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
havia	había	VAII0S0	haber
salido	salido	VMP0000	salir
de	de	SPS00	de
la	la	DA0FS0	el
tinaxa	tinaja	NCFS000	tinaja
	,	Fc	,
el	el	DA0MS0	el
q	que	PR0CN000	que
se	se	P00CN000	se
echo	echó	VMIS3S0	echar
en	en	SPS00	en
la	la	DA0FS0	el
tinaxilla	tinajilla	NCFS000	tinajilla
donde	donde	PA000000	donde
Vmd	VM	NP00000	VM
echo	echó	VMIS3S0	echar
el	el	DA0MS0	el
Vino	vino	NCMS000	vino
Chelvano	chelvano	NCMS000	chelvano
,	.	Fp	.
no	No	RN	no
hubo	hubo	VMIS3S0	haber
mas	más	RC	más
que	que	CS	que
para	para	SPS00	para
llenarla	llenarla	VMN0000+PP3FSA00	llenar+lo
Y	y	CC	y
un	un	DI0MS0	uno
frasco	frasco	NCMS000	frasco
,	.	Fp	.
lo	Lo	DA0NS0	el
de	de	SPS00	de
dha	dicha	VMP00SF	decir
tinajilla	tinajilla	NCFS000	tinajilla
lleva	lleva	VMIP3S0	llevar
el	el	DA0MS0	el
mozo	mozo	NCMS000	mozo
en	en	SPS00	en
los	los	DA0MP0	el
Pellejos	pellejos	NCMP000	pellejo
sin	sin	SPS00	sin
quedar	quedar	VMN0000	quedar
gota	gota	NCFS000	gota
	,	Fc	,
como	como	CS	como
ha	ha	VAIP3S0	haber
Visto	visto	VMP0000	ver
dho	dicho	VMP00SM	decir
mozo	mozo	NCMS000	mozo
.	.	Fp	.
tambien	También	RG	también
lleva	lleva	VMIP3S0	llevar
la	la	DA0FS0	el
chupa	chupa	NCFS000	chupa
negra	negra	AQ0FS0	negro
que	que	CS	que
Vmd	VM	NP00000	VM
pide	pide	VMIP3S0	pedir
	,	Fc	,
pero	pero	CC	pero
no	no	RN	no
el	el	DA0MS0	el
Agte	aguardiente	NCMS000	aguardiente
	,	Fc	,
pues	pues	CS	pues
de	de	SPS00	de
media	media	AQ0FS0	media
a	arroba	NCFS000	arroba
Y	y	CC	y
menos	menos	RC	menos
que	que	CS	que
se	se	P00CN000	se
saco	sacó	VMIS3S0	sacar
llevaron	llevaron	VMIS3P0	llevar
a	a	SPS00	a
Vmd	VM	NP00000	VM
el	el	DA0MS0	el
frasco	frasco	NCMS000	frasco
demas	demás	NCMS000	demás
de	de	SPS00	de
qlla	quincalla	NCFS000	quincalla
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
Cortijo	Cortijo	NP00000	cortijo
una	una	DI0FS0	uno
redoma	redoma	NCFS000	redoma
	,	Fc	,
la	la	DA0FS0	el
de	de	SPS00	de
Cuello	cuello	NP00000	cuello
torcido	torcido	NCMS000	torcido
	,	Fc	,
que	que	CS	que
dize	dice	VMIP3S0	decir
Manuela	Manuela	NP00000	manuela
cavia	cabía	VMII0S0	caber
mas	más	RC	más
de	de	SPS00	de
Azumbre	azumbre	NCFS000	azumbre
y	y	CC	y
media	media	NCFS000	media
,	.	Fp	.
finalmte	Finalmente	RG	finalmente
	,	Fc	,
	¿	Fia	¿
que	qué	DT0CN0	qué
agte	aguardiente	NCMS000	aguardiente
quiere	quiere	VMIP3S0	querer
Vmd	VM	NP00000	VM
que	que	CS	que
saliera	saliera	VMSI0S0	salir
de	de	SPS00	de
un	un	DI0MS0	uno
Casco	casco	NCMS000	casco
lleno	lleno	AQ0MS0	lleno
a	a	SPS00	a
Agua	agua	NCCS000	agua
.	?	Fit	?
Pongo	Pongo	VMIP1S0	poner
en	en	SPS00	en
noticia	noticia	NCFS000	noticia
de	de	SPS00	de
Vmd	VM	NP00000	VM
co-mo	como	CS	como
a	a	SPS00	a
Manuela	Manuela	NP00000	manuela
le	le	PP3CSD00	le
ha	ha	VAIP3S0	haber
salido	salido	VMP0000	salir
Combeniencia	conveniencia	NCFS000	conveniencia
para	para	SPS00	para
Casarse	casarse	VMN0000+P00CN000	casar+se
,	,	Fc	,
sahabedor	sabedor	NCMS000	sabedor
el	el	DA0MS0	el
tal	tal	RC	tal
de	de	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
acaecido	acaecido	VMP0000	acaecer
	,	Fc	,
pero	pero	CC	pero
dize	dice	VMIP3S0	decir
no	no	RN	no
se	se	P00CN000	se
detendra	detendrá	VMIF3S0	detener
en	en	SPS00	en
nada	nada	PI0NN00N	nada
Como	como	CS	como
Vmd	VM	NP00000	VM
se	se	P00CN000	se
porte	porte	VMSP0S0	portar
ofreciendole	ofreciéndole	VMG0000+PP3CSD00	ofrecer+le
alguna	alguna	DI0FS0	alguno
Cosa	cosa	NCFS000	cosa
para	para	SPS00	para
Comprar	comprar	VMN0000	comprar
una	una	DI0FS0	uno
Cavalleria	caballería	NCFS000	caballería
de	de	SPS00	de
Maior	mayor	NCMS000	mayor
y	y	CC	y
abiarse	aviarse	VMN0000+P00CN000	aviar+se
	.	Fp	.
Conque	Conque	CS	conque
	,	Fc	,
si	si	CS	si
Vmd	VM	NP00000	VM
esta	está	VMIP3S0	estar
en	en	SPS00	en
ampararla	ampararla	VMN0000+PP3FSA00	amparar+lo
	,	Fc	,
esta	ésta	PD0FS000	este
es	es	VSIP3S0	ser
la	la	DA0FS0	el
ocasion	ocasión	NCFS000	ocasión
,	.	Fp	.
no	No	RN	no
lo	lo	PP3CNA00	lo
quiere	quiere	VMIP3S0	querer
de	de	SPS00	de
preste	presente	NCMS000	presente
	,	Fc	,
si	si	CS	si
que	que	CS	que
Vmd	VM	NP00000	VM
le	le	PP3CSD00	le
remita	remita	VMSP0S0	remitir
papel	papel	NCMS000	papel
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
le	le	PP3CSD00	le
ha	ha	VMIP3S0	haber
de	de	SPS00	de
dar	dar	VMN0000	dar
pa	para	SPS00	para
el	el	DA0MS0	el
Agto	agosto	NCMS000	agosto
o	o	CC	o
mes	mes	NCMS000	mes
de	de	SPS00	de
Sepre	septiembre	NCMS000	septiembre
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
qdo	cuando	PA000000	cuando
efectuaran	efectuarán	VMIF3P0	efectuar
su	su	DP3CS0	su
Casamto	casamiento	NCMS000	casamiento
	.	Fp	.
Vmd	VM	NP00000	VM
no	no	RN	no
puede	puede	VMIP3S0	poder
escusarse	excusarse	VMN0000+P00CN000	excusar+se
	,	Fc	,
pues	pues	CS	pues
conoce	conoce	VMIP3S0	conocer
es	es	VSIP3S0	ser
razon	razón	NCFS000	razón
y	y	CC	y
le	le	PP3CSD00	le
tiene	tiene	VMIP3S0	tener
qta	cuenta	NCFS000	cuenta
el	el	DA0MS0	el
Contentarla	contentarla	VMN0000+PP3FSA00	contentar+lo
aora	ahora	RG	ahora
Y	y	CC	y
asi	así	RG	así
eca	etc	NCMS000	etcétera
	.	Fp	.
Escriviendo	Escribiendo	VMG0000	escribir
esta	ésta	PD0FS000	este
llego	llegó	VMIS3S0	llegar
Juan	Juan	NP00000	juan
Jph	José	NP00000	josé
desde	desde	SPS00	desde
esa	esa	DD0FS0	ese
Ciud	ciudad	NCFS000	ciudad
	.	Fp	.
Ymbia	Envía	VMIP3S0	enviar
al	al	SPS00+DA0MS0	a+el
Ynstante	instante	NCMS000	instante
a	a	SPS00	a
la	la	DA0FS0	el
tia	tía	NCFS000	tía
Anica	Anica	NP00000	anica
para	para	SPS00	para
que	que	CS	que
le	le	PP3CSD00	le
dijera	dijera	VMSI0S0	decir
Como	como	CS	como
Ymbiava	enviaba	VMII0S0	enviar
a	a	SPS00	a
decirle	decirle	VMN0000+PP3CSD00	decir+le
Vmd	VM	NP00000	VM
entregara	entregara	VMSI0S0	entregar
al	al	SPS00+DA0MS0	a+el
mozo	mozo	NCMS000	mozo
de	de	SPS00	de
Cortijo	Cortijo	NP00000	cortijo
las	las	DA0FP0	el
ocho	ocho	Z	8
ô	o	CC	o
nuebe	nueve	Z	9
fs	fanegas	NCFP000	fanega
de	de	SPS00	de
escaña	escaña	NCFS000	escaña
Y	y	CC	y
tres	tres	Z	3
fanegas	fanegas	NCFP000	fanega
de	de	SPS00	de
Zevada	cebada	NCFS000	cebada
,	.	Fp	.
y	Y	CC	y
le	le	PP3CSD00	le
respondio	respondió	VMIS3S0	responder
que	que	CS	que
el	el	DA0MS0	el
sr	señor	NP00000	señor
Provor	provisor	NCMS000	provisor
le	le	PP3CSD00	le
havia	había	VAII0S0	haber
dicho	dicho	VMP0000	decir
que	que	CS	que
no	no	RN	no
entregase	entregase	VMSI0S0	entregar
a	a	SPS00	a
nadie	nadie	PI0NN00N	nadie
Cosa	cosa	NCFS000	cosa
alguna	alguna	DI0FS0	alguno
	.	Fp	.
Y	Y	CC	y
despues	después	RG	después
encontro	encontró	VMIS3S0	encontrar
en	en	SPS00	en
la	la	DA0FS0	el
Plaza	plaza	NCFS000	plaza
a	a	SPS00	a
Dn	don	NP00000	don
Joseph	José	NP00000	josé
	,	Fc	,
su	su	DP3CS0	su
hermo	hermano	NCMS000	hermano
de	de	SPS00	de
Vmd	VM	NP00000	VM
	,	Fc	,
Y	y	CC	y
que	que	CS	que
le	le	PP3CSD00	le
dijo	dijo	VMIS3S0	decir
a	a	SPS00	a
presencia	presencia	NCFS000	presencia
de	de	SPS00	de
Joseph	José	NP00000	josé
Roxo	Rojo	NP00000	rojo
que	que	CS	que
Cuidase	cuidase	VMSI0S0	cuidar
de	de	SPS00	de
la	la	DA0FS0	el
Casa	casa	NCFS000	casa
y	y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
havia	había	VMII0S0	haber
en	en	SPS00	en
ella	ella	PP3FS000	él
	,	Fc	,
que	que	CS	que
presto	presto	RG	presto
Vendria	vendría	VMIC0S0	venir
por	por	SPS00	por
aca	acá	RG	acá
y	y	CC	y
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
llevaria	llevaría	VMIC0S0	llevar
todo	todo	DI0MS0	todo
	,	Fc	,
porque	porque	CS	porque
quanto	cuanto	PA000000	cuanto
ai	hay	VMIP3S0	haber
en	en	SPS00	en
dha	dicha	VMP00SF	decir
Casa	casa	NCFS000	casa
es	es	VSIP3S0	ser
suio	suyo	DP3CS0	suyo
propio	propio	NCMS000	propio
	.	Fp	.
que	Que	CS	que
no	no	RN	no
le	le	PP3CSD00	le
diese	diese	VMSI0S0	dar
a	a	SPS00	a
nadie	nadie	PI0NN00N	nadie
ni	ni	CC	ni
dejase	dejase	VMSI0S0	dejar
sacar	sacar	VMN0000	sacar
Cosa	cosa	NCFS000	cosa
alguna	alguna	DI0FS0	alguno
	.	Fp	.
Conque	Conque	CS	conque
	,	Fc	,
Amigo	amigo	NP00000	amigo
	,	Fc	,
se	se	P00CN000	se
conoce	conoce	VMIP3S0	conocer
ai	hay	VMIP3S0	haber
quien	quien	PR0CS000	quien
manda	manda	VMIP3S0	mandar
mas	más	RC	más
que	que	CS	que
Vmd	VM	NP00000	VM
	.	Fp	.
Y	Y	CC	y
asi	así	RG	así
tenerle	tenerle	VMN0000+PP3CSA00	tener+le
firme	firme	AQ0CS0	firme
	,	Fc	,
que	que	CS	que
de	de	SPS00	de
hazer	hacer	VMN0000	hacer
Vmd	VM	NP00000	VM
lo	lo	DA0NS0	el
que	que	PR0CN000	que
quieren	quieren	VMIP3P0	querer
sus	sus	DP3CP0	su
hermanos	hermanos	NCMP000	hermano
es	es	VSIP3S0	ser
Cortarse	cortarse	VMN0000+P00CN000	cortar+se
la	la	DA0FS0	el
Caveza	cabeza	NCFS000	cabeza
,	.	Fp	.
y	Y	CC	y
lo	lo	PP3CNA00	lo
ha	ha	VMIP3S0	haber
de	de	SPS00	de
tratar	tratar	VMN0000	tratar
no	no	RN	no
Como	como	CS	como
a	a	SPS00	a
hermano	hermano	NCMS000	hermano
,	,	Fc	,
sino	sino	CC	sino
Como	como	CS	como
a	a	SPS00	a
negro	negro	AQ0MS0	negro
,	,	Fc	,
Criado	criado	NCMS000	criado
o	o	CC	o
peor	peor	RC	peor
	,	Fc	,
porque	porque	CS	porque
no	no	RN	no
ai	hay	VMIP3S0	haber
maior	mayor	AQ0CS0	mayor
tormto	tormento	NCMS000	tormento
para	para	SPS00	para
quien	quien	PR0CS000	quien
esta	está	VMIP3S0	estar
echo	hecho	VMP00SM	hacer
a	a	SPS00	a
quietud	quietud	NCFS000	quietud
y	y	CC	y
a	a	SPS00	a
estar	estar	VMN0000	estar
separado	separado	VMP00SM	separar
de	de	SPS00	de
los	los	DA0MP0	el
suios	suyos	PX3MP000	suyo
que	que	CS	que
meterse	meterse	VMN0000+P00CN000	meter+se
entre	entre	SPS00	entre
ellos	ellos	PP3MP000	ellos
	.	Fp	.
Y	Y	CC	y
asi	así	RG	así
aguantar	aguantar	VMN0000	aguantar
qto	cuanto	PA000000	cuanto
se	se	P00CN000	se
pueda	pueda	VMSP0S0	poder
ese	ese	DD0MS0	ese
travajo	trabajo	NCMS000	trabajo
	,	Fc	,
que	que	CS	que
tendra	tendrá	VMIF3S0	tener
breve	breve	RG	breve
el	el	DA0MS0	el
fin	fin	NCMS000	fin
	,	Fc	,
Y	y	CC	y
no	no	RN	no
sujetarse	sujetarse	VMN0000+P00CN000	sujetar+se
a	a	SPS00	a
un	un	DI0MS0	uno
trabajo	trabajo	NCMS000	trabajo
que	que	CS	que
seria	sería	VSIC0S0	ser
hasta	hasta	SPS00	hasta
morir	morir	VMN0000	morir
	,	Fc	,
porque	porque	CS	porque
Yo	yo	PP1CSN00	yo
Contemplo	contemplo	VMIP1S0	contemplar
no	no	RN	no
puede	puede	VMIP3S0	poder
haber	haber	VMN0000	haber
maior	mayor	AQ0CS0	mayor
muerte	muerte	NCFS000	muerte
que	que	CS	que
Vivir	vivir	VMN0000	vivir
muriendo	muriendo	VMG0000	morir
(	(	Fba	(
que	que	CS	que
asi	así	RG	así
se	se	P00CN000	se
deve	debe	VMIP3S0	deber
llamar	llamar	VMN0000	llamar
)	)	Fbt	)
entre	entre	SPS00	entre
los	los	DA0MP0	el
Parientes	parientes	NCMP000	pariente
.	.	Fp	.
No	No	RN	no
llevan	llevan	VMIP3P0	llevar
las	las	DA0FP0	el
llaves	llaves	NCFP000	llave
hasta	hasta	SPS00	hasta
que	que	CS	que
Vmd	VM	NP00000	VM
determine	determine	VMSP0S0	determinar
el	el	DA0MS0	el
modo	modo	NCMS000	modo
de	de	SPS00	de
mudarse	mudarse	VMN0000+P00CN000	mudar+se
Manuela	Manuela	NP00000	manuela
a	a	SPS00	a
mi	mi	DP1CSS	mi
Casa	casa	NCFS000	casa
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
se	se	P00CN000	se
atreve	atreve	VMIP3S0	atrever
a	a	SPS00	a
mudar	mudar	VMN0000	mudar
