Acampamto	Acampamento	NCMS000	acampamento
casa	casa	NCFS000	casa
de	de	SPS00	de
sus	sus	DP3CP0	su
padres	padres	NCMP000	padre
y	y	CC	y
qe	que	CS	que
se	se	PP3CN000	se
la	la	DA0FS0	el
deposite	deposite	NCFS000	deposite
en	en	SPS00	en
una	una	DI0FS0	uno
casa	casa	NCFS000	casa
abonada	abonada	VMP00SF	abonar
	,	Fc	,
manteniendose	manteniéndose	VMG0000+P00CN000	mantener+se
con	con	SPS00	con
mis	mis	DP1CPS	mi
bienes	bienes	NCMP000	bien
pero	pero	CC	pero
reconociendo	reconociendo	VMG0000	reconocer
Ud	usted	PP2CS000	usted
y	y	CC	y
mi	mi	DP1CSS	mi
ermo	hermano	NCMS000	hermano
	,	Fc	,
si	si	CS	si
procede	procede	VMIP3S0	proceder
o	o	CC	o
si	si	CS	si
sigue	sigue	VMIP3S0	seguir
con	con	SPS00	con
su	su	DP3CS0	su
ydea	idea	NCFS000	idea
mala	mala	AQ0FS0	malo
	,	Fc	,
se	se	PP3CN000	se
la	la	PP3FSA00	lo
aparte	aparte	RG	aparte
todo	todo	DI0MS0	todo
mi	mi	DP1CSS	mi
haver	haber	NCMS000	haber
y	y	CC	y
que	que	CS	que
no	no	RN	no
tenga	tenga	VMSP0S0	tener
el	el	DA0MS0	el
nombre	nombre	NCMS000	nombre
de	de	SPS00	de
mujer	mujer	NCFS000	mujer
mia	mía	DP1FSS	mío
	,	Fc	,
qe	que	CS	que
desde	desde	SPS00	desde
luego	luego	RG	luego
pierda	pierda	VMSP0S0	perder
todo	todo	DI0MS0	todo
dho	derecho	NCMS000	derecho
	.	Fp	.
ha	Ha	VAIP3S0	haber
tenido	tenido	VMP0000	tener
la	la	DA0FS0	el
fortuna	fortuna	NCFS000	fortuna
de	de	SPS00	de
allarme	hallarme	VMN0000+PP1CS000	hallar+me
en	en	SPS00	en
campaña	campaña	NCFS000	campaña
	,	Fc	,
q	que	CS	que
si	si	CS	si
no	no	RN	no
	,	Fc	,
no	no	RN	no
buscaria	buscaría	VMIC0S0	buscar
justicia	justicia	NCFS000	justicia
	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
la	la	PP3FSA00	lo
tomaria	tomaría	VMIC0S0	tomar
por	por	SPS00	por
mi	mi	DP1CSS	mi
mano	mano	NCFS000	mano
abriendole	abriéndole	VMG0000+PP3CSD00	abrir+le
el	el	DA0MS0	el
corazon	corazón	NCMS000	corazón
	.	Fp	.
no	No	RN	no
se	sé	VMIP1S0	saber
como	cómo	PA000000	cómo
a	ha	VAIP3S0	haber
tenido	tenido	VMP0000	tener
tal	tal	RC	tal
aliento	aliento	NCMS000	aliento
sabiendo	sabiendo	VMG0000	saber
q	que	CS	que
soy	soy	VSIP1S0	ser
vivo	vivo	AQ0MS0	vivo
	.	Fp	.
y	Y	CC	y
	,	Fc	,
asi	así	RG	así
	,	Fc	,
haciendo	haciendo	VMG0000	hacer
Vm	VM	NP00000	VM
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
dho	dicho	VMP00SM	decir
	,	Fc	,
q	que	CS	que
espero	espero	VMIP1S0	esperar
no	no	RN	no
dejara	dejará	VMIF3S0	dejar
de	de	SPS00	de
hacerlo	hacerlo	VMN0000+PP3CNA00	hacer+lo
	,	Fc	,
me	me	PP1CS000	me
puede	puede	VMIP3S0	poder
Vm	VM	NP00000	VM
contestar	contestar	VMN0000	contestar
dando	dando	VMG0000	dar
a	a	SPS00	a
saber	saber	VMN0000	saber
a	a	SPS00	a
mi	mi	DP1CSS	mi
ermo	hermano	NP00000	hermano
esta	ésta	PD0FS000	este
para	para	SPS00	para
q	que	CS	que
sepa	sepa	VMSP0S0	saber
que	que	CS	que
recivi	recibí	VMIS1S0	recibir
la	la	DA0FS0	el
suya	suya	PX3FS000	suyo
	.	Fp	.
y	Y	CC	y
me	me	PP1CS000	me
pondra	pondrá	VMIF3S0	poner
Ud	usted	PP2CS000	usted
el	el	DA0MS0	el
sobreescrito	sobrescrito	NCMS000	sobrescrito
	:	Fd	:
a	a	SPS00	a
Juan	Juan	NP00000	juan
Porrero	Porrero	NP00000	porrero
	,	Fc	,
cavo	cabo	NCMS000	cabo
de	de	SPS00	de
la	la	DA0FS0	el
segunda	segunda	AO0FS0	segundo
Compa	compañía	NCFS000	compañía
de	de	SPS00	de
Granadero	granadero	NCMS000	granadero
del	del	SPS00+DA0MS0	de+el
Regimto	regimiento	NCMS000	regimiento
de	de	SPS00	de
Mallorca	Mallorca	NP00000	mallorca
	,	Fc	,
en	en	SPS00	en
el	el	DA0MS0	el
campo	campo	NCMS000	campo
de	de	SPS00	de
Villarnadal	Vilarnadal	NP00000	vilanadal
	,	Fc	,
por	por	SPS00	por
figueras	Figueras	NP00000	figueras
;	.	Fp	.
a	A	SPS00	a
mi	mí	PP1CSO00	mí
me	me	PP1CS000	me
faltan	faltan	VMIP3P0	faltar
30	30	Z	30
meses	meses	NCMP000	mes
para	para	SPS00	para
cumplir	cumplir	VMN0000	cumplir
	.	Fp	.
no	No	RN	no
estoy	estoy	VMIP1S0	estar
mas	más	RC	más
qe	que	CS	que
por	por	SPS00	por
los	los	DA0MP0	el
8	8	Z	8
años	años	NCMP000	año
que	que	PR0CN000	que
sente	senté	VMIS1S0	sentar
plaza	plaza	NCFS000	plaza
.	.	Fp	.
Primo	Primo	NCMS000	primo
	,	Fc	,
hagalo	hágalo	NCMS000	hágalo
Ud	usted	PP2CS000	usted
	.	Fp	.
vasta	Basta	VMIP3S0	bastar
que	que	CS	que
seamos	seamos	VSSP1P0	ser
de	de	SPS00	de
una	una	DI0FS0	uno
sangre	sangre	NCFS000	sangre
y	y	CC	y
que	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
pierda	pierda	VMSP0S0	perder
	,	Fc	,
porq	porque	CS	porque
me	me	PP1CS000	me
expone	expone	VMIP3S0	exponer
Ud	usted	PP2CS000	usted
de	de	SPS00	de
lo	lo	DA0NS0	el
contrario	contrario	NCMS000	contrario
a	a	SPS00	a
que	que	CS	que
me	me	PP1CS000	me
desierte	deserte	VMSP0S0	desertar
;	.	Fp	.
es	Es	VSIP3S0	ser
quanto	cuanto	PA000000	cuanto
ocurre	ocurre	VMIP3S0	ocurrir
	.	Fp	.
reciba	Reciba	VMSP0S0	recibir
Ud	usted	PP2CS000	usted
mis	mis	DP1CPS	mi
finas	finas	AQ0FP0	fino
expres	expresiones	NCFP000	expresión
y	y	CC	y
toda	toda	DI0FS0	todo
su	su	DP3CS0	su
casa	casa	NCFS000	casa
	,	Fc	,
y	y	CC	y
deselas	déselas	VMSP0S0+PP3CN000+PP3FPA00	dar+se+lo
a	a	SPS00	a
la	la	DA0FS0	el
mia	mía	PX1FS0S0	mío
	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
M	mano	NCFS000	mano
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
Juan	Juan	NP00000	juan
Porrero	Porrero	NP00000	porrero
mi	Mi	DP1CSS	mi
Sor	Señor	NP00000	señor
dn	don	NP00000	don
Manuel	Manuel	NP00000	manuel
de	de	SPS00	de
Porguera	Porguera	NP00000	porguera
	.	Fp	.
