Amo	Amigo	NP00000	amigo
los	los	DA0MP0	el
de	de	SPS00	de
la	la	DA0FS0	el
Lista	lista	NCFS000	lista
y	y	CC	y
que	que	CS	que
se	se	P00CN000	se
piden	piden	VMIP3P0	pedir
por	por	SPS00	por
averen	haberen	NCMS000	haberen
servido	servido	VMP00SM	servir
,	.	Fp	.
y	Y	CC	y
si	si	CS	si
el	el	DA0MS0	el
arraval	arrabal	NCMS000	arrabal
ha	ha	VMIP3S0	haber
de	de	SPS00	de
rresponder	responder	VMN0000	responder
por	por	SPS00	por
los	los	DA0MP0	el
mas	más	RC	más
q	que	CS	que
faltan	faltan	VMIP3P0	faltar
y	y	CC	y
se	se	P00CN000	se
hallan	hallan	VMIP3P0	hallar
austes	ausentes	AQ0CP0	ausente
al	al	SPS00+DA0MS0	a+el
cumplimto	cumplimiento	NCMS000	cumplimiento
de	de	SPS00	de
35	35	Z	35
	,	Fc	,
q	que	CS	que
son	son	VSIP3P0	ser
los	los	DA0MP0	el
q	que	PR0CN000	que
contie	contiene	VMIP3S0	contener
la	la	DA0FS0	el
Lista	lista	NCFS000	lista
como	como	CS	como
el	el	DA0MS0	el
sr	señor	NP00000	señor
Dn	don	NP00000	don
Bernarnardino	Bernardino	NP00000	bernardino
lo	lo	PP3CNA00	lo
dize	dice	VMIP3S0	decir
	,	Fc	,
bien	bien	RG	bien
podran	podrán	VMIF3P0	poder
ir	ir	VMN0000	ir
los	los	DA0MP0	el
vajos	bajos	AQ0MP0	bajo
q	que	CS	que
quedan	quedan	VMIP3P0	quedar
sre	sobre	SPS00	sobre
lo	lo	DA0NS0	el
ql	cual	PR0CS000	cual
y	y	CC	y
q	que	CS	que
se	se	P00CN000	se
logre	logre	VMSP0S0	lograr
alga	alguna	DI0FS0	alguno
cossa	cosa	NCFS000	cosa
favorable	favorable	AQ0CS0	favorable
	.	Fp	.
es	Es	VSIP3S0	ser
que	que	CS	que
Vm	VM	NP00000	VM
travaje	trabaje	VMSI0S0	trabajar
en	en	SPS00	en
ello	ello	PD0NN000	ello
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
Ds	Dios	NP00000	dios
que	que	CS	que
Ge	guarde	VMSP0S0	guardar
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
arraval	Arrabal	NP00000	arrabal
de	de	SPS00	de
PteVa	Pontevedra	NP00000	pontevedra
	,	Fc	,
Junio	junio	NCMS000	junio
16	16	Z	16
de	de	SPS00	de
1731	1731	Z	1731
	.	Fp	.
B	Besa	VMIP3S0	besar
s	su	DP3CS0	su
m	mano	NCFS000	mano
	,	Fc	,
migel	Miguel	NP00000	miguel
de	de	SPS00	de
soto	Soto	NP00000	soto
sr	Señor	NP00000	señor
Joseph	José	NP00000	josé
de	de	SPS00	de
la	la	DA0FS0	el
Guardia	Guardia	NP00000	guardia
	.	Fp	.
