Ôpiniones	Opiniones	NCFP000	opinión
de	de	SPS00	de
intencion	intención	NCFS000	intención
.	.	Fp	.
Assi	Así	RG	así
como	como	CS	como
ni	ni	CC	ni
estan	están	VMIP3P0	estar
obliga-dos	obligados	VMP00PM	obligar
los	los	DA0MP0	el
varones	varones	NCMP000	varón
espirituales	espirituales	AQ0CP0	espiritual
â	a	SPS00	a
abstenerse	abstenerse	VMN0000+P00CN000	abstener+se
de	de	SPS00	de
espirituales	espirituales	AQ0CP0	espiritual
coloquios	coloquios	NCMP000	coloquio
con	con	SPS00	con
mugeres	mujeres	NCFP000	mujer
honestas	honestas	AQ0FP0	honesto
aunq	aunque	CS	aunque
padezcan	padezcan	VMSP3P0	padecer
ô	o	CC	o
sientan	sientan	VMIP3P0	sentar
algunas	algunas	DI0FP0	alguno
cos-quillas	cosquillas	NCFP000	cosquilla
involuntarias	involuntarias	AQ0FP0	involuntario
.	.	Fp	.
El	El	DA0MS0	el
q	que	PR0CN000	que
toca	toca	VMIP3S0	tocar
ô	o	CC	o
besa	besa	VMIP3S0	besar
por	por	SPS00	por
honesta	honesta	AQ0FS0	honesta
amicicia	amicicia	NCFS000	amicicia
ô	o	CC	o
por	por	SPS00	por
costumbre	costumbre	NCFS000	costumbre
de	de	SPS00	de
la	la	DA0FS0	el
patria	patria	NCFS000	patria
â	a	SPS00	a
muger	mujer	NCFS000	mujer
ô	o	CC	o
joven	joven	AQ0CS0	joven
si	si	CS	si
sensiblemte	sensiblemente	RG	sensiblemente
se	se	P00CN000	se
deleite	deleite	VMIP3S0	deleiter
sin	sin	SPS00	sin
intentar	intentar	VMN0000	intentar
de	de	SPS00	de
primario	primario	NCMS000	primario
âquella	aquella	DD0FS0	aquel
delectacion	delectación	NCFS000	delectación
	,	Fc	,
entonces	entonces	RG	entonces
la	la	DA0FS0	el
tal	tal	RC	tal
delectacion	delectación	NCFS000	delectación
no	no	RN	no
es	es	VSIP3S0	ser
venerea	venérea	AQ0FS0	venéreo
y	y	CC	y
assi	así	RG	así
de	de	SPS00	de
ningun	ningún	DI0MS0	ninguno
modo	modo	NCMS000	modo
peca	peca	VMIP3S0	pecar
	;	Fx	;
y	y	CC	y
a	a	SPS00	a
lo	lo	DA0NS0	el
mas	más	RC	más
	,	Fc	,
venialmte	venialmente	RG	venialmente
	.	Fp	.
Y	Y	CC	y
la	la	DA0FS0	el
razon	razón	NCFS000	razón
de	de	SPS00	de
todo	todo	DI0MS0	todo
esto	esto	PD0NN000	esto
es	es	VSIP3S0	ser
porque	porque	CS	porque
los	los	DA0MP0	el
osculos	ósculos	NCMP000	ósculo
no	no	RN	no
son	son	VSIP3P0	ser
ma-los	malos	AQ0MP0	malo
por	por	SPS00	por
genero	género	NCMS000	género
de	de	SPS00	de
osculos	ósculos	NCMP000	ósculo
y	y	CC	y
en	en	SPS00	en
razon	razón	NCFS000	razón
de	de	SPS00	de
tales	tales	DD0CP0	tal
	;	Fx	;
porque	porque	CS	porque
	,	Fc	,
si	si	CS	si
lo	lo	PP3CNA00	lo
fueran	fueran	VSSI3P0	ser
	,	Fc	,
tambien	también	RG	también
serian	serían	VSIC3P0	ser
los	los	DA0MP0	el
q	que	PR0CN000	que
suele	suele	VMIP3S0	soler
haber	haber	VMN0000	haber
entre	entre	SPS00	entre
padres	padres	NCMP000	padre
y	e	CC	y
hijos	hijos	NCMP000	hijo
ô	o	CC	o
por	por	SPS00	por
costumbre	costumbre	NCFS000	costumbre
de	de	SPS00	de
la	la	DA0FS0	el
patria	patria	NCFS000	patria
	,	Fc	,
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
es	es	VSIP3S0	ser
falso	falso	AQ0MS0	falso
	;	Fx	;
porq	porque	CS	porque
el	el	DA0MS0	el
fin	fin	NCMS000	fin
es	es	VSIP3S0	ser
mui	muy	RQ	muy
honesto	honesto	AQ0MS0	honesto
como	como	CS	como
es	es	VSIP3S0	ser
el	el	DA0MS0	el
sincero	sincero	AQ0MS0	sincero
amor	amor	NCMS000	amor
y	y	CC	y
urbanidad	urbanidad	NCFS000	urbanidad
	,	Fc	,
que	que	CS	que
son	son	VSIP3P0	ser
virtudes	virtudes	NCFP000	virtud
morales	morales	AQ0CP0	moral
;	.	Fp	.
y	Y	CC	y
semejantes	semejantes	AQ0CP0	semejante
osculos	ósculos	NCMP000	ósculo
que	que	PR0CN000	que
se	se	P00CN000	se
dan	dan	VMIP3P0	dar
por	por	SPS00	por
razon	razón	NCFS000	razón
de	de	SPS00	de
sincero	sincero	AQ0MS0	sincero
afecto	afecto	NCMS000	afecto
y	y	CC	y
amicicia	amicicia	NCFS000	amicicia
no	no	RN	no
son	son	VSIP3P0	ser
culpa	culpa	NCFS000	culpa
	,	Fc	,
porque	porque	CS	porque
la	la	DA0FS0	el
amicicia	amicicia	NCFS000	amicicia
	(	Fba	(
segun	según	SPS00	según
Aristoteles	Aristóteles	NP00000	aristóteles
en	en	SPS00	en
el	el	DA0MS0	el
lib	libro	NCMS000	libro
8	8	Z	8
de	de	SPS00	de
los	los	DA0MP0	el
Ethic	Éticos	NCMP000	ético
	)	Fbt	)
es	es	VSIP3S0	ser
una	una	DI0FS0	uno
mutua	mutua	NCFS000	mutuo
y	y	CC	y
manifiesta	manifiesta	VMIP3S0	manifestar
benevo-lencia	benevolencia	NCFS000	benevolencia
entre	entre	SPS00	entre
algunos	algunos	PI0MS000	alguno
por	por	SPS00	por
causa	causa	NCFS000	causa
de	de	SPS00	de
honestidad	honestidad	NCFS000	honestidad
y	y	CC	y
	,	Fc	,
por	por	SPS00	por
tanto	tanto	RG	tanto
	,	Fc	,
son	son	VSIP3P0	ser
licitos	lícitos	NCMP000	lícito
.	.	Fp	.
Entonces	Entonces	RG	entonces
los	los	DA0MP0	el
osculos	ósculos	NCMP000	ósculo
son	son	VSIP3P0	ser
pecado	pecado	NCMS000	pecado
mortal	mortal	AQ0CS0	mortal
quando	cuando	PA000000	cuando
se	se	P00CN000	se
orde-nan	ordenan	VMIP3P0	ordenar
a	a	SPS00	a
acto	acto	NCMS000	acto
carnal	carnal	AQ0CS0	carnal
ô	o	CC	o
libidinoso	libidinoso	AQ0MS0	libidinoso
	(	Fba	(
y	y	CC	y
para	para	SPS00	para
esta	ésta	PD0FS000	este
basta	basta	VMIP3S0	bastar
q	que	CS	que
aya	haya	VMSP0S0	haber
delectacion	delectación	NCFS000	delectación
sensible	sensible	AQ0CS0	sensible
venerea	venérea	AQ0FS0	venéreo
aunq	aunque	CS	aunque
no	no	RN	no
se	se	P00CN000	se
pretenda	pretenda	VMSP0S0	pretender
ôtra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
	)	Fbt	)
	,	Fc	,
pero	pero	CC	pero
no	no	RN	no
quando	cuando	PA000000	cuando
son	son	VSIP3P0	ser
dados	dados	VMP00PM	dar
por	por	SPS00	por
via	vía	NCFS000	vía
de	de	SPS00	de
amis-tad	amistad	NCFS000	amistad
honesta	honesta	AQ0FS0	honesta
aunq	aunque	CS	aunque
resulten	resulten	VMSP3P0	resultar
algunos	algunos	PI0MP000	alguno
actos	actos	NCMP000	acto
inordinados	inordinados	NCMP000	inordinado
de	de	SPS00	de
la	la	DA0FS0	el
sensualidad	sensualidad	NCFS000	sensualidad
sin	sin	SPS00	sin
que	que	CS	que
se	se	P00CN000	se
quiera	quiera	VMSP0S0	querer
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
.	.	Fp	.
Y	Y	CC	y
assi	así	RG	así
se	se	P00CN000	se
han	han	VMIP3P0	haber
de	de	SPS00	de
entender	entender	VMN0000	entender
quantos	cuantos	DT0MP0	cuanto
doctores	doctores	NCMP000	doctor
hablan	hablan	VMIP3P0	hablar
de	de	SPS00	de
esta	esta	DD0FS0	este
ma-teria	materia	NCFS000	materia
.	.	Fp	.
Si	Si	CS	si
los	los	DA0MP0	el
dichos	dichos	VMP00PM	decir
abrazos	abrazos	NCMP000	abrazo
y	y	CC	y
osculos	ósculos	NCMP000	ósculo
no	no	RN	no
fueren	fueren	VSSF3P0	ser
del	del	SPS00+DA0MS0	de+el
todo	todo	PI0MS000	todo
torpes	torpes	AQ0CP0	torpe
porq	porque	CS	porque
se	se	P00CN000	se
dàn	dan	VMIP3P0	dar
solo	sólo	RG	sólo
de	de	SPS00	de
burlas	burlas	NP00000	burlas
ô	o	CC	o
por	por	SPS00	por
vanidad	vanidad	NCFS000	vanidad
ô	o	CC	o
por	por	SPS00	por
ôtras	otras	DI0FP0	otro
cosas	cosas	NCFP000	cosa
semejantes	semejantes	AQ0CP0	semejante
sin	sin	SPS00	sin
delectacion	delectación	NCFS000	delectación
venerea	venérea	AQ0FS0	venéreo
	,	Fc	,
aunq	aunque	CS	aunque
de	de	SPS00	de
ello	ello	PD0NN000	ello
resulte	resulte	VMSP0S0	resultar
alguna	alguna	DI0FS0	alguno
	,	Fc	,
reprimiendola	reprimiéndola	VMG0000+PP3FSA00	reprimir+lo
no	no	RN	no
sera	será	VSIF3S0	ser
mas	más	RC	más
que	que	CS	que
peccado	pecado	NCMS000	pecado
venial	venial	AQ0CS0	venial
	,	Fc	,
porq	porque	CS	porque
en	en	SPS00	en
este	este	DD0MS0	este
caso	caso	NCMS000	caso
la	la	DA0FS0	el
poquedad	poquedad	NCFS000	poquedad
de	de	SPS00	de
la	la	DA0FS0	el
mata	materia	NCFS000	materia
escusa	excusa	VMIP3S0	excusar
de	de	SPS00	de
peccado	pecado	NCMS000	pecado
mortal	mortal	AQ0CS0	mortal
.	.	Fp	.
Y	Y	CC	y
sobre	sobre	SPS00	sobre
todo	todo	PI0MS000	todo
no	no	RN	no
quiero	quiero	VMIP1S0	querer
cansarme	cansarme	VMN0000+PP1CS000	cansar+me
en	en	SPS00	en
trasladar	trasladar	VMN0000	trasladar
autoridades	autoridades	NCFP000	autoridad
	.	Fp	.
baste	Baste	VMSP0S0	bastar
decir	decir	VMN0000	decir
que	que	CS	que
quasi	cuasi	RG	cuasi
todos	todos	PI0MP000	todo
dicen	dicen	VMIP3P0	decir
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
	.	Fp	.
y	Y	CC	y
de	de	SPS00	de
quantos	cuantos	PR0MP000	cuanto
hàn	han	VAIP3P0	haber
escrito	escrito	VMP0000	escribir
moral	moral	NCFS000	moral
	,	Fc	,
no	no	RN	no
asignara	asignará	VMIF3S0	asignar
el	el	DA0MS0	el
sr	señor	NP00000	señor
cura	cura	NCMS000	cura
ni	ni	CC	ni
seis	seis	Z	6
que	que	PR0CN000	que
digan	digan	VMSP3P0	decir
lo	lo	DA0NS0	el
contrario	contrario	AQ0MS0	contrario
como	como	CS	como
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
asignare	asignaré	VMIF1S0	asignar
seiscientos	seiscientos	Z	600
.	.	Fp	.
Supongo	Supongo	VMIP1S0	suponer
que	que	CS	que
todo	todo	DI0MS0	todo
esto	esto	PD0NN000	esto
no	no	RN	no
haze	hace	VMIP3S0	hacer
yà	ya	RG	ya
al	al	SPS00+DA0MS0	a+el
caso	caso	NCMS000	caso
.	.	Fp	.
Las	Las	DA0FP0	el
escrivo	escribo	VMIP1S0	escribir
para	para	SPS00	para
confusion	confusión	NCFS000	confusión
del	del	SPS00+DA0MS0	de+el
señor	señor	NP00000	señor
cura	cura	NCMS000	cura
.	,	Fc	,
que	que	CS	que
celebrare	celebraré	VMIF1S0	celebrar
lea	lea	VMSP0S0	leer
y	y	CC	y
me	me	PP1CS000	me
embie	envíe	VMSP0S0	enviar
citas	citas	NCFP000	cita
de	de	SPS00	de
autores	autores	NCMP000	autor
que	que	PR0CN000	que
digan	digan	VMSP3P0	decir
lo	lo	DA0NS0	el
contrario	contrario	NCMS000	contrario
	,	Fc	,
pues	pues	CS	pues
por	por	SPS00	por
la	la	DA0FS0	el
misericordia	misericordia	NCFS000	misericordia
de	de	SPS00	de
Dios	Dios	NP00000	dios
no	no	RN	no
podra	podrá	VMIF3S0	poder
citar	citar	VMN0000	citar
autor	autor	NCMS000	autor
que	que	PR0CN000	que
no	no	RN	no
este	esté	VMSP0S0	estar
en	en	SPS00	en
la	la	DA0FS0	el
libreria	librería	NCFS000	librería
de	de	SPS00	de
mi	mi	DP1CSS	mi
casa	casa	NCFS000	casa
por	por	SPS00	por
ser	ser	VSN0000	ser
abundantisima	abundantísima	NCFS000	abundantísima
de	de	SPS00	de
	;	Fx	;
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
materia	materia	NCFS000	materia
moral	moral	NCFS000	moral
	,	Fc	,
muchos	muchos	DI0MP0	mucho
y	y	CC	y
mui	muy	RQ	muy
clasicos	clásicos	NP00000	clásico
	.	Fp	.
conq	Conque	CS	conque
	,	Fc	,
si	si	CS	si
tan	tan	RC	tan
docto	docto	NCMS000	docto
es	es	VSIP3S0	ser
	,	Fc	,
sabra	sabrá	VMIF3S0	saber
muchos	muchos	DI0MP0	mucho
Doctores	doctores	NCMP000	doctor
del	del	SPS00+DA0MS0	de+el
sentir	sentir	VMN0000	sentir
contrario	contrario	NCMS000	contrario
que	que	CS	que
quisiera	quisiera	VMSI0S0	querer
yo	yo	PP1CSN00	yo
ver	ver	VMN0000	ver
por	por	SPS00	por
complacencia	complacencia	NCFS000	complacencia
.	,	Fc	,
Advirtiendo	advirtiendo	VMG0000	advertir
que	que	CS	que
me	me	PP1CS000	me
contentare	contentaré	VMIF1S0	contentar
con	con	SPS00	con
seis	seis	Z	6
medianamte	medianamente	RG	medianamente
clasicos	clásicos	NCMP000	clásico
.	.	Fp	.
No	No	RN	no
porq	porque	CS	porque
aun	aun	RG	aun
asigne	asigne	VMSP0S0	asignar
quedarè	quedaré	VMIF1S0	quedar
convencido	convencido	VMP00SM	convencer
	,	Fc	,
pues	pues	CS	pues
son	son	VSIP3P0	ser
mui	muy	RQ	muy
los	los	DA0MP0	el
q	que	PR0CN000	que
estan	están	VMIP3P0	estar
por	por	SPS00	por
mi	mí	PP1CSO00	mí
	,	Fc	,
sino	sino	CC	sino
por	por	SPS00	por
deseo	deseo	NCMS000	deseo
de	de	SPS00	de
verlos	verlos	VMN0000+PP3MPA00	ver+lo
