Hermo	Hermano	NCMS000	hermano
las	las	DA0FP0	el
obras	obras	NCFP000	obra
pias	pías	AQ0FP0	pío
de	de	SPS00	de
Monhernado	Mohernando	NP00000	mohernando
	,	Fc	,
de	de	SPS00	de
que	que	CS	que
a	ha	VAIP3S0	haber
dexado	dejado	VMP0000	dejar
auto	auto	NCMS000	auto
el	el	DA0MS0	el
visitador	visitador	NCMS000	visitador
q	que	CS	que
entre	entre	SPS00	entre
en	en	SPS00	en
poder	poder	NCMS000	poder
del	del	SPS00+DA0MS0	de+el
sr	señor	NP00000	señor
vicario	vicario	NCMS000	vicario
	,	Fc	,
para	para	SPS00	para
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
embio	envió	VMIS3S0	enviar
el	el	DA0MS0	el
papel	papel	NCMS000	papel
.	.	Fp	.
Y	Y	CC	y
concluio	concluyo	VMIP1S0	concluir
pidiendo	pidiendo	VMG0000	pedir
a	a	SPS00	a
Ds	Dios	NP00000	dios
te	te	PP2CS000	te
gde	guarde	VMSP0S0	guardar
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Umanes	Humanes	NP00000	humanes
	,	Fc	,
y	y	CC	y
Diciembre	diciembre	NCMS000	diciembre
12	12	Z	12
de	de	SPS00	de
1720	1720	Z	1720
as	años	NCMP000	año
	.	Fp	.
Hermo	Hermano	NP00000	hermano
que	que	PR0CN000	que
mas	más	RC	más
te	te	PP2CS000	te
estima	estima	VMIP3S0	estimar
y	y	CC	y
B	besa	VMIP3S0	besar
t	tu	DP2CSS	tu
m	mano	NCFS000	mano
	,	Fc	,
Dn	don	NP00000	don
Blas	Blas	NP00000	blas
frutos	Frutos	NCMP000	fruto
Hermo	Hermano	NP00000	hermano
Dn	don	NP00000	don
Buenaventura	Buenaventura	NP00000	buenaventura
frutos	Frutos	NCMP000	fruto
	.	Fp	.
