Alavado	Alabado		
siendo	siendo		
regular	regular		
que	que		
sobre	sobre		
las	las		
pajas	pajas		
pusiese	pusiese		
la	la		
sra	señora		
algun	algún		
paño	paño		
de	de		
enbolver	envolver		
,	,		
yo	yo		
tube	tuve		
sobre	sobre		
ellas	ellas		
una	una		
marraga	márraga		
gruesa	gruesa		
que	que		
llaman	llaman		
jergon	jergón		
;	,		
a	a		
excepcion	excepción		
de	de		
un	un		
pellego	pellejo		
o	o		
dos	dos		
a	a		
media	media		
lana	lana		
,	,		
como	como		
indicio	indicio		
de	de		
que	que		
avia	había		
de	de		
ser	ser		
fraile	fraile		
descalzo	descalzo		
.	.		
el	El		
sor	Señor		
Nacio	nació		
de	de		
padres	padres		
pobres	pobres		
,	,		
y	y		
pobrisimos	pobrísimos		
eran	eran		
y	y		
an	han		
sido	sido		
los	los		
mios	míos		
.	.		
el	El		
sor	Señor		
	,		
siendo	siendo		
Nino	niño		
	,		
tubo	tuvo		
que	que		
uir	huir		
a	a		
ejipto	Egipto		
por	por		
una	una		
persecucion	persecución		
,	,		
y	y		
yo	yo		
tuve	tuve		
que	que		
uir	huir		
por	por		
otra	otra		
desde	desde		
mi	mi		
pueblo	pueblo		
a	a		
molina	Molina		
.	.		
el	El		
sr	Señor		
siendo	siendo		
niño	niño		
pidio	pidió		
limosna	limosna		
,	,		
y	y		
siendo	siendo		
niño	niño		
la	la		
pedi	pedí		
yo	yo		
.	.		
el	El		
sor	Señor		
siendo	siendo		
niño	niño		
principio	principió		
las	las		
obras	obras		
piadosas	piadosas		
de	de		
visitar	visitar		
los	los		
ospitales	hospitales		
y	y		
enfermos	enfermos		
	.		
No	No		
se	sé		
como	cómo		
no	no		
muero	muero		
en	en		
este	este		
punto	punto		
al	al		
considerar	considerar		
que	que		
todo	todo		
este	este		
cumulo	cúmulo		
de	de		
gracias	gracias		
tan	tan		
encumbradas	encumbradas		
avian	habían		
de	de		
retribuir	retribuir		
al	al		
sor	Señor		
tantas	tantas		
maldades	maldades		
y	y		
enormes	enormes		
culpas	culpas		
como	como		
e	he		
cometido	cometido		
asta	hasta		
la	la		
edad	edad		
de	de		
cerca	cerca		
de	de		
40	40		
años	años		
;	,		
y	y		
aora	ahora		
pagarle	pagarle		
tan	tan		
ingratamte	ingratamente		
	.		
Sor	Señor		
	,		
tened	tened		
misericordia	misericordia		
de	de		
mi	mí		
:	.		
si	Si		
En	en		
la	la		
muerte	muerte		
como	como		
berdad	verdad		
infalibre	infalible		
me	me		
tiene	tiene		
el	el		
sor	Señor		
señalada	señalada		
la	la		
corona	corona		
de	de		
sus	sus		
gracias	gracias		
a	a		
imitacion	imitación		
suya	suya		
?	,		
	¿		
que	qué		
estrano	extraño		
sera	será		
que	que		
los	los		
años	años		
que	que		
dure	dure		
en	en		
esta	esta		
vida	vida		
asta	hasta		
el	el		
fin	fin		
de	de		
mi	mi		
carrera	carrera		
sean	sean		
con	con		
un	un		
perfecto	perfecto		
arreglo	arreglo		
a	a		
la	la		
vida	vida		
y	y		
costumbres	costumbres		
del	del		
mismo	mismo		
sor	Señor		
?	?		
	,		
	¿		
y	y		
que	que		
asi	así		
lo	lo		
exija	exija		
de	de		
mi	mí		
no	no		
es	es		
de	de		
admirar	admirar		
	?		
desde	Desde		
oy	hoy		
con	con		
una	una		
firme	firme		
resolucion	resolución		
estoy	estoy		
resuelto	resuelto		
a	a		
sacudir	sacudir		
el	el		
yugo	yugo		
del	del		
ombre	hombre		
biejo	viejo		
y	y		
rebestirme	revestirme		
del	del		
ombre	hombre		
nuevo	nuevo		
.	,		
sin	sin		
otra	otra		
atencion	atención		
que	que		
la	la		
observancia	observancia		
de	de		
la	la		
conducta	conducta		
y	y		
operaciones	operaciones		
del	del		
sor	Señor		
para	para		
ser	ser		
un	un		
dicipulo	discípulo		
y	y		
modelo	modelo		
perfecto	perfecto		
de	de		
su	su		
maestro	maestro		
en	en		
quanto	cuanto		
mis	mis		
amados	amados		
padres	padres		
directores	directores		
me	me		
ordenasen	ordenasen		
,	,		
que	que		
espero	espero		
sera	será		
todo	todo		
asitido	asistido		
de	de		
la	la		
poderosa	poderosa		
y	y		
eficaz	eficaz		
gracia	gracia		
del	del		
sor	Señor		
para	para		
gloria	gloria		
suya	suya		
y	y		
exaltazon	exaltación		
de	de		
su	su		
Smo	santísimo		
Nombre	nombre		
.  	.		
Esta	Esta		
tarde	tarde		
se	se		
me	me		
a	ha		
dado	dado		
a	a		
entender	entender		
se	se		
acerca	acerca		
el	el		
acer	hacer		
la	la		
declaracion	declaración		
arriva	arriba		
;	.		
y	Y		
quisiera	quisiera		
para	para		
beneplacito	beneplácito		
del	del		
sor	Señor		
que	que		
U	usted		
me	me		
fuese	fuese		
intruyendo	instruyendo		
de	de		
los	los		
deveres	deberes		
mios	míos		
acerca	acerca		
de	de		
los	los		
conozimientos	conocimientos		
que	que		
Vm	VM		
tiene	tiene		
,	,		
para	para		
no	no		
esponerme	exponerme		
a	a		
errar	errar		
	.		
Alavdo	Alabado		
sea	sea		
el	el		
sor	Señor		
	.		
he	He		
rrecivido	recibido		
su	su		
muy	muy		
benerada	venerada		
de	de		
Vm	VM		
y	y		
veo	veo		
qe	que		
la	la		
da	divina		
prova	providencia		
a	ha		
dispuesto	dispuesto		
socorrer	socorrer		
mi	mi		
necesidad	necesidad		
,	.		
y	Y		
quedo	quedo		
advertido	advertido		
y	y		
confiado	confiado		
que	que		
el	el		
sor	Señor		
me	me		
sacara	sacará		
con	con		
felizidad	felicidad		
como	como		
obra	obra		
suya	suya		
.	.		
me	Me		
parece	parece		
suvimos	subimos		
todos	todos		
esta	esta		
noche	noche		
	.		
ya	Ya		
porque	porque		
	,		
estando	estando		
pensando	pensando		
en	en		
la	la		
prevencion	prevención		
de	de		
la	la		
respuesta	respuesta		
	,		
me	me		
a	ha		
dho	dicho		
el	el		
sor	Señor		
misterio	misterio		
tiene	tiene		
como	como		
por	por		
aver	haber		
entendido	entendido		
esta	esta		
noche	noche		
arriva	arriba		
todos	todos		
.	,		
obedeci	obedecí		
como	como		
devia	debía		
	.		
de	De		
todos	todos		
modos	modos		
	,		
a	a		
la	la		
orn	orden		
de	de		
Vm	VM		
y	y		
oy	hoy		
spre	siempre		
con	con		
la	la		
gra	gracia		
del	del		
sor	Señor		
aré	haré		
lo	lo		
mismo	mismo		
.  	.		
acerca	Acerca		
de	de		
las	las		
visiones	visiones		
del	del		
sor	Señor		
en	en		
la	la		
nueva	nueva		
forma	forma		
	,		
unas	unas		
son	son		
ymaginarias	imaginarias		
y	y		
otras	otras		
con	con		
el	el		
entendimiento	entendimiento		
	,		
porque	porque		
si	si		
fuesen	fuesen		
con	con		
los	los		
ojos	ojos		
corporales	corporales		
medte	mediante		
los	los		
admirables	admirables		
efectos	efectos		
de	de		
su	su		
da	divina		
presa	presencia		
no	no		
avia	había		
de	de		
ser	ser		
de	de		
corazon	corazón		
tan	tan		
duro	duro		
.	.		
el	El		
enemigo	enemigo		
se	se		
me	me		
a	ha		
dado	dado		
a	a		
entender	entender		
se	se		
a	ha		
mezclado	mezclado		
algo	algo		
	,		
pero	pero		
no	no		
en	en		
el	el		
orn	orden		
de	de		
la	la		
comida	comida		
y	y		
bevida	bebida		
ni	ni		
en	en		
el	el		
boto	voto		
de	de		
castidad	castidad		
,	.		
si	Sí		
es	es		
que	que		
ayer	ayer		
mañana	mañana		
	,		
al	al		
tpo	tiempo		
que	que		
el	el		
sor	Señor		
me	me		
corregia	corregía		
,	,		
despues	después		
de	de		
un	un		
rato	rato		
se	se		
apartó	apartó		
y	y		
entro	entró		
el	él		
y	y		
me	me		
dijo	dijo		
que	que		
me	me		
fuese	fuese		
;	.		
yo	Yo		
a	a		
esto	esto		
no	no		
hize	hice		
caso	caso		
y	y		
prosegui	proseguí		
,	.		
y	Y		
despues	después		
de	de		
un	un		
poco	poco		
	,		
con	con		
voz	voz		
mas	más		
fuerte	fuerte		
y	y		
con	con		
semblante	semblante		
airado	airado		
,	,		
oy	oí		
que	que		
se	se		
me	me		
dijo	dijo		
	:		
	—		
vete	Vete		
,	,		
	¿		
no	no		
lo	lo		
as	has		
entendido	entendido		
?	?		
tampoco	Tampoco		
me	me		
causo	causó		
nobedad	novedad		
interior	interior		
,	;		
pero	pero		
	,		
teniendo	teniendo		
que	que		
escrivir	escribir		
a	a		
Vm	VM		
	,		
a	a		
poco	poco		
tpo	tiempo		
me	me		
incline	incliné		
y	y		
	,		
dando	dando		
al	al		
sor	Señor		
la	la		
acostumbrada	acostumbrada		
rebera	reverencia		
postrado	postrado		
pidiendo	pidiendo		
los	los		
ausilios	auxilios		
a	a		
mi	mi		
Purisima	Purísima		
madre	Madre		
y	y		
a	a		
su	su		
purisima	purísima		
y	y		
amada	amada		
Ysavel	Isabel		
maria	María		
	,		
se	se		
me	me		
dijo	dijo		
	:		
	—		
eso	Eso		
se	se		
a	ha		
de	de		
dejar	dejar		
.	.		
entonzes	Entonces		
hice	hice		
alto	alto		
y	y		
conozi	conocí		
se	se		
mezclava	mezclaba		
,	,		
porque	porque		
ninguna	ninguna		
cosa	cosa		
le	le		
sofoca	sofoca		
mas	más		
que	que		
nombrarle	nombrarle		
esta	esta		
pura	pura		
y	y		
santa	santa		
criatura	criatura		
:	.		
tambien	También		
se	se		
me	me		
a	ha		
dado	dado		
a	a		
entender	entender		
que	que		
el	el		
enemigo	enemigo		
no	no		
tiene	tiene		
facultades	facultades		
pa	para		
rebestirse	revestirse		
de	de		
la	la		
nueva	nueva		
forma	forma		
del	del		
sor	Señor		
	,		
pero	pero		
si	si		
las	las		
tiene	tiene		
para	para		
tentar	tentar		
el	el		
alma	alma		
postrada	postrada		
ó	o		
puesta	puesta		
ante	ante		
el	el		
sor	Señor		
.	.		
estando	Estando		
aciendo	haciendo		
algunos	algunos		
discursos	discursos		
sobre	sobre		
estas	estas		
mezclas	mezclas		
	,		
esta	esta		
mañana	mañana		
se	se		
me	me		
dijo	dijo		
:	:		
	—		
tu	Tú		
lo	lo		
que	que		
deves	debes		
acer	hacer		
es	es		
someter	someter		
tu	tu		
entendimiento	entendimiento		
a	a		
tus	tus		
directores	directores		
.	.		
en	En		
esto	esto		
quedo	quedo		
receloso	receloso		
	,		
porque	porque		
no	no		
a	ha		
pasado	pasado		
como	como		
lo	lo		
digo	digo		
si	si		
es	es		
en	en		
estas	estas		
mismas	mismas		
palabras	palabras		
.	.		
No	No		
ay	hay		
que	que		
acer	hacer		
discursos	discursos		
,	,		
someter	someter		
tu	tu		
entendimiento	entendimiento		
a	a		
los	los		
directores	directores		
.  	.		
haora	Ahora		
dire	diré		
que	que		
esta	esta		
madrugada	madrugada		
fui	fui		
dispertado	despertado		
temprano	temprano		
,	.		
y	Y		
aunque	aunque		
el	el		
sor	Señor		
	,		
segun	según		
las	las		
señales	señales		
suyas	suyas		
	,		
me	me		
compelia	compelía		
o	o		
inspirava	inspiraba		
a	a		
la	la		
orazn	oración		
	,		
estava	estaba		
algo	algo		
dudoso	dudoso		
por	por		
ignorar	ignorar		
la	la		
ora	hora		
,	.		
mas	Mas		
por	por		
la	la		
eficacia	eficacia		
de	de		
los	los		
ausilios	auxilios		
en	en		
el	el		
modo	modo		
de	de		
otras	otras		
vez	veces		
me	me		
levante	levanté		
y	y		
postre	postré		
en	en		
tierra	tierra		
y	y		
adore	adoré		
al	al		
sr	Señor		
	,		
que	que		
imaginariamte	imaginariamente		
se	se		
me	me		
mostró	mostró		
,	.		
fui	Fui		
a	a		
vestirme	vestirme		
y	y		
bestido	vestido		
mire	miré		
las	las		
estrellas	estrellas		
	.		
y	Y		
me	me		
parecio	pareció		
muy	muy		
pronto	pronto		
y	y		
	,		
atendiendo	atendiendo		
al	al		
precepto	precepto		
de	de		
las	las		
6	6		
oras	horas		
de	de		
sueño	sueño		
	,		
puesto	puesto		
pr	por		
el	el		
sor	Señor		
por	por		
boca	boca		
de	de		
Vm	VM		
	,		
suspendi	suspendí		
la	la		
execucion	ejecución		
asta	hasta		
dar	dar		
el	el		
relox	reloj		
las	las		
oras	horas		
	.		
dio	Dio		
las	las		
2	2		
y	y		
dije	dije		
al	al		
sor	Señor		
no	no		
podia	podía		
obedecerle	obedecerle		
sin	sin		
que	que		
levantase	levantase		
el	el		
precepto	precepto		
que	que		
me	me		
tenia	tenía		
puesto	puesto		
,	,		
aciendomelo	haciéndomelo		
constar	constar		
por	por		
la	la		
fuerza	fuerza		
superior	superior		
del	del		
nuevo	nuevo		
.	.		
y	Y		
aunque	aunque		
no	no		
me	me		
queda	queda		
duda	duda		
que	que		
fue	fue		
acto	acto		
del	del		
sor	Señor		
	,		
Vm	VM		
penetrara	penetrará		
sus	sus		
fines	fines		
:	.		
a	A		
las	las		
4	4		
bolvi	volví		
a	a		
dispertar	despertar		
y	y		
me	me		
levante	levanté		
.  	.		
deje	Dejé		
ayer	ayer		
de	de		
decir	decir		
a	a		
Vm	VM		
que	que		
antenoche	antenoche		
en	en		
la	la		
oracion	oración		
se	se		
me	me		
representaron	representaron		
la	la		
Antonia	Antonia		
la	la		
Ignacia	Ignacia		
y	y		
la	la		
Manuela	Manuela		
,	,		
mas	mas		
despreciando	despreciando		
tales	tales		
bisiones	visiones		
pidi	pedí		
al	al		
sor	Señor		
por	por		
ellas	ellas		
,	.		
y	Y		
al	al		
acer	hacer		
la	la		
peticion	petición		
se	se		
descubrieron	descubrieron		
los	los		
pajaros	pájaros		
tinosos	tiñosos		
y	y		
arremetieron	arremetieron		
contra	contra		
mi	mí		
con	con		
mucha	mucha		
rabia	rabia		
y	y		
sobervia	soberbia		
,	,		
pero	pero		
los	los		
infelizes	infelices		
no	no		
pudieron	pudieron		
llegr	llegar		
a	a		
mi	mí		
,	.		
y	Y		
repitiendo	repitiendo		
actos	actos		
de	de		
umildad	humildad		
y	y		
despreciandolos	despreciándolos		
,	,		
al	al		
punto	punto		
desaparecieron	desaparecieron		
.	.		
Yba	Iba		
a	a		
cerrar	cerrar		
la	la		
carta	carta		
y	y		
como	como		
que	que		
me	me		
detenian	detenían		
la	la		
mano	mano		
.	.		
Y	Y		
es	es		
lo	lo		
primero	primero		
que	que		
	,		
aviendo	habiendo		
orado	orado		
de	de		
8	8		
a	a		
10	10		
y	y		
echo	hecho		
la	la		
peticion	petición		
acerca	acerca		
del	del		
boto	voto		
por	por		
parte	parte		
de	de		
mi	mi		
muger	mujer		
,	,		
con	con		
la	la		
restriccion	restricción		
o	o		
restricciones	restricciones		
del	del		
agrado	agrado		
de	de		
el	el		
sor	Señor		
se	se		
me	me		
a	ha		
rrespondido	respondido		
;	:		
	—		
esa	Ésa		
tiene	tiene		
que	que		
dar	dar		
una	una		
cayda	caída		
y	y		
grande	grande		
	,		
que	que		
a	ha		
de	de		
ser	ser		
para	para		
que	que		
se	se		
levante	levante		
.	.		
al	Al		
mismo	mismo		
tpo	tiempo		
me	me		
a	ha		
rrecordado	recordado		
el	el		
sor	Señor		
me	me		
dijo	dijo		
estas	estas		
mismas	mismas		
palabras	palabras		
en	en		
la	la		
nueva	nueva		
forma	forma		
quando	cuando		
	,		
con	con		
disgusto	disgusto		
suyo	suyo		
)	,		
le	le		
llevé	llevé		
pa	para		
la	la		
Pasqua	Pascua		
.	.		
se	Se		
me	me		
a	ha		
dado	dado		
a	a		
entender	entender		
la	la		
tivieza	tibieza		
con	con		
que	que		
obra	obra		
y	y		
lo	lo		
poco	poco		
que	que		
ace	hace		
por	por		
temor	temor		
y	y		
no	no		
por	por		
amor	amor		
.	.		
tambien	También		
se	se		
me	me		
a	ha		
do	dado		
a	a		
entender	entender		
que	que		
arriva	arriba		
tratan	tratan		
de	de		
acer	hacer		
algunas	algunas		
pruevas	pruebas		
conmigo	conmigo		
	,		
mas	mas		
confio	confío		
en	en		
la	la		
ynfinita	infinita		
saviduria	sabiduría		
del	del		
sor	Señor		
salir	salir		
bien	bien		
.	.		
me	Me		
parece	parece		
tienen	tienen		
muchos	muchos		
que	que		
suvir	subir		
arriva	arriba		
y	y		
creo	creo		
	,		
si	si		
no	no		
me	me		
engano	engaño		
	,		
que	que		
algs	algunos		
de	de		
ellos	ellos		
seran	serán		
el	el		
pobre	pobre		
sor	señor		
torres	Torres		
,	,		
fray	fray		
D	D		
.	.		
y	y		
Nicolas	Nicolás		
	.		
tambien	También		
me	me		
parece	parece		
se	se		
acerca	acerca		
el	el		
dia	día		
de	de		
la	la		
entrada	entrada		
del	del		
sor	Señor		
en	en		
Gerusalen	Jerusalén		
.	.		
aviendo	Habiendo		
pensado	pensado		
esta	esta		
mañana	mañana		
sobre	sobre		
los	los		
frutos	frutos		
que	que		
sacava	sacaba		
de	de		
la	la		
oracion	oración		
	,		
me	me		
dijo	dijo		
el	el		
sor	Señor		
	:		
	—		
de	De		
estas	estas		
oraciones	oraciones		
se	se		
saca	saca		
la	la		
umildad	humildad		
,	,		
sumision	sumisión		
y	y		
resignacion	resignación		
,	.		
diome	Diome		
a	a		
entender	entender		
a	a		
mi	mi		
parecer	parecer		
que	que		
esta	esta		
clase	clase		
de	de		
oraciones	oraciones		
son	son		
de	de		
mas	más		
alto	alto		
grado	grado		
que	que		
otras	otras		
,	,		
porque	porque		
observo	observo		
que	que		
no	no		
ago	hago		
nada	nada		
mas	más		
que	que		
procurar	procurar		
estar	estar		
con	con		
umildad	humildad		
y	y		
atencion	atención		
	,		
como	como		
un	un		
criado	criado		
fiel	fiel		
que	que		
espera	espera		
las	las		
orns	órdenes		
de	de		
su	su		
sor	Señor		
	.		
y	Y		
quando	cuando		
S	Su		
D	Divina		
M	Majestad		
se	se		
sirve	sirve		
comunicarmelas	comunicármelas		
conozco	conozco		
se	se		
cierra	cierra		
mi	mi		
interior	interior		
como	como		
un	un		
fuerte	fuerte		
muro	muro		
.	.		
Encomiendeme	Encomiéndeme		
Vm	VM		
al	al		
sor	Señor		
y	y		
no	no		
a	a		
que	que		
temer	temer		
,	,		
que	que		
la	la		
Nave	nave		
	,		
aunque	aunque		
parezca	parezca		
que	que		
se	se		
va	va		
a	a		
pique	pique		
,	,		
es	es		
el	el		
Capitan	capitán		
el	el		
sor	Señor		
que	que		
la	la		
salvara	salvará		
:	.		
