AVe	Ave	I	ave
quiso	quiso	VMIS3S0	querer
aZer	hacer	VMN0000	hacer
ni	ni	CCN	ni
por	por	SPS00	por
ninguno	ninguno	PI0MS00N	ninguno
de	de	SPS00	de
casa	casa	NCFS000	casa
,	.	Fp	.
en	En	SPS00	en
que	qué	PT0CN000	qué
consiste	consiste	VMIP3S0	consistir
no	no	RN	no
lo	lo	PP3CNA00	lo
se	sé	VMIP1S0	saber
.	.	Fp	.
Reziva	Reciba	VMSP0S0	recibir
Vmd	VM	NP00000	VM
memorias	memorias	NCFP000	memoria
de	de	SPS00	de
maria	María	NP00000	maría
,	,	Fc	,
Jiroma	Jeroma	NP00000	jeroma
i	y	CC	y
mi	mi	DP1CSS	mi
señora	señora	NP00000	señor
Doña	doña	NP00000	don
Rosa	Rosa	NP00000	rosa
,	.	Fp	.
i	Y	CC	y
Zeso	ceso	VMIP1S0	cesar
i	y	CC	y
no	no	RN	no
de	de	SPS00	de
Rogar	rogar	VMN0000	rogar
a	a	SPS00	a
Dios	Dios	NP00000	dios
le	le	PP3CSA00	le
guarde	guarde	VMSP0S0	guardar
m	muchos	DI0MP0	mucho
anos	años	NCMP000	año
i	y	CC	y
que	que	CS	que
benga	venga	VMSP0S0	venir
presto	presto	RG	presto
	.	Fp	.
Minaia	Minaya	NP00000	minaya
,	,	Fc	,
i	y	CC	y
Junio	junio	NCMS000	junio
3	3	Z	3
de	de	SPS00	de
1754	1754	Z	1754
a	años	NCMP000	año
	.	Fp	.
de	De	SPS00	de
Vmd	VM	NP00000	VM
ex	ex	NP00000	VM
corde	corde	NP00000	VM
	...	Fs	...
	...	Fs	...
que	que	PR0CN000	que
S	su	DP3CS0	su
M	mano	NCFS000	mano
Ba	besa	VMIP3S0	besar
	,	Fc	,
fr	fray	NP00000	fray
fran	Francisco	NP00000	francisco
de	de	SPS00	de
Almagro	Almagro	NP00000	almagro
Sor	Señor	NP00000	señor
Don	don	NP00000	don
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
SeRa	Serra	NP00000	serra
	.	Fp	.
