Exmo	Excelentísimo	AQSMS0	excelente
dicen	dicen	VMIP3P0	decir
que	que	CS	que
buenos	buenos	AQ0MP0	bueno
montes	montes	NCMP000	monte
tienen	tienen	VMIP3P0	tener
para	para	SPS00	para
quemar	quemar	VMN0000	quemar
.	.	Fp	.
La	La	DA0FS0	el
señora	señora	NP00000	señor
dicen	dicen	VMIP3P0	decir
es	es	VSIP3S0	ser
tan	tan	RC	tan
loca	loca	NCFS000	loco
y	y	CC	y
celosa	celosa	AQ0FS0	celoso
como	como	CS	como
la	la	DA0FS0	el
del	del	SPS00+DA0MS0	de+el
Sr	señor	NP00000	señor
Montoya	Montoya	NP00000	montoya
,	.	Fp	.
el	El	DA0MS0	el
otro	otro	DI0MS0	otro
dia	día	NCMS000	día
se	se	P00CN000	se
digeron	dijeron	VMIS3P0	decir
por	por	SPS00	por
la	la	DA0FS0	el
Villa	villa	NCFS000	villa
mil	mil	Z	1000
cuentos	cuentos	NCMP000	cuento
con	con	SPS00	con
ella	ella	PP3FS000	él
el	el	DA0MS0	el
Marido	marido	NCMS000	marido
y	y	CC	y
la	la	DA0FS0	el
criada	criada	NCFS000	criado
.	.	Fp	.
tanto	Tanto	RC	tanto
tenia	tenía	VMII0S0	tener
que	que	CS	que
decir	decir	VMN0000	decir
y	y	CC	y
tantas	tantas	DI0FP0	tanto
cosas	cosas	NCFP000	cosa
se	se	P00CN000	se
ben	ven	VMIP3P0	ver
y	y	CC	y
se	se	P00CN000	se
dicen	dicen	VMIP3P0	decir
ya	ya	RG	ya
por	por	SPS00	por
la	la	DA0FS0	el
villa	villa	NCFS000	villa
y	y	CC	y
jurisdiccion	jurisdicción	NCFS000	jurisdicción
que	que	CS	que
esto	esto	PD0NN000	esto
no	no	RN	no
ha	ha	VMIP3S0	haber
de	de	SPS00	de
parar	parar	VMN0000	parar
en	en	SPS00	en
bien	bien	NCMS000	bien
,	,	Fc	,
y	y	CC	y
no	no	RN	no
han	han	VMIP3P0	haber
de	de	SPS00	de
faltar	faltar	VMN0000	faltar
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
E	excelencia	NP00000	excelencia
quejas	quejas	NCFP000	queja
y	y	CC	y
cartazos	cartazos	NCMP000	cartazo
del	del	SPS00+DA0MS0	de+el
Sr	señor	NP00000	señor
Mola	Mola	NP00000	mola
y	y	CC	y
su	su	DP3CS0	su
escribano	escribano	NCMS000	escribano
D	don	NP00000	don
Rafael	Rafael	NP00000	rafael
,	.	Fp	.
a	A	SPS00	a
tiempo	tiempo	NCMS000	tiempo
estamos	estamos	VMIP1P0	estar
	,	Fc	,
que	que	CS	que
al	al	SPS00+DA0MS0	a+el
principio	principio	NCMS000	principio
se	se	P00CN000	se
hazen	hacen	VMIP3P0	hacer
los	los	DA0MP0	el
panes	panes	NCMP000	pan
tuertos	tuertos	NCMP000	tuerto
.	.	Fp	.
S	Su	DP3CS0	su
E	excelencia	NP00000	excelencia
informese	infórmese	VMSP0S0+P00CN000	informar+se
y	y	CC	y
contenerles	contenerles	VMN0000+PP3CPD00	contener+le
.	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
Señor	señor	NP00000	señor
quando	cuando	PA000000	cuando
llegaron	llegaron	VMIS3P0	llegar
a	a	SPS00	a
sus	sus	DP3CP0	su
oidos	oídos	NCMP000	oído
estas	estas	DD0FP0	este
quejas	quejas	NCFP000	queja
en	en	SPS00	en
tiempo	tiempo	NCMS000	tiempo
del	del	SPS00+DA0MS0	de+el
Sr	señor	NP00000	señor
Rubio	Rubio	NP00000	rubio
	,	Fc	,
correjidor	corregidor	NCMS000	corregidor
de	de	SPS00	de
la	La	DA0FS0	el
Bañeza	Bañeza	NP00000	bañeza
	,	Fc	,
valia	valía	NCFS000	valía
mas	más	RC	más
su	su	DP3CS0	su
desinteres	desinterés	NCMS000	desinterés
y	y	CC	y
afabilidad	afabilidad	NCFS000	afabilidad
que	que	CS	que
todo	todo	PI0MS000	todo
,	.	Fp	.
por	Por	SPS00	por
eso	eso	PD0NN000	eso
lo	lo	PP3CNA00	lo
llora	llora	VMIP3S0	llorar
y	y	CC	y
llorara	llorará	VMIF3S0	llorar
la	la	DA0FS0	el
Jurison	jurisdicción	NCFS000	jurisdicción
hecandole	echándole	VMG0000+PP3CSD00	echar+le
menos	menos	RC	menos
de	de	SPS00	de
cada	cada	DI0CN0	cada
dia	día	NCMS000	día
,	,	Fc	,
o	o	CC	o
si	si	CS	si
bolbiera	volviera	VMSI0S0	volver
y	y	CC	y
marchara	marchara	VMSI0S0	marchar
este	este	DD0MS0	este
petate	petate	NCMS000	petate
con	con	SPS00	con
mas	más	RC	más
fachenda	fachenda	NCFS000	fachenda
y	y	CC	y
soberbia	soberbia	NCFS000	soberbia
que	que	CS	que
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
.	.	Fp	.
Basta	Basta	VMIP3S0	bastar
	,	Fc	,
sr	señor	NP00000	señor
	,	Fc	,
de	de	SPS00	de
acusacion	acusación	NCFS000	acusación
	;	Fx	;
y	y	CC	y
he	he	VAIP1S0	haber
cumplido	cumplido	VMP0000	cumplir
con	con	SPS00	con
Dios	Dios	NP00000	dios
y	y	CC	y
mi	mi	DP1CSS	mi
conciencia	conciencia	NCFS000	conciencia
	.	Fp	.
Dios	Dios	NP00000	dios
le	le	PP3CSD00	le
gue	guarde	VMSP0S0	guardar
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
E	excelencia	NP00000	excelencia
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Palacios	Palacios	NP00000	palacios
	,	Fc	,
y	y	CC	y
Nobiembre	noviembre	NCMS000	noviembre
15	15	Z	15
de	de	SPS00	de
87	87	Z	87
	.	Fp	.
Sor	Señor	NP00000	señor
Conde	conde	NCMS000	conde
de	de	SPS00	de
Miranda	Miranda	NP00000	miranda
	.	Fp	.
