J	José	NP00000	josé
q	que	CS	que
a	a	SPS00	a
ellos	ellos	PP3MP000	ellos
no	no	RN	no
le	le	PP3CSD00	le
an	han	VAIP3P0	haber
pedido	pedido	VMP0000	pedir
nada	nada	PI0NN00N	nada
,	.	Fp	.
el	El	DA0MS0	el
Pe	padre	NCMS000	padre
Mata	Mata	NP00000	mata
mui	muy	RQ	muy
bien	bien	RG	bien
sabe	sabe	VMIP3S0	saber
lo	lo	DA0NS0	el
q	que	PR0CN000	que
dize	dice	VMIP3S0	decir
y	y	CC	y
lo	lo	DA0NS0	el
q	que	PR0CN000	que
aze	hace	VMIP3S0	hacer
,	.	Fp	.
Monica	Mónica	NP00000	mónica
no	no	RN	no
se	se	P00CN000	se
muebe	mueve	VMIP3S0	mover
sin	sin	SPS00	sin
su	su	DP3CS0	su
consejo	consejo	NCMS000	consejo
,	.	Fp	.
la	La	PP3FSA00	lo
quiere	quiere	VMIP3S0	querer
muchisimo	muchísimo	RS	muchísimo
y	y	CC	y
sintio	sintió	VMIS3S0	sentir
tanto	tanto	RC	tanto
berla	verla	VMN0000+PP3FSA00	ver+lo
tan	tan	RC	tan
aogada	ahogada	NCFS000	ahogado
quando	cuando	PA000000	cuando
la	la	DA0FS0	el
respuesta	respuesta	NCFS000	respuesta
q	que	CS	que
el	él	PP3MS000	él
se	se	P00CN000	se
ofrezio	ofreció	VMIS3S0	ofrecer
a	a	SPS00	a
buscar	buscar	VMN0000	buscar
el	el	DA0MS0	el
dinero	dinero	NCMS000	dinero
,	,	Fc	,
fineza	fineza	NCFS000	fineza
q	que	CS	que
se	se	P00CN000	se
debe	debe	VMIP3S0	deber
estimar	estimar	VMN0000	estimar
,	.	Fp	.
ella	Ella	PP3FS000	él
esta	está	VMIP3S0	estar
mui	muy	RQ	muy
segura	segura	AQ0FS0	seguro
de	de	SPS00	de
los	los	DA0MP0	el
acompañaos	acompañados	NCMP000	acompañado
,	.	Fp	.
el	El	DA0MS0	el
Pe	padre	NCMS000	padre
Mata	Mata	NP00000	mata
no	no	RN	no
se	sé	VMIP1S0	saber
q	qué	PT0CN000	qué
pueda	pueda	VMSP0S0	poder
dejar	dejar	VMN0000	dejar
esto	esto	PD0NN000	esto
,	.	Fp	.
me	Me	PP1CS000	me
temo	temo	VMIP1S0	temer
q	que	CS	que
estos	éstos	PD0MP000	este
le	le	PP3CSD00	le
an	han	VMIP3P0	haber
de	de	SPS00	de
embarazar	embarazar	VMN0000	embarazar
q	que	CS	que
benga	venga	VMSP0S0	venir
	.	Fp	.
cosas	Cosas	NCFP000	cosa
tan	tan	RC	tan
yregulares	irregulares	AQ0CP0	irregular
q	que	CS	que
no	no	RN	no
se	se	P00CN000	se
beran	verán	VMIF3P0	ver
en	en	SPS00	en
nadie	nadie	PI0NN00N	nadie
	.	Fp	.
se	Se	P00CN000	se
portan	portan	VMIP3P0	portar
con	con	SPS00	con
una	una	DI0FS0	uno
yndependenzia	independencia	NCFS000	independencia
como	como	CS	como
si	si	CS	si
no	no	RN	no
la	la	PP3FSA00	lo
tubieran	tuvieran	VMSI3P0	tener
en	en	SPS00	en
casa	casa	NCFS000	casa
,	.	Fp	.
el	El	DA0MS0	el
Pe	padre	NCMS000	padre
Mata	Mata	NP00000	mata
me	me	PP1CS000	me
aseguro	aseguró	VMIS3S0	asegurar
q	que	CS	que
llebaba	llevaba	VMII0S0	llevar
este	este	DD0MS0	este
golpe	golpe	NCMS000	golpe
con	con	SPS00	con
una	una	DI0FS0	uno
resicnazion	resignación	NCFS000	resignación
q	que	CS	que
edificaba	edificaba	VMII0S0	edificar
,	.	Fp	.
todos	Todos	PI0MP000	todo
aseguran	aseguran	VMIP3P0	asegurar
q	que	CS	que
no	no	RN	no
puede	puede	VMIP3S0	poder
dejar	dejar	VMN0000	dejar
de	de	SPS00	de
ser	ser	VSN0000	ser
Sta	santa	AQ0FS0	santo
con	con	SPS00	con
los	los	DA0MP0	el
desengaños	desengaños	NCMP000	desengaño
q	que	PR0CN000	que
a	ha	VAIP3S0	haber
esprimentao	experimentado	VMP0000	experimentar
,	.	Fp	.
a	A	SPS00	a
boca	boca	NCFS000	boca
te	te	PP2CS000	te
dira	dirá	VMIF3S0	decir
mucho	mucho	RQ	mucho
,	.	Fp	.
aunq	Aunque	CC	aunque
el	el	DA0MS0	el
tienpo	tiempo	NCMS000	tiempo
sera	será	VSIF3S0	ser
brebe	breve	RG	breve
,	,	Fc	,
yo	yo	PP1CSN00	yo
deseo	deseo	VMIP1S0	desear
se	se	P00CN000	se
baya	vaya	VMSP0S0	ir
quanto	cuanto	PA000000	cuanto
antes	antes	RG	antes
	,	Fc	,
prq	porque	CS	porque
aqui	aquí	RG	aquí
ya	ya	RG	ya
embaraza	embaraza	VMIP3S0	embarazar
,	.	Fp	.
de	De	SPS00	de
la	la	DA0FS0	el
Me	madre	NCFS000	madre
Natibida	Natividad	NP00000	natividad
y	y	CC	y
sobrinas	sobrinas	NCFP000	sobrino
mil	mil	Z	1000
cariños	cariños	NCMP000	cariño
,	.	Fp	.
y	Y	CC	y
qdo	quedo	VMIP1S0	quedar
deseando	deseando	VMG0000	desear
me	me	PP1CS000	me
mandes	mandes	VMSP2S0	mandar
y	y	CC	y
q	que	CS	que
Nro	Nuestro	DP1MSP	nuestro
Sr	Señor	NP00000	señor
d	Dios	NP00000	dios
te	te	PP2CS000	te
gde	guarde	VMSP0S0	guardar
los	los	DA0MP0	el
as	años	NCMP000	año
q	que	PR0CN000	que
nezesito	necesito	VMIP1S0	necesitar
	.	Fp	.
Vita	Vitoria	NP00000	vitoria
	,	Fc	,
Nobiembre	noviembre	NCMS000	noviembre
14	14	Z	14
	.	Fp	.
tu	Tu	DP2CSS	tu
ermana	hermana	NCFS000	hermano
q	que	PR0CN000	que
de	de	SPS00	de
corazon	corazón	NCMS000	corazón
te	te	PP2CS000	te
estima	estima	VMIP3S0	estimar
y	y	CC	y
quiere	quiere	VMIP3S0	querer
,	,	Fc	,
Rosario	Rosario	NP00000	rosario
Da	Doña	NP00000	don
Joseba	Joseba	NP00000	joseba
de	de	SPS00	de
Aranguren	Aranguren	NP00000	aranguren
se	se	P00CN000	se
muere	muere	VMIP3S0	morir
de	de	SPS00	de
un	un	DI0MS0	uno
aczidente	accidente	NCMS000	accidente
de	de	SPS00	de
eclesia	eclesia	X	x
ya	ya	RG	ya
y	y	CC	y
Da	doña	NP00000	don
Joaquina	Joaquina	NP00000	joaquina
de	de	SPS00	de
ocho	ocho	Z	8
meses	meses	NCMP000	mes
enzinta	encinta	AQ0FS0	encinta
	.	Fp	.
