Mi	Mi	DP1CSS	mi
ser-vida	servida	VMP00SF	servir
que	que	CS	que
ella	ella	PP3FS000	él
servia	servía	VMII0S0	servir
,	.	Fp	.
vaya	Vaya	VMSP0S0	ir
con	con	SPS00	con
su	su	DP3CS0	su
madre	madre	NCFS000	madre
de	de	SPS00	de
Dios	Dios	NP00000	dios
.	.	Fp	.
Tu	Tú	PP2CSN00	tú
no	no	RN	no
te	te	PP2CS000	te
me	me	PP1CS000	me
âpesadumbres	apesadumbres	VMSP2S0	apesadumbrar
por	por	SPS00	por
tan	tan	RC	tan
poca	poca	DI0FS0	poco
causa	causa	NCFS000	causa
.	.	Fp	.
Ademas	Además	RG	además
que	que	CS	que
	,	Fc	,
para	para	SPS00	para
el	el	DA0MS0	el
poco	poco	DI0MS0	poco
tiempo	tiempo	NCMS000	tiempo
que	que	PR0CN000	que
has	has	VMIP2S0	haber
de	de	SPS00	de
estar	estar	VMN0000	estar
âqui	aquí	RG	aquí
si	si	CS	si
su	Su	DP3CS0	su
magd	Majestad	NP00000	majestad
me	me	PP1CS000	me
dà	da	VMIP3S0	dar
salud	salud	NCFS000	salud
)	,	Fbt	)
puedes	puedes	VMIP2S0	poder
tomar	tomar	VMN0000	tomar
una	una	DI0FS0	uno
muger	mujer	NCFS000	mujer
âjustada	ajustada	VMP00SF	ajustar
por	por	SPS00	por
meses	meses	NCMP000	mes
	,	Fc	,
que	que	CS	que
yo	yo	PP1CSN00	yo
corrò	corro	VMIP1S0	correr
con	con	SPS00	con
todo	todo	PI0MS000	todo
con	con	SPS00	con
tal	tal	RC	tal
que	que	CS	que
no	no	RN	no
te	te	PP2CS000	te
âflixas	aflijas	VMSP2S0	afligir
,	,	Fc	,
tontona	tontona	NCFS000	tontona
	.	Fp	.
Hanme	Hanme	VAIP3P0+PP1CS000	haber+me
dicho	dicho	VMP0000	decir
que	que	CS	que
hà	ha	VMIP3S0	haber
de	de	SPS00	de
volber	volver	VMN0000	volver
y	y	CC	y
digo	digo	VMIP1S0	decir
q	que	CS	que
no	no	RN	no
la	la	PP3FSA00	lo
recivas	recibas	VMSP2S0	recibir
ni	ni	CC	ni
â	a	SPS00	a
essa	ésa	PD0FS000	ese
ni	ni	CC	ni
â	a	SPS00	a
ôtra	otra	PI0FS000	otro
de	de	SPS00	de
Moce-jon	Mocejón	NP00000	mocejón
por	por	SPS00	por
qto	cuanto	PA000000	cuanto
ay	hay	VMIP3S0	haber
en	en	SPS00	en
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
	,	Fc	,
que	que	CS	que
como	como	CS	como
criadas	criadas	NCMP000	criado
troteras	troteras	SPS00	troteras
nunca	nunca	RN	nunca
pueden	pueden	VMIP3P0	poder
ser	ser	VSN0000	ser
buenas	buenas	AQ0FP0	bueno
en	en	SPS00	en
sacandolas	sacándolas	VMG0000+PP3FPA00	sacar+lo
de	de	SPS00	de
su	su	DP3CS0	su
trote	trote	NCMS000	trote
.	.	Fp	.
Yo	Yo	PP1CSN00	yo
procurarè	procuraré	VMIF1S0	procurar
verte	verte	VMN0000+PP2CS000	ver+te
presto	presto	RG	presto
y	y	CC	y
te	te	PP2CS000	te
dare	daré	VMIF1S0	dar
unas	unas	DI0FP0	uno
bofetadas	bofetadas	NCFP000	bofetada
porq	porque	CS	porque
tomes	tomes	VMSP2S0	tomar
pesadumbre	pesadumbre	NCFS000	pesadumbre
por	por	SPS00	por
tan	tan	RC	tan
sin	sin	SPS00	sin
ningun	ningún	DI0MS0	ninguno
motivo	motivo	NCMS000	motivo
.	;	Fx	;
Quando	cuando	PA000000	cuando
	,	Fc	,
si	si	CS	si
lo	lo	PP3CNA00	lo
consideras	consideras	VMIP2S0	considerar
	,	Fc	,
nos	nos	PP1CP000	nos
tiene	tiene	VMIP3S0	tener
quenta	cuenta	NCFS000	cuenta
se	se	P00CN000	se
aya	haya	VASP0S0	haber
ido	ido	VMP0000	ir
	,	Fc	,
pues	pues	CS	pues
con	con	SPS00	con
estar	estar	VMN0000	estar
en	en	SPS00	en
tu	tu	DP2CSS	tu
casa	casa	NCFS000	casa
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
dias	días	NCMP000	día
tenias	tenías	VMII2S0	tener
guespedes	huéspedes	NCMP000	huésped
	,	Fc	,
que	que	CS	que
para	para	SPS00	para
estos	estos	DD0MP0	este
años	años	NCMP000	año
son	son	VSIP3P0	ser
mui	muy	RQ	muy
costosos	costosos	AQ0MP0	costoso
.	.	Fp	.
Dios	Dios	NP00000	dios
te	te	PP2CS000	te
me	me	PP1CS000	me
gde	guarde	VMSP0S0	guardar
mas	más	RC	más
as	años	NCMP000	año
q	que	PR0CN000	que
Matusalen	Matusalén	NP00000	matusalén
	.	Fp	.
tuyo	Tuyo	PX2MS0S0	tuyo
de	de	SPS00	de
corazon	corazón	NCMS000	corazón
	,	Fc	,
tu	tu	DP2CSS	tu
fr	fray	NP00000	fray
franco	Francisco	NP00000	francisco
Querida	Querida	VMP00SF	querer
Pepa	Pepa	NP00000	pepa
	.	Fp	.
