Mui	Muy		
y	y		
quien	quien		
le	le		
asistiesen	asistiesen		
y	y		
el	el		
gasto	gasto		
alla	allá		
	.		
y	Y		
	,		
no	no		
podiendo	pudiendo		
ocuparse	ocuparse		
la	la		
Sala	sala		
en	en		
las	las		
disposicions	disposiciones		
de	de		
este	éste		
en	en		
perjuicio	perjuicio		
del	del		
despo	despacho		
de	de		
los	los		
demas	demás		
negos	negocios		
	,		
se	se		
me	me		
cometio	cometió		
qe	que		
corriese	corriese		
con	con		
las	las		
provids	providencias		
diarias	diarias		
	.		
y	Y		
asi	así		
se	se		
hizo	hizo		
	,		
pero	pero		
en	en		
nada	nada		
se	se		
adelanto	adelantó		
en	en		
su	su		
alivio	alivio		
porqe	porque		
	,		
despues	después		
de	de		
dias	días		
reconociendo	reconociendo		
los	los		
Medicos	médicos		
del	del		
Pueblo	pueblo		
donde	donde		
fue	fue		
qe	que		
antes	antes		
atrasaba	atrasaba		
	,		
se	se		
dispuso	dispuso		
se	se		
regresase	regresase		
aqui	aquí		
,	.		
conqe	Conque		
en	en		
carruages	carruajes		
de	de		
hida	ida		
y	y		
buelta	vuelta		
y	y		
su	su		
manutenzn	manutención		
y	y		
curativa	curativa		
fue	fue		
preciso	preciso		
se	se		
gastase	gastase		
mucho	mucho		
	,		
aunqe	aunque		
con	con		
qta	cuenta		
y	y		
razn	razón		
de	de		
los	los		
sugetos	sujetos		
a	a		
quien	quien		
fue	fue		
encomendado	encomendado		
	,		
como	como		
todo	todo		
lo	lo		
demas	demás		
qe	que		
se	se		
a	ha		
gastado	gastado		
	.		
a	a		
mi	mí		
y	y		
yo	yo		
la	la		
Sala	sala		
	.		
se	Se		
hizo	hizo		
Junta	junta		
de	de		
Medicos	médicos		
en	en		
mi	mi		
presencia	presencia		
y	y		
deliveraron	deliberaron		
que	que		
se	se		
le	le		
imbiase	enviase		
a	a		
tomar	tomar		
unos	unos		
Banos	baños		
minerales	minerales		
qe	que		
distan	distan		
de	de		
aqui	aquí		
mas	más		
de	de		
20	20		
Legs	leguas		
	.		
y	Y		
sucedio	sucedió		
lo	lo		
mismo	mismo		
qe	que		
en	en		
el	el		
antecedente	antecedente		
viage	viaje		
,	.		
y	Y		
no	no		
con	con		
menos	menos		
gastos	gastos		
	,		
pues	pues		
alla	allá		
estubo	estuvo		
con	con		
grave	grave		
riesgo	riesgo		
de	de		
dejarperder	perder		
la	la		
vida	vida		
	.		
y	Y		
	,		
haviando	habiendo		
buelto	vuelto		
aqui	aquí		
	,		
se	se		
hicieron	hicieron		
diferentes	diferentes		
Juntas	juntas		
de	de		
tres	tres		
Medicos	médicos		
de	de		
los	los		
prales	principales		
de	de		
este	este		
Pueblo	pueblo		
	.		
qe	Que		
	,		
aunqe	aunque		
sin	sin		
esperanza	esperanza		
en	en		
lo	lo		
humano	humano		
a	a		
que	que		
pudiese	pudiese		
vivir	vivir		
	,		
quedo	quedó		
uno	uno		
de	de		
ellos	ellos		
en	en		
su	su		
asista	asistencia		
qe	que		
	,		
por	por		
Provida	providencia		
divina	divina		
	,		
a	ha		
tenido	tenido		
tal	tal		
acierto	acierto		
qe	que		
lo	lo		
a	ha		
sacado	sacado		
y	y		
se	se		
a	ha		
puesto	puesto		
ya	ya		
en	en		
constitiuzn	constitución		
de	de		
salir	salir		
de	de		
casa	casa		
	.		
y	Y		
nos	nos		
persuadimos	persuadimos		
qe	que		
observando	observando		
buen	buen		
regimen	régimen		
	,		
como	como		
se	se		
le	le		
aconseja	aconseja		
	,		
se	se		
restablesca	restablezca		
enteramte	enteramente		
	.		
y	Y		
el	el		
gasto	gasto		
se	se		
aminorara	aminorará		
a	a		
lo	lo		
preciso	preciso		
para	para		
su	su		
manutezn	manutención		
	,		
pero	pero		
aun	aún		
para	para		
esto	esto		
a	ha		
quedado	quedado		
la	la		
Otra	otra		
Cantd	cantidad		
de	de		
poco	poco		
mas	más		
de	de		
5000	5000		
rrs	reales		
	.		
y	Y		
la	la		
Sala	sala		
me	me		
a	ha		
encargado	encargado		
escriba	escriba		
en	en		
su	su		
nre	nombre		
a	a		
VS	VSa		
ynformandola	informándola		
de	de		
todo	todo		
lo	lo		
referido	referido		
y	y		
que	que		
espera	espera		
de	de		
VS	VSa		
provida	providencia		
para	para		
librar	librar		
la	la		
Cantd	cantidad		
qe	que		
la	la		
pareciese	pareciese		
a	a		
sugeto	sujeto		
que	que		
sea	sea		
de	de		
su	su		
satisfazn	satisfacción		
y	y		
qe	que		
corra	corra		
con	con		
su	su		
distribuzn	distribución		
	,		
segun	según		
las	las		
orns	órdenes		
qe	que		
le	le		
diese	diese		
	.		
porqe	Porque		
no	no		
siendo	siendo		
asi	así		
ni	ni		
teniendo	teniendo		
aqui	aquí		
qn	quien		
lo	lo		
mantenga	mantenga		
	,		
abra	habrá		
a	a		
pedir	pedir		
criminalmte	criminalmente		
	,		
qe	que		
sera	será		
cosa	cosa		
mui	muy		
dolorosa	dolorosa		
	.		
y	Y		
si	si		
a	a		
VS	VSa		
le	le		
pareciese	pareciese		
dar	dar		
disposizn	disposición		
a	a		
que	que		
se	se		
regrese	regrese		
alla	allá		
	,		
el	él		
me	me		
a	ha		
manifestado	manifestado		
qe	que		
lo	lo		
desea	desea		
	,		
como	como		
es	es		
tan	tan		
natl	natural		
	,		
y	y		
porqe	porque		
en	en		
el	el		
Rno	reino		
no	no		
puede	puede		
tener	tener		
destino	destino		
ni	ni		
carrera	carrera		
	,		
por	por		
no	no		
tener	tener		
proporcions	proporciones		
pa	para		
ello	ello		
	,		
y	y		
para	para		
la	la		
Militar	militar		
ser	ser		
enteramte	enteramente		
inutil	inútil		
por	por		
su	su		
gran	gran		
falta	falta		
de	de		
vista	vista		
;	.		
esto	Esto		
aun	aun		
quando	cuando		
se	se		
robustesiese	robusteciese		
en	en		
su	su		
salud	salud		
	.		
y	Y		
confia	confía		
la	la		
sala	sala		
qe	que		
no	no		
dara	dará		
VS	VSa		
lugar	lugar		
a	a		
qe	que		
se	se		
pierda	pierda		
este	este		
su	su		
hijo	hijo		
qe	que		
	,		
extra	extra		
de	de		
lo	lo		
qe	que		
dejo	dejó		
dho	dicho		
	,		
en	en		
las	las		
demas	demás		
qualidades	cualidades		
suias	suyas		
no	no		
a	ha		
desmerecido	desmerecido		
porqe	porque		
no	no		
a	ha		
dado	dado		
que	que		
hacer	hacer		
ni	ni		
decir	decir		
en	en		
cosa	cosa		
qe	que		
desdiga	desdiga		
de	de		
su	su		
Nacimto	nacimiento		
y	y		
buena	buena		
sangre	sangre		
	.		
y	Y		
	,		
en	en		
el	el		
caso	caso		
de	de		
que	que		
delivere	delibere		
VS	VSa		
retirarlo	retirarlo		
alla	allá		
	,		
podra	podrá		
remitir	remitir		
aquellos	aquellos		
instrumtos	instrumentos		
que	que		
sean	sean		
precisos	precisos		
para	para		
qe	que		
no	no		
haia	haya		
reparo	reparo		
en	en		
su	su		
embarque	embarque		
	,		
encomendandole	encomendándole		
a	a		
persona	persona		
qe	que		
sea	sea		
de	de		
la	la		
satisfazn	satisfacción		
de	de		
VS	VSa		
	.		
y	Y		
tambien	también		
la	la		
Sala	sala		
concurrira	concurrirá		
a	a		
facilitarlo	facilitarlo		
.	.		
Aunqe	Aunque		
sea	sea		
con	con		
este	este		
poco	poco		
gustoso	gustoso		
motivo	motivo		
	,		
tengo	tengo		
la	la		
Complaza	complacencia		
de	de		
ofrecerme	ofrecerme		
a	a		
VS	VSa		
con	con		
deseos	deseos		
de	de		
qe	que		
me	me		
exercite	ejercite		
pa	para		
este	este		
Pais	país		
en	en		
quanto	cuanto		
la	la		
ocurra	ocurra		
de	de		
su	su		
satisfazn	satisfacción		
	.		
y	Y		
quedo	quedo		
Rogdo	rogando		
a	a		
Nro	Nuestro		
Sr	Señor		
ge	guarde		
a	a		
VS	VSa		
ms	muchos		
as	años		
	.		
Seva	Sevilla		
	,		
26	26		
de	de		
Sepe	septiembre		
de	de		
1772	1772		
	.		
Mi	Mi		
sra	señora		
da	doña		
Rosa	Rosa		
de	de		
la	la		
Puente	Puente		
	.		
PD	PD		
Su	Su		
hijo	hijo		
de	de		
VS	VSa		
me	me		
a	ha		
remitido	remitido		
la	la		
adjunta	adjunta		
	.		
qe	Que		
en	en		
lo	lo		
qe	que		
luego	luego		
qe	que		
le	le		
permite	permite		
su	su		
combaleza	convalecencia		
me	me		
a	ha		
parecido	parecido		
se	se		
explica	explica		
y	y		
para	para		
qe	que		
	,		
dispensandole	dispensándole		
como	como		
Me	madre		
en	en		
lo	lo		
qe	que		
ha	ha		
faltado	faltado		
a	a		
lo	lo		
qe	que		
devia	debía		
haver	haber		
executado	ejecutado		
	,		
le	le		
atienda	atienda		
y	y		
mire	mire		
como	como		
qe	que		
es	es		
su	su		
hijo	hijo		
	.		
