AVe	Ave	I	ave
señoa	señora	NP00000	señor
Doña	doña	NP00000	don
Rosa	Rosa	NP00000	rosa
i	y	CC	y
queda	queda	VMIP3S0	quedar
satisfecha	satisfecha	VMP00SF	satisfacer
.	.	Fp	.
El	El	DA0MS0	el
despacho	despacho	NCMS000	despacho
se	se	PP3CN000	se
la	la	PP3FSA00	lo
notifico	notificó	VMIS3S0	notificar
a	a	SPS00	a
Don	don	NP00000	don
Carlos	Carlos	NP00000	carlos
por	por	SPS00	por
Jabielr	Javier	NP00000	javier
	,	Fc	,
el	el	DA0MS0	el
de	de	SPS00	de
San	San	NP00000	san
lemente	Clemente	NP00000	clemente
,	,	Fc	,
el	el	DA0MS0	el
notario	notario	NCMS000	notario
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
despacho	despacho	NCMS000	despacho
se	se	P00CN000	se
le	le	PP3CSD00	le
a	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
a	a	SPS00	a
fr	fray	NP00000	fray
Gregorio	Gregorio	NP00000	gregorio
,	.	Fp	.
i	Y	CC	y
la	la	DA0FS0	el
ynformazion	información	NCFS000	información
la	la	PP3FSA00	lo
an	han	VMIP3P0	haber
de	de	SPS00	de
azer	hacer	VMN0000	hacer
maña	mañana	RG	mañana
con	con	SPS00	con
Martin	Martín	NP00000	martín
de	de	SPS00	de
Minaia	Minaya	NP00000	minaya
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
aziendola	haciéndola	VMG0000+PP3FSA00	hacer+lo
	,	Fc	,
de	de	SPS00	de
contado	contado	NCMS000	contado
la	la	PP3FSA00	lo
Remitiran	remitirán	VMIF3P0	remitir
i	y	CC	y
no	no	RN	no
se	se	P00CN000	se
a	ha	VAIP3S0	haber
podido	podido	VMP0000	poder
antes	antes	RG	antes
.	.	Fp	.
Lleba	Lleva	VMIP3S0	llevar
el	el	DA0MS0	el
dador	dador	NCMS000	dador
de	de	SPS00	de
esta	ésta	PD0FS000	este
Zien	cien	Z	100
manojos	manojos	NCMP000	manojo
de	de	SPS00	de
espaRagos	espárragos	NCMP000	espárrago
,	,	Fc	,
que	que	CS	que
esos	ésos	PD0MP000	ese
an	han	VAIP3P0	haber
parezio	parecido	VMP0000	parecer
ser	ser	VSN0000	ser
bastantes	bastantes	PI0CP000	bastante
;	.	Fp	.
Aqui	Aquí	RG	aquí
no	no	RN	no
ai	hay	VMIP3S0	haber
oi	hoy	RG	hoy
nobedad	novedad	NCFS000	novedad
alguna	alguna	DI0FS0	alguno
que	que	PR0CN000	que
partiziparle	participarle	VMN0000+PP3CSD00	participar+le
a	a	SPS00	a
Vmd	VM	NP00000	VM
	.	Fp	.
Dios	Dios	NP00000	dios
me	me	PP1CS000	me
le	le	PP3CSA00	le
guarde	guarde	VMSP0S0	guardar
m	muchos	DI0MP0	mucho
años	años	NCMP000	año
i	y	CC	y
que	que	CS	que
benga	venga	VMSP0S0	venir
presto	presto	RG	presto
,	.	Fp	.
Minaia	Minaya	NP00000	minaya
	,	Fc	,
y	y	CC	y
Abril	abril	NCMS000	abril
8	8	Z	8
de	de	SPS00	de
1754	1754	Z	1754
	.	Fp	.
de	De	SPS00	de
Vmd	VM	NP00000	VM
ex	ex	NP00000	VM
corde	corde	NP00000	VM
que	que	PR0CN000	que
S	su	DP3CS0	su
M	mano	NCFS000	mano
Bsa	besa	VMIP3S0	besar
	,	Fc	,
fr	fray	NP00000	fray
fran	Francisco	NP00000	francisco
de	de	SPS00	de
Almagro	Almagro	NP00000	almagro
Sor	Señor	NP00000	señor
Don	don	NP00000	don
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
SeRa	Serra	NP00000	serra
	.	Fp	.
