Mi	Mi	DP1CSS	mi
ella	ella	PP3FS000	él
lo	lo	PP3CNA00	lo
tiene	tiene	VMIP3S0	tener
declarado	declarado	VMP00SM	declarar
asi	así	RG	así
ante	ante	SPS00	ante
la	la	DA0FS0	el
Justicia	justicia	NCFS000	justicia
de	de	SPS00	de
esta	esta	DD0FS0	este
Villa	villa	NCFS000	villa
con	con	SPS00	con
el	el	DA0MS0	el
essno	escribano	NCMS000	escribano
mismo	mismo	AQ0MS0	mismo
que	que	PR0CN000	que
le	le	PP3CSD00	le
recivio	recibió	VMIS3S0	recibir
la	la	DA0FS0	el
prima	primera	AO0FS0	primero
declaracion	declaración	NCFS000	declaración
,	,	Fc	,
diziendo	diciendo	VMG0000	decir
en	en	SPS00	en
esta	ésta	PD0FS000	este
que	que	CS	que
la	la	DA0FS0	el
otra	otra	PI0FS000	otro
la	la	PP3FSA00	lo
hizo	hizo	VMIS3S0	hacer
sin	sin	SPS00	sin
conocimto	conocimiento	NCMS000	conocimiento
y	y	CC	y
conturbada	conturbada	VMP00SF	conturbar
con	con	SPS00	con
sus	sus	DP3CP0	su
accidentes	accidentes	NCMP000	accidente
	,	Fc	,
que	que	CS	que
no	no	RN	no
supo	supo	VMIS3S0	saber
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
hizo	hizo	VMIS3S0	hacer
	.	Fp	.
en	En	SPS00	en
esta	ésta	PD0FS000	este
ha	ha	VAIP3S0	haber
enmendado	enmendado	VMP0000	enmendar
su	su	DP3CS0	su
hierro	hierro	NCMS000	hierro
y	y	CC	y
dize	dice	VMIP3S0	decir
declarara	declarará	VMIF3S0	declarar
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
quando	cuando	PA000000	cuando
se	se	P00CN000	se
le	le	PP3CSD00	le
pida	pida	VMSP0S0	pedir
por	por	SPS00	por
el	el	DA0MS0	el
señor	señor	NP00000	señor
Provor	provisor	NCMS000	provisor
	.	Fp	.
esta	Esta	DD0FS0	este
pobre	pobre	AQ0CS0	pobre
Ya	ya	CC	ya
ha	ha	VAIP3S0	haber
cumplido	cumplido	VMP0000	cumplir
con	con	SPS00	con
Vmd	VM	NP00000	VM
a	a	SPS00	a
costa	costa	NCFS000	costa
de	de	SPS00	de
su	su	DP3CS0	su
honrra	honra	NCFS000	honra
y	y	CC	y
Conciencia	conciencia	NCFS000	conciencia
,	.	Fp	.
aora	Ahora	RG	ahora
resta	resta	VMIP3S0	restar
que	que	CS	que
Vmd	VM	NP00000	VM
Corresponda	corresponda	VMSP0S0	corresponder
agradecido	agradecido	VMP00SM	agradecer
mirandolo	mirandolo	VMG0000+PP3MSA00	mirar+lo
primo	primero	RG	primero
a	a	SPS00	a
Ds	Dios	NP00000	dios
	,	Fc	,
su	su	DP3CS0	su
Conciencia	conciencia	NCFS000	conciencia
y	y	CC	y
a	a	SPS00	a
esta	esta	DD0FS0	este
pobre	pobre	AQ0CS0	pobre
que	que	PR0CN000	que
mañana	mañana	RG	mañana
la	la	PP3FSA00	lo
echaran	echarán	VMIF3P0	echar
de	de	SPS00	de
aqui	aquí	RG	aquí
	.	Fp	.
Y	Y	CC	y
	,	Fc	,
si	si	CS	si
Vmd	VM	NP00000	VM
no	no	RN	no
la	la	PP3FSA00	lo
socorre	socorre	VMIP3S0	socorrer
Como	como	CS	como
esta	está	VMIP3S0	estar
obligado	obligado	VMP00SM	obligar
	,	Fc	,
le	le	PP3CSA00	le
precisara	precisará	VMIF3S0	precisar
a	a	SPS00	a
irse	irse	VMN0000+P00CN000	ir+se
por	por	SPS00	por
ese	ese	DD0MS0	ese
mundo	mundo	NCMS000	mundo
pidiendo	pidiendo	VMG0000	pedir
una	una	DI0FS0	uno
limosna	limosna	NCFS000	limosna
porque	porque	CS	porque
se	se	P00CN000	se
halla	halla	VMIP3S0	hallar
aborrecida	aborrecida	VMP00SF	aborrecer
de	de	SPS00	de
los	los	DA0MP0	el
suios	suyos	PX3MP000	suyo
Y	y	CC	y
no	no	RN	no
la	la	PP3FSA00	lo
admitiran	admitirán	VMIF3P0	admitir
en	en	SPS00	en
su	su	DP3CS0	su
Compañia	compañía	NCFS000	compañía
,	.	Fp	.
oi	Hoy	RG	hoy
	,	Fc	,
dia	día	NCMS000	día
de	de	SPS00	de
la	la	DA0FS0	el
fha	fecha	NCFS000	fecha
	,	Fc	,
ha	ha	VAIP3S0	haber
otorgado	otorgado	VMP0000	otorgar
un	un	DI0MS0	uno
poder	poder	NCMS000	poder
a	a	SPS00	a
Ynfluxo	influjo	NCMS000	influjo
de	de	SPS00	de
Vmd	VM	NP00000	VM
pa	para	SPS00	para
ponerse	ponerse	VMN0000+P00CN000	poner+se
en	en	SPS00	en
defensa	defensa	NCFS000	defensa
y	y	CC	y
pedir	pedir	VMN0000	pedir
despacho	despacho	NCMS000	despacho
para	para	SPS00	para
que	que	CS	que
se	se	P00CN000	se
le	le	PP3CSD00	le
reciva	reciba	VMSP0S0	recibir
declaracion	declaración	NCFS000	declaración
.	,	Fc	,
Cuio	cuyo	PU0MS000	cuyo
poder	poder	NCMS000	poder
y	y	CC	y
pretension	pretensión	NCFS000	pretensión
me	me	PP1CS000	me
parece	parece	VMIP3S0	parecer
es	es	VSIP3S0	ser
perjudicial	perjudicial	AQ0CS0	perjudicial
para	para	SPS00	para
Vmd	VM	NP00000	VM
y	y	CC	y
para	para	SPS00	para
ella	ella	PP3FS000	él
,	,	Fc	,
pues	pues	CS	pues
	,	Fc	,
como	como	CS	como
Vmd	VM	NP00000	VM
no	no	RN	no
Ygnora	ignora	VMIP3S0	ignorar
	,	Fc	,
toda	toda	DI0FS0	todo
parte	parte	NCFS000	parte
que	que	PR0CN000	que
ofrece	ofrece	VMIP3S0	ofrecer
declarar	declarar	VMN0000	declarar
Voluntariamte	voluntariamente	RG	voluntariamente
es	es	VSIP3S0	ser
sospechosa	sospechosa	AQ0FS0	sospechoso
su	su	DP3CS0	su
declaracion	declaración	NCFS000	declaración
y	y	CC	y
no	no	RN	no
se	se	P00CN000	se
le	le	PP3CSD00	le
da	da	VMIP3S0	dar
entera	entera	AQ0FS0	entero
fee	fe	NCFS000	fe
ni	ni	CCN	ni
Credito	crédito	NCMS000	crédito
en	en	SPS00	en
Juicio	juicio	NCMS000	juicio
ni	ni	CCN	ni
fuera	fuera	RG	fuera
d	de	SPS00	de
el	él	PP3MS000	él
,	,	Fc	,
porque	porque	CS	porque
presumira	presumirá	VMIF3S0	presumir
el	el	DA0MS0	el
señor	señor	NP00000	señor
Provor	provisor	NCMS000	provisor
en	en	SPS00	en
esta	esta	DD0FS0	este
dependiencia	dependencia	NCFS000	dependencia
q	que	CS	que
Vmd	VM	NP00000	VM
la	la	PP3FSA00	lo
ha	ha	VAIP3S0	haber
aconsejado	aconsejado	VMP0000	aconsejar
y	y	CC	y
es	es	VSIP3S0	ser
forzado	forzado	VMP00SM	forzar
a	a	SPS00	a
que	que	CS	que
haga	haga	VMSP0S0	hacer
dha	dicha	VMP00SF	decir
declaracion	declaración	NCFS000	declaración
	.	Fp	.
Vmd	VM	NP00000	VM
aconsexese	aconséjese	VMSP0S0+P00CN000	aconsejar+se
en	en	SPS00	en
este	este	DD0MS0	este
punto	punto	NCMS000	punto
antes	antes	RG	antes
de	de	SPS00	de
dar	dar	VMN0000	dar
el	el	DA0MS0	el
Pedimto	pedimento	NCMS000	pedimento
ni	ni	CCN	ni
presentar	presentar	VMN0000	presentar
dho	dicho	VMP00SM	decir
Poder	poder	NCMS000	poder
con	con	SPS00	con
su	su	DP3CS0	su
Abogado	abogado	NCMS000	abogado
,	,	Fc	,
porque	porque	CS	porque
contemplo	contemplo	VMIP1S0	contemplar
serles	serles	VSN0000+PP3CPD00	ser+le
a	a	SPS00	a
Vmd	VM	NP00000	VM
y	y	CC	y
a	a	SPS00	a
Manuela	Manuela	NP00000	manuela
esta	esta	DD0FS0	este
determinacion	determinación	NCFS000	determinación
Perjudicial	perjudicial	AQ0CS0	perjudicial
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
que	que	CS	que
Vmd	VM	NP00000	VM
lo	lo	PP3CNA00	lo
pida	pida	VMSP0S0	pedir
en	en	SPS00	en
su	su	DP3CS0	su
Alegato	alegato	NCMS000	alegato
.	.	Fp	.
Yo	Yo	PP1CSN00	yo
hare	haré	VMIF1S0	hacer
por	por	SPS00	por
Vmd	VM	NP00000	VM
quanto	cuanto	PR0MS000	cuanto
me	me	PP1CS000	me
pide	pide	VMIP3S0	pedir
Y	y	CC	y
aun	aún	RG	aun
mas	más	RC	más
	,	Fc	,
pero	pero	CC	pero
no	no	RN	no
deje	deje	VMSP0S0	dejar
Vmd	VM	NP00000	VM
de	de	SPS00	de
solicitar	solicitar	VMN0000	solicitar
medio	medio	NCMS000	medio
para	para	SPS00	para
socorrer	socorrer	VMN0000	socorrer
a	a	SPS00	a
esta	esta	DD0FS0	este
Pobre	pobre	AQ0CS0	pobre
	,	Fc	,
que	que	CS	que
causa	causa	VMIP3S0	causar
lastima	lástima	NCFS000	lástima
el	el	DA0MS0	el
mirarla	mirarla	VMN0000+PP3FSA00	mirar+lo
	,	Fc	,
que	que	CS	que
no	no	RN	no
tiene	tiene	VMIP3S0	tener
alientos	alientos	NCMP000	aliento
para	para	SPS00	para
mirar	mirar	VMN0000	mirar
	.	Fp	.
y	Y	CC	y
si	si	CS	si
no	no	RN	no
hubiera	hubiera	VASI0S0	haber
sido	sido	VSP0000	ser
por	por	SPS00	por
mi	mí	PP1CSO00	mí
que	que	PR0CN000	que
la	la	PP3FSA00	lo
he	he	VAIP1S0	haber
animado	animado	VMP0000	animar
	,	Fc	,
se	se	P00CN000	se
hubiera	hubiera	VASI0S0	haber
muerto	muerto	VMP0000	morir
.	.	Fp	.
oi	Hoy	RG	hoy
en	en	SPS00	en
este	este	DD0MS0	este
dia	día	NCMS000	día
he	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
Carta	carta	NCFS000	carta
del	del	SPS00+DA0MS0	de+el
Cura	cura	NCMS000	cura
d	de	SPS00	de
el	El	DA0MS0	el
Hito	Hito	NP00000	hito
por	por	SPS00	por
la	la	DA0FS0	el
que	que	PR0CN000	que
dize	dice	VMIP3S0	decir
ha	ha	VAIP3S0	haber
tenido	tenido	VMP0000	tener
noticias	noticias	NCFP000	noticia
de	de	SPS00	de
que	que	CS	que
Vmd	VM	NP00000	VM
quiere	quiere	VMIP3S0	querer
permutar	permutar	VMN0000	permutar
y	y	CC	y
q	que	CS	que
a	a	SPS00	a
el	él	PP3MS000	él
le	le	PP3CSD00	le
tenia	tenía	VMII0S0	tener
Cuenta	cuenta	NCFS000	cuenta
este	este	DD0MS0	este
Curato	curato	NCMS000	cuarto
por	por	SPS00	por
estar	estar	VMN0000	estar
Cerca	cerca	RG	cerca
de	de	SPS00	de
sus	sus	DP3CP0	su
Padres	padres	NCMP000	padre
	.	Fp	.
Vmd	VM	NP00000	VM
me	me	PP1CS000	me
avise	avise	VMSP0S0	avisar
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
ai	hay	VMIP3S0	haber
en	en	SPS00	en
esto	esto	PD0NN000	esto
pa	para	SPS00	para
responderle	responderle	VMN0000+PP3CSD00	responder+le
Y	y	CC	y
que	que	CS	que
sea	sea	VSSP0S0	ser
con	con	SPS00	con
brevedad	brevedad	NCFS000	brevedad
	.	Fp	.
Albendia	Albendía	NP00000	albendía
Y	y	CC	y
Juan	Juan	NP00000	juan
Jph	José	NP00000	josé
se	se	P00CN000	se
hallan	hallan	VMIP3P0	hallar
en	en	SPS00	en
essa	esa	DD0FS0	ese
Ciudad	ciudad	NCFS000	ciudad
	.	Fp	.
no	No	RN	no
se	sé	VMIP1S0	saber
si	si	CSI	si
alguno	alguno	PI0MS000	alguno
Vera	verá	VMIF3S0	ver
a	a	SPS00	a
Vmd	VM	NP00000	VM
	.	Fp	.
Y	Y	CC	y
	,	Fc	,
no	no	RN	no
ofreciendose	ofreciéndose	VMG0000+P00CN000	ofrecer+se
otra	otra	DI0FS0	otro
Cosa	cosa	NCFS000	cosa
por	por	SPS00	por
aora	ahora	RG	ahora
	,	Fc	,
recivira	recibirá	VMIF3S0	recibir
Vmd	VM	NP00000	VM
mems	memorias	NCFP000	memoria
de	de	SPS00	de
Manuela	Manuela	NP00000	manuela
Y	y	CC	y
mias	mías	PX1FP0S0	mío
	.	Fc	,
Ynterin	Ínterin	RG	ínterin
quedo	quedo	VMIP1S0	quedar
Rogando	rogando	VMG0000	rogar
a	a	SPS00	a
Ds	Dios	NP00000	dios
Gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vmd	VM	NP00000	VM
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Mazarulleque	Mazarulleque	NP00000	mazarulleque
	,	Fc	,
y	y	CC	y
Marzo	marzo	NCMS000	marzo
22	22	Z	22
de	de	SPS00	de
1757	1757	Z	1757
	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
mo	mano	NCFS000	mano
de	de	SPS00	de
Vmd	VM	NP00000	VM
su	su	DP3CS0	su
sego	seguro	AQ0MS0	seguro
servor	servidor	NCMS000	servidor
y	y	CC	y
Amo	amigo	NP00000	amigo
	,	Fc	,
Joseph	José	NP00000	josé
Pardo	Pardo	NP00000	pardo
Mi	Mi	DP1CSS	mi
Amo	amigo	NP00000	amigo
y	y	CC	y
sor	señor	NP00000	señor
Dn	don	NP00000	don
Juan	Juan	NP00000	juan
Jph	José	NP00000	josé
Aranda	Aranda	NP00000	aranda
	.	Fp	.
