Mui	Muy	RQ	muy
sor	Señor	NP00000	señor
gde	guarde	VMSP0S0	guardar
la	la	DA0FS0	el
vida	vida	NCFS000	vida
de	de	SPS00	de
Vs	VSa	NP00000	VSa
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Arcos	Arcos	NP00000	arcos
	,	Fc	,
y	y	CC	y
Junio	junio	NCMS000	junio
26	26	Z	26
de	de	SPS00	de
1772	1772	Z	1772
.	.	Fp	.
B	Besa	VMIP3S0	besar
L	las	DA0FP0	el
M	manos	NCFP000	mano
de	de	SPS00	de
VS	VSa	NP00000	VSa
su	su	DP3CS0	su
ms	más	RC	más
rendido	rendido	VMP00SM	rendir
servor	servidor	NCMS000	servidor
	,	Fc	,
Nicolas	Nicolás	NP00000	nicolás
de	de	SPS00	de
Lanuza	Lanuza	NP00000	lanuza
Sor	Señor	NP00000	señor
Marques	marqués	NCMS000	marqués
de	de	SPS00	de
Sobremonte	Sobremonte	NP00000	sobremonte
	.	Fp	.
El	El	DA0MS0	el
Medico	médico	NCMS000	médico
encarga	encarga	VMIP3S0	encargar
no	no	RN	no
le	le	PP3CSD00	le
den	den	VMSP3P0	dar
un	un	DI0MS0	uno
leve	leve	AQ0CS0	leve
disgtto	disgusto	NCMS000	disgusto
en	en	SPS00	en
la	la	DA0FS0	el
Casa	casa	NCFS000	casa
donde	donde	PA000000	donde
fuere	fuere	VMSF0S0	ir
a	a	SPS00	a
parar	parar	VMN0000	parar
,	,	Fc	,
porqe	porque	CS	porque
no	no	RN	no
sano	sanó	VMIS3S0	sanar
del	del	SPS00+DA0MS0	de+el
dolor	dolor	NCMS000	dolor
y	y	CC	y
fallezera	fallecerá	VMIF3S0	fallecer
sin	sin	SPS00	sin
remedio	remedio	NCMS000	remedio
	.	Fp	.
