AVe	Ave	I	ave
a	a	SPS00	a
punto	punto	NCMS000	punto
fijo	fijo	AQ0MS0	fijo
no	no	RN	no
se	se	P00CN000	se
a	ha	VAIP3S0	haber
podio	podido	VMP0000	poder
ajustar	ajustar	VMN0000	ajustar
;	.	Fp	.
i	Y	CC	y
en	en	SPS00	en
aquel	aquel	DD0MS0	aquel
mismo	mismo	AQ0MS0	mismo
dia	día	NCMS000	día
que	que	PR0CN000	que
binieron	vinieron	VMIS3P0	venir
de	de	SPS00	de
fuensanta	Fuensanta	NP00000	fuensanta
entro	entró	VMIS3S0	entrar
en	en	SPS00	en
casa	casa	NCFS000	casa
de	de	SPS00	de
Vmd	VM	NP00000	VM
i	y	CC	y
fue	fue	VMIS3S0	ir
prosiguindo	prosiguiendo	VMG0000	proseguir
asta	hasta	SPS00	hasta
que	que	CS	que
Vmd	VM	NP00000	VM
save	sabe	VMIP3S0	saber
	.	Fp	.
esto	Esto	PD0NN000	esto
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
a	ha	VAIP3S0	haber
podio	podido	VMP0000	poder
sacar	sacar	VMN0000	sacar
en	en	SPS00	en
linpio	limpio	AQ0MS0	limpio
,	.	Fp	.
si	Si	CS	si
fuese	fuese	VSSI0S0	ser
mui	muy	RQ	muy
nezesario	necesario	AQ0MS0	necesario
	,	Fc	,
se	se	P00CN000	se
preguntara	preguntará	VMIF3S0	preguntar
a	a	SPS00	a
los	los	DA0MP0	el
mismos	mismos	AQ0MP0	mismo
sujetos	sujetos	NCMP000	sujeto
si	si	CS	si
acaso	acaso	RG	acaso
ellos	ellos	PP3MP000	ellos
se	se	P00CN000	se
acurdan	acuerdan	VMIP3P0	acordar
a	a	SPS00	a
punto	punto	NCMS000	punto
fijo	fijo	AQ0MS0	fijo
,	.	Fp	.
i	Y	CC	y
quiera	quiera	VMSP0S0	querer
Dios	Dios	NP00000	dios
que	que	CS	que
estas	éstas	PD0FP000	este
sirban	sirvan	VMSP3P0	servir
de	de	SPS00	de
algun	algún	DI0MS0	alguno
probecho	provecho	NCMS000	provecho
;	.	Fp	.
oi	Hoy	RG	hoy
no	no	RN	no
ai	hay	VMIP3S0	haber
nobedad	novedad	NCFS000	novedad
alguna	alguna	DI0FS0	alguno
que	que	PR0CN000	que
partiziparle	participarle	VMN0000+PP3CSD00	participar+le
Vmd	VM	NP00000	VM
	.	Fp	.
Dios	Dios	NP00000	dios
me	me	PP1CS000	me
le	le	PP3CSA00	le
guarde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vmd	VM	NP00000	VM
los	los	DA0MP0	el
m	muchos	DI0MP0	mucho
años	años	NCMP000	año
que	que	PR0CN000	que
deseo	deseo	VMIP1S0	desear
	.	Fp	.
minaia	Minaya	NP00000	minaya
	,	Fc	,
i	y	CC	y
maio	mayo	NCMS000	mayo
30	30	Z	30
de	de	SPS00	de
1748	1748	Z	1748
a	años	NCMP000	año
	.	Fp	.
de	De	SPS00	de
Vmd	VM	NP00000	VM
ex	ex	NP00000	VM
corde	corde	NP00000	VM
	,	Fc	,
fr	fray	NP00000	fray
fran	Francisco	NP00000	francisco
de	de	SPS00	de
Almagro	Almagro	NP00000	almagro
A	A	SPS00	a
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
memorias	memorias	NCFP000	memoria
de	de	SPS00	de
todos	todos	PI0MP000	todo
.	.	Fp	.
Don	Don	NP00000	don
Juan	Juan	NP00000	juan
martinez	Martínez	NP00000	martínez
llego	llegó	VMIS3S0	llegar
oi	hoy	RG	hoy
a	a	SPS00	a
minaia	Minaya	NP00000	minaya
dia	día	NCMS000	día
30	30	Z	30
.	.	Fp	.
Sor	Señor	NP00000	señor
Don	don	NP00000	don
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
SeRa	Serra	NP00000	serra
	.	Fp	.
