J	Jesús	NP00000	jesús
atender	atender	VMN0000	atender
a	a	SPS00	a
Dios	Dios	NP00000	dios
amorosamente	amorosamente	RG	amorosamente
con	con	SPS00	con
sosiego	sosiego	NCMS000	sosiego
y	y	CC	y
paz	paz	NCFS000	paz
y	y	CC	y
suabidad	suavidad	NCFS000	suavidad
.	.	Fp	.
Sea	Sea	VSSP0S0	ser
lo	lo	DA0NS0	el
segundo	segundo	RG	segundo
procurar	procurar	VMN0000	procurar
en	en	SPS00	en
esta	esta	DD0FS0	este
atencion	atención	NCFS000	atención
amorosa	amorosa	AQ0FS0	amoroso
	,	Fc	,
demas	demás	RG	demás
de	de	SPS00	de
el	el	DA0MS0	el
sosiego	sosiego	NCMS000	sosiego
y	y	CC	y
paz	paz	NCFS000	paz
	,	Fc	,
un	un	DI0MS0	uno
olvidarse	olvidarse	VMN0000+P00CN000	olvidar+se
de	de	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
no	no	RN	no
sea	sea	VSSP0S0	ser
estar	estar	VMN0000	estar
en	en	SPS00	en
la	la	DA0FS0	el
atencion	atención	NCFS000	atención
amorosa	amorosa	AQ0FS0	amoroso
con	con	SPS00	con
el	el	DA0MS0	el
sosiego	sosiego	NCMS000	sosiego
y	y	CC	y
paz	paz	NCFS000	paz
que	que	PR0CN000	que
e	he	VAIP1S0	haber
dicho	dicho	VMP0000	decir
	.	Fp	.
y	Y	CC	y
si	si	CS	si
,	,	Fc	,
Hixa	hija	NP00000	hijo
mia	mía	DP1FSS	mío
	,	Fc	,
no	no	RN	no
pudiese	pudiese	VMSI0S0	poder
sosegarse	sosegarse	VMN0000+P00CN000	sesegar+se
por	por	SPS00	por
estar	estar	VMN0000	estar
la	la	DA0FS0	el
Ymaxinacion	imaginación	NCFS000	imaginación
ynquieta	inquieta	AQ0FS0	inquieto
y	y	CC	y
no	no	RN	no
dexar	dejar	VMN0000	dejar
al	al	SPS00+DA0MS0	a+el
Alma	alma	NCFS000	alma
en	en	SPS00	en
su	su	DP3CS0	su
atencion	atención	NCFS000	atención
y	y	CC	y
paz	paz	NCFS000	paz
	,	Fc	,
no	no	RN	no
se	se	P00CN000	se
pene	pene	VMSP0S0	penar
por	por	SPS00	por
eso	eso	PD0NN000	eso
	.	Fp	.
lo	Lo	DA0NS0	el
que	que	PR0CN000	que
a	ha	VMIP3S0	haber
de	de	SPS00	de
acer	hacer	VMN0000	hacer
es	es	VSIP3S0	ser
acerse	hacerse	VMN0000+P00CN000	hacer+se
sorda	sorda	AQ0FS0	sordo
a	a	SPS00	a
toda	toda	DI0FS0	todo
la	la	DA0FS0	el
bulla	bulla	NCFS000	bulla
y	y	CC	y
	,	Fc	,
como	como	CS	como
pueda	pueda	VMSP0S0	poder
	,	Fc	,
acer	hacer	VMN0000	hacer
por	por	SPS00	por
estar	estar	VMN0000	estar
en	en	SPS00	en
silencio	silencio	NCMS000	silencio
en	en	SPS00	en
su	su	DP3CS0	su
atencion	atención	NCFS000	atención
amorosa	amorosa	AQ0FS0	amoroso
,	,	Fc	,
que	que	CS	que
mientras	mientras	RG	mientras
se	se	P00CN000	se
pene	pene	VMSP0S0	penar
porque	porque	CS	porque
no	no	RN	no
esta	está	VMIP3S0	estar
como	como	CS	como
la	la	PP3FSA00	lo
mando	mando	VMIP1S0	mandar
se	se	P00CN000	se
ocupa	ocupa	VMIP3S0	ocupar
en	en	SPS00	en
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
distinta	distinta	AQ0FS0	distinto
de	de	SPS00	de
atender	atender	VMN0000	atender
a	a	SPS00	a
Dios	Dios	NP00000	dios
	,	Fc	,
pues	pues	CS	pues
se	se	P00CN000	se
va	va	VMIP3S0	ir
tras	tras	SPS00	tras
la	la	DA0FS0	el
pena	pena	NCFS000	pena
de	de	SPS00	de
parecerla	parecerla	VMN0000+PP3FSA00	parecer+lo
no	no	RN	no
lo	lo	PP3CNA00	lo
ace	hace	VMIP3S0	hacer
como	como	CS	como
se	se	PP3CN000	se
la	la	PP3FSA00	lo
mando	mando	VMIP1S0	mandar
	.	Fp	.
y	Y	CC	y
esa	esa	DD0FS0	ese
pena	pena	NCFS000	pena
	,	Fc	,
Hixa	hija	NP00000	hijo
mia	mía	DP1FSS	mío
	,	Fc	,
es	es	VSIP3S0	ser
inpedimento	impedimento	NCMS000	impedimento
	,	Fc	,
pues	pues	CS	pues
como	como	CS	como
conoce	conoce	VMIP3S0	conocer
el	el	DA0MS0	el
Alma	alma	NCFS000	alma
en	en	SPS00	en
ella	ella	PP3FS000	él
se	se	P00CN000	se
para	para	VMIP3S0	parar
y	y	CC	y
mientras	mientras	RG	mientras
esta	está	VMIP3S0	estar
en	en	SPS00	en
ella	ella	PP3FS000	él
no	no	RN	no
esta	está	VMIP3S0	estar
en	en	SPS00	en
total	total	AQ0CS0	total
desnudez	desnudez	NCFS000	desnudez
para	para	SPS00	para
que	que	CS	que
el	el	DA0MS0	el
señor	Señor	NP00000	señor
la	la	PP3FSA00	lo
llene	llene	VMSP0S0	llenar
.	.	Fp	.
Sea	Sea	VSSP0S0	ser
el	el	DA0MS0	el
tercero	tercero	AO0MS0	tercero
	,	Fc	,
Hixa	hija	NP00000	hijo
mia	mía	DP1FSS	mío
	,	Fc	,
la	la	DA0FS0	el
esplicaciom	explicación	NCFS000	explicación
de	de	SPS00	de
el	el	DA0MS0	el
estado	estado	NCMS000	estado
en	en	SPS00	en
que	que	PR0CN000	que
oi	hoy	RG	hoy
tiene	tiene	VMIP3S0	tener
el	el	DA0MS0	el
señor	Señor	NP00000	señor
por	por	SPS00	por
su	su	DP3CS0	su
infinita	infinita	AQ0FS0	infinito
misericordia	misericordia	NCFS000	misericordia
a	a	SPS00	a
su	su	DP3CS0	su
Alma	alma	NCFS000	alma
	,	Fc	,
que	que	CS	que
si	si	CS	si
le	le	PP3CSD00	le
acierto	acierto	VMIP1S0	acertar
a	a	SPS00	a
esplicar	explicar	VMN0000	explicar
no	no	RN	no
necesita	necesita	VMIP3S0	necesitar
Al	al	SPS00+DA0MS0	a+el
presente	presente	NCMS000	presente
de	de	SPS00	de
mas	más	RC	más
,	.	Fp	.
ya	Ya	RG	ya
la	la	PP3FSA00	lo
tengo	tengo	VMIP1S0	tener
dicha	dicha	VMP00SF	decir
que	que	CS	que
	,	Fc	,
si	si	CS	si
la	la	PP3FSA00	lo
meten	meten	VMIP3P0	meter
a	a	SPS00	a
el	el	DA0MS0	el
Alma	alma	NCFS000	alma
al	al	SPS00+DA0MS0	a+el
recoximiento	recogimiento	NCMS000	recogimiento
ynterior	interior	AQ0CS0	interior
	,	Fc	,
metase	métase	VMSP0S0+P00CN000	meter+se
en	en	SPS00	en
el	él	PP3MS000	él
profundando	profundando	VMG0000	profundar
quanto	cuanto	PR0MS000	cuanto
pueda	pueda	VMSP0S0	poder
con	con	SPS00	con
la	la	DA0FS0	el
atencion	atención	NCFS000	atención
amorosa	amorosa	AQ0FS0	amoroso
	,	Fc	,
pacifica	pacífica	AQ0FS0	pacífico
y	y	CC	y
suabe	suave	AQ0CS0	suave
i	y	CC	y
estese	estese	VMSP0S0+P00CN000	estar+se
alli	allí	RG	allí
sienpre	siempre	RG	siempre
que	que	CS	que
el	el	DA0MS0	el
Alma	alma	NCFS000	alma
se	se	P00CN000	se
quisiese	quisiese	VMSI0S0	querer
estar	estar	VMN0000	estar
alli	allí	RG	allí
	,	Fc	,
pues	pues	CS	pues
es	es	VSIP3S0	ser
a	a	SPS00	a
mi	mi	DP1CSS	mi
ver	ver	VMN0000	ver
	,	Fc	,
Hixa	hija	NP00000	hijo
mia	mía	DP1FSS	mío
	,	Fc	,
la	la	DA0FS0	el
fragua	fragua	NCFS000	fragua
adonde	adonde	PA000000	adonde
se	se	P00CN000	se
purifica	purifica	VMIP3S0	purificar
el	el	DA0MS0	el
Alma	alma	NCFS000	alma
de	de	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
inperfecto	imperfecto	AQ0MS0	imperfecto
	.	Fp	.
y	Y	CC	y
	,	Fc	,
asi	así	RG	así
	,	Fc	,
sienpre	siempre	RG	siempre
que	que	CS	que
la	la	PP3FSA00	lo
metan	metan	VMSP3P0	meter
vaiase	váyase	VMSP0S0+P00CN000	ir+se
y	y	CC	y
sienpre	siempre	RG	siempre
que	que	CS	que
estando	estando	VMG0000	estar
en	en	SPS00	en
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
y	y	CC	y
en	en	SPS00	en
ella	ella	PP3FS000	él
no	no	RN	no
se	se	P00CN000	se
allase	hallase	VMSI0S0	hallar
vien	bien	RG	bien
recoxase	recójase	VMSP0S0+P00CN000	recoger+se
con	con	SPS00	con
sosiego	sosiego	NCMS000	sosiego
y	y	CC	y
paz	paz	NCFS000	paz
.	.	Fp	.
Esplicareme	Explicareme	VMIF1S0+PP1CS000	explicar+me
	:	Fd	:
esta	está	VMIP3S0	estar
el	el	DA0MS0	el
Alma	alma	NCFS000	alma
en	en	SPS00	en
su	su	DP3CS0	su
recoximiento	recogimiento	NCMS000	recogimiento
interior	interior	AQ0CS0	interior
y	y	CC	y
se	se	P00CN000	se
divirtio	divirtió	VMIS3S0	divertir
saliendo	saliendo	VMG0000	salir
afuera	afuera	RG	afuera
con	con	SPS00	con
alguna	alguna	DI0FS0	alguno
especie	especie	NCFS000	especie
,	;	Fx	;
luego	luego	RG	luego
que	que	CS	que
advierte	advierte	VMIP3S0	advertir
vaiase	váyase	VMSP0S0+P00CN000	ir+se
a	a	SPS00	a
su	su	DP3CS0	su
recoximiento	recogimiento	NCMS000	recogimiento
y	y	CC	y
no	no	RN	no
atienda	atienda	VMSP0S0	atender
a	a	SPS00	a
nada	nada	PI0NN00N	nada
	.	Fp	.
este	Este	DD0MS0	este
xenero	género	NCMS000	género
ia	ya	RG	ya
le	le	PP3CSD00	le
llevo	llevo	VMIP1S0	llevar
esplicado	explicado	VMP00SM	explicar
,	.	Fp	.
lo	Lo	DA0NS0	el
que	que	PR0CN000	que
quiero	quiero	VMIP1S0	querer
esplicar	explicar	VMN0000	explicar
es	es	VSIP3S0	ser
que	que	CS	que
sale	sale	VMIP3S0	salir
tanvien	también	RG	también
a	a	SPS00	a
elevaciom	elevación	NCFS000	elevación
y	y	CC	y
quando	cuando	PA000000	cuando
saliese	saliese	VMSI0S0	salir
estese	estese	VMSP0S0+P00CN000	estar+se
	,	Fc	,
Hixa	hija	NP00000	hijo
mia	mía	DP1FSS	mío
	,	Fc	,
en	en	SPS00	en
la	la	DA0FS0	el
elevaciom	elevación	NCFS000	elevación
	.	Fp	.
y	Y	CC	y
sienpre	siempre	RG	siempre
que	que	CS	que
advierta	advierta	VMSP0S0	advertir
aquel	aquel	DD0MS0	aquel
aspirar	aspirar	VMN0000	aspirar
de	de	SPS00	de
el	el	DA0MS0	el
Alma	alma	NCFS000	alma
(	(	Fba	(
aunque	aunque	CS	aunque
es	es	VSIP3S0	ser
tan	tan	RC	tan
manso	manso	AQ0MS0	manso
)	)	Fbt	)
sea	sea	VSSP0S0	ser
en	en	SPS00	en
aquella	aquella	DD0FS0	aquel
mansedunbre	mansedumbre	NCFS000	mansedumbre
un	un	DI0MS0	uno
acer	hacer	VMN0000	hacer
por	por	SPS00	por
atendender	atender	VMN0000	atender
amorosamente	amorosamente	RG	amorosamente
a	a	SPS00	a
Dios	Dios	NP00000	dios
	,	Fc	,
que	que	CS	que
aunque	aunque	CS	aunque
es	es	VSIP3S0	ser
verdad	verdad	NCFS000	verdad
esta	está	VMIP3S0	estar
atendiendo	atendiendo	VMG0000	atender
,	,	Fc	,
pero	pero	CC	pero
para	para	SPS00	para
mas	más	RC	más
seguridad	seguridad	NCFS000	seguridad
y	y	CC	y
que	que	CS	que
no	no	RN	no
se	se	P00CN000	se
ponga	ponga	VMSP0S0	poner
a	a	SPS00	a
peligro	peligro	NCMS000	peligro
de	de	SPS00	de
envovarse	embobarse	VMN0000+P00CN000	embobar+se
lo	lo	PP3CNA00	lo
a	ha	VMIP3S0	haber
de	de	SPS00	de
acer	hacer	VMN0000	hacer
	.	Fp	.
y	Y	CC	y
mientras	mientras	RG	mientras
la	la	DA0FS0	el
atencion	atención	NCFS000	atención
o	o	CC	o
aspiraciom	aspiración	NCFS000	aspiración
sea	sea	VSSP0S0	ser
mas	más	RC	más
mansa	mansa	AQ0FS0	manso
y	y	CC	y
suabe	suave	AQ0CS0	suave
es	es	VSIP3S0	ser
mexor	mejor	AQ0CS0	mejor
,	,	Fc	,
pero	pero	CC	pero
estando	estando	VMG0000	estar
en	en	SPS00	en
esta	esta	DD0FS0	este
elevaciom	elevación	NCFS000	elevación
suelen	suelen	VMIP3P0	soler
convatir	combatir	VMN0000	combatir
al	al	SPS00+DA0MS0	a+el
Alma	alma	NCFS000	alma
con	con	SPS00	con
suxestiones	sugestiones	NCFP000	sugestión
y	y	CC	y
digresiones	digresiones	NCFP000	digresión
,	,	Fc	,
y	y	CC	y
se	se	P00CN000	se
pone	pone	VMIP3S0	poner
el	el	DA0MS0	el
Alma	alma	NCFS000	alma
como	como	CS	como
inquieta	inquieta	AQ0FS0	inquieto
de	de	SPS00	de
que	que	CS	que
la	la	PP3FSA00	lo
inquietam	inquietan	VMIP3P0	inquietar
	.	Fp	.
y	Y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
a	ha	VMIP3S0	haber
de	de	SPS00	de
acer	hacer	VMN0000	hacer
es	es	VSIP3S0	ser
	,	Fc	,
quando	cuando	PA000000	cuando
esto	esto	PD0NN000	esto
suceda	suceda	VMSP0S0	suceder
	,	Fc	,
no	no	RN	no
inquietarse	inquietarse	VMN0000+P00CN000	inquietar+se
,	;	Fx	;
si	sí	RG	sí
con	con	SPS00	con
gran	gran	AQ0CS0	gran
sosiego	sosiego	NCMS000	sosiego
volverse	volverse	VMN0000+P00CN000	volver+se
a	a	SPS00	a
su	su	DP3CS0	su
centro	centro	NCMS000	centro
y	y	CC	y
recoximiento	recogimiento	NCMS000	recogimiento
interior	interior	AQ0CS0	interior
,	.	Fp	.
tanvien	También	RG	también
suele	suele	VMIP3S0	soler
salir	salir	VMN0000	salir
el	el	DA0MS0	el
Alma	alma	NCFS000	alma
a	a	SPS00	a
otro	otro	DI0MS0	otro
estado	estado	NCMS000	estado
y	y	CC	y
es	es	VSIP3S0	ser
ni	ni	CC	ni
subir	subir	VMN0000	subir
a	a	SPS00	a
elevacion	elevación	NCFS000	elevación
ni	ni	CC	ni
querer	querer	VMN0000	querer
estar	estar	VMN0000	estar
cavando	cavando	VMG0000	cavar
alla	allá	RG	allá
en	en	SPS00	en
su	su	DP3CS0	su
centro	centro	NCMS000	centro
interior	interior	AQ0CS0	interior
	,	Fc	,
sino	sino	CC	sino
estarse	estarse	VMN0000+P00CN000	estar+se
entre	entre	SPS00	entre
estos	estos	DD0MP0	este
dos	dos	Z	2
estremos	extremos	NCMP000	extremo
	.	Fp	.
y	Y	CC	y
quando	cuando	PA000000	cuando
asi	así	RG	así
este	esté	VMSP0S0	estar
estese	estese	VMSP0S0+P00CN000	estar+se
en	en	SPS00	en
ese	ese	DD0MS0	ese
puesto	puesto	NCMS000	puesto
tanvien	también	RG	también
quieta	quieta	AQ0FS0	quieto
con	con	SPS00	con
su	su	DP3CS0	su
atencion	atención	NCFS000	atención
amorosa	amorosa	AQ0FS0	amoroso
(	(	Fba	(
y	y	CC	y
mas	más	RC	más
que	que	CS	que
muchas	muchas	DI0FP0	mucho
veces	veces	NCFP000	vez
no	no	RN	no
se	se	P00CN000	se
suele	suele	VMIP3S0	soler
percevir	percibir	VMN0000	percibir
mui	muy	RQ	muy
bien	bien	RG	bien
y	y	CC	y
entonces	entonces	RG	entonces
con	con	SPS00	con
paz	paz	NCFS000	paz
procurar	procurar	VMN0000	procurar
vuscarla	buscarla	VMN0000+PP3FSA00	buscar+lo
sin	sin	SPS00	sin
perder	perder	VMN0000	perder
el	el	DA0MS0	el
sitio	sitio	NCMS000	sitio
)	)	Fbt	)
	,	Fc	,
que	que	CS	que
vien	bien	RG	bien
esta	está	VMIP3S0	estar
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
quiriendo	queriendo	VMG0000	querer
meterse	meterse	VMN0000+P00CN000	meter+se
a	a	SPS00	a
su	su	DP3CS0	su
centro	centro	NCMS000	centro
dexela	déjela	VMSP0S0+PP3FSA00	dejar+lo
ir	ir	VMN0000	ir
	,	Fc	,
pues	pues	CS	pues
alli	allí	RG	allí
es	es	VSIP3S0	ser
su	su	DP3CS0	su
sitio	sitio	NCMS000	sitio
y	y	CC	y
refugio	refugio	NCMS000	refugio
,	.	Fp	.
no	No	RN	no
tengo	tengo	VMIP1S0	tener
mas	más	RC	más
al	al	SPS00+DA0MS0	a+el
presente	presente	NCMS000	presente
,	.	Fp	.
Dios	Dios	NP00000	dios
me	me	PP1CS000	me
la	la	PP3FSA00	lo
ponga	ponga	VMSP0S0	poner
tal	tal	RC	tal
qual	cual	CC	cual
desea	desea	VMIP3S0	desear
.	.	Fp	.
aDios	Adiós	I	adiós
	,	Fc	,
Hixa	hija	NP00000	hijo
mia	mía	DP1FSS	mío
	,	Fc	,
en	en	SPS00	en
el	el	DA0MS0	el
señor	Señor	NP00000	señor
	.	Fp	.
nobienbre	Noviembre	NCMS000	noviembre
9	9	Z	9
de	de	SPS00	de
1711	1711	Z	1711
