Muí	Muy	RQ	muy
alli	allí	RG	allí
el	el	DA0MS0	el
abizo	aviso	NCMS000	aviso
por	por	SPS00	por
ma-no	mano	NCFS000	mano
de	de	SPS00	de
Alonso	Alonso	NP00000	alonso
Martines	Martínez	NP00000	martínez
	,	Fc	,
Mtro	maestro	NCMS000	maestro
de	de	SPS00	de
Sastre	sastre	NCMS000	sastre
de	de	SPS00	de
esta	esta	DD0FS0	este
Ciudad	ciudad	NCFS000	ciudad
y	y	CC	y
proqurador	procurador	NCMS000	procurador
de	de	SPS00	de
pobres	pobres	NCCP000	pobre
de	de	SPS00	de
las	las	DA0FP0	el
Galeras	galeras	NCFP000	galera
,	,	Fc	,
O	o	CC	o
la	la	DA0FS0	el
notisia	noticia	NCFS000	noticia
de	de	SPS00	de
no	no	RN	no
deter-minar	determinar	VMN0000	determinar
	,	Fc	,
para	para	SPS00	para
Solisitar	solicitar	VMN0000	solicitar
Otro	otro	DI0MS0	otro
fabor	favor	NCMS000	favor
,	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
divino	Divino	NP00000	divino
pido	pido	VMIP1S0	pedir
me	me	PP1CS000	me
gde	guarde	VMSP0S0	guardar
la	la	DA0FS0	el
Vida	vida	NCFS000	vida
de	de	SPS00	de
Vmd	VM	NP00000	VM
los	los	DA0MP0	el
m	muchos	DI0MP0	mucho
a	años	NCMP000	año
que	que	PR0CN000	que
le	le	PP3CSD00	le
deseo	deseo	VMIP1S0	desear
.	.	Fp	.
Cartaxena	Cartagena	NP00000	cartagena
	,	Fc	,
Y	y	CC	y
Octubre	octubre	NCMS000	octubre
A	a	SPS00	a
3	3	Z	3
de	de	SPS00	de
1727	1727	Z	1727
a	años	NCMP000	año
	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
M	mano	NCFS000	mano
de	de	SPS00	de
Vmd	VM	NP00000	VM
Su	su	DP3CS0	su
mayor	mayor	AQ0CS0	mayor
Serbidor	servidor	NCMS000	servidor
	,	Fc	,
Dn	don	NP00000	don
Luis	Luis	NP00000	luis
de	de	SPS00	de
rroxas	Rojas	NP00000	rojas
Y	y	CC	y
Gusman	Guzmán	NP00000	guzmán
Sr	Señor	NP00000	señor
Dn	don	NP00000	don
Franco	Francisco	NP00000	francisco
Cerbera	Cervera	NP00000	cervera
Y	y	CC	y
Gasques	Gázquez	NP00000	gázquez
	.	Fp	.
