M	Muy	RQ	muy
lo	lo	DA0NS0	el
q	que	PR0CN000	que
Un	un	DI0MS0	uno
medico	médico	NCMS000	médico
pobre	pobre	AQ0CS0	pobre
Receta	receta	VMIP3S0	recetar
	,	Fc	,
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
per-didiza	perdidiza	AQ0FS0	perdidizo
(	(	Fba	(
sirva	sirva	VMSP0S0	servir
pr	por	SPS00	por
temerario	temerario	AQ0MS0	temerario
juizio	juicio	NCMS000	juicio
para	para	SPS00	para
los	los	DA0MP0	el
dos	dos	Z	2
)	)	Fbt	)
	.	Fp	.
Yo	Yo	PP1CSN00	yo
deseo	deseo	VMIP1S0	desear
y	y	CC	y
pido	pido	VMIP1S0	pedir
a	a	SPS00	a
Ds	Dios	NP00000	dios
q	que	CS	que
nra	nuestra	DP1FSP	nuestro
enferma	enferma	NCFS000	enfermo
tenga	tenga	VMSP0S0	tener
el	el	DA0MS0	el
alivio	alivio	NCMS000	alivio
q	que	PR0CN000	que
mi	mi	DP1CSS	mi
afecto	afecto	NCMS000	afecto
desea	desea	VMIP3S0	desear
,	.	Fp	.
y	Y	CC	y
encomedandome	encomendándome	VMG0000+PP1CS000	encomendar+me
a	a	SPS00	a
la	la	DA0FS0	el
Sa	señora	NCFS000	señor
enferma	enferma	AQ0FS0	enfermo
y	y	CC	y
su	su	DP3CS0	su
ha	hermana	NCFS000	hermano
	,	Fc	,
me	me	PP1CS000	me
pondra	pondrá	VMIF3S0	poner
Ud	usted	PP2CS000	usted
a	a	SPS00	a
los	los	DA0MP0	el
pies	pies	NCMP000	pie
de	de	SPS00	de
mi	mi	DP1CSS	mi
Sa	señora	NP00000	señor
Da	doña	NP00000	don
Rosa	Rosa	NP00000	rosa
Com	con	SPS00	con
mems	memorias	NCFP000	memoria
a	a	SPS00	a
los	los	DA0MP0	el
Restantes	restantes	AQ0CP0	restante
de	de	SPS00	de
la	la	DA0FS0	el
fama	familia	NCFS000	familia
	,	Fc	,
en	en	SPS00	en
Cuya	cuya	PU0FS000	cuyo
Compa	compañía	NCFS000	compañía
gde	guarde	VMSP0S0	guardar
ds	Dios	NP00000	dios
a	a	SPS00	a
Ud	usted	PP2CS000	usted
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
El	El	DA0MS0	el
Provencio	Provencio	NP00000	provencio
	,	Fc	,
Agto	agosto	NCMS000	agosto
21	21	Z	21
de	de	SPS00	de
1753	1753	Z	1753
	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
M	mano	NCFS000	mano
de	de	SPS00	de
Ud	usted	PP2CS000	usted
Su	su	DP3CS0	su
obligdo	obligado	VMP00SM	obligar
Servor	servidor	NCMS000	servidor
y	y	CC	y
Amo	amigo	NCMS000	amigo
	,	Fc	,
Dtor	doctor	NP00000	doctor
Juan	Juan	NP00000	juan
Los	Los	DA0MP0	el
baños	baños	NCMP000	baño
que	que	CS	que
baian	vayan	VMSP3P0	ir
Correspondte	correspondiente	AQ0CS0	correspondiente
a	a	SPS00	a
la	la	DA0FS0	el
tolerancia	tolerancia	NCFS000	tolerancia
,	,	Fc	,
estacion	estación	NCFS000	estación
del	del	SPS00+DA0MS0	de+el
tiempo	tiempo	NCMS000	tiempo
,	,	Fc	,
fuerzas	fuerzas	NCFP000	fuerza
ec	etc	NCMS000	etcétera
	,	Fc	,
quod	quod	Fc	,
paulatim	paulatim	Fc	,
fit	fit	Fc	,
	,	Fc	,
tuto	tuto	Fc	,
fit	fit	Fc	,
.	.	Fp	.
Sr	Señor	NP00000	señor
Dn	don	NP00000	don
Juan	Juan	NP00000	juan
Anto	Antonio	NP00000	antonio
Serra	Serra	NP00000	serra
	,	Fc	,
mi	mi	DP1CSS	mi
Dueño	dueño	NP00000	dueño
y	y	CC	y
Sr	señor	NP00000	señor
	.	Fp	.
