Ave	Ave	I	ave
de	de	SPS00	de
sesenta	sesenta	Z	60
fogas	hojas	NCFP000	hoja
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
plimer	primer	AO0MS0	primero
pliego	pliego	NCMS000	pliego
por	por	SPS00	por
amistad	amistad	NCFS000	amistad
va	va	VMIP3S0	ir
en	en	SPS00	en
papel	papel	NCMS000	papel
de	de	SPS00	de
a	a	SPS00	a
quatro	cuatro	Z	4
reales	reales	NCMP000	real
	,	Fc	,
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
cuesta	cuesta	VMIP3S0	costar
cinco	cinco	Z	5
pesos	pesos	NCMP000	peso
,	.	Fp	.
y	Y	CC	y
si	si	CS	si
acaso	acaso	RG	acaso
quiere	quiere	VMIP3S0	querer
vm	VM	NP00000	VM
vaia	vaya	VMSP0S0	ir
Certificado	certificado	NCMS000	certificado
	,	Fc	,
puede	puede	VMIP3S0	poder
embiar	enviar	VMN0000	enviar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
save	sabe	VMIP3S0	saber
cuesta	cuesta	VMIP3S0	costar
	(	Fba	(
el	el	DA0MS0	el
qual	cual	PR0CS000	cual
dinero	dinero	NCMS000	dinero
lo	lo	PP3CNA00	lo
pondra	pondrá	VMIF3S0	poner
en	en	SPS00	en
poder	poder	NCMS000	poder
de	de	SPS00	de
Dn	don	NP00000	don
Joseph	Joseph	NP00000	joseph
Bentura	Ventura	NP00000	ventura
de	de	SPS00	de
Bilbau	Bilbao	NP00000	bilbao
	,	Fc	,
oficial	oficial	NCMS000	oficial
Maior	mayor	AQ0CS0	mayor
de	de	SPS00	de
la	la	DA0FS0	el
Superintendencia	superintendencia	NCFS000	superintendencia
del	del	SPS00+DA0MS0	de+el
tabaco	tabaco	NCMS000	tabaco
	)	Fbt	)
y	y	CC	y
sacar	sacar	VMN0000	sacar
rezivo	recibo	NCMS000	recibo
a	a	SPS00	a
mi	mi	DP1CSS	mi
favor	favor	NCMS000	favor
para	para	SPS00	para
Dn	don	NP00000	don
Ju	Juan	NP00000	juan
de	de	SPS00	de
la	la	DA0FS0	el
Concha	Concha	NP00000	concha
	,	Fc	,
su	su	DP3CS0	su
administrador	administrador	NCMS000	administrador
en	en	SPS00	en
esta	esta	DD0FS0	este
ciudad	ciudad	NCFS000	ciudad
:	.	Fp	.
el	El	DA0MS0	el
scrivano	escribano	NCMS000	escribano
que	que	PR0CN000	que
otorgo	otorgó	VMIS3S0	otorgar
la	la	DA0FS0	el
dicha	dicha	VMP00SF	decir
carta	carta	NCFS000	carta
de	de	SPS00	de
pago	pago	NCMS000	pago
fue	fue	VSIS3S0	ser
Ju	Juan	NP00000	juan
de	de	SPS00	de
Aranz	Aranz	NP00000	aranz
	;	Fx	;
el	el	DA0MS0	el
que	que	PR0CN000	que
da	da	VMIP3S0	dar
el	el	DA0MS0	el
traslado	traslado	NCMS000	traslado
	,	Fc	,
Balenzuela	Valenzuela	NP00000	valenzuela
	.	Fp	.
y	Y	CC	y
si	si	CS	si
aca	acá	RG	acá
fuera	fuera	RG	fuera
de	de	SPS00	de
esta	esta	DD0FS0	este
dependencia	dependencia	NCFS000	dependencia
se	se	P00CN000	se
ofreze	ofrece	VMIP3S0	ofrecer
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
	,	Fc	,
avise	avise	VMSP0S0	avisar
Vm	VM	NP00000	VM
	,	Fc	,
pues	pues	CS	pues
le	le	PP3CSD00	le
puedo	puedo	VMIP1S0	poder
asegurar	asegurar	VMN0000	asegurar
q	que	CS	que
por	por	SPS00	por
pasos	pasos	NCMP000	paso
no	no	RN	no
quedara	quedará	VMIF3S0	quedar
el	el	DA0MS0	el
servirle	servirle	VMN0000+PP3CSA00	servir+le
	.	Fp	.
a	A	SPS00	a
mi	mi	DP1CSS	mi
P	padre	NP00000	padre
fr	fray	NP00000	fray
Joseph	Joseph	NP00000	joseph
dara	dará	VMIF3S0	dar
Vm	VM	NP00000	VM
ms	muchos	DI0MP0	mucho
ros	recuerdos	NCMP000	recuerdo
si	si	CS	si
ha	ha	VAIP3S0	haber
llegado	llegado	VMP0000	llegar
	,	Fc	,
que	que	CS	que
yo	yo	PP1CSN00	yo
quedo	quedo	VMIP1S0	quedar
pidiendo	pidiendo	VMG0000	pedir
a	a	SPS00	a
Dios	Dios	NP00000	dios
me	me	PP1CS000	me
le	le	PP3CSD00	le
gde	guarde	VMSP0S0	guardar
felizes	felices	AQ0CP0	feliz
añ	años	NCMP000	año
	.	Fp	.
Anteq	Antequera	NP00000	antequera
	,	Fc	,
sebre	septiembre	NCMS000	septiembre
21	21	Z	21
de	de	SPS00	de
1720	1720	Z	1720
su	Su	DP3CS0	su
mas	más	RC	más
afecto	afecto	NCMS000	afecto
cappan	capellán	NCMS000	capellán
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
fray	fray	NP00000	fray
luis	Luis	NP00000	luis
de	de	SPS00	de
Sn	San	NP00000	san
Joseph	Joseph	NP00000	joseph
Mui	Muy	RQ	muy
Sr	señor	NP00000	señor
Mio	mío	DP1MSS	mío
Dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
Galvete	Galvete	NP00000	galvete
	.	Fp	.
