Viva	Viva	VMSP0S0	vivir
lo	lo	DA0NS0	el
ordenado	ordenado	VMP00SM	ordenar
,	,	Fc	,
pero	pero	CC	pero
de	de	SPS00	de
nada	nada	PI0NN00N	nada
sirbio	sirvió	VMIS3S0	servir
,	.	Fp	.
me	Me	PP1CS000	me
dieron	dieron	VMIS3P0	dar
largos	largos	AQ0MP0	largo
meneos	meneos	NCMP000	meneo
,	.	Fp	.
se	Se	P00CN000	se
conoce	conoce	VMIP3S0	conocer
les	les	PP3CPD00	le
dio	dio	VMIS3S0	dar
el	el	DA0MS0	el
sr	Señor	NP00000	señor
presion	presión	NCFS000	presión
:	.	Fp	.
anoche	Anoche	RG	anoche
tuve	tuve	VMIS1S0	tener
otra	otra	DI0FS0	otro
ora	hora	NCFS000	hora
desde	desde	SPS00	desde
las	las	DA0FP0	el
8	8	Z	8
y	y	CC	y
3/4	3/4	Z	3/4
adelante	adelante	RG	adelante
	.	Fp	.
y	Y	CC	y
aunque	aunque	CS	aunque
huvo	hubo	VMIS3S0	haber
sus	sus	DP3CP0	su
intervalos	intervalos	NCMP000	intervalo
no	no	RN	no
fue	fue	VMIS3S0	ir
tanto	tanto	RC	tanto
,	,	Fc	,
mas	mas	CC	mas
a	a	SPS00	a
lo	lo	DA0NS0	el
ultimo	último	AO0MS0	último
ni	ni	CC	ni
el	el	DA0MS0	el
sor	Señor	NP00000	señor
ni	ni	CC	ni
yo	yo	PP1CSN00	yo
acertavamos	acertábamos	VMII1P0	acertar
a	a	SPS00	a
separarnos	separarnos	VMN0000+PP1CP000	separar+nos
.	.	Fp	.
Esta	Esta	DD0FS0	este
noche	noche	NCFS000	noche
la	la	PP3FSA00	lo
e	he	VAIP1S0	haber
pasado	pasado	VMP0000	pasar
mejor	mejor	RC	mejor
que	que	CS	que
las	las	DA0FP0	el
otras	otras	PI0FP000	otro
,	.	Fp	.
a	A	SPS00	a
las	las	DA0FP0	el
3	3	Z	3
y	y	CC	y
3/4	3/4	Z	3/4
me	me	PP1CS000	me
disperte	desperté	VMIS1S0	despertar
y	y	CC	y
	,	Fc	,
queriendome	queriéndome	VMG0000+PP1CS000	querer+me
levantar	levantar	VMN0000	levantar
por	por	SPS00	por
los	los	DA0MP0	el
llamamtos	llamamientos	NCMP000	llamamiento
que	que	PR0CN000	que
sentia	sentía	VMII0S0	sentir
,	,	Fc	,
me	me	PP1CS000	me
detuve	detuve	VMIS1S0	detener
asta	hasta	SPS00	hasta
que	que	CS	que
diere	diere	VMSF0S0	dar
las	las	DA0FP0	el
oras	horas	NCFP000	hora
no	no	RN	no
fuese	fuese	VMSI0S0	ir
engañado	engañado	VMP00SM	engañar
,	.	Fp	.
y	Y	CC	y
al	al	SPS00+DA0MS0	a+el
dar	dar	VMN0000	dar
las	las	DA0FP0	el
4	4	Z	4
me	me	PP1CS000	me
retire	retiré	VMIS1S0	retirar
al	al	SPS00+DA0MS0	a+el
oratorio	oratorio	NCMS000	oratorio
,	.	Fp	.
e	He	VAIP1S0	haber
tenido	tenido	VMP0000	tener
3	3	Z	3
oras	horas	NCFP000	hora
de	de	SPS00	de
oracion	oración	NCFS000	oración
y	y	CC	y
la	la	DA0FS0	el
mayor	mayor	AQ0CS0	mayor
parte	parte	NCFS000	parte
con	con	SPS00	con
bastante	bastante	DI0CS0	bastante
luz	luz	NCFS000	luz
de	de	SPS00	de
las	las	DA0FP0	el
obras	obras	NCFP000	obra
de	de	SPS00	de
la	la	DA0FS0	el
pasn	pasión	NCFS000	pasión
Sma	santísima	AQSFS0	santo
del	del	SPS00+DA0MS0	de+el
sor	Señor	NP00000	señor
	,	Fc	,
pero	pero	CC	pero
e	he	VAIP1S0	haber
padecido	padecido	VMP0000	padecer
mas	más	RC	más
agudos	agudos	AQ0MP0	agudo
dolores	dolores	NCMP000	dolor
aun	aún	RG	aun
que	que	CS	que
ayer	ayer	RG	ayer
,	.	Fp	.
pero	Pero	CC	pero
e	he	VAIP1S0	haber
conocido	conocido	VMP0000	conocer
queria	quería	VMII0S0	querer
el	el	DA0MS0	el
sr	Señor	NP00000	señor
qe	que	CS	que
los	los	DA0MP0	el
sufriese	sufriese	VMSI0S0	sufrir
sin	sin	SPS00	sin
procurar	procurar	VMN0000	procurar
alibio	alivio	NCMS000	alivio
	,	Fc	,
porqe	porque	CS	porque
un	un	DI0MS0	uno
instante	instante	NCMS000	instante
que	que	PR0CN000	que
me	me	PP1CS000	me
sente	senté	VMIS1S0	sentar
quasi	cuasi	RG	cuasi
a	a	SPS00	a
la	la	DA0FS0	el
mitad	mitad	NCFS000	mitad
fui	fui	VSIS1S0	ser
reprendido	reprendido	VMP00SM	reprender
,	.	Fp	.
e	He	VAIP1S0	haber
seguido	seguido	VMP0000	seguir
de	de	SPS00	de
rrodillas	rodillas	NCFP000	rodilla
y	y	CC	y
luego	luego	RG	luego
	,	Fc	,
sin	sin	SPS00	sin
saver	saber	VMN0000	saber
como	cómo	PA000000	cómo
	,	Fc	,
se	se	P00CN000	se
me	me	PP1CS000	me
abrieron	abrieron	VMIS3P0	abrir
los	los	DA0MP0	el
brazos	brazos	NCMP000	brazo
y	y	CC	y
me	me	PP1CS000	me
e	he	VAIP1S0	haber
quedado	quedado	VMP0000	quedar
en	en	SPS00	en
cruz	cruz	NCFS000	cruz
algun	algún	DI0MS0	alguno
rato	rato	NCMS000	rato
,	;	Fx	;
pero	pero	CC	pero
	,	Fc	,
no	no	RN	no
pudiendo	pudiendo	VMG0000	poder
aguantar	aguantar	VMN0000	aguantar
mas	más	RC	más
el	el	DA0MS0	el
dolor	dolor	NCMS000	dolor
a	a	SPS00	a
las	las	DA0FP0	el
rodillas	rodillas	NCFP000	rodilla
a	a	SPS00	a
mi	mi	DP1CSS	mi
parezer	parecer	NCMS000	parecer
,	,	Fc	,
me	me	PP1CS000	me
levante	levanté	VMIS1S0	levantar
y	y	CC	y
prosegui	proseguí	VMIS1S0	proseguir
en	en	SPS00	en
pie	pie	NCMS000	pie
otro	otro	DI0MS0	otro
rato	rato	NCMS000	rato
.	.	Fp	.
esto	Esto	PD0NN000	esto
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
ocurrido	ocurrido	VMP0000	ocurrir
:	.	Fp	.
Vms	VMs	NP00000	VM
me	me	PP1CS000	me
diran	dirán	VMIF3P0	decir
lo	lo	DA0NS0	el
que	que	PR0CN000	que
gusten	gusten	VMSP3P0	gustar
y	y	CC	y
contemplen	contemplen	VMSP3P0	contemplar
pa	para	SPS00	para
poder	poder	VMN0000	poder
complacer	complacer	VMN0000	complacer
al	al	SPS00+DA0MS0	a+el
sr	Señor	NP00000	señor
	.	Fp	.
