AVe	Ave	I	ave
a	años	NCMP000	año
,	.	Fp	.
de	De	SPS00	de
Vmd	VM	NP00000	VM
ex	ex	NP00000	VM
corde	corde	NP00000	VM
	...	Fs	...
	...	Fs	...
que	que	PR0CN000	que
S	su	DP3CS0	su
M	mano	NCFS000	mano
Bsa	besa	VMIP3S0	besar
	,	Fc	,
fr	fray	NP00000	fray
fran	Francisco	NP00000	francisco
de	de	SPS00	de
Almagro	Almagro	NP00000	almagro
Sor	Señor	NP00000	señor
Don	don	NP00000	don
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
SeRa	Serra	NP00000	serra
	.	Fp	.
