Mi	Mi	DP1CSS	mi
con	con	SPS00	con
la	la	DA0FS0	el
maor	mayor	AQ0CS0	mayor
brevedad	brevedad	NCFS000	brevedad
acompaña	acompaña	VMIP3S0	acompañar
el	el	DA0MS0	el
Rvo	recibo	NCMS000	recibo
del	del	SPS00+DA0MS0	de+el
Pe	padre	NP00000	padre
Fray	fray	NP00000	fray
Antto	Antonio	NP00000	antonio
del	del	SPS00+DA0MS0	de+el
Rio	Río	NP00000	río
.	.	Fp	.
Y	Y	CC	y
rrespectto	respecto	NCMS000	respeto
de	de	SPS00	de
qe	que	CS	que
no	no	RN	no
ay	hay	VMIP3S0	haber
Canonicato	canonicato	NCMS000	canonicato
ni	ni	CCN	ni
Razion	ración	NCFS000	ración
vaco	vaco	NCMS000	vaco
en	en	SPS00	en
esta	esta	DD0FS0	este
sta	santa	AQ0FS0	santo
Yga	iglesia	NCFS000	iglesia
	,	Fc	,
Detenerte	detenerte	VMN0000+PP2CS000	detener+te
ay	ahí	RG	ahí
pa	para	SPS00	para
ir	ir	VMN0000	ir
Cojiendo	cogiendo	VMG0000	coger
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
Rtas	rentas	NCFP000	renta
sinples	simples	AQ0CP0	simple
que	que	PR0CN000	que
pudieres	pudieres	VMSF2S0	poder
,	,	Fc	,
pues	pues	CS	pues
Con	con	SPS00	con
ellas	ellas	PP3FP000	ellos
o	o	CC	o
parte	parte	NCFS000	parte
se	se	P00CN000	se
podra	podrá	VMIF3S0	poder
hazer	hacer	VMN0000	hacer
aca	acá	RG	acá
alguna	alguna	DI0FS0	alguno
permuta	permuta	NCFS000	permuta
De	de	SPS00	de
un	un	DI0MS0	uno
Canonicato	canonicato	NCMS000	canonicato
pa	para	SPS00	para
que	que	CS	que
ttengas	tengas	VMSP2S0	tener
voto	voto	NCMS000	voto
con	con	SPS00	con
la	la	DA0FS0	el
dignidas	dignidad	NCFS000	dignidad
	,	Fc	,
prqe	porque	CS	porque
sin	sin	SPS00	sin
el	él	PP3MS000	él
no	no	RN	no
tendras	tendrás	VMIF2S0	tener
Manejo	manejo	NCMS000	manejo
,	.	Fp	.
Y	Y	CC	y
asi	así	RG	así
estarte	estarte	VMN0000+PP2CS000	estar+te
quieto	quieto	AQ0MS0	quieto
ay	ahí	RG	ahí
	,	Fc	,
pues	pues	CS	pues
ttienes	tienes	VMIP2S0	tener
tus	tus	DP2CPS	tu
socorros	socorros	NCMP000	socorro
seguros	seguros	AQ0MP0	seguro
,	,	Fc	,
hasta	hasta	SPS00	hasta
qe	que	CS	que
me	me	PP1CS000	me
des	des	VMSP2S0	dar
aviso	aviso	NCMS000	aviso
de	de	SPS00	de
haverlo	haberlo	VMN0000+PP3CNA00	haber+lo
logrado	logrado	VMP0000	lograr
y	y	CC	y
venir	venir	VMN0000	venir
en	en	SPS00	en
forma	forma	NCFS000	forma
	.	Fp	.
haviendo	Habiendo	VAG0000	haber
dado	dado	VMP0000	dar
Horden	orden	NCMS000	orden
a	a	SPS00	a
dn	don	NP00000	don
Franzco	Francisco	NP00000	francisco
del	del	SPS00+DA0MS0	de+el
Arco	Arco	NP00000	arco
	,	Fc	,
vezo	vecino	NCMS000	vecino
de	de	SPS00	de
Madrid	Madrid	NP00000	madrid
,	,	Fc	,
pa	para	SPS00	para
que	que	CS	que
pasase	pasase	VMSI0S0	pasar
a	a	SPS00	a
star	estar	VMN0000	estar
Con	con	SPS00	con
dn	don	NP00000	don
Carlos	Carlos	NP00000	carlos
Maria	María	NP00000	maría
Marrazi	Marrazi	NP00000	marrrazi
Y	y	CC	y
rrecojiese	recogiese	VMSI0S0	recoger
las	las	DA0FP0	el
bulas	bulas	NCFP000	bula
Y	y	CC	y
me	me	PP1CS000	me
las	las	PP3FPA00	lo
Remittiese	remitiese	VMSI0S0	remitir
,	,	Fc	,
respondio	respondió	VMIS3S0	responder
dho	dicho	VMP00SM	decir
Marrazi	Marrazi	NP00000	marrazi
no	no	RN	no
havian	habían	VAII3P0	haber
llegado	llegado	VMP0000	llegar
,	,	Fc	,
pero	pero	CC	pero
qe	que	CS	que
se	se	P00CN000	se
Hallava	hallaba	VMII0S0	hallar
Con	con	SPS00	con
Carta	carta	NCFS000	carta
De	de	SPS00	de
su	su	DP3CS0	su
Amigo	amigo	NCMS000	amigo
de	de	SPS00	de
esa	esa	DD0FS0	ese
Cortte	corte	NCFS000	corte
en	en	SPS00	en
qe	que	PR0CN000	que
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
avisava	avisaba	VMII0S0	avisar
Y	y	CC	y
las	las	PP3FPA00	lo
esperava	esperaba	VMII0S0	esperar
en	en	SPS00	en
primer	primer	AO0MS0	primero
Correo	correo	NCMS000	correo
,	,	Fc	,
conqe	conque	CS	conque
llegadas	llegadas	VMP00PF	llegar
qe	que	CS	que
sean	sean	VSSP3P0	ser
las	las	PP3FPA00	lo
Recojere	recogeré	VMIF1S0	recoger
prontamte	prontamente	RG	prontamente
	.	Fp	.
tu	Tu	DP2CSS	tu
Me	madre	NCFS000	madre
	,	Fc	,
hermana	hermana	NCFS000	hermano
	,	Fc	,
Hermanos	hermanos	NCMP000	hermano
y	y	CC	y
toda	toda	DI0FS0	todo
la	la	DA0FS0	el
familia	familia	NCFS000	familia
te	te	PP2CS000	te
envian	envían	VMIP3P0	enviar
afectuosas	afectuosas	AQ0FP0	afectuoso
mems	memorias	NCFP000	memoria
Y	y	CC	y
todos	todos	PI0MP000	todo
pedimos	pedimos	VMIP1P0	pedir
a	a	SPS00	a
Ds	Dios	NP00000	dios
te	te	PP2CS000	te
Gde	guarde	VMSP0S0	guardar
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
etc	etc	NCMS000	etcétera
.	.	Fp	.
Tu	Tu	DP2CSS	tu
Padre	padre	NCMS000	padre
q	que	PR0CN000	que
ms	más	RC	más
te	te	PP2CS000	te
esma	estima	VMIP3S0	estimar
	,	Fc	,
Pedro	Pedro	NP00000	pedro
Thome	Tomé	NP00000	tomé
Gonzs	González	NP00000	gonzález
