Charissimo	Carísimo	AQSMS0	caro
allarme	hallarme	VMN0000+PP1CS000	hallar+me
tan	tan	RC	tan
(	(	Fba	(
como	como	CS	como
en	en	SPS00	en
la	la	DA0FS0	el
otra	otra	PI0FS000	otro
le	le	PP3CSD00	le
escrivia	escribía	VMII0S0	escribir
)	)	Fbt	)
que	que	CS	que
apenas	apenas	RG	apenas
diera	diera	VMSI0S0	dar
desayunarme	desayunarme	VMN0000+PP1CS000	desayunar+me
al	al	SPS00+DA0MS0	a+el
segdo	segundo	AO0MS0	segundo
dia	día	NCMS000	día
de	de	SPS00	de
nada	nada	PI0NN00N	nada
	.	Fp	.
los	Los	DA0MP0	el
maiores	mayores	AQ0CP0	mayor
amigos	amigos	NCMP000	amigo
me	me	PP1CS000	me
desamparan	desamparan	VMIP3P0	desamparar
sin	sin	SPS00	sin
tener	tener	VMN0000	tener
quien	quien	PR0CS000	quien
me	me	PP1CS000	me
diera	diera	VMSI0S0	dar
	,	Fc	,
allandome	hallándome	VMG0000+PP1CS000	hallar+me
d	de	SPS00	de
esta	esta	DD0FS0	este
suerte	suerte	NCFS000	suerte
	.	Fp	.
a	A	SPS00	a
rruegos	ruegos	NCMP000	ruego
y	y	CC	y
desgracias	desgracias	NCFP000	desgracia
estoi	estoy	VMIP1S0	estar
otra	otra	DI0FS0	otro
vez	vez	NCFS000	vez
en	en	SPS00	en
casa	casa	NCFS000	casa
del	del	SPS00+DA0MS0	de+el
amo	amo	NCMS000	amo
	,	Fc	,
pero	pero	CC	pero
mas	más	RC	más
sujeto	sujeto	AQ0MSP	sujeto
y	y	CC	y
avatido	abatido	VMP00SM	abatir
qe	que	CS	que
el	el	DA0MS0	el
mas	más	RC	más
infeliz	infeliz	AQ0CS0	infeliz
.	.	Fp	.
y	Y	CC	y
assi	así	RG	así
	,	Fc	,
amigo	amigo	NP00000	amigo
de	de	SPS00	de
mi	mi	DP1CSS	mi
corazon	corazón	NCMS000	corazón
	,	Fc	,
determine	determine	VMSP0S0	determinar
algun	algún	DI0MS0	alguno
medio	medio	NCMS000	medio
del	del	SPS00+DA0MS0	de+el
modo	modo	NCMS000	modo
qe	que	PR0CN000	que
aviamos	habíamos	VAII1P0	haber
comunicado	comunicado	VMP0000	comunicar
,	,	Fc	,
o	o	CC	o
de	de	SPS00	de
otro	otro	PI0MS000	otro
	,	Fc	,
para	para	SPS00	para
tener	tener	VMN0000	tener
algun	algún	DI0MS0	alguno
alivio	alivio	NCMS000	alivio
en	en	SPS00	en
el	el	DA0MS0	el
cerco	cerco	NCMS000	cerco
de	de	SPS00	de
tantos	tantos	DI0MP0	tanto
males	males	NCMP000	mal
,	.	Fp	.
y	Y	CC	y
si	si	CS	si
no	no	RN	no
	,	Fc	,
me	me	PP1CS000	me
ire	iré	VMIF1S0	ir
deseperamado	desamparado	VMP00SM	desamparar
por	por	SPS00	por
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
adelante	adelante	RG	adelante
,	,	Fc	,
porqe	porque	CS	porque
	,	Fc	,
ademas	además	RG	además
de	de	SPS00	de
los	los	DA0MP0	el
por	por	SPS00	por
dn	don	NP00000	don
Abran	Abraham	NP00000	abraham
	,	Fc	,
qe	que	PR0CN000	que
es	es	VSIP3S0	ser
un	un	DI0MS0	uno
golpe	golpe	NCMS000	golpe
de	de	SPS00	de
los	los	DA0MP0	el
	,	Fc	,
me	me	PP1CS000	me
maquino	maquinó	VMIS3S0	maquinar
en	en	SPS00	en
venganza	venganza	NCFS000	venganza
el	el	DA0MS0	el
Alguacil	alguacil	NCMS000	alguacil
otro	otro	PI0MS000	otro
nada	nada	RQ	nada
menor	menor	AQ0CS0	menor
,	,	Fc	,
pues	pues	CS	pues
sobornaron	sobornaron	VMIS3P0	sobornar
el	el	DA0MS0	el
Srio	secretario	NP00000	secretario
Molina	Molina	NP00000	molina
a	a	SPS00	a
una	una	DI0FS0	uno
Puta	puta	NCFS000	puta
qe	que	PR0CN000	que
estava	estaba	VMII0S0	estar
preñada	preñada	VMP00SF	preñar
a	a	SPS00	a
qe	que	CS	que
digese	dijese	VMSI0S0	decir
qe	que	CS	que
estava	estaba	VMII0S0	estar
de	de	SPS00	de
mi	mí	PP1CSO00	mí
;	.	Fp	.
y	Y	CC	y
diciendolo	diciéndolo	VMG0000+PP3CNA00	decir+lo
assi	así	RG	así
ella	ella	PP3FS000	él
,	,	Fc	,
y	y	CC	y
saviendolo	sabiéndolo	VMG0000+PP3CNA00	saber+lo
hasta	hasta	SPS00	hasta
lo	lo	DA0NS0	el
mas	más	RC	más
imfimo	ínfimo	AQ0MS0	ínfimo
de	de	SPS00	de
la	la	DA0FS0	el
Ciudd	ciudad	NCFS000	ciudad
y	y	CC	y
siguiendo	siguiendo	VMG0000	seguir
su	su	DP3CS0	su
testimonio	testimonio	NCMS000	testimonio
,	,	Fc	,
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
tan	tan	RC	tan
atribulado	atribulado	VMP00SM	atribular
	.	Fp	.
a	A	SPS00	a
no	no	RN	no
averla	haberla	VAN0000+PP3FSA00	haber+lo
sacado	sacado	VMP0000	sacar
de	de	SPS00	de
aqui	aquí	RG	aquí
a	a	SPS00	a
ella	ella	PP3FS000	él
y	y	CC	y
el	el	DA0MS0	el
alguacil	alguacil	NCMS000	alguacil
,	,	Fc	,
y	y	CC	y
el	el	DA0MS0	el
otro	otro	DI0MS0	otro
andar	andar	VMN0000	andar
con	con	SPS00	con
mucha	mucha	DI0FS0	mucho
y	y	CC	y
io	yo	PP1CSN00	yo
estar	estar	VMN0000	estar
tan	tan	RC	tan
sujeto	sujeto	AQ0MSP	sujeto
,	,	Fc	,
les	les	PP3CPD00	le
hubiera	hubiera	VASI0S0	haber
sacado	sacado	VMP0000	sacar
el	el	DA0MS0	el
corazon	corazón	NCMS000	corazón
a	a	SPS00	a
unos	unos	PI0MP000	uno
y	y	CC	y
a	a	SPS00	a
otros	otros	PI0MP000	otro
,	,	Fc	,
cuio	cuyo	PU0MS000	cuyo
intento	intento	NCMS000	intento
no	no	RN	no
me	me	PP1CS000	me
falta	falta	VMIP3S0	faltar
.	.	Fp	.
la	La	DA0FS0	el
Causa	causa	NCFS000	causa
de	de	SPS00	de
dn	don	NP00000	don
Abran	Abraham	NP00000	abraham
la	la	PP3FSA00	lo
remitieron	remitieron	VMIS3P0	remitir
en	en	SPS00	en
uno	uno	Z	1
de	de	SPS00	de
los	los	DA0MP0	el
dias	días	NCMP000	día
veinteyquatro	veinticuatro	Z	24
o	o	CC	o
veinteycinco	veinticinco	Z	25
de	de	SPS00	de
Henero	enero	NCMS000	enero
a	a	SPS00	a
Valladd	Valladolid	NP00000	valladolid
y	y	CC	y
a	a	SPS00	a
el	él	PP3MS000	él
tambien	también	RG	también
juntamte	juntamente	RG	juntamente
	,	Fc	,
podra	podrá	VMIF3S0	poder
qe	que	CS	que
acaso	acaso	RG	acaso
vmd	VM	NP00000	VM
lo	lo	PP3CNA00	lo
hubiera	hubiera	VASI0S0	haber
visto	visto	VMP0000	ver
.	.	Fp	.
La	La	DA0FS0	el
causa	causa	NCFS000	causa
qe	que	PR0CN000	que
contra	contra	SPS00	contra
mi	mí	PP1CSO00	mí
se	se	P00CN000	se
fulmina	fulmina	VMIP3S0	fulminar
sigue	sigue	VMIP3S0	seguir
,	;	Fx	;
y	y	CC	y
creo	creo	VMIP1S0	creer
en	en	SPS00	en
Valladd	Valladolid	NP00000	valladolid
	,	Fc	,
segun	según	SPS00	según
dicen	dicen	VMIP3P0	decir
	,	Fc	,
me	me	PP1CS000	me
hacen	hacen	VMIP3P0	hacer
otra	otra	PI0FS000	otro
y	y	CC	y
la	la	PP3FSA00	lo
quieren	quieren	VMIP3P0	querer
remitir	remitir	VMN0000	remitir
al	al	SPS00+DA0MS0	a+el
nuncio	nuncio	NCMS000	nuncio
	,	Fc	,
mi	mi	DP1CSS	mi
superior	superior	NCMS000	superior
	,	Fc	,
pa	para	SPS00	para
qe	que	CS	que
me	me	PP1CS000	me
castigue	castigue	VMSP0S0	castigar
,	,	Fc	,
pero	pero	CC	pero
no	no	RN	no
me	me	PP1CS000	me
cojeran	cogerán	VMIF3P0	coger
el	el	DA0MS0	el
bulto	bulto	NCMS000	bulto
.	.	Fp	.
Mi	Mi	DP1CSS	mi
Amo	amo	NCMS000	amo
no	no	RN	no
es	es	VSIP3S0	ser
tan	tan	RC	tan
cruel	cruel	AQ0CS0	cruel
comigo	conmigo	SPS00+PP1CSO00	con+mí
por	por	SPS00	por
si	sí	PP3CNO00	sí
	,	Fc	,
sino	sino	CC	sino
por	por	SPS00	por
los	los	DA0MP0	el
imflujos	influjos	NCMP000	influjo
,	.	Fp	.
en	En	SPS00	en
la	la	DA0FS0	el
Carta	carta	NCFS000	carta
anterte	anteriormente	RG	anteriormente
yban	iban	VMII3P0	ir
librados	librados	VMP00PM	librar
40	40	Z	40
rrs	reales	NCMP000	real
en	en	SPS00	en
Ciudd	Ciudad	NP00000	ciudad
de	de	SPS00	de
rodrigo	Rodrigo	NP00000	rodrigo
qe	que	PR0CN000	que
vmd	VM	NP00000	VM
los	los	PP3MPA00	lo
cobrase	cobrase	VMSI0S0	cobrar
pa	para	SPS00	para
tener	tener	VMN0000	tener
algun	algún	DI0MS0	alguno
alivio	alivio	NCMS000	alivio
	,	Fc	,
pues	pues	CS	pues
	,	Fc	,
aviendo	habiendo	VAG0000	haber
recivido	recibido	VMP0000	recibir
io	yo	PP1CSN00	yo
su	su	DP3CS0	su
carta	carta	NCFS000	carta
	,	Fc	,
fui	fui	VMIS1S0	ir
con	con	SPS00	con
gran	gran	AQ0CS0	gran
descaro	descaro	NCMS000	descaro
a	a	SPS00	a
la	la	DA0FS0	el
Casa	casa	NCFS000	casa
de	de	SPS00	de
mi	mi	DP1CSS	mi
Amo	amo	NCMS000	amo
a	a	SPS00	a
pedirle	pedirle	VMN0000+PP3CSD00	pedir+le
esto	esto	PD0NN000	esto
y	y	CC	y
me	me	PP1CS000	me
dijo	dijo	VMIS3S0	decir
mil	mil	Z	1000
desatinos	desatinos	NCMP000	desatino
,	;	Fx	;
y	y	CC	y
	,	Fc	,
no	no	RN	no
obstante	obstante	RG	obstante
	,	Fc	,
se	se	P00CN000	se
compadecio	compadeció	VMIS3S0	compadecer
de	de	SPS00	de
vmd	VM	NP00000	VM
	,	Fc	,
pero	pero	CC	pero
no	no	RN	no
de	de	SPS00	de
mi	mí	PP1CSO00	mí
:	.	Fp	.
vmd	VM	NP00000	VM
escusa	excusa	VMIP3S0	excusar
de	de	SPS00	de
ir	ir	VMN0000	ir
por	por	SPS00	por
alli	allí	RG	allí
	,	Fc	,
supto	supuesto	VMP00SM	suponer
tiene	tiene	VMIP3S0	tener
dinero	dinero	NCMS000	dinero
	,	Fc	,
de	de	SPS00	de
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
io	yo	PP1CSN00	yo
me	me	PP1CS000	me
alegro	alegro	VMIP1S0	alegrar
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
es	es	VSIP3S0	ser
camino	camino	NCMS000	camino
pa	para	SPS00	para
Zamora	Zamora	NP00000	zamora
	,	Fc	,
de	de	SPS00	de
donde	donde	PA000000	donde
espero	espero	VMIP1S0	esperar
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
aqui	aquí	RG	aquí
recado	recado	NCMS000	recado
	,	Fc	,
como	como	CS	como
tambien	también	RG	también
	,	Fc	,
luego	luego	RG	luego
que	que	CS	que
reciba	reciba	VMSP0S0	recibir
esta	ésta	PD0FS000	este
	,	Fc	,
me	me	PP1CS000	me
escriva	escriba	VMSP0S0	escribir
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
conte	contiene	VMIP3S0	contener
la	la	DA0FS0	el
esquela	esquela	NCFS000	esquela
adjunta	adjunta	AQ0FSP	adjunto
;	.	Fc	,
y	Y	CC	y
no	no	RN	no
se	se	P00CN000	se
dara	dará	VMIF3S0	dar
a	a	SPS00	a
ber	ver	VMN0000	ver
en	en	SPS00	en
Salamanca	Salamanca	NP00000	salamanca
	,	Fc	,
pues	pues	CS	pues
tambien	también	RG	también
alli	allí	RG	allí
fue	fue	VMIS3S0	ir
requisitorio	requisitorio	NCMS000	requisitorio
.	.	Fp	.
en	En	SPS00	en
orden	orden	NCMS000	orden
a	a	SPS00	a
sacar	sacar	VMN0000	sacar
el	el	DA0MS0	el
indulto	indulto	NCMS000	indulto
,	,	Fc	,
no	no	RN	no
comviene	conviene	VMIP3S0	convenir
qe	que	CS	que
se	se	P00CN000	se
saque	saque	VMSP0S0	sacar
en	en	SPS00	en
Salamanca	Salamanca	NP00000	salamanca
	,	Fc	,
pues	pues	CS	pues
acaso	acaso	RG	acaso
el	el	DA0MS0	el
qe	que	PR0CN000	que
lo	lo	PP3MSA00	lo
a	ha	VMIP3S0	haber
de	de	SPS00	de
dar	dar	VMN0000	dar
sera	será	VSIF3S0	ser
a	a	SPS00	a
quien	quien	PR0CS000	quien
iria	iría	VMIC0S0	ir
cometido	cometido	VMP00SM	cometer
el	el	DA0MS0	el
requisitorio	requisitorio	NCMS000	requisitorio
.	.	Fp	.
assi	Así	RG	así
mas	más	RC	más
adelante	adelante	RG	adelante
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
sacar	sacar	VMN0000	sacar
	,	Fc	,
si	si	CS	si
le	le	PP3CSD00	le
parece	parece	VMIP3S0	parecer
a	a	SPS00	a
vmd	VM	NP00000	VM
	,	Fc	,
y	y	CC	y
escrivame	escríbame	VMSP0S0+PP1CS000	escribir+me
vmd	VM	NP00000	VM
	.	Fp	.
luego	Luego	RG	luego
que	que	CS	que
sirva	sirva	VMSP0S0	servir
mejor	mejor	RC	mejor
esto	esto	PD0NN000	esto
	,	Fc	,
no	no	RN	no
me	me	PP1CS000	me
cojera	cogerá	VMIF3S0	coger
aqui	aquí	RG	aquí
su	su	DP3CS0	su
carta	carta	NCFS000	carta
	.	Fp	.
y	Y	CC	y
procure	procure	VMSP0S0	procurar
pasar	pasar	VMN0000	pasar
a	a	SPS00	a
Zamora	Zamora	NP00000	zamora
qto	cuanto	PA000000	cuanto
antes	antes	RG	antes
y	y	CC	y
remitirme	remitirme	VMN0000+PP1CS000	remitir+me
lo	lo	PP3CNA00	lo
comunicado	comunicado	VMP00SM	comunicar
.	.	Fp	.
vea	Vea	VMSP0S0	ver
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
e	he	VAIP1S0	haber
ganado	ganado	VMP0000	ganar
con	con	SPS00	con
dn	don	NP00000	don
Abran	Abraham	NP00000	abraham
	,	Fc	,
aviendo	habiendo	VAG0000	haber
hecho	hecho	VMP0000	hacer
tanto	tanto	DI0MS0	tanto
vien	bien	NCMS000	bien
,	,	Fc	,
y	y	CC	y
le	le	PP3CSD00	le
hice	hice	VMIS1S0	hacer
aun	aun	RG	aun
de	de	SPS00	de
haver	haber	VAN0000	haber
hecho	hecho	VMP0000	hacer
la	la	DA0FS0	el
villania	villanía	NCFS000	villanía
	,	Fc	,
pues	pues	CS	pues
por	por	SPS00	por
alguna	alguna	DI0FS0	alguno
persona	persona	NCFS000	persona
le	le	PP3CSD00	le
mande	mandé	VMIS1S0	mandar
algunos	algunos	DI0MP0	alguno
desechos	desechos	NCMP000	desecho
de	de	SPS00	de
comida	comida	NCFS000	comida
y	y	CC	y
aun	aun	RG	aun
la	la	DA0FS0	el
que	que	PR0CN000	que
io	yo	PP1CSN00	yo
quitava	quitaba	VMII0S0	quitar
de	de	SPS00	de
la	la	DA0FS0	el
voca	boca	NCFS000	boca
,	.	Fp	.
no	No	RN	no
podia	podía	VMII0S0	poder
io	yo	PP1CSN00	yo
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
,	,	Fc	,
qe	que	CS	que
	,	Fc	,
a	a	SPS00	a
no	no	RN	no
aver	haber	VAN0000	haber
sido	sido	VSP0000	ser
y	y	CC	y
otras	otras	DI0FP0	otro
limosnas	limosnas	NCFP000	limosna
qe	que	PR0CN000	que
a	a	SPS00	a
peticion	petición	NCFS000	petición
mia	mía	DP1FSS	mío
se	se	P00CN000	se
hicieron	hicieron	VMIS3P0	hacer
	,	Fc	,
se	se	P00CN000	se
ubiera	hubiera	VASI0S0	haber
muerto	muerto	VMP0000	morir
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
sale	sale	VMIP3S0	salir
la	la	DA0FS0	el
cadena	cadena	NCFS000	cadena
;	.	Fp	.
en	En	SPS00	en
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
le	le	PP3CSD00	le
di	di	VMIS1S0	dar
a	a	SPS00	a
entender	entender	VMN0000	entender
qe	que	CS	que
mi	mi	DP1CSS	mi
pecho	pecho	NCMS000	pecho
pagava	pagaba	VMII0S0	pagar
con	con	SPS00	con
veneficio	beneficio	NCMS000	beneficio
a	a	SPS00	a
quien	quien	PR0CS000	quien
me	me	PP1CS000	me
avia	había	VAII0S0	haber
hechado	echado	VMP0000	echar
a	a	SPS00	a
perder	perder	VMN0000	perder
.	.	Fp	.
Por	Por	SPS00	por
ultimo	último	AO0MS0	último
	,	Fc	,
digo	digo	VMIP1S0	decir
a	a	SPS00	a
vmd	VM	NP00000	VM
que	que	CS	que
	,	Fc	,
si	si	CS	si
llegando	llegando	VMG0000	llegar
a	a	SPS00	a
Cadiz	Cádiz	NP00000	cádiz
o	o	CC	o
en	en	SPS00	en
otra	otra	DI0FS0	otro
parte	parte	NCFS000	parte
,	,	Fc	,
podria	podría	VMIC0S0	poder
vmd	VM	NP00000	VM
facilitarme	facilitarme	VMN0000+PP1CS000	facilitar+me
el	el	DA0MS0	el
entrar	entrar	VMN0000	entrar
por	por	SPS00	por
Capellan	capellán	NCMS000	capellán
de	de	SPS00	de
un	un	DI0MS0	uno
regimto	regimiento	NCMS000	regimiento
	,	Fc	,
hagalo	hágalo	VMSP0S0+PP3CNA00	hacer+lo
vmd	VM	NP00000	VM
	.	Fp	.
aunqe	Aunque	CS	aunque
no	no	RN	no
pare	pare	VMSP0S0	parar
aqui	aquí	RG	aquí
	,	Fc	,
are	haré	VMIF1S0	hacer
modo	modo	NCMS000	modo
de	de	SPS00	de
a	a	SPS00	a
vmd	VM	NP00000	VM
	,	Fc	,
pues	pues	CS	pues
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
atragantado	atragantado	VMP00SM	atragantar
	.	Fp	.
Quedo	Quedo	VMIP1S0	quedar
rogdo	rogando	VMG0000	rogar
a	a	SPS00	a
Dios	Dios	NP00000	dios
me	me	PP1CS000	me
le	le	PP3CSD00	le
gue	guarde	VMSP0S0	guardar
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Astorga	Astorga	NP00000	astorga
	,	Fc	,
y	y	CC	y
febrero	febrero	NCMS000	febrero
10	10	Z	10
de	de	SPS00	de
1766	1766	Z	1766
.	.	Fp	.
Su	Su	DP3CS0	su
Amigo	amigo	NCMS000	amigo
qe	que	PR0CN000	que
berle	verle	VMN0000+PP3CSA00	ver+le
desea	desea	VMIP3S0	desear
	,	Fc	,
Manuel	Manuel	NP00000	manuel
Maldonado	Maldonado	NP00000	maldonado
Sor	Señor	NP00000	señor
Dn	don	NP00000	don
Juan	Juan	NP00000	juan
Agn	Agustín	NP00000	agustín
Al	Alfonso	NP00000	alfonso
Ma	María	NP00000	maría
Smit	Smit	NP00000	smit
	.	Fp	.
A	A	SPS00	a
mi	mi	DP1CSS	mi
Amo	amo	NCMS000	amo
no	no	RN	no
participar	participar	VMN0000	participar
nada	nada	PI0NN00N	nada
de	de	SPS00	de
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
escrivo	escribo	VMIP1S0	escribir
ni	ni	CCN	ni
tampoco	tampoco	RG	tampoco
es	es	VSIP3S0	ser
neceso	necesario	AQ0MS0	necesario
escrivirle	escribirle	VMN0000+PP3CSD00	escribir+le
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
hacen	hacen	VMIP3P0	hacer
los	los	DA0MP0	el
sres	señores	NCMP000	señor
caso	caso	NCMS000	caso
de	de	SPS00	de
cartas	cartas	NCFP000	carta
de	de	SPS00	de
desvaldidos	desvalidos	NCMP000	desvalido
;	.	Fp	.
Escrivirame	Escribirame	VMIF3S0+PP1CS000	escribir+me
si	si	CS	si
lo	lo	DA0NS0	el
consavido	consabido	AQ0MS0	consabido
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
plomo	plomo	NCMS000	plomo
del	del	SPS00+DA0MS0	de+el
qe	que	PR0CN000	que
por	por	SPS00	por
aca	acá	RG	acá
se	se	P00CN000	se
hacen	hacen	VMIP3P0	hacer
balas	balas	NCFP000	bala
,	,	Fc	,
o	o	CC	o
peltre	peltre	NCMS000	peltre
del	del	SPS00+DA0MS0	de+el
qe	que	PR0CN000	que
se	se	P00CN000	se
hacen	hacen	VMIP3P0	hacer
platos	platos	NCMP000	plato
	,	Fc	,
pues	pues	CS	pues
lo	lo	PP3CNA00	lo
hize	hice	VMIS1S0	hacer
con	con	SPS00	con
plomo	plomo	NCMS000	plomo
y	y	CC	y
cocio	coció	VMIS3S0	cocer
quince	quince	Z	15
dias	días	NCMP000	día
	,	Fc	,
y	y	CC	y
ni	ni	CC	ni
se	se	P00CN000	se
endurecio	endureció	VMIS3S0	endurecer
ni	ni	CC	ni
se	se	P00CN000	se
puso	puso	VMIS3S0	poner
nada	nada	RQ	nada
amarillo	amarillo	AQ0MS0	amarillo
,	;	Fx	;
y	y	CC	y
el	el	DA0MS0	el
agua	agua	NCCS000	agua
de	de	SPS00	de
azero	acero	NCMS000	acero
en	en	SPS00	en
que	que	PR0CN000	que
se	se	P00CN000	se
templa	templa	VMSP0S0	templar
como	cómo	PA000000	cómo
se	se	P00CN000	se
hace	hace	VMIP3S0	hacer
,	;	Fx	;
y	y	CC	y
de	de	SPS00	de
qe	qué	PT0CN000	qué
se	se	P00CN000	se
compone	compone	VMIP3S0	componer
y	y	CC	y
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
mas	más	RC	más
qe	que	PR0CN000	que
se	se	P00CN000	se
le	le	PP3CSD00	le
ocurra	ocurra	VMSP0S0	ocurrir
.	.	Fp	.
