Illmo	Ilustrísimo		
dijo	dijo		
,	:		
	«		
mire	Mire		
	,		
Mn	mosén		
Thomas	Tomás		
	,		
lo	lo		
qe	que		
dize	dice		
el	el		
P	padre		
Juan	Juan		
qe	que		
no	no		
celebro	celebró		
dos	dos		
Misas	misas		
,	,		
si	sí		
qe	que		
se	se		
quedo	quedó		
reservado	reservado		
	»		
,	.		
quan-do	Cuando		
con	con		
todo	todo		
descaro	descaro		
y	y		
desverguenza	desvergũenza		
desmintio	desmintió		
â	a		
V	vuestra		
S	señoría		
Illma	ilustrísima		
dizien-do	diciendo		
qe	que		
el	él		
no	no		
avia	había		
escrito	escrito		
tal	tal		
cosa	cosa		
,	,		
como	como		
constava	constaba		
de	de		
Borron	borrón		
de	de		
la	la		
carta	carta		
,	,		
qe	que		
saco	sacó		
y	y		
leo	leyó		
qe	que		
	«		
el	el		
P	padre		
Juan	Juan		
se	se		
avia	había		
reservado	reservado		
y	y		
qe	que		
	,		
preguntan-dole	preguntándole		
por	por		
qe	qué		
se	se		
avia	había		
reservado	reservado		
,	,		
me	me		
dijo	dijo		
porqe	porque		
avia	había		
querido	querido		
	»		
:	.		
â	A		
lo	lo		
qe	que		
respondi	respondí		
,	:		
	«		
esto	Esto		
si	sí		
qe	que		
es	es		
verdad	verdad		
	»		
;	.		
y	Y		
fue	fue		
presiso	preciso		
al	al		
Sr	señor		
Dean	deán		
sacar	sacar		
la	la		
car-ta	carta		
de	de		
V	vuestra		
S	señoría		
Illma	ilustrísima		
	,		
ô	o		
de	de		
orden	orden		
suya	suya		
,	,		
y	y		
dezirle	decirle		
	:		
	«		
mire	Mire		
	,		
la	la		
Carta	carta		
lo	lo		
dize	dice		
y	y		
no	no		
creo	creo		
qe	que		
su	su		
Illma	ilustrísima		
lo	lo		
escriviese	escribiese		
si	si		
vm	VM		
no	no		
lo	lo		
huviese	hubiese		
escrito	escrito		
	»		
,	.		
insis-tio	Insistió		
en	en		
desmentir	desmentir		
â	a		
V	vuestra		
S	señoría		
Illma	ilustrísima		
	,		
a	a		
lo	lo		
qe	que		
le	le		
dije	dije		
	:		
	«		
Mn	Mosén		
Thomas	Tomás		
,	,		
lo	lo		
qe	que		
oste	usted		
dize	dice		
no	no		
me	me		
haze	hace		
fe	fe		
ni	ni		
me	me		
da	da		
credito	crédito		
;	;		
si	sí		
solo	sólo		
lo	lo		
qe	que		
escrive	escribe		
el	el		
superi-or	superior		
de	de		
oste	usted		
,	,		
qe	que		
es	es		
el	el		
Sr	señor		
Illmo	ilustrísimo		
;	.		
los	Los		
motivos	motivos		
porqe	porque		
me	me		
reserve	reservé		
no	no		
tengo	tengo		
qe	que		
darlos	darlos		
â	a		
oste	usted		
;	,		
si	sí		
qe	que		
al	al		
Sr	señor		
Illmo	ilustrísimo		
	»		
:	.		
Ahora	Ahora		
	,		
pues	pues		
qe	que		
viene	viene		
al	al		
caso	caso		
	,		
los	los		
declarare	declararé		
â	a		
V	vuestra		
S	señoría		
Illma	ilustrísima		
:	.		
Agobiado	Agobiado		
de	de		
tantas	tantas		
quejas	quejas		
como	como		
oyi	oí		
de	de		
los	los		
Feligreses	feligreses		
por	por		
aver	haber		
dejado	dejado		
dicho	dicho		
Vicario	vicario		
morir	morir		
el	el		
17	17		
del	del		
mismo	mismo		
mes	mes		
â	a		
Pedro	Pedro		
Bojons	Bojons		
sin	sin		
sacramento	sacramento		
alguno	alguno		
	,		
dando	dando		
el	el		
motivo	motivo		
qe	que		
moria	moría		
Reprobo	réprobo		
,	,		
Obstinado	obstinado		
ê	e		
Inpenitente	impenitente		
,	,		
me	me		
temia	temía		
qe	que		
por	por		
estos	estos		
motivos	motivos		
no	no		
querria	querría		
enterrarle	enterrarle		
	.		
este	Éste		
fue	fue		
el	el		
motivo	motivo		
de	de		
reservarme	reservarme		
,	,		
por	por		
constarme	constarme		
la	la		
bondad	bondad		
del	del		
Difunto	difunto		
y	y		
quan	cuan		
hombre	hombre		
de	de		
bien	bien		
era	era		
,	,		
y	y		
por	por		
tal	tal		
lo	lo		
tenia	tenía		
el	el		
Sr	señor		
Rr	rector		
y	y		
todo	todo		
el	el		
Pueblo	pueblo		
;	.		
qe	Que		
â	a		
suceder	suceder		
lo	lo		
qe	que		
pensava	pensaba		
,	,		
me	me		
hu-viera	hubiera		
yo	yo		
revestido	revestido		
de	de		
toda	toda		
la	la		
Autoridad	autoridad		
y	y		
le	le		
huviera	hubiera		
Cerrado	cerrado		
la	la		
sa-cristia	sacristía		
y	y		
no	no		
le	le		
huviera	hubiera		
dejado	dejado		
dezir	decir		
Misa	misa		
;	.		
si	Sí		
qe	que		
yo	yo		
huviera	hubiera		
enterrado	enterrado		
el	el		
Difunto	difunto		
y	y		
huviera	hubiera		
dicho	dicho		
la	la		
segunda	segunda		
Misa	misa		
,	,		
a	a		
fin	fin		
de	de		
qe	que		
el	el		
Pueblo	pueblo		
no	no		
huviese	hubiese		
quedado	quedado		
sin	sin		
misa	misa		
.	.		
En	En		
quanto	cuanto		
â	a		
lo	lo		
qe	que		
paso	pasó		
	,		
verbo	verbo		
lo	lo		
qe	que		
clama	clama		
la	la		
Viuda	viuda		
y	y		
el	el		
Pueblo	pueblo		
,	,		
y	y		
a	a		
las	las		
instancias	instancias		
se	se		
le	le		
hizieron	hicieron		
para	para		
qe	que		
le	le		
adminis-trase	administrase		
los	los		
sacramentos	sacramentos		
,	,		
y	y		
siquiera	siquiera		
la	la		
extremauncion	extremaunción		
,	,		
y	y		
le	le		
ausiliase	auxiliase		
en	en		
el	el		
Articulo	artículo		
de	de		
la	la		
muerte	muerte		
	;		
lo	lo		
dejo	dejo		
por	por		
no	no		
ser	ser		
de	de		
mi	mi		
inspección	inspección		
y	y		
figu-rarme	figurarme		
qe	que		
el	el		
Sr	señor		
Dean	deán		
ha	ha		
informado	informado		
ya	ya		
â	a		
V	vuestra		
S	señoría		
Illma	ilustrísima		
;	,		
a	a		
mas	más		
qe	que		
no	no		
puedo	puedo		
sino	sino		
de	de		
lo	lo		
qe	que		
he	he		
oyido	oído		
dezir	decir		
,	,		
qe	que		
es	es		
tanto	tanto		
qe	que		
las	las		
orejas	orejas		
tengo	tengo		
llenas	llenas		
del	del		
modo	modo		
de	de		
obrar	obrar		
de	de		
esse	ese		
Rdo	reverendo		
Vicario	vicario		
	.		
muy	Muy		
bien	bien		
dezia	decía		
Verdad	verdad		
â	a		
la	la		
Car-ta	carta		
qe	que		
escrivio	escribió		
â	a		
V	vuestra		
S	señoría		
Illma	ilustrísima		
diziendole	diciéndole		
qe	que		
no	no		
podia	podía		
dezir	decir		
dos	dos		
Misas	misas		
en	en		
los	los		
dias	días		
festivos	festivos		
	,		
citando	citando		
la	la		
Bula	bula		
,	,		
Autor	autor		
,	,		
Folio	folio		
,	,		
Pagina	página		
y	y		
Numero	número		
	,		
tratando	tratando		
con	con		
esto	esto		
de	de		
Ignorante	ignorante		
â	a		
V	vuestra		
S	señoría		
Illma	ilustrísima		
	,		
como	como		
se	se		
lo	lo		
advirtio	advirtió		
sujeto	sujeto		
â	a		
quien	quien		
leo	leyó		
la	la		
Carta	carta		
	.		
si	Sí		
qe	que		
es	es		
Verdad	verdad		
no	no		
las	las		
podia	podía		
Celebrar	celebrar		
,	,		
y	y		
a	a		
mi	mi		
sentir	sentir		
ni	ni		
una	una		
tanpoco	tampoco		
	.		
esto	Esto		
no	no		
me	me		
conpete	compete		
a	a		
mi	mí		
averiguarlo	averiguarlo		
ni	ni		
menos	menos		
Juzgar-lo	juzgarlo		
	,		
pero	pero		
si	sí		
qe	que		
me	me		
conpete	compete		
el	el		
qe	que		
me	me		
de	dé		
plena	plena		
satisfacion	satisfacción		
	,		
conforme	conforme		
se	se		
lo	lo		
dire	diré		
â	a		
el	él		
mesmo	mismo		
delante	delante		
del	del		
Sr	señor		
Dean	deán		
	,		
qe	que		
la	la		
querria	querría		
no	no		
por	por		
otro	otro		
qe	que		
por	por		
dar	dar		
satisfacion	satisfacción		
y	y		
hazerlo	hacerlo		
constar	constar		
â	a		
mi	mi		
Prelado	prelado		
	,		
el	el		
R	reverendo		
P	padre		
Proal	provincial		
	,		
q	que		
que-daria	quedaría		
con	con		
la	la		
zozobra	zozobra		
de	de		
ser	ser		
verdadera	verdadera		
la	la		
acusacion	acusación		
:	.		
podria	Podría		
muy	muy		
bien	bien		
clamar	clamar		
â	a		
V	vuestra		
S	señoría		
Illma	ilustrísima		
por	por		
la	la		
pena	pena		
del	del		
talion	talión		
	,		
lo	lo		
qe	que		
dejo	dejo		
a	a		
la	la		
prudencia	prudencia		
de	de		
V	vuestra		
S	señoría		
Illma	ilustrísima		
por	por		
no	no		
dejarme	dejarme		
Venzer	vencer		
del	del		
Vino	vino		
de	de		
la	la		
Venganza	venganza		
y	y		
asi-larme	asilarme		
al	al		
Oleo	óleo		
de	de		
la	la		
Misericordia	misericordia		
	,		
con	con		
tal	tal		
qe	que		
pueda	pueda		
hazerlo	hacerlo		
constar	constar		
â	a		
mi	mi		
Prelado	prelado		
	.		
con	Con		
esto	esto		
quedo	quedo		
â	a		
las	las		
ordenes	órdenes		
de	de		
V	vuestra		
S	señoría		
Illma	ilustrísima		
con	con		
el	el		
seguro	seguro		
de	de		
la	la		
prontitud	prontitud		
y	y		
gusto	gusto		
en	en		
conplazerle	complacerle		
en	en		
quanto	cuanto		
se	se		
dignare	dignare		
mandar-me	mandarme		
	.		
Igualada	Igualada		
	,		
y	y		
8bre	octubre		
24	24		
de	de		
85	85		
	.		
Affecto	Afecto		
Sdor	servidor		
de	de		
V	vuestra		
S	señoría		
Illma	ilustrísima		
Q	que		
S	su		
M	mano		
B	besa		
	,		
F	fray		
Juan	Juan		
Evangelista	Evangelista		
de	de		
Barna	Barcelona		
	,		
Capno	capellano		
Illmo	Ilustrísimo		
Sr	señor		
Obispo	obispo		
de	de		
Barna	Barcelona		
	.		
