Estimadissimo	Estimadísimo	AQSMS0	estimado
mucho	mucho	RQ	mucho
con	con	SPS00	con
su	su	DP3CS0	su
author	autor	NCMS000	autor
y	y	CC	y
le	le	PP3CSD00	le
avra	habrá	VAIF3S0	haber
bebido	bebido	VMP0000	beber
el	el	DA0MS0	el
fondo	fondo	NCMS000	fondo
de	de	SPS00	de
su	su	DP3CS0	su
espiritu	espíritu	NCMS000	espíritu
apurandole	apurándole	VMG0000+PP3CSD00	apurar+le
como	como	CS	como
pueda	pueda	VMSP0S0	poder
ser	ser	VSN0000	ser
la	la	DA0FS0	el
suspen-sion	suspensión	NCFS000	suspensión
,	,	Fc	,
le	le	PP3CSD00	le
pido	pido	VMIP1S0	pedir
me	me	PP1CS000	me
la	la	PP3FSA00	lo
decla-re	declare	VMSP0S0	declarar
,	,	Fc	,
porque	porque	CS	porque
yo	yo	PP1CSN00	yo
por	por	SPS00	por
no	no	RN	no
perder	perder	VMN0000	perder
el	el	DA0MS0	el
pie	pie	NCMS000	pie
ni	ni	CC	ni
fluctuar	fluctuar	VMN0000	fluctuar
en	en	SPS00	en
tanto	tanto	DI0MS0	tanto
Oceano	océano	NCMS000	océano
el	el	DA0MS0	el
animo	ánimo	NCMS000	ánimo
me	me	PP1CS000	me
quedo	quedo	VMIP1S0	quedar
en	en	SPS00	en
el	el	DA0MS0	el
Puerto	puerto	NCMS000	puerto
y	y	CC	y
siento	siento	VMIP1S0	sentir
que	que	CS	que
no	no	RN	no
es	es	VSIP3S0	ser
Norte	norte	NCMS000	norte
,	,	Fc	,
sino	sino	CC	sino
pre-cipicio	precipicio	NCMS000	precipicio
.	.	Fp	.
Y	Y	CC	y
asi	así	RG	así
el	el	DA0MS0	el
Amigo	amigo	NCMS000	amigo
o	o	CC	o
engaña	engaña	VMIP3S0	engañar
(	(	Fba	(
quod	quod	Fba	(
absit	absit	Fba	(
)	)	Fbt	)
o	o	CC	o
cita	cita	VMIP3S0	citar
engañado	engañado	VMP00SM	engañar
,	,	Fc	,
y	y	CC	y
es	es	VSIP3S0	ser
me-nester	menester	NCMS000	menester
hacer	hacer	VMN0000	hacer
oficios	oficios	NCMP000	oficio
de	de	SPS00	de
verdadero	verdadero	AQ0MS0	verdadero
Amigo	amigo	NCMS000	amigo
.	.	Fp	.
Venero	Venero	VMIP1S0	venerar
el	el	DA0MS0	el
jui-cio	juicio	NCMS000	juicio
de	de	SPS00	de
Vm	VM	NP00000	VM
,	.	Fp	.
se	Sé	VMIP1S0	saber
su	su	DP3CS0	su
buen	buen	AQ0MS0	bueno
a-nimo	ánimo	NCMS000	ánimo
,	,	Fc	,
su	su	DP3CS0	su
amor	amor	NCMS000	amor
,	,	Fc	,
y	y	CC	y
por	por	SPS00	por
esto	esto	PD0NN000	esto
le	le	PP3CSD00	le
escrivo	escribo	VMIP1S0	escribir
.	.	Fp	.
Responda	Responda	VMSP0S0	responder
Vm	VM	NP00000	VM
,	.	Fp	.
cer-tifique	Certifique	VMSP0S0	certificar
su	su	DP3CS0	su
salud	salud	NCFS000	salud
,	.	Fp	.
mande	Mande	VMSP0S0	mandar
y	y	CC	y
Dios	Dios	NP00000	dios
gde	guarde	VMSP0S0	guardar
su	su	DP3CS0	su
vida	vida	NCFS000	vida
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Madrid	Madrid	NP00000	ma
	,	Fc	,
y	y	CC	y
septire	septiembre	NCMS000	septiembre
18	18	Z	18
de	de	SPS00	de
1753	1753	Z	1753
.	.	Fp	.
De	De	SPS00	de
Vm	VM	NP00000	VM
fiel	fiel	AQ0CS0	fiel
Am	amigo	NCMS000	amigo
	,	Fc	,
Caro	Caro	AQ0MS0	caro
Sor	Señor	NP00000	señor
Dn	don	NP00000	don
Rafael	Rafael	NP00000	rafael
Carcante	Carcante	NP00000	carcante
.	.	Fp	.
