Abe	Ave	I	ave
asunto	asunto	NCMS000	asunto
teniendo	teniendo	VMG0000	tener
tan	tan	RC	tan
frequente	frecuente	AQ0CS0	frecuente
conbersacio	conversación	NCFS000	conversación
i	y	CC	y
aciendole	haciéndole	VMG0000+PP3CSD00	hacer+le
io	yo	PP1CSN00	yo
tan	tan	RC	tan
continuas	continuas	AQ0FP0	continuo
bisitas	visitas	NCFP000	visita
	.	Fp	.
le	Le	PP3CSD00	le
contaba	contaba	VMII0S0	contar
mis	mis	DP1CPS	mi
trabagos	trabajos	NCMP000	trabajo
i	y	CC	y
el	el	DA0MS0	el
poco	poco	DI0MS0	poco
aprecio	aprecio	NCMS000	aprecio
que	que	PR0CN000	que
mis	mis	DP1CPS	mi
ermanos	hermanos	NCMP000	hermano
acian	hacían	VMII3P0	hacer
	;	Fx	;
tan	tan	RC	tan
poco	poco	DI0MS0	poco
aprecio	aprecio	NCMS000	aprecio
deni	deni	X	X
i	y	CC	y
el	él	PP3MS000	él
se	se	P00CN000	se
lastimaba	lastimaba	VMII0S0	lastimar
i	y	CC	y
conpadecia	compadecía	VMII0S0	compadecer
de	de	SPS00	de
mis	mis	DP1CPS	mi
trabagos	trabajos	NCMP000	trabajo
i	y	CC	y
me	me	PP1CS000	me
consolaba	consolaba	VMII0S0	consolar
i	y	CC	y
daba	daba	VMII0S0	dar
buenos	buenos	AQ0MP0	bueno
consegos	consejos	NCMP000	consejo
	.	Fp	.
i	Y	CC	y
le	le	PP3CSD00	le
decia	decía	VMII0S0	decir
io	yo	PP1CSN00	yo
la	la	DA0FS0	el
causa	causa	NCFS000	causa
i	y	CC	y
el	el	DA0MS0	el
como	cómo	PA000000	cómo
sucedio	sucedió	VMIS3S0	suceder
	,	Fc	,
i	y	CC	y
para	para	SPS00	para
poderme	poderme	VMN0000+PP1CS000	poder+me
responder	responder	VMN0000	responder
era	era	VSII0S0	ser
cuando	cuando	PA000000	cuando
i	y	CC	y
me	me	PP1CS000	me
decia	decía	VMII0S0	decir
	:	Fd	:
	«	Fra	«
con	con	SPS00	con
tu	tu	DP2CSS	tu
licencia	licencia	NCFS000	licencia
	»	Frt	»
	.	Fp	.
pero	Pero	CC	pero
entonces	entonces	RG	entonces
no	no	RN	no
habia	había	VAII0S0	haber
pasado	pasado	VMP0000	pasar
nada	nada	PI0NN00N	nada
ni	ni	CCN	ni
o	yo	PP1CSN00	yo
abia	había	VAII0S0	haber
caido	caído	VMP0000	caer
en	en	SPS00	en
sospeha	sospecha	NCFS000	sospecha
	,	Fc	,
por	por	SPS00	por
no	no	RN	no
tener	tener	VMN0000	tener
aun	aún	RG	aun
ningun	ningún	DI0MS0	ninguno
motibo	motivo	NCMS000	motivo
de	de	SPS00	de
los	los	DA0MP0	el
que	que	PR0CN000	que
estan	están	VMIP3P0	estar
deqlarados	declarados	VMP00PM	declarar
	.	Fp	.
aora	Ahora	RG	ahora
esta	está	VMIP3S0	estar
mi	mi	DP1CSS	mi
duda	duda	NCFS000	duda
si	si	CSI	si
cuando	cuando	PA000000	cuando
llegamos	llegamos	VMIS1P0	llegar
a	a	SPS00	a
lo	lo	DA0NS0	el
progundo	profundo	AQ0MS0	profundo
de	de	SPS00	de
nuestras	nuestras	DP1FPP	nuestro
caidas	caídas	NCFP000	caída
	,	Fc	,
si	si	CS	si
en	en	SPS00	en
el	el	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
eho	hecho	NCMS000	hecho
fui	fui	VSIS1S0	ser
io	yo	PP1CSN00	yo
la	la	DA0FS0	el
que	que	PR0CN000	que
dige	dije	VMIS1S0	decir
que	que	CS	que
no	no	RN	no
abia	había	VAII0S0	haber
saciado	saciado	VMP0000	saciar
el	el	DA0MS0	el
apetito	apetito	NCMS000	apetito
en	en	SPS00	en
diferentes	diferentes	AQ0CP0	diferente
beces	veces	NCFP000	vez
con	con	SPS00	con
el	él	PP3MS000	él
	.	Fp	.
i	Y	CC	y
era	era	VSII0S0	ser
entonces	entonces	RG	entonces
cuando	cuando	PA000000	cuando
me	me	PP1CS000	me
decia	decía	VMII0S0	decir
que	que	CS	que
si	si	CS	si
tenia	tenía	VMII0S0	tener
mas	más	RC	más
gusto	gusto	NCMS000	gusto
que	que	CS	que
con	con	SPS00	con
el	el	DA0MS0	el
otro	otro	PI0MS000	otro
	,	Fc	,
que	que	CS	que
io	yo	PP1CSN00	yo
jabia	había	VAII0S0	haber
referido	referido	VMP0000	referir
a	a	SPS00	a
la	la	DA0FS0	el
bascona	vascona	NCFS000	vascón
	,	Fc	,
qu	que	CS	que
el	el	DA0MS0	el
motibo	motivo	NCMS000	motivo
i	y	CC	y
licencia	licencia	NCFS000	licencia
	...	Fs	...
lo	Lo	DA0NS0	el
que	que	PR0CN000	que
es	es	VSIP3S0	ser
cierto	cierto	AQ0MS0	cierto
que	que	CS	que
fuimos	fuimos	VMIS1P0	ir
sacando	sacando	VMG0000	sacar
de	de	SPS00	de
la	la	DA0FS0	el
triaca	triaca	NCFS000	triaca
el	el	DA0MS0	el
fuerte	fuerte	AQ0CS0	fuerte
beneno	veneno	NCMS000	veneno
que	que	PR0CN000	que
nos	nos	PP1CP000	nos
trastorno	trastornó	VMIS3S0	trastornar
a	a	SPS00	a
la	la	DA0FS0	el
perdicion	perdición	NCFS000	perdición
	.	Fp	.
el	Él	PP3MS000	él
me	me	PP1CS000	me
izo	hizo	VMIS3S0	hacer
muha	mucha	DI0FS0	mucho
limosna	limosna	NCFS000	limosna
por	por	SPS00	por
padecer	padecer	VMN0000	padecer
io	yo	PP1CSN00	yo
muha	mucha	DI0FS0	mucho
necesia	necesidad	NCFS000	necesidad
en	en	SPS00	en
algunas	algunas	DI0FP0	alguno
ocasiones	ocasiones	NCFP000	ocasión
	.	Fp	.
io	Yo	PP1CSN00	yo
estaba	estaba	VMII0S0	estar
mui	muy	RQ	muy
agradecida	agradecida	VMP00SF	agradecer
i	y	CC	y
esta	ésta	PD0FS000	este
era	era	VSII0S0	ser
la	la	DA0FS0	el
causa	causa	NCFS000	causa
de	de	SPS00	de
ir	ir	VMN0000	ir
alla	allá	RG	allá
io	yo	PP1CSN00	yo
	.	Fp	.
ubo	Hubo	VMIS3S0	haber
nunca	nunca	RN	nunca
nada	nada	PI0NN00N	nada
asta	hasta	SPS00	hasta
el	el	DA0MS0	el
tienpo	tiempo	NCMS000	tiempo
d	de	SPS00	de
los	los	DA0MP0	el
baños	baños	NCMP000	baño
i	y	CC	y
lo	lo	DA0NS0	el
referido	referido	VMP00SM	referir
	,	Fc	,
que	que	CS	que
entre	entré	VMIS1S0	entrar
en	en	SPS00	en
sospeha	sospecha	NCFS000	sospecha
	.	Fp	.
señor	Señor	NP00000	señor
	,	Fc	,
bien	bien	RG	bien
arbierto	advierto	VMIP1S0	advertir
lo	lo	DA0NS0	el
que	que	PR0CN000	que
le	le	PP3CSD00	le
fatigo	fatigo	VMIP1S0	fatigar
i	y	CC	y
canso	canso	VMIP1S0	cansar
por	por	SPS00	por
ser	ser	VSN0000	ser
cosas	cosas	NCFP000	cosa
de	de	SPS00	de
tanto	tanto	DI0MS0	tanto
peso	peso	NCMS000	peso
que	que	PR0CN000	que
deben	deben	VMIP3P0	deber
estar	estar	VMN0000	estar
con	con	SPS00	con
toda	toda	DI0FS0	todo
qlarida	claridad	NCFS000	claridad
	.	Fp	.
tengo	Tengo	VMIP1S0	tener
esta	esta	DD0FS0	este
duda	duda	NCFS000	duda
i	y	CC	y
espero	espero	VMIP1S0	esperar
en	en	SPS00	en
dios	Dios	NP00000	dios
que	que	CS	que
	,	Fc	,
si	si	CS	si
io	yo	PP1CSN00	yo
por	por	SPS00	por
mi	mi	DP1CSS	mi
rudez	rudeza	NCFS000	rudeza
innorancia	ignorancia	NCFS000	ignorancia
no	no	RN	no
me	me	PP1CS000	me
se	sé	VMIP1S0	saber
esplicar	explicar	VMN0000	explicar
	,	Fc	,
que	que	CS	que
uste	usted	PP2CS000	usted
con	con	SPS00	con
su	su	DP3CS0	su
douta	docta	AQ0FS0	docto
adbertencia	advertencia	NCFS000	advertencia
m	me	PP1CS000	me
entendera	entenderá	VMIF3S0	entender
mas	más	RC	más
que	que	CS	que
io	yo	PP1CSN00	yo
pueda	pueda	VMSP0S0	poder
decir	decir	VMN0000	decir
	.	Fp	.
encomiendeme	Encomiéndeme	VMSP0S0+PP1CS000	encomendar+me
uste	usted	PP2CS000	usted
en	en	SPS00	en
dios	Dios	NP00000	dios
para	para	SPS00	para
que	que	CS	que
me	me	PP1CS000	me
de	dé	VMSP0S0	dar
sus	sus	DP3CP0	su
ausilios	auxilios	NCMP000	auxilio
para	para	SPS00	para
perseberar	perseverar	VMN0000	perseverar
en	en	SPS00	en
el	el	DA0MS0	el
proposito	propósito	NCMS000	propósito
de	de	SPS00	de
nueba	nueva	AQ0FS0	nuevo
bida	vida	NCFS000	vida
madeuse	madeuse	X	X
	.	Fp	.
menbrillera	Membrillera	NP00000	membrillera
	,	Fc	,
i	y	CC	y
marzo	marzo	NCMS000	marzo
9.77	9.77	Z	9.77
polonia	Polonia	NP00000	polonia
fernandez	Fernández	NP00000	fernández
de	de	SPS00	de
cordoba	Córdoba	NP00000	córdoba
