Muy	Muy	RQ	muy
Gazinaharro	Garnizarro	NP00000	garnizarro
,	.	Fp	.
yo	Yo	PP1CSN00	yo
llevo	llevo	VMIP1S0	llevar
Quenta	cuenta	NCFS000	cuenta
y	y	CC	y
razon	razón	NCFS000	razón
de	de	SPS00	de
todo	todo	PI0MS000	todo
con	con	SPS00	con
bastante	bastante	DI0CS0	bastante
claridad	claridad	NCFS000	claridad
para	para	SPS00	para
satisfazer	satisfacer	VMN0000	satisfacer
a	a	SPS00	a
Vmd	VM	NP00000	VM
,	.	Fp	.
y	Y	CC	y
assi	así	RG	así
Vmd	VM	NP00000	VM
pierda	pierda	VMSP0S0	perder
Cuydado	cuidado	NCMS000	cuidado
,	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
haze	hace	VMIP3S0	hacer
falta	falta	NCFS000	falta
para	para	SPS00	para
prevenirme	prevenirme	VMN0000+PP1CS000	prevenir+me
nada	nada	PI0NN00N	nada
,	,	Fc	,
pues	pues	CS	pues
solo	sólo	RG	sólo
cuydo	cuido	VMIP1S0	cuidar
de	de	SPS00	de
guardar	guardar	VMN0000	guardar
mi	mi	DP1CSS	mi
cassa	casa	NCFS000	casa
y	y	CC	y
hazer	hacer	VMN0000	hacer
lo	lo	DA0NS0	el
que	que	PR0CN000	que
ay	hay	VMIP3S0	haber
que	que	CS	que
hazer	hacer	VMN0000	hacer
,	.	Fp	.
pareze	Parece	VMIP3S0	parecer
que	que	CS	que
el	el	DA0MS0	el
gran	gran	AQ0CS0	gran
Capitanazo	capitanazo	NCMS00A	capitán
da	da	VMIP3S0	dar
a	a	SPS00	a
entender	entender	VMN0000	entender
la	la	DA0FS0	el
mala	mala	AQ0FS0	malo
Voluntad	voluntad	NCFS000	voluntad
que	que	PR0CN000	que
me	me	PP1CS000	me
tiene	tiene	VMIP3S0	tener
,	,	Fc	,
pues	pues	CS	pues
en	en	SPS00	en
encontrado	encontrado	VMP00SM	encontrar
uno	uno	PI0MS000	uno
de	de	SPS00	de
Mazarulleque	Mazarulleque	NP00000	mazarulleque
le	le	PP3CSD00	le
dize	dice	VMIP3S0	decir
se	si	CSI	si
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
ydo	ido	VMP0000	ir
el	el	DA0MS0	el
Ama	ama	NCFS000	amo
del	del	SPS00+DA0MS0	de+el
Cura	cura	NCMS000	cura
y	y	CC	y
que	que	CS	que
que	qué	DT0CN0	qué
criada	criada	NCFS000	criado
ay	hay	VMIP3S0	haber
	,	Fc	,
con	con	SPS00	con
otras	otras	DI0FP0	otro
muchas	muchas	DI0FP0	mucho
preguntas	preguntas	NCFP000	pregunta
,	.	Fp	.
y	Y	CC	y
tambien	también	RG	también
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
a	a	SPS00	a
entender	entender	VMN0000	entender
con	con	SPS00	con
D	don	NP00000	don
franco	Francisco	NP00000	francisco
deziendole	diciéndole	VMG0000+PP3CSD00	decir+le
no	no	RN	no
haze	hace	VMIP3S0	hacer
Vmd	VM	NP00000	VM
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
que	que	PR0CN000	que
yo	yo	PP1CSN00	yo
Mando	mando	VMIP1S0	mandar
,	,	Fc	,
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
saco	sacó	VMIS3S0	sacar
la	la	DA0FS0	el
cara	cara	NCFS000	cara
D	don	NP00000	don
franco	Francisco	NP00000	francisco
Mrz	Martínez	NP00000	martínez
Dominguez	Domínguez	NP00000	domínguez
,	.	Fp	.
Vizte	Vicente	NP00000	vicente
Buendia	Buendía	NP00000	buendía
Dijo	dijo	VMIS3S0	decir
que	que	CS	que
	,	Fc	,
haviendo	habiendo	VAG0000	haber
ydo	ido	VMP0000	ir
a	a	SPS00	a
declarar	declarar	VMN0000	declarar
â	a	SPS00	a
la	la	DA0FS0	el
sumaria	sumaria	NCFS000	sumaria
y	y	CC	y
respondiendo	respondiendo	VMG0000	responder
a	a	SPS00	a
las	las	DA0FP0	el
preguntas	preguntas	NCFP000	pregunta
del	del	SPS00+DA0MS0	de+el
interrogatorio	interrogatorio	NCMS000	interrogatorio
	,	Fc	,
dize	dice	VMIP3S0	decir
no	no	RN	no
quisieron	quisieron	VMIS3P0	querer
poner	poner	VMN0000	poner
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
les	les	PP3CPD00	le
parecia	parecía	VMII0S0	parecer
favorable	favorable	AQ0CS0	favorable
a	a	SPS00	a
Vmd	VM	NP00000	VM
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
dize	dice	VMIP3S0	decir
ha	ha	VMIP3S0	haber
de	de	SPS00	de
declarar	declarar	VMN0000	declarar
si	si	CS	si
se	se	P00CN000	se
ofreze	ofrece	VMIP3S0	ofrecer
,	.	Fp	.
Tacones	Tacones	NP00000	tacones
y	y	CC	y
los	los	DA0MP0	el
Palazios	Palacios	NP00000	palacios
se	se	P00CN000	se
muestran	muestran	VMIP3P0	mostrar
muy	muy	RQ	muy
serios	serios	AQ0MP0	serio
y	y	CC	y
el	el	DA0MS0	el
Zirujano	cirujano	NCCS000	cirujano
cada	cada	DI0CN0	cada
dia	día	NCMS000	día
peor	peor	AQ0CS0	peor
	.	Fp	.
Lengua	Lengua	NCFS000	lengua
cantando	cantando	VMG0000	cantar
buenas	buenas	AQ0FP0	bueno
coplas	coplas	NCFP000	copla
,	,	Fc	,
todo	todo	PI0MS000	todo
por	por	SPS00	por
desvanezer	desvanecer	VMN0000	desvanecer
sus	sus	DP3CP0	su
picardias	picardías	NCFP000	picardía
	,	Fc	,
y	y	CC	y
haziendo	haciendo	VMG0000	hacer
alarde	alarde	NCMS000	alarde
de	de	SPS00	de
que	que	CS	que
entre	entre	VMSP0S0	entrar
y	y	CC	y
salga	salga	VMSP0S0	salir
la	la	DA0FS0	el
rullata	Rullata	NP00000	rullata
cada	cada	DI0CN0	cada
dia	día	NCMS000	día
mas	más	RC	más
y	y	CC	y
mas	más	RC	más
;	.	Fp	.
el	El	DA0MS0	el
Padre	padre	NP00000	padre
fray	fray	NP00000	fray
Julian	Julián	NP00000	julián
esta	está	VMIP3S0	estar
muy	muy	RQ	muy
asistente	asistente	AQ0CS0	asistente
en	en	SPS00	en
su	su	DP3CS0	su
yglesia	iglesia	NCFS000	iglesia
examinando	examinando	VMG0000	examinar
y	y	CC	y
dando	dando	VMG0000	dar
a	a	SPS00	a
algunas	algunas	PI0FP000	alguno
calabazas	calabazas	NCFP000	calabaza
.	.	Fp	.
es	Es	VSIP3S0	ser
gran	gran	AQ0CS0	gran
Theniente	teniente	NCCS000	teniente
,	.	Fp	.
no	No	RN	no
falta	falta	VMIP3S0	faltar
nada	nada	PI0NN00N	nada
en	en	SPS00	en
la	la	DA0FS0	el
yglesia	iglesia	NCFS000	iglesia
	.	Fp	.
ya	Ya	RG	ya
le	le	PP3CSD00	le
ha	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
algunos	algunos	DI0MP0	alguno
refirafes	rifirrafes	NCMP000	rifirrafe
a	a	SPS00	a
Ginoves	Ginovés	NP00000	ginovés
,	.	Fp	.
y	Y	CC	y
no	no	RN	no
ha	ha	VAIP3S0	haber
permitido	permitido	VMP0000	permitir
que	que	CS	que
ninguno	ninguno	PI0MS00N	ninguno
examine	examine	VMSP0S0	examinar
,	,	Fc	,
sino	sino	CC	sino
el	él	PP3MS000	él
,	,	Fc	,
pues	pues	CS	pues
dize	dice	VMIP3S0	decir
que	que	CS	que
Vmd	VM	NP00000	VM
le	le	PP3CSD00	le
ha	ha	VAIP3S0	haber
dejado	dejado	VMP0000	dejar
sus	sus	DP3CP0	su
Vezes	veces	NCFP000	vez
y	y	CC	y
que	que	CS	que
el	él	PP3MS000	él
es	es	VSIP3S0	ser
aora	ahora	RG	ahora
el	el	DA0MS0	el
Cura	cura	NCMS000	cura
y	y	CC	y
que	que	CS	que
ha	ha	VMIP3S0	haber
de	de	SPS00	de
Cumplir	cumplir	VMN0000	cumplir
con	con	SPS00	con
su	su	DP3CS0	su
obligazon	obligación	NCFS000	obligación
	.	Fp	.
a	A	SPS00	a
Genoves	Genovés	NP00000	genovés
se	se	P00CN000	se
le	le	PP3CSD00	le
han	han	VAIP3P0	haber
soltado	soltado	VMP0000	soltar
algunas	algunas	DI0FP0	alguno
propossiciones	proposiciones	NCFP000	proposición
no	no	RN	no
muy	muy	RQ	muy
buenas	buenas	AQ0FP0	bueno
	,	Fc	,
quitandole	quitándole	VMG0000+PP3CSD00	quitar+le
el	el	DA0MS0	el
creyto	crédito	NCMS000	crédito
â	a	SPS00	a
Mujeres	mujeres	NCFP000	mujer
de	de	SPS00	de
Vien	bien	NCMS000	bien
,	.	Fp	.
en	En	SPS00	en
fin	fin	NCMS000	fin
	,	Fc	,
si	si	CS	si
todo	todo	PI0MS000	todo
lo	lo	PP3CNA00	lo
huviera	hubiera	VMSI0S0	haber
de	de	SPS00	de
dezir	decir	VMN0000	decir
era	era	VSII0S0	ser
menes-ter	menester	NCMS000	menester
una	una	DI0FS0	uno
Resma	resma	NCFS000	resma
,	.	Fp	.
la	La	DA0FS0	el
Ropa	ropa	NCFS000	ropa
la	la	PP3FSA00	lo
tengo	tengo	VMIP1S0	tener
prevenida	prevenida	VMP00SF	prevenir
y	y	CC	y
h	he	VAIP1S0	haber
avissado	avisado	VMP0000	avisar
en	en	SPS00	en
la	la	DA0FS0	el
Plaza	plaza	NCFS000	plaza
para	para	SPS00	para
quando	cuando	PA000000	cuando
passen	pasen	VMSP3P0	pasar
los	los	DA0MP0	el
de	de	SPS00	de
Cuenca	Cuenca	NP00000	cuenca
para	para	SPS00	para
que	que	CS	que
la	la	PP3FSA00	lo
lleven	lleven	VMSP3P0	llevar
,	.	Fp	.
le	Le	PP3CSD00	le
entregare	entregaré	VMIF1S0	entregar
dos	dos	Z	2
camisas	camisas	NCFP000	camisa
,	,	Fc	,
dos	dos	Z	2
pares	pares	NCMP000	par
de	de	SPS00	de
calzonzillos	calzoncillos	NCMP000	calzoncillo
,	,	Fc	,
unas	unas	DI0FP0	uno
calzetas	calcetas	NCFP000	calceta
y	y	CC	y
dos	dos	Z	2
pares	pares	NCMP000	par
de	de	SPS00	de
escarpines	escarpines	NCMP000	escarpín
y	y	CC	y
unas	unas	DI0FP0	uno
Medias	medias	NCFP000	media
.	.	Fp	.
Vuelvo	Vuelvo	VMIP1S0	volver
a	a	SPS00	a
dezir	decir	VMN0000	decir
a	a	SPS00	a
Vmd	VM	NP00000	VM
que	que	CS	que
toda	toda	DI0FS0	todo
la	la	DA0FS0	el
incha	hincha	NCCS000	hincha
es	es	VSIP3S0	ser
el	el	DA0MS0	el
que	que	CS	que
yo	yo	PP1CSN00	yo
me	me	PP1CS000	me
baya	vaya	VMSP0S0	ir
y	y	CC	y
no	no	RN	no
me	me	PP1CS000	me
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
ir	ir	VMN0000	ir
aunque	aunque	CS	aunque
se	se	P00CN000	se
empeñe	empeñe	VMSP0S0	empeñar
medio	medio	AQ0MS0	medio
Mundo	mundo	NCMS000	mundo
,	.	Fp	.
yo	Yo	PP1CSN00	yo
no	no	RN	no
hago	hago	VMIP1S0	hacer
casso	caso	NCMS000	caso
de	de	SPS00	de
nada	nada	PI0NN00N	nada
,	,	Fc	,
pues	pues	CS	pues
estoy	estoy	VMIP1S0	estar
cada	cada	DI0CN0	cada
dia	día	NCMS000	día
mas	más	RC	más
contenta	contenta	NCFS000	contento
y	y	CC	y
canto	canto	VMIP1S0	cantar
por	por	SPS00	por
darles	darles	VMN0000+PP3CPD00	dar+le
mas	más	RC	más
en	en	SPS00	en
los	los	DA0MP0	el
ojos	ojos	NCMP000	ojo
,	.	Fp	.
no	No	RN	no
canso	canso	VMIP1S0	cansar
mas	más	RC	más
a	a	SPS00	a
Vmd	VM	NP00000	VM
,	,	Fc	,
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
que	que	CS	que
Ds	Dios	NP00000	dios
le	le	PP3CSA00	le
gde	guarde	VMSP0S0	guardar
ms	muchos	DI0MP0	mucho
y	y	CC	y
felizes	felices	AQ0CP0	feliz
as	años	NCMP000	año
.	.	Fp	.
Mazarulleque	Mazarulleque	NP00000	mazarulleque
	,	Fc	,
y	y	CC	y
Abril	abril	NCMS000	abril
14	14	Z	14
de	de	SPS00	de
1756	1756	Z	1756
a	años	NCMP000	año
	.	Fp	.
B	Besa	VMIP3S0	besar
L	la	DA0FS0	el
M	mano	NCFS000	mano
de	de	SPS00	de
Vmd	VM	NP00000	VM
su	su	DP3CS0	su
mas	más	RC	más
humilde	humilde	AQ0CS0	humilde
servidora	servidora	NCFS000	servidor
	,	Fc	,
Ana	Ana	NP00000	ana
Maria	María	NP00000	maría
Gayan	Gayán	NP00000	gayán
Sr	Señor	NP00000	señor
D	don	NP00000	don
Juan	Juan	NP00000	juan
Jph	José	NP00000	josé
Aranda	Aranda	NP00000	aranda
	.	Fp	.
Los	Los	DA0MP0	el
Sres	señores	NCMP000	señor
Ravosos	Ravosos	NP00000	ravosos
y	y	CC	y
Da	doña	NP00000	don
Angela	Ángela	NP00000	ángela
enbian	envían	VMIP3P0	enviar
muchissimas	muchísimas	DI0FP0	muchísimo
Memorias	memorias	NCFP000	memoria
y	y	CC	y
que	que	CS	que
no	no	RN	no
tenga	tenga	VMSP0S0	tener
Pesadumbre	pesadumbre	NCFS000	pesadumbre
,	;	Fx	;
que	que	CS	que
mire	mire	VMSP0S0	mirar
bien	bien	RG	bien
en	en	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
le	le	PP3CSA00	le
pueden	pueden	VMIP3P0	poder
servir	servir	VMN0000	servir
	,	Fc	,
que	que	CS	que
lo	lo	PP3CNA00	lo
haran	harán	VMIF3P0	hacer
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
gusto	gusto	NCMS000	gusto
,	.	Fp	.
fray	Fray	NP00000	fray
Julian	Julián	NP00000	julián
y	y	CC	y
los	los	DA0MP0	el
de	de	SPS00	de
cassa	casa	NCFS000	casa
y	y	CC	y
Amigos	amigos	NCMP000	amigo
	,	Fc	,
Memorias	memorias	NCFP000	memoria
	.	Fp	.
