Exmo	Excelentísimo	AQSMS0	excelente
dar	dar	VMN0000	dar
licençia	licencia	NCFS000	licencia
para	para	SPS00	para
qe	que	CS	que
me	me	PP1CS000	me
pueda	pueda	VMSP0S0	poder
pasar	pasar	VMN0000	pasar
a	a	SPS00	a
S	San	NP00000	san
Bernardino	Bernardino	NP00000	bernardino
,	,	Fc	,
qe	que	CS	que
con	con	SPS00	con
esto	esto	PD0NN000	esto
quedara	quedará	VMIF3S0	quedar
este	este	DD0MS0	este
combento	convento	NCMS000	convento
aliviado	aliviado	VMP00SM	aliviar
y	y	CC	y
dare	daré	VMIF1S0	dar
lugar	lugar	NCMS000	lugar
a	a	SPS00	a
otros	otros	DI0MP0	otro
huespedes	huéspedes	NCMP000	huésped
,	.	Fp	.
espero	Espero	VMIP1S0	esperar
de	de	SPS00	de
su	su	DP3CS0	su
benignidad	benignidad	NCFS000	benignidad
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
mereçer	merecer	VMN0000	merecer
este	este	DD0MS0	este
favor	favor	NCMS000	favor
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
	,	Fc	,
cuia	cuya	PU0FS000	cuyo
vida	vida	NCFS000	vida
gde	guarde	VMSP0S0	guardar
Dios	Dios	NP00000	dios
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Ma	Madrid	NP00000	madrid
	,	Fc	,
y	y	CC	y
Mayo	mayo	NCMS000	mayo
25	25	Z	25
de	de	SPS00	de
1701	1701	Z	1701
	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
M	mano	NCFS000	mano
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
su	su	DP3CS0	su
mas	más	RC	más
rendido	rendido	VMP00SM	rendir
y	y	CC	y
humilde	humilde	AQ0CS0	humilde
capp	capellán	NCMS000	capellán
	,	Fc	,
fray	fray	NP00000	fray
Salvador	Salvador	NP00000	salvador
Merlo	Merlo	NP00000	merlo
	,	Fc	,
de	de	SPS00	de
zerdeña	Cerdeña	NP00000	cerden
