Mui	Muy		
Yncluio	Incluyo		
la	la		
adjunta	adjunta		
pa	para		
el	el		
Dn	don		
Diego	Diego		
	.		
y	Y		
ya	ya		
bera	verá		
vm	VM		
qe	que		
observo	observo		
lo	lo		
qe	que		
me	me		
prebiene	previene		
de	de		
no	no		
darle	darle		
motivo	motivo		
a	a		
que	que		
se	se		
altere	altere		
	,		
pues	pues		
nada	nada		
se	se		
le	le		
escasea	escasea		
.	.		
en	En		
qto	cuanto		
a	a		
la	la		
satisfacn	satisfacción		
del	del		
alcance	alcance		
qe	que		
el	el		
Prior	prior		
hace	hace		
de	de		
su	su		
Cuenta	cuenta		
	,		
aprovandola	aprobándola		
el	el		
dn	don		
Diego	Diego		
al	al		
pie	pie		
de	de		
ella	ella		
	(		
a	a		
cuio	cuyo		
fin	fin		
la	la		
debuelbo	devuelvo		
significandole	significándole		
a	a		
vm	VM		
pa	para		
ello	ello		
lo	lo		
qe	que		
llevo	llevo		
dho	dicho		
	)		
	,		
podra	podrá		
satisfacerle	satisfacerle		
de	de		
la	la		
Cantd	cantidad		
de	de		
los	los		
500	500		
rr	reales		
recividos	recibidos		
por	por		
vm	VM		
recojiendo	recogiendo		
rezivo	recibo		
de	de		
dho	dicho		
Prior	prior		
,	.		
y	Y		
yo	yo		
cuidare	cuidaré		
de	de		
qe	que		
a	a		
tpo	tiempo		
se	se		
le	le		
despache	despache		
a	a		
vm	VM		
otra	otra		
libranza	libranza		
.	.		
Renuevo	Renuevo		
a	a		
vm	VM		
afto	afecto		
con	con		
el	el		
qe	que		
quedo	quedo		
Rogdo	rogando		
a	a		
nro	Nuestro		
sor	Señor		
ge	guarde		
a	a		
vm	VM		
ms	muchos		
as	años		
	.		
seva	Sevilla		
	,		
16	16		
de	de		
Junio	junio		
de	de		
1772	1772		
	.		
sor	Señor		
dn	don		
Nicolas	Nicolás		
de	de		
Lanuza	Lanuza		
	.		
