Ave	Ave	I	ave
asta	hasta	SPS00	hasta
aora	ahora	RG	ahora
.	.	Fp	.
Y	Y	CC	y
gusto	gusto	NCMS000	gusto
de	de	SPS00	de
q	que	CS	que
sepa	sepa	VMSP0S0	saber
deseo	deseo	VMIP1S0	desear
servirle	servirle	VMN0000+PP3CSA00	servir+le
en	en	SPS00	en
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
lizito	lícito	AQ0MS0	lícito
y	y	CC	y
q	que	CS	que
cabe	cabe	VMIP3S0	caber
en	en	SPS00	en
este	este	DD0MS0	este
abito	hábito	NCMS000	hábito
y	y	CC	y
en	en	SPS00	en
la	la	DA0FS0	el
profesion	profesión	NCFS000	profesión
de	de	SPS00	de
orador	orador	NCMS000	orador
evangelico	evangélico	NCMS000	evangélico
,	,	Fc	,
aunq	aunque	CS	aunque
yo	yo	PP1CSN00	yo
no	no	RN	no
lo	lo	PP3CNA00	lo
merezca	merezca	VMSP0S0	merecer
	.	Fp	.
gde	Guarde	VMSP0S0	guardar
Dios	Dios	NP00000	dios
a	a	SPS00	a
Vm	VM	NP00000	VM
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Colmenar	Colmenar	NP00000	colmenar
Viejo	Viejo	NCMS000	viejo
	,	Fc	,
y	y	CC	y
Junio	junio	NCMS000	junio
7	7	Z	7
de	de	SPS00	de
1707	1707	Z	1707
	.	Fp	.
Siervo	Siervo	NCMS000	siervo
y	y	CC	y
capellan	capellán	NCMS000	capellán
de	de	SPS00	de
Vm	VM	NP00000	VM
q	que	PR0CN000	que
s	sus	DP3CP0	su
M	manos	NCFP000	mano
B	besa	VMIP3S0	besar
	,	Fc	,
fr	fray	NP00000	fray
franco	Francisco	NP00000	francisco
Dominguez	Domínguez	NP00000	domínguez
de	de	SPS00	de
Orellana	Orellana	NP00000	orellana
Sr	Señor	NP00000	señor
D	don	NP00000	don
Manuel	Manuel	NP00000	manuel
de	de	SPS00	de
Ayala	Ayala	NP00000	ayala
Salzedo	Salcedo	NP00000	salcedo
	.	Fp	.
