Jph	José	NP00000	josé
mio	mío	DP1MSS	mío
,	.	Fp	.
y	Y	CC	y
dho	dicho	VMP00SM	decir
Eugo	Eugenio	NP00000	eugenio
no	no	RN	no
lo	lo	PP3MSA00	lo
ha	ha	VAIP3S0	haber
presentado	presentado	VMP0000	presentar
prq	porque	CS	porque
dize	dice	VMIP3S0	decir
no	no	RN	no
tiene	tiene	VMIP3S0	tener
poder	poder	NCMS000	poder
,	,	Fc	,
lo	lo	DA0NS0	el
q	que	PR0CN000	que
es	es	VSIP3S0	ser
una	una	DI0FS0	uno
machada	machada	NCFS000	machada
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
dize	dice	VMIP3S0	decir
q	que	CS	que
dho	dicho	VMP00SM	decir
pedimto	pedimento	NCMS000	pedimento
se	se	PP3CN000	se
lo	lo	PP3MSA00	lo
Volvera	volverá	VMIF3S0	volver
à	a	SPS00	a
dho	dicho	VMP00SM	decir
Pe	padre	NP00000	padre
fr	fray	NP00000	fray
Ju	Juan	NP00000	juan
del	del	SPS00+DA0MS0	de+el
Carmen	Carmen	NP00000	carmen
	,	Fc	,
lo	lo	DA0NS0	el
q	que	PR0CN000	que
me	me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
	,	Fc	,
pues	pues	CS	pues
dho	dicho	VMP00SM	decir
Pre	padre	NCMS000	padre
lo	lo	PP3MSA00	lo
guardara	guardará	VMIF3S0	guardar
	.	Fp	.
y	Y	CC	y
aun	aún	RG	aun
si	si	CS	si
Vais	vais	VMIP2P0	ir
pr	por	SPS00	por
el	el	DA0MS0	el
Carmen	Carmen	NP00000	carmen
le	le	PP3CSD00	le
direis	diréis	VMIF2P0	decir
á	a	SPS00	a
dho	dicho	VMP00SM	decir
Pe	padre	NCMS000	padre
se	se	PP3CN000	se
lo	lo	PP3MSA00	lo
pida	pida	VMSP0S0	pedir
	,	Fc	,
supuesto	supuesto	VMP00SM	suponer
no	no	RN	no
lo	lo	PP3MSA00	lo
ha	ha	VAIP3S0	haber
presentdo	presentado	VMP0000	presentar
	.	Fp	.
a	A	SPS00	a
esta	ésta	PD0FS000	este
q	que	PR0CN000	que
dejara	dejará	VMIF3S0	dejar
ai	ahí	RG	ahí
el	el	DA0MS0	el
Mozo	mozo	NCMS000	mozo
le	le	PP3CSD00	le
pondreis	pondréis	VMIP2P0	poner
un	un	DI0MS0	uno
sobre	sobre	NCMS000	sobre
de	de	SPS00	de
letra	letra	NCFS000	letra
de	de	SPS00	de
Polanco	Polanco	NP00000	polanco
pa	para	SPS00	para
Eugo	Eugenio	NP00000	eugenio
Mrz	Martínez	NP00000	martínez
	.	Fp	.
pero	Pero	CC	pero
Primero	primero	RG	primero
	,	Fc	,
como	como	CS	como
digo	digo	VMIP1S0	decir
	,	Fc	,
q	que	CS	que
lo	lo	PP3MSA00	lo
vea	vea	VMSP0S0	ver
dn	don	NP00000	don
Julian	Julián	NP00000	julián
Monzon	Monzón	NP00000	monzón
y	y	CC	y
el	el	DA0MS0	el
Abogdo	abogado	NCMS000	abogado
Auñon	Auñón	NP00000	auñón
si	si	CSI	si
se	se	P00CN000	se
ofreze	ofrece	VMIP3S0	ofrecer
ó	o	CC	o
gustais	gustáis	VMIP2P0	gustar
q	que	CS	que
lo	lo	PP3MSA00	lo
Vea	vea	VMSP0S0	ver
	,	Fc	,
pero	pero	CC	pero
dezirle	decirle	VMN0000+PP3CSD00	decir+le
que	que	CS	que
yo	yo	PP1CSN00	yo
e	he	VAIP1S0	haber
declarado	declarado	VMP0000	declarar
q	que	CS	que
solo	sólo	RG	sólo
un	un	DI0MS0	uno
desliz	desliz	AQ0CS0	desliz
pero	pero	CC	pero
q	que	CS	que
ella	ella	PP3FS000	él
esta	está	VMIP3S0	estar
firme	firme	AQ0CS0	firme
en	en	SPS00	en
declarar	declarar	VMN0000	declarar
no	no	RN	no
e	he	VAIP1S0	haber
sido	sido	VSP0000	ser
yo	yo	PP1CSN00	yo
	,	Fc	,
y	y	CC	y
q	que	CS	que
ya	ya	RG	ya
tengo	tengo	VMIP1S0	tener
todo	todo	PI0MS000	todo
prevenido	prevenido	VMP00SM	prevenir
a	a	SPS00	a
Mazarulleq	Mazarulleque	NP00000	mazarulleque
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
este	éste	PD0MS000	este
dira	dirá	VMIF3S0	decir
	,	Fc	,
pr	por	SPS00	por
no	no	RN	no
poder	poder	VMN0000	poder
Yo	yo	PP1CSN00	yo
salir	salir	VMN0000	salir
	,	Fc	,
lo	lo	DA0NS0	el
q	que	PR0CN000	que
se	se	P00CN000	se
ha	ha	VMIP3S0	haber
de	de	SPS00	de
hazer	hacer	VMN0000	hacer
pa	para	SPS00	para
mejor	mejor	AQ0CS0	mejor
exito	éxito	NCMS000	éxito
	,	Fc	,
pues	pues	CS	pues
Ya	ya	RG	ya
esta	está	VMIP3S0	estar
dho	dicho	VMP00SM	decir
sr	señor	NP00000	señor
Abgado	abogado	NCMS000	abogado
enterado	enterado	VMP00SM	enterar
de	de	SPS00	de
todo	todo	PI0MS000	todo
	.	Fp	.
y	Y	CC	y
dezirle	decirle	VMN0000+PP3CSD00	decir+le
lo	lo	DA0NS0	el
q	que	PR0CN000	que
solo	sólo	RG	sólo
e	he	VAIP1S0	haber
declarado	declarado	VMP0000	declarar
;	.	Fp	.
y	Y	CC	y
dn	don	NP00000	don
Julian	Julián	NP00000	julián
dira	dirá	VMIF3S0	decir
si	si	CSI	si
solo	sólo	RG	sólo
a	ha	VAIP3S0	haber
ido	ido	VMP0000	ir
Romero	Romero	NP00000	romero
a	a	SPS00	a
lo	lo	DA0NS0	el
de	de	SPS00	de
Thente	Teniente	NP00000	teniente
o	o	CC	o
a	a	SPS00	a
tomarle	tomarle	VMN0000+PP3CSD00	tomar+le
otra	otra	DI0FS0	otro
declarazon	declaración	NCFS000	declaración
	.	Fp	.
y	Y	CC	y
esperar	esperar	VMN0000	esperar
q	que	CS	que
Venga	venga	VMSP0S0	venir
dho	dicho	VMP00SM	decir
Romero	Romero	NP00000	romero
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
lo	lo	DA0NS0	el
q	que	PR0CN000	que
resulte	resulte	VMSP0S0	resultar
y	y	CC	y
digan	digan	VMSP3P0	decir
dho	dicho	VMP00SM	decir
Abogdo	abogado	NCMS000	abogado
y	y	CC	y
dn	don	NP00000	don
Julian	Julián	NP00000	julián
se	se	P00CN000	se
Vera	verá	VMIF3S0	ver
si	si	CSI	si
Conviene	conviene	VMIP3S0	convenir
ó	o	CC	o
antes	antes	RG	antes
ó	o	CC	o
despues	después	RG	después
presentar	presentar	VMN0000	presentar
dho	dicho	VMP00SM	decir
pedimto	pedimento	NCMS000	pedimento
	,	Fc	,
q	que	PR0CN000	que
esta	está	VMIP3S0	estar
bueno	bueno	AQ0MS0	bueno
	.	Fp	.
y	Y	CC	y
mis	mis	DP1CPS	mi
mem	memorias	NCFP000	memoria
a	a	SPS00	a
mi	mi	DP1CSS	mi
Hermana	hermana	NCFS000	hermano
	,	Fc	,
ea	etc	NCMS000	etcétera
	.	Fp	.
y	Y	CC	y
no	no	RN	no
soi	soy	VSIP1S0	ser
mas	más	RC	más
largo	largo	AQ0MS0	largo
	.	Fp	.
y	Y	CC	y
si	si	CS	si
Veis	veis	VMIP2P0	ver
á	a	SPS00	a
Lazaro	Lázaro	NP00000	lázaro
	,	Fc	,
que	que	CS	que
se	se	P00CN000	se
Vea	vea	VMSP0S0	ver
conmigo	conmigo	SPS00+PP1CSO00	con+mí
,	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
l	le	PP3CSA00	le
e	he	VAIP1S0	haber
visto	visto	VMP0000	ver
desde	desde	SPS00	desde
q	que	CS	que
estoi	estoy	VMIP1S0	estar
preso	preso	AQ0MS0	preso
y	y	CC	y
el	el	DA0MS0	el
Alcaide	alcaide	NCMS000	alcaide
Dios	Dios	NP00000	dios
sabe	sabe	VMIP3S0	saber
si	si	CSI	si
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
dira	dirá	VMIF3S0	decir
.	.	Fp	.
una	Una	DI0FS0	uno
vez	vez	NCFS000	vez
e	he	VAIP1S0	haber
dicho	dicho	VMP0000	decir
ante	ante	SPS00	ante
el	el	DA0MS0	el
Provisr	provisor	NCMS000	provisor
pr	por	SPS00	por
q	qué	PT0CN000	qué
los	los	DA0MP0	el
Alcs	alcaides	NCMP000	alcaide
no	no	RN	no
guardn	guardan	VMIP3P0	guardar
secreto	secreto	NCMS000	secreto
	.	Fp	.
Vro	Vuestro	DP2MSP	vuestro
Hero	hermano	NCMS000	hermano
ex	ex	SPS00	ex
corde	corde	NCMS000	cor
	,	Fc	,
Ju	Juan	NP00000	juan
