Hallandome	Hallándome	VMG0000+PP1CS000	hallar+me
mano	mano	NCFS000	mano
de	de	SPS00	de
nro	nuestro	DP1MSP	nuestro
amantissimo	amantísimo	AQSMS0	amante
hero	hermano	NP00000	hermano
dn	don	NP00000	don
françisco	Francisco	NP00000	francisco
de	de	SPS00	de
Mendoza	Mendoza	NP00000	mendoza
	(	Fba	(
su	su	DP3CS0	su
fha	fecha	NCFS000	fecha
de	de	SPS00	de
5	5	Z	5
de	de	SPS00	de
Julio	julio	NCMS000	julio
del	del	SPS00+DA0MS0	de+el
año	año	NCMS000	año
de	de	SPS00	de
1704	1704	Z	1704
a	años	NCMP000	año
	)	Fbt	)
	.	Fp	.
esta	Esta	DD0FS0	este
Carta	carta	NCFS000	carta
fue	fue	VMIS3S0	ir
scripta	escrita	VMP00SF	escribir
en	en	SPS00	en
salamanca	Salamanca	NP00000	salamanca
	.	Fp	.
Vino	Vino	VMIS3S0	venir
dentro	dentro	RG	dentro
de	de	SPS00	de
Unas	unas	DI0FP0	uno
del	del	SPS00+DA0MS0	de+el
Sr	señor	NP00000	señor
dn	don	NP00000	don
Ju	Juan	NP00000	juan
d	de	SPS00	de
escalante	Escalante	NP00000	escalante
	,	Fc	,
quien	quien	PR0CS000	quien
luego	luego	RG	luego
que	que	CS	que
la	la	PP3FSA00	lo
Resivio	recibió	VMIS3S0	recibir
me	me	PP1CS000	me
hiso	hizo	VMIS3S0	hacer
fabor	favor	NCMS000	favor
de	de	SPS00	de
mandarmela	mandármela	VMN0000+PP1CS000+PP3FSA00	mandar+me+lo
.	.	Fp	.
ella	Ella	PP3FS000	él
fue	fue	VSIS3S0	ser
dulze	dulce	AQ0CS0	dulce
al	al	SPS00+DA0MS0	a+el
Rezevirla	recibirla	VMN0000+PP3FSA00	recibir+lo
	,	Fc	,
como	como	CS	como
tu	tú	PP2CSN00	tú
Ynferir	inferir	VMN0000	inferir
podras	podrás	VMIF2S0	poder
	,	Fc	,
mas	mas	CC	mas
leyendo	leyendo	VMG0000	leer
el	el	DA0MS0	el
primer	primer	AO0MS0	primero
Renglon	renglón	NCMS000	renglón
se	se	P00CN000	se
me	me	PP1CS000	me
demudaron	demudaron	VMIS3P0	demudar
las	las	DA0FP0	el
colores	colores	NCMP000	color
de	de	SPS00	de
la	la	DA0FS0	el
cara	cara	NCFS000	cara
Y	y	CC	y
se	se	P00CN000	se
alteraron	alteraron	VMIS3P0	alterar
los	los	DA0MP0	el
pulsos	pulsos	NCMP000	pulso
del	del	SPS00+DA0MS0	de+el
corason	corazón	NCMS000	corazón
,	,	Fc	,
Yncredulo	incrédulo	NCMS000	incrédulo
de	de	SPS00	de
que	que	CS	que
semejante	semejante	AQ0CS0	semejante
Carta	carta	NCFS000	carta
	,	Fc	,
o	o	CC	o
por	por	SPS00	por
mejor	mejor	RC	mejor
dezir	decir	VMN0000	decir
prozesso	proceso	NCMS000	proceso
	,	Fc	,
fuesse	fuese	VMSI0S0	ir
scripto	escrito	NCMS000	escrito
por	por	SPS00	por
hombre	hombre	NCMS000	hombre
humano	humano	AQ0MS0	humano
	.	Fp	.
a	A	SPS00	a
que	que	CS	que
deseosso	deseoso	AQ0MS0	deseoso
Comense	comencé	VMIS1S0	comenzar
a	a	SPS00	a
leer	leer	VMN0000	leer
los	los	DA0MP0	el
primeros	primeros	AO0MP0	primero
Renglones	renglones	NCMP000	renglón
	,	Fc	,
prorumpiendose	prorrumpiéndose	VMG0000+P00CN000	prorrumpir+se
mis	mis	DP1CPS	mi
ojos	ojos	NCMP000	ojo
en	en	SPS00	en
dos	dos	Z	2
abundantissimas	abundantísimas	AQSFP0	abundante
fuentes	fuentes	NCFP000	fuente
de	de	SPS00	de
lagrimas	lágrimas	NCFP000	lágrima
(	(	Fba	(
que	que	CS	que
te	te	PP2CS000	te
aseguro	aseguro	VMIP1S0	asegurar
su	su	DP3CS0	su
largo	largo	AQ0MS0	largo
Contenido	contenido	NCMS000	contenido
no	no	RN	no
es	es	VSIP3S0	ser
para	para	SPS00	para
menos	menos	RC	menos
de	de	SPS00	de
enterneser	enternecer	VMN0000	enternecer
las	las	DA0FP0	el
piedras	piedras	NCFP000	piedra
	)	Fbt	)
,	.	Fp	.
que	Que	CS	que
	,	Fc	,
Como	como	CS	como
Yndigno	indigno	VMIP1S0	indignar
	,	Fc	,
te	te	PP2CS000	te
Juro	juro	VMIP1S0	jurar
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
dar	dar	VMN0000	dar
a	a	SPS00	a
la	la	DA0FS0	el
ymprenta	imprenta	NCFS000	imprenta
	.	Fp	.
hombre	Hombre	NCMS000	hombre
apasionado	apasionado	VMP00SM	apasionar
no	no	RN	no
se	se	P00CN000	se
ha	ha	VMIP3S0	haber
de	de	SPS00	de
dar	dar	VMN0000	dar
ninguno	ninguno	PI0MS00N	ninguno
que	que	PR0CN000	que
tenga	tenga	VMSP0S0	tener
balor	valor	NCMS000	valor
para	para	SPS00	para
leerla	leerla	VMN0000+PP3FSA00	leer+lo
de	de	SPS00	de
Una	una	DI0FS0	uno
sentada	sentada	NCFS000	sentada
	,	Fc	,
porque	porque	CS	porque
son	son	VSIP3P0	ser
tantas	tantas	PI0FP000	tanto
Y	y	CC	y
tan	tan	RC	tan
lastimosas	lastimosas	AQ0FP0	lastimoso
las	las	DA0FP0	el
Cosas	cosas	NCFP000	cosa
por	por	SPS00	por
ella	ella	PP3FS000	él
expresadas	expresadas	VMP00PF	expresar
que	que	CS	que
nezesita	necesita	VMIP3S0	necesitar
Un	un	DI0MS0	uno
hombre	hombre	NCMS000	hombre
nueVo	nuevo	AQ0MS0	nuevo
corason	corazón	NCMS000	corazón
de	de	SPS00	de
diamante	diamante	NCMS000	diamante
	.	Fp	.
entre	Entre	SPS00	entre
las	las	DA0FP0	el
quales	cuales	PR0CP000	cual
trahe	trae	VMIP3S0	traer
Y	y	CC	y
Refiere	refiere	VMIP3S0	referir
la	la	DA0FS0	el
lastimosa	lastimosa	AQ0FS0	lastimoso
Vida	vida	NCFS000	vida
Y	y	CC	y
mal	mal	RG	mal
prozeder	proceder	NCMS000	proceder
de	de	SPS00	de
nros	nuestros	DP1MPP	nuestro
deudos	deudos	NCMP000	deudo
	,	Fc	,
cosa	cosa	NCFS000	cosa
que	que	CS	que
	,	Fc	,
segun	según	SPS00	según
las	las	DA0FP0	el
premisas	premisas	NCFP000	premisa
por	por	SPS00	por
nosotros	nosotros	PP1MP000	nosotros
discurridas	discurridas	VMP00PF	discurrir
Y	y	CC	y
sacadas	sacadas	NCFP000	sacada
	,	Fc	,
parese	parece	VMIP3S0	parecer
aser	hacer	VMN0000	hacer
segun	según	SPS00	según
Y	y	CC	y
como	como	CS	como
	.	Fc	,
en	En	SPS00	en
quanto	cuanto	PA000000	cuanto
al	al	SPS00+DA0MS0	a+el
primero	primero	AO0MS0	primero
capitulo	capítulo	NCMS000	capítulo
de	de	SPS00	de
dha	dicha	VMP00SF	decir
Carta	carta	NCFS000	carta
	,	Fc	,
sabras	sabrás	VMIF2S0	saber
Como	como	CS	como
nro	nuestro	DP1MSP	nuestro
queRido	querido	VMP00SM	querer
hermano	hermano	NCMS000	hermano
se	se	P00CN000	se
alla	halla	VMIP3S0	hallar
en	en	SPS00	en
la	la	DA0FS0	el
çiudaz	ciudad	NCFS000	ciudad
de	de	SPS00	de
salamanca	Salamanca	NP00000	salamanca
asistido	asistido	VMP00SM	asistir
y	y	CC	y
Rodeado	rodeado	VMP00SM	rodear
de	de	SPS00	de
Ynnumerables	innumerables	AQ0CP0	innumerable
calamidades	calamidades	NCFP000	calamidad
	,	Fc	,
Con	con	SPS00	con
9	9	Z	9
horas	horas	NCFP000	hora
O	o	CC	o
Con	con	SPS00	con
11	11	Z	11
d	de	SPS00	de
estudio	estudio	NCMS000	estudio
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
dias	días	NCMP000	día
,	;	Fx	;
que	que	CS	que
aUn	aun	RG	aun
para	para	SPS00	para
Comer	comer	VMN0000	comer
no	no	RN	no
tiene	tiene	VMIP3S0	tener
,	,	Fc	,
que	que	CS	que
el	el	DA0MS0	el
dia	día	NCMS000	día
que	que	PR0CN000	que
scribio	escribió	VMIS3S0	escribir
dha	dicha	VMP00SF	decir
carta	carta	NCFS000	carta
fue	fue	VMIS3S0	ir
la	la	DA0FS0	el
hora	hora	NCFS000	hora
Y	y	CC	y
el	el	DA0MS0	el
punto	punto	NCMS000	punto
en	en	SPS00	en
que	que	CS	que
salio	salió	VMIS3S0	salir
a	a	SPS00	a
Vender	vender	VMN0000	vender
la	la	DA0FS0	el
Ropa	ropa	NCFS000	ropa
que	que	PR0CN000	que
tenia	tenía	VMII0S0	tener
para	para	SPS00	para
Comer	comer	VMN0000	comer
aquel	aquel	DD0MS0	aquel
dia	día	NCMS000	día
,	.	Fp	.
de	De	SPS00	de
aqui	aquí	RG	aquí
podras	podrás	VMIF2S0	poder
Ynferir	inferir	VMN0000	inferir
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
	.	Fp	.
esta	Está	VMIP3S0	estar
para	para	SPS00	para
Doctorarse	doctorarse	VMN0000+P00CN000	doctorar+se
Y	y	CC	y
no	no	RN	no
tiene	tiene	VMIP3S0	tener
Um	un	DI0MS0	uno
mr	maravedí	NCMS000	maravedí
ni	ni	CC	ni
facundo	Facundo	NP00000	facundo
le	le	PP3CSD00	le
quiere	quiere	VMIP3S0	querer
asistir	asistir	VMN0000	asistir
Con	con	SPS00	con
nada	nada	PI0NN00N	nada
.	.	Fp	.
el	El	DA0MS0	el
simple	simple	NCMS000	simple
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
dieron	dieron	VMIS3P0	dar
	,	Fc	,
del	del	SPS00+DA0MS0	de+el
qual	cual	PR0CS000	cual
tomo	tomó	VMIS3S0	tomar
posession	posesión	NCFS000	posesión
al	al	SPS00+DA0MS0	a+el
punto	punto	NCMS000	punto
que	que	PR0CN000	que
salimos	salimos	VMIP1P0	salir
,	.	Fp	.
facundo	Facundo	NP00000	facundo
perdio	perdió	VMIS3S0	perder
el	el	DA0MS0	el
pleyto	pleito	NCMS000	pleito
de	de	SPS00	de
BorBolla	Borbolla	NP00000	borbolla
Y	y	CC	y
le	le	PP3CSD00	le
obligaron	obligaron	VMIS3P0	obligar
a	a	SPS00	a
pagar	pagar	VMN0000	pagar
el	el	DA0MS0	el
dinero	dinero	NCMS000	dinero
.	.	Fp	.
saco	Sacó	VMIS3S0	sacar
250	250	Z	250
ps	pesos	NCMP000	peso
a	a	SPS00	a
çensso	censo	NCMS000	censo
,	,	Fc	,
Mi	mi	DP1CSS	mi
Madre	madre	NCFS000	madre
çiento	ciento	Z	100
,	,	Fc	,
Barlthasar	Baltasar	NP00000	baltasar
50	50	Z	50
,	,	Fc	,
dn	don	NP00000	don
Ju	Juan	NP00000	juan
Manuel	Manuel	NP00000	manuel
çiento	ciento	Z	100
,	,	Fc	,
Y	y	CC	y
fiador	fiador	NCMS000	fiador
con	con	SPS00	con
lo	lo	DA0NS0	el
que	que	PR0CN000	que
le	le	PP3CSD00	le
mando	mandó	VMIS3S0	mandar
la	la	DA0FS0	el
tia	tía	NCFS000	tía
a	a	SPS00	a
los	los	DA0MP0	el
otros	otros	PI0MP000	otro
Y	y	CC	y
los	los	DA0MP0	el
otros	otros	PI0MP000	otro
a	a	SPS00	a
su	su	DP3CS0	su
mzd	merced	NCFS000	merced
	;	Fx	;
dña	doña	NP00000	don
Cathalina	Catalina	NP00000	catalina
Y	y	CC	y
dn	don	NP00000	don
lucas	Lucas	NP00000	lucas
al	al	SPS00+DA0MS0	a+el
traste	traste	NCMS000	traste
con	con	SPS00	con
qto	cuanto	PA000000	cuanto
tenian	tenían	VMII3P0	tener
	,	Fp	,
todo	todo	PI0MS000	todo
de	de	SPS00	de
mala	mala	AQ0FS0	malo
calidad	calidad	NCFS000	calidad
Y	y	CC	y
facundo	Facundo	NP00000	facundo
de	de	SPS00	de
peor	peor	RC	peor
Y	y	CC	y
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
deudos	deudos	NCMP000	deudo
	.	Fp	.
facundo	Facundo	NP00000	facundo
con	con	SPS00	con
Un	un	DI0MS0	uno
hijo	hijo	NCMS000	hijo
	,	Fc	,
del	del	SPS00+DA0MS0	de+el
qual	cual	PR0CS000	cual
fue	fue	VMIS3S0	ir
Padrino	padrino	NCMS000	padrino
dn	don	NP00000	don
Po	Pedro	NP00000	pedro
de	de	SPS00	de
Possada	Posada	NCFS000	posada
Madriz	Madrid	NP00000	madrid
Y	y	CC	y
clara	Clara	NP00000	clara
Madrina	madrina	NCFS000	madrina
	.	Fp	.
asistieron	Asistieron	VMIS3P0	asistir
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
hombres	hombres	NCMP000	hombre
prinçipales	principales	AQ0CP0	principal
	,	Fc	,
como	como	CS	como
fueron	fueron	VMIS3P0	ir
los	los	DA0MP0	el
hijos	hijos	NCMP000	hijo
del	del	SPS00+DA0MS0	de+el
conde	conde	NCMS000	conde
,	,	Fc	,
el	el	DA0MS0	el
sarjento	sargento	NCMS000	sargento
Mayor	mayor	AQ0CS0	mayor
	,	Fc	,
dn	don	NP00000	don
Po	Pedro	NP00000	pedro
Duque	Duque	NCMS000	duque
	...	Fs	...
el	El	DA0MS0	el
hijo	hijo	NCMS000	hijo
del	del	SPS00+DA0MS0	de+el
conde	conde	NCMS000	conde
caso	casó	VMIS3S0	casar
en	en	SPS00	en
galisia	Galicia	NP00000	galicia
,	.	Fp	.
su	Su	DP3CS0	su
Padre	padre	NCMS000	padre
Caso	casó	VMIS3S0	casar
en	en	SPS00	en
llanes	Llanes	NP00000	llanes
Con	con	SPS00	con
dña	doña	NP00000	don
Josepha	Josefa	NP00000	josefa
de	de	SPS00	de
Barreda	Barreda	NP00000	barreda
	,	Fc	,
hija	hija	NCFS000	hijo
de	de	SPS00	de
dn	don	NP00000	don
Bfrançisco	Francisco	NP00000	francisco
Barreda	Barreda	NP00000	barreda
gayon	Gayón	NP00000	gayón
	.	Fp	.
el	El	DA0MS0	el
Bautismzo	bautizo	NCMS000	bautizo
dise	dice	VMIP3S0	decir
que	que	CS	que
fue	fue	VSIS3S0	ser
solenne	solemne	AQ0CS0	solemne
	,	Fc	,
Con	con	SPS00	con
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
Requisitos	requisitos	NCMP000	requisito
	.	Fp	.
mi	Mi	DP1CSS	mi
queRida	querida	VMP00SF	querer
Madre	madre	NCFS000	madre
con	con	SPS00	con
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
sacramentos	sacramentos	NCMP000	sacramento
dados	dados	VMP00PM	dar
se	se	P00CN000	se
allo	halló	VMIS3S0	hallar
despues	después	RG	después
que	que	CS	que
nosotros	nosotros	PP1MP000	nosotros
partimos	partimos	VMIP1P0	partir
.	.	Fp	.
las	Las	DA0FP0	el
hijas	hijas	NCFP000	hijo
de	de	SPS00	de
dn	don	NP00000	don
Joseph	José	NP00000	josé
de	de	SPS00	de
Mendoza	Mendoza	NP00000	mendoza
se	se	P00CN000	se
casaron	casaron	VMIS3P0	casar
con	con	SPS00	con
los	los	DA0MP0	el
hijos	hijos	NCMP000	hijo
de	de	SPS00	de
Grabriel	Gabriel	NP00000	gabriel
gutierrez	Gutiérrez	NP00000	gutiérrez
,	,	Fc	,
el	el	DA0MS0	el
hijo	hijo	NCMS000	hijo
de	de	SPS00	de
Roman	Román	NP00000	román
Con	con	SPS00	con
la	la	DA0FS0	el
dha	dicha	VMP00SF	decir
,	.	Fp	.
Ju	Juan	NP00000	juan
d	de	SPS00	de
escalante	Escalante	NP00000	escalante
	,	Fc	,
el	el	DA0MS0	el
de	de	SPS00	de
porqueriço	Porquerizo	NP00000	porquerizo
	,	Fc	,
la	la	DA0FS0	el
mujer	mujer	NCFS000	mujer
de	de	SPS00	de
Ju	Juan	NP00000	juan
de	de	SPS00	de
hoyos	Hoyos	NP00000	hoyos
Y	y	CC	y
su	su	DP3CS0	su
hija	hija	NCFS000	hijo
Y	y	CC	y
dn	don	NP00000	don
Joseph	José	NP00000	josé
de	de	SPS00	de
mier	Mier	NP00000	mier
murieron	murieron	VMIS3P0	morir
.	.	Fp	.
La	La	DA0FS0	el
niña	niña	NCFS000	niño
que	que	PR0CN000	que
quedo	quedó	VMIS3S0	quedar
em	en	SPS00	en
pancar	Pancar	NP00000	pancar
dise	dice	VMIP3S0	decir
q	que	CS	que
es	es	VSIP3S0	ser
Un	un	DI0MS0	uno
seRafin	serafín	NCMS000	serafín
	;	Fx	;
se	se	P00CN000	se
alla	halla	VMIP3S0	hallar
em	en	SPS00	en
pares	Parres	NP00000	parres
asistida	asistida	VMP00SF	asistir
por	por	SPS00	por
facundo	Facundo	NP00000	facundo
de	de	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
nezesario	necesario	AQ0MS0	necesario
	.	Fp	.
mucho	Mucho	RQ	mucho
mas	más	RC	más
te	te	PP2CS000	te
quisiera	quisiera	VMSI0S0	querer
scribir	escribir	VMN0000	escribir
	,	Fc	,
mas	mas	CC	mas
el	el	DA0MS0	el
corason	corazón	NCMS000	corazón
no	no	RN	no
da	da	VMIP3S0	dar
lugar	lugar	NCMS000	lugar
	,	Fc	,
porque	porque	CS	porque
	,	Fc	,
si	si	CS	si
fue	fue	VSIS3S0	ser
grande	grande	AQ0CS0	grande
l	la	DA0FS0	el
alegria	alegría	NCFS000	alegría
	,	Fc	,
Reduplicado	reduplicado	VMP00SM	reduplicar
fue	fue	VMIS3S0	ir
el	el	DA0MS0	el
pesar	pesar	NCMS000	pesar
,	.	Fp	.
mi	Mi	DP1CSS	mi
tio	tío	NCMS000	tío
thoriVio	Toribio	NP00000	toribio
de	de	SPS00	de
noriega	Noriega	NP00000	noriega
Y	y	CC	y
toda	toda	DI0FS0	todo
su	su	DP3CS0	su
cassa	casa	NCFS000	casa
qdan	quedan	VMIP3P0	quedar
buenos	buenos	AQ0MP0	bueno
	;	Fx	;
solo	sólo	RG	sólo
los	los	DA0MP0	el
nros	nuestros	PX1MP0P0	nuestro
Rematados	rematados	NCMP000	rematado
Y	y	CC	y
de	de	SPS00	de
mala	mala	AQ0FS0	malo
calidad	calidad	NCFS000	calidad
perdidos	perdidos	NP00000	perdido
	.	Fp	.
la	La	DA0FS0	el
carta	carta	NCFS000	carta
no	no	RN	no
sse	se	P00CN000	se
puede	puede	VMIP3S0	poder
Remitir	remitir	VMN0000	remitir
ni	ni	CC	ni
aUn	aun	CS	aun
esta	ésta	PD0FS000	este
enseñar	enseñar	VMN0000	enseñar
.	.	Fp	.
lo	Lo	DA0NS0	el
que	que	PR0CN000	que
si	sí	RG	sí
sabras	sabrás	VMIF2S0	saber
como	como	CS	como
trahe	trae	VMIP3S0	traer
tres	tres	Z	3
pliegos	pliegos	NCMP000	pliego
de	de	SPS00	de
papel	papel	NCMS000	papel
de	de	SPS00	de
muy	muy	RQ	muy
menudita	menudita	AQ0FS0	menudito
letra	letra	NCFS000	letra
	,	Fc	,
tupidos	tupidos	CS	tupidos
todos	todos	PI0MP000	todo
de	de	SPS00	de
noVedades	novedades	NCFP000	novedad
taçitas	tácitas	AQ0FP0	tácito
por	por	SPS00	por
aOra	ahora	RG	ahora
Y	y	CC	y
de	de	SPS00	de
Ynfinitas	infinitas	AQ0FP0	infinito
Calamidades	calamidades	NCFP000	calamidad
	.	Fp	.
bastantes	Bastantes	DI0CP0	bastante
lagrimas	lágrimas	NCFP000	lágrima
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
costado	costado	VMP0000	costar
Y	y	CC	y
costara	costará	VMIF3S0	costar
,	.	Fp	.
el	El	DA0MS0	el
dinero	dinero	NCMS000	dinero
del	del	SPS00+DA0MS0	de+el
simple	simple	AQ0CS0	simple
achis	hachís	NCMS000	hachís
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
hisieron	hicieron	VMIS3P0	hacer
droga	droga	NCFS000	droga
	,	Fc	,
de	de	SPS00	de
suerte	suerte	NCFS000	suerte
que	que	CS	que
la	la	DA0FS0	el
causa	causa	NCFS000	causa
prinçipal	principal	AQ0CS0	principal
de	de	SPS00	de
no	no	RN	no
scribir	escribir	VMN0000	escribir
a	a	SPS00	a
cada	cada	DI0CN0	cada
Uno	uno	PI0MS000	uno
Yn	in	PI0MS000	uno
solidun	solidum	PI0MS000	uno
fue	fue	VMIS3S0	ir
careser	carecer	VMN0000	carecer
de	de	SPS00	de
Un	un	DI0MS0	uno
ochabo	ochavo	NCMS000	ochavo
para	para	SPS00	para
papel	papel	NCMS000	papel
	.	Fp	.
esto	Esto	PD0NN000	esto
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
menos	menos	RC	menos
.	.	Fp	.
Y	Y	CC	y
nosotros	nosotros	PP1MP000	nosotros
Rodeados	rodeados	VMIP1P0	rodeados
de	de	SPS00	de
gloria	gloria	NCFS000	gloria
Y	y	CC	y
ellos	ellos	PP3MP000	ellos
todos	todos	PI0MP000	todo
de	de	SPS00	de
miseria	miseria	NCFS000	miseria
	.	Fp	.
Dios	Dios	NP00000	dios
por	por	SPS00	por
su	su	DP3CS0	su
misericordia	misericordia	NCFS000	misericordia
lo	lo	PP3CNA00	lo
remedie	remedie	VMSP0S0	remediar
	,	Fc	,
que	que	CS	que
puede	puede	VMIP3S0	poder
	.	Fp	.
los	Los	DA0MP0	el
motivos	motivos	NCMP000	motivo
de	de	SPS00	de
no	no	RN	no
te	te	PP2CS000	te
imbiar	enviar	VMN0000	enviar
la	la	DA0FS0	el
carta	carta	NCFS000	carta
los	los	PP3MPA00	lo
sabras	sabrás	VMIF2S0	saber
Con	con	SPS00	con
el	el	DA0MS0	el
tiempo	tiempo	NCMS000	tiempo
,	,	Fc	,
que	que	CS	que
mejor	mejor	RC	mejor
fuera	fuera	VSSI0S0	ser
no	no	RN	no
los	los	PP3MPA00	lo
saber	saber	VMN0000	saber
	.	Fp	.
Y	Y	CC	y
aDios	adiós	I	adiós
hasta	hasta	SPS00	hasta
la	la	DA0FS0	el
Vista	vista	NCFS000	vista
	.	Fp	.
13	13	Z	13
de	de	SPS00	de
1706	1706	Z	1706
a	años	NCMP000	año
	.	Fp	.
Brtm	Bartolomé	NP00000	bartolomé
Mendoza	Mendoza	NP00000	mendoza
no	No	RN	no
enseñes	enseñes	VMSP2S0	enseñar
esta	ésta	PD0FS000	este
a	a	SPS00	a
nayde	nadie	PI0NN00N	nadie
	,	Fc	,
por	por	SPS00	por
Dios	Dios	NP00000	dios
,	,	Fc	,
que	que	CS	que
yo	yo	PP1CSN00	yo
hare	haré	VMIF1S0	hacer
con	con	SPS00	con
esta	ésta	PD0FS000	este
lo	lo	PP3MSA00	lo
mismo	mismo	RG	mismo
	.	Fp	.
