Viva	Viva	VMSP0S0	vivir
manifestó	manifestó	VMIS3S0	manifestar
en	en	SPS00	en
la	la	DA0FS0	el
nueba	nueva	NCFS000	nueva
forma	forma	VMIP3S0	formar
lleno	lleno	AQ0MS0	lleno
de	de	SPS00	de
jubilo	júbilo	NCMS000	júbilo
y	y	CC	y
alegria	alegría	NCFS000	alegría
su	su	DP3CS0	su
Smo	santísimo	AQSMS0	santo
rostro	rostro	NCMS000	rostro
.	.	Fp	.
ayer	Ayer	RG	ayer
fue	fue	VMIS3S0	ir
abundantisimamente	abundantísimamente	RG	abundantísimamente
y	y	CC	y
me	me	PP1CS000	me
parece	parece	VMIP3S0	parecer
que	que	CS	que
persevero	perseveró	VMIS3S0	perseverar
en	en	SPS00	en
mi	mi	DP1CSS	mi
compa	compañía	NCFS000	compañía
largo	largo	AQ0MS0	largo
tpo	tiempo	NCMS000	tiempo
por	por	SPS00	por
la	la	DA0FS0	el
tarde	tarde	NCFS000	tarde
,	,	Fc	,
siendo	siendo	VSG0000	ser
de	de	SPS00	de
adbertir	advertir	VMN0000	advertir
que	que	CS	que
	,	Fc	,
para	para	SPS00	para
dar	dar	VMN0000	dar
pruevas	pruebas	NCFP000	prueba
d	de	SPS00	de
este	este	DD0MS0	este
nuevo	nuevo	AQ0MS0	nuevo
milagro	milagro	NCMS000	milagro
	,	Fc	,
tomó	tomó	VMIS3S0	tomar
de	de	SPS00	de
una	una	DI0FS0	uno
servilleta	servilleta	NCFS000	servilleta
nueve	nueve	Z	9
o	o	CC	o
diez	diez	Z	10
endrinas	endrinas	NCFP000	endrina
que	que	PR0CN000	que
tenia	tenía	VMII0S0	tener
,	.	Fp	.
y	Y	CC	y
anoche	anoche	RG	anoche
quando	cuando	PA000000	cuando
fui	fui	VMIS1S0	ir
a	a	SPS00	a
buscarlas	buscarlas	VMN0000+PP3FPA00	buscar+lo
me	me	PP1CS000	me
alle	hallé	VMIS1S0	hallar
sin	sin	SPS00	sin
nada	nada	PI0NN00N	nada
,	,	Fc	,
mas	mas	CC	mas
interiormte	interiormente	RG	interiormente
recivi	recibí	VMIS1S0	recibir
noticia	noticia	NCFS000	noticia
las	las	PP3FPA00	lo
avia	había	VAII0S0	haber
tomado	tomado	VMP0000	tomar
el	el	DA0MS0	el
sor	Señor	NP00000	señor
	.	Fp	.
y	Y	CC	y
luego	luego	RG	luego
	,	Fc	,
en	en	SPS00	en
un	un	DI0MS0	uno
rato	rato	NCMS000	rato
de	de	SPS00	de
oracion	oración	NCFS000	oración
	,	Fc	,
al	al	SPS00+DA0MS0	a+el
tpo	tiempo	NCMS000	tiempo
de	de	SPS00	de
acostarme	acostarme	VMN0000+PP1CS000	acostar+me
recivi	recibí	VMIS1S0	recibir
la	la	DA0FS0	el
misma	misma	AQ0FS0	mismo
inteliga	inteligencia	NCFS000	inteligencia
viendo	viendo	VMG0000	ver
al	al	SPS00+DA0MS0	a+el
sor	Señor	NP00000	señor
mui	muy	RQ	muy
alegre	alegre	AQ0CS0	alegre
que	que	CS	que
me	me	PP1CS000	me
decia	decía	VMII0S0	decir
que	que	CS	que
	,	Fc	,
si	si	CS	si
asta	hasta	SPS00	hasta
el	el	DA0MS0	el
misterio	misterio	NCMS000	misterio
no	no	RN	no
penetro	penetro	VMIP1S0	penetrar
,	,	Fc	,
puede	puede	VMIP3S0	poder
ser	ser	VSN0000	ser
para	para	SPS00	para
darme	darme	VMN0000+PP1CS000	dar+me
a	a	SPS00	a
conocer	conocer	VMN0000	conocer
su	su	DP3CS0	su
voluntad	voluntad	NCFS000	voluntad
Sma	santísima	AQSFS0	santo
en	en	SPS00	en
orn	orden	NCMS000	orden
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
me	me	PP1CS000	me
significo	significó	VMIS3S0	significar
ayer	ayer	RG	ayer
	.	Fp	.
y	Y	CC	y
es	es	VSIP3S0	ser
que	que	CS	que
el	el	DA0MS0	el
ayuno	ayuno	NCMS000	ayuno
sea	sea	VSSP0S0	ser
completamte	completamente	RG	completamente
sin	sin	SPS00	sin
tomar	tomar	VMN0000	tomar
nada	nada	PI0NN00N	nada
	,	Fc	,
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
gustoso	gustoso	AQ0MS0	gustoso
me	me	PP1CS000	me
ofreci	ofrecí	VMIS1S0	ofrecer
con	con	SPS00	con
el	el	DA0MS0	el
devido	debido	VMP00SM	deber
consejo	consejo	NCMS000	consejo
,	.	Fp	.
dioseme	Dióseme	VMIS3S0+P00CN000+PP1CS000	dar+se+me
noticia	noticia	NCFS000	noticia
de	de	SPS00	de
que	que	CS	que
el	el	DA0MS0	el
divino	divino	AQ0MS0	divino
espiritu	espíritu	NCMS000	espíritu
desde	desde	SPS00	desde
nura	nura	X	x
,	,	Fc	,
y	y	CC	y
las	las	DA0FP0	el
gras	gracias	NCFP000	gracia
que	que	PR0CN000	que
derramará	derramará	VMIF3S0	derramar
seran	serán	VSIF3P0	ser
copiosismas	copiosísimas	NCMS000	copiosísimas
:	.	Fp	.
tambien	También	RG	también
tengo	tengo	VMIP1S0	tener
conozido	conocido	VMP0000	conocer
la	la	DA0FS0	el
singularidad	singularidad	NCFS000	singularidad
que	que	CS	que
el	el	DA0MS0	el
sor	Señor	NP00000	señor
se	se	P00CN000	se
a	ha	VAIP3S0	haber
serbido	servido	VMP0000	servir
acer	hacer	VMN0000	hacer
y	y	CC	y
ara	hará	VMIF3S0	hacer
a	a	SPS00	a
este	éste	PD0MS000	este
el	el	DA0MS0	el
mayor	mayor	NCMS000	mayor
indigno	indigno	VMIP1S0	indignar
de	de	SPS00	de
sus	sus	DP3CP0	su
siervos	siervos	NCMP000	siervo
,	,	Fc	,
y	y	CC	y
que	que	CS	que
sere	seré	VSIF1S0	ser
un	un	DI0MS0	uno
testigo	testigo	NCCS000	testigo
evidente	evidente	AQ0CS0	evidente
de	de	SPS00	de
sus	sus	DP3CP0	su
nuevas	nuevas	AQ0FP0	nuevo
obras	obras	NCFP000	obra
,	.	Fp	.
sea	Sea	VSSP0S0	ser
todo	todo	PI0MS000	todo
pa	para	SPS00	para
onrra	honra	NCFS000	honra
i	y	CC	y
gloria	gloria	NCFS000	gloria
suya	suya	PX3FS000	suyo
:	.	Fp	.
en	En	SPS00	en
orn	orden	NCMS000	orden
al	al	SPS00+DA0MS0	a+el
ayuno	ayuno	NCMS000	ayuno
	,	Fc	,
nada	nada	PI0NN00N	nada
se	se	P00CN000	se
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
a	a	SPS00	a
entender	entender	VMN0000	entender
quanto	cuánto	PT0MS000	cuánto
durara	durará	VMIF3S0	durar
con	con	SPS00	con
certeza	certeza	NCFS000	certeza
	,	Fc	,
aunqe	aunque	CS	aunque
me	me	PP1CS000	me
parece	parece	VMIP3S0	parecer
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
cinco	cinco	Z	5
dias	días	NCMP000	día
y	y	CC	y
cinco	cinco	Z	5
noches	noches	NCFP000	noche
;	,	Fc	,
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
e	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
dos	dos	Z	2
repeticiones	repeticiones	NCFP000	repetición
,	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
principio	principio	NCMS000	principio
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
con	con	SPS00	con
aqellas	aquellas	DD0FP0	aquel
fuerzas	fuerzas	NCFP000	fuerza
propias	propias	AQ0FP0	propio
que	que	CS	que
comunica	comunica	VMIP3S0	comunicar
la	la	DA0FS0	el
divina	divina	AQ0FS0	divino
gracia	gracia	NCFS000	gracia
:	.	Fp	.
respecto	Respecto	NCMS000	respeto
de	de	SPS00	de
las	las	DA0FP0	el
cinco	cinco	Z	5
postraciones	postraciones	NCFP000	postración
y	y	CC	y
peticiones	peticiones	NCFP000	petición
que	que	PR0CN000	que
Vm	VM	NP00000	VM
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
ordenado	ordenado	VMP0000	ordenar
,	,	Fc	,
acia	hacía	VMII0S0	hacer
ya	ya	RG	ya
tres	tres	Z	3
dias	días	NCMP000	día
	—	Fg	—
me	me	PP1CS000	me
parece	parece	VMIP3S0	parecer
	—	Fg	—
que	que	CS	que
pr	por	SPS00	por
impulso	impulso	NCMS000	impulso
interior	interior	NCMS000	interior
avia	había	VAII0S0	haber
principiado	principiado	VMP0000	principiar
a	a	SPS00	a
acerlas	hacerlas	VMN0000+PP3FPA00	hacer+lo
,	,	Fc	,
a	a	SPS00	a
las	las	DA0FP0	el
que	que	PR0CN000	que
se	se	P00CN000	se
an	han	VAIP3P0	haber
añadido	añadido	VMP0000	añadir
las	las	DA0FP0	el
de	de	SPS00	de
su	su	DP3CS0	su
orn	orden	NCMS000	orden
de	de	SPS00	de
Vm	VM	NP00000	VM
como	como	CS	como
origen	origen	NCMS000	origen
de	de	SPS00	de
un	un	DI0MS0	uno
mismo	mismo	AQ0MS0	mismo
fin	fin	NCMS000	fin
:	.	Fp	.
Yntein	Ínterin	RG	ínterin
	,	Fc	,
Vm	VM	NP00000	VM
determina	determina	VMIP3S0	determinar
sobre	sobre	SPS00	sobre
el	el	DA0MS0	el
ayuno	ayuno	NCMS000	ayuno
y	y	CC	y
lo	lo	PP3MSA00	lo
consulta	consulta	NCFS000	consulta
con	con	SPS00	con
dios	Dios	NP00000	dios
y	y	CC	y
S	su	DP3CS0	su
P	purísima	AQSFS0	puro
M	Madre	NP00000	madre
	,	Fc	,
y	y	CC	y
creo	creo	VMIP1S0	creer
lo	lo	PP3CNA00	lo
ara	hará	VMIF3S0	hacer
tambien	también	RG	también
Vm	VM	NP00000	VM
con	con	SPS00	con
el	el	DA0MS0	el
pe	padre	NCMS000	padre
	,	Fc	,
que	que	CS	que
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
nra	nuestra	DP1FSP	nuestro
caveza	cabeza	NCFS000	cabeza
y	y	CC	y
ya	ya	RG	ya
lo	lo	PP3CNA00	lo
es	es	VSIP3S0	ser
;	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
subcesor	sucesor	NCMS000	sucesor
para	para	SPS00	para
el	el	DA0MS0	el
mejor	mejor	AQ0CS0	mejor
asiento	asiento	NCMS000	asiento
sigo	sigo	VMIP1S0	seguir
guardandolo	guardándolo	VMG0000+PP3MSA00	guardar+lo
asta	hasta	SPS00	hasta
mañana	mañana	RG	mañana
por	por	SPS00	por
la	la	DA0FS0	el
mañana	mañana	NCFS000	mañana
que	que	CS	que
Vm	VM	NP00000	VM
me	me	PP1CS000	me
enviara	enviará	VMIF3S0	enviar
por	por	SPS00	por
escrito	escrito	NCMS000	escrito
su	su	DP3CS0	su
parecer	parecer	NCMS000	parecer
,	,	Fc	,
que	que	CS	que
asi	así	RG	así
lo	lo	PP3CNA00	lo
espero	espero	VMIP1S0	esperar
para	para	SPS00	para
onrra	honra	NCFS000	honra
y	y	CC	y
gloria	gloria	NCFS000	gloria
del	del	SPS00+DA0MS0	de+el
sor	Señor	NP00000	señor
	.	Fp	.
tambien	También	RG	también
e	he	VAIP1S0	haber
conicido	conocido	VMP0000	conocer
quien	quien	PR0CS000	quien
el	el	DA0MS0	el
sor	Señor	NP00000	señor
dediqe	dedique	VMSP0S0	dedicar
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
tpo	tiempo	NCMS000	tiempo
a	a	SPS00	a
la	la	DA0FS0	el
oracion	oración	NCFS000	oración
,	,	Fc	,
menos	menos	RC	menos
el	el	DA0MS0	el
comun	común	AQ0CS0	común
y	y	CC	y
regular	regular	AQ0CS0	regular
descanso	descanso	NCMS000	descanso
.	.	Fp	.
Sea	Sea	VSSP0S0	ser
dios	Dios	NP00000	dios
glorificado	glorificado	VMP00SM	glorificar
en	en	SPS00	en
su	su	DP3CS0	su
soberanas	soberanas	NCFP000	soberano
obras	obras	NCFP000	obra
;	.	Fp	.
A	A	SPS00	a
los	los	DA0MP0	el
pes	padres	NCMP000	padre
mis	mis	DP1CPS	mi
mas	más	RC	más
cordiales	cordiales	AQ0CP0	cordial
af	afectos	NCMP000	afecto
	.	Fp	.
y	Y	CC	y
es	es	VSIP3S0	ser
de	de	SPS00	de
Vm	VM	NP00000	VM
Amo	afectísimo	AQSMSP	afecto
en	en	SPS00	en
J	Jesús	NP00000	jesús
y	y	CC	y
S	su	DP3CS0	su
P	purísima	AQSFS0	puro
M	Madre	NP00000	madre
