Mi	Mi	DP1CSS	mi
zirCunstanzias	circunstancias	NCFP000	circunstancia
muy	muy	RQ	muy
Penosas	penosas	AQ0FP0	penoso
D	don	NP00000	don
euzebio	Eusebio	NP00000	eusebio
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
no	no	RN	no
abia	había	VMII0S0	haber
de	de	SPS00	de
imbiar	enviar	VMN0000	enviar
,	,	Fc	,
se	se	P00CN000	se
me	me	PP1CS000	me
an	han	VAIP3P0	haber
seguido	seguido	VMP0000	seguir
Perjuisios	perjuicios	NCMP000	perjuicio
de	de	SPS00	de
gran	gran	AQ0CS0	gran
ConzeCuenzia	consecuencia	NCFS000	consecuencia
y	y	CC	y
oCaziones	ocasiones	NCFP000	ocasión
en	en	SPS00	en
qe	que	CS	que
se	se	P00CN000	se
a	ha	VAIP3S0	haber
rresgado	arriesgado	VMP0000	arriesgar
mucho	mucho	RQ	mucho
,	,	Fc	,
nazido	nacido	VMP0000	nacer
de	de	SPS00	de
la	la	DA0FS0	el
Razon	razón	NCFS000	razón
qe	que	PR0CN000	que
les	les	PP3CPD00	le
asistia	asistía	VMII0S0	asistir
a	a	SPS00	a
los	los	DA0MP0	el
que	que	PR0CN000	que
bian	veían	VMII3P0	ver
las	las	DA0FP0	el
Cartas	cartas	NCFP000	carta
de	de	SPS00	de
D	don	NP00000	don
euzebio	Eusebio	NP00000	eusebio
,	.	Fp	.
y	Y	CC	y
bieron	vieron	VMIS3P0	ver
Como	cómo	PA000000	cómo
nos	nos	PP1CP000	nos
engaño	engañó	VMIS3S0	engañar
a	a	SPS00	a
todos	todos	PI0MP000	todo
,	,	Fc	,
en	en	SPS00	en
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
no	no	RN	no
abra	habrá	VMIF3S0	haber
quien	quien	PR0CS000	quien
no	no	RN	no
lo	lo	PP3CNA00	lo
CulPe	culpe	VMSP0S0	culpar
,	,	Fc	,
Pues	pues	CS	pues
era	era	VSII0S0	ser
mas	más	RC	más
fazil	fácil	AQ0CS0	fácil
dezir	decir	VMN0000	decir
qe	que	CS	que
no	no	RN	no
abia	había	VMII0S0	haber
qe	que	CS	que
imbiar	enviar	VMN0000	enviar
,	.	Fp	.
y	Y	CC	y
	,	Fc	,
biendo	viendo	VMG0000	ver
tal	tal	RC	tal
tormenta	tormenta	NCFS000	tormenta
un	un	DI0MS0	uno
sor	señor	NP00000	señor
Consejero	consejero	NCMS000	consejero
qe	que	PR0CN000	que
nos	nos	PP1CP000	nos
aSe	hace	VMIP3S0	hacer
merçed	merced	NCFS000	merced
y	y	CC	y
dezea	desea	VMIP3S0	desear
alibiarnos	aliviarnos	VMN0000+PP1CP000	aliviar+nos
en	en	SPS00	en
algo	algo	PI0CS000	algo
de	de	SPS00	de
lo	lo	DA0NS0	el
mucho	mucho	RQ	mucho
qe	que	CS	que
se	se	P00CN000	se
Padeze	padece	VMIP3S0	padecer
,	,	Fc	,
busCo	buscó	VMIS3S0	buscar
Persona	persona	NCFS000	persona
de	de	SPS00	de
su	su	DP3CS0	su
cariño	cariño	NCMS000	cariño
que	que	PR0CN000	que
se	se	P00CN000	se
obligasse	obligase	VMSI0S0	obligar
a	a	SPS00	a
Pagar	pagar	VMN0000	pagar
las	las	DA0FP0	el
deudas	deudas	NCFP000	deuda
de	de	SPS00	de
mayor	mayor	AQ0CS0	mayor
Consecuenzia	consecuencia	NCFS000	consecuencia
y	y	CC	y
qe	que	CS	que
diesse	diese	VMSI0S0	dar
algo	algo	PI0CS000	algo
Para	para	SPS00	para
la	la	DA0FS0	el
UrJenzia	urgencia	NCFS000	urgencia
Presente	presente	AQ0CS0	presente
,	.	Fp	.
y	Y	CC	y
ziendo	siendo	VSG0000	ser
milagro	milagro	NCMS000	milagro
que	que	CS	que
oy	hoy	RG	hoy
se	se	P00CN000	se
allasse	hallase	VMSI0S0	hallar
quien	quien	PR0CS000	quien
iziese	hiciese	VMSI0S0	hacer
benefisio	beneficio	NCMS000	beneficio
de	de	SPS00	de
tal	tal	RC	tal
tamaño	tamaño	NCMS000	tamaño
,	,	Fc	,
llego	llegó	VMIS3S0	llegar
	,	Fc	,
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
obligo	obligó	VMIS3S0	obligar
y	y	CC	y
dio	dio	VMIS3S0	dar
12M	12000	Z	12000
Rs	reales	NCMP000	real
de	de	SPS00	de
Vellon	vellón	NCMS000	vellón
aziendole	haciéndole	VMG0000+PP3CSD00	hacer+le
zezion	cesión	NCFS000	cesión
en	en	SPS00	en
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
Produjesen	produjesen	VMSI3P0	producir
	.	Fp	.
los	Los	DA0MP0	el
tres	tres	Z	3
aznos	asnos	NCMP000	asno
que	que	PR0CN000	que
escribe	escribe	VMIP3S0	escribir
D	don	NP00000	don
euzebio	Eusebio	NP00000	eusebio
estan	están	VMIP3P0	estar
en	en	SPS00	en
ser	ser	VSN0000	ser
y	y	CC	y
la	la	DA0FS0	el
madera	madera	NCFS000	madera
de	de	SPS00	de
Probecho	provecho	NCMS000	provecho
,	,	Fc	,
y	y	CC	y
Pagarle	pagarle	VMN0000+PP3CSD00	pagar+le
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
faltare	faltare	VMSF0S0	faltar
a	a	SPS00	a
los	los	DA0MP0	el
12U	12000	Z	12000
Rs	reales	NCMP000	real
	.	Fp	.
y	Y	CC	y
nada	nada	PI0NN00N	nada
d	de	SPS00	de
esto	esto	PD0NN000	esto
Se	se	P00CN000	se
Consiguiera	consiguiera	VMSI0S0	conseguir
si	si	CS	si
no	no	RN	no
estubiese	estuviese	VMSI0S0	estar
la	la	DA0FS0	el
autoridad	autoridad	NCFS000	autoridad
del	del	SPS00+DA0MS0	de+el
sor	señor	NP00000	señor
Consejero	consejero	NCMS000	consejero
de	de	SPS00	de
Por	por	SPS00	por
medio	medio	NCMS000	medio
,	,	Fc	,
que	que	CS	que
a	ha	VAIP3S0	haber
Sido	sido	VSP0000	ser
mucho	mucho	DI0MS0	mucho
alibio	alivio	NCMS000	alivio
segun	según	SPS00	según
me	me	PP1CS000	me
allaba	hallaba	VMII0S0	hallar
aflijido	afligido	VMP00SM	afligir
,	,	Fc	,
Pues	pues	CS	pues
esta	está	VMIP3S0	estar
madrid	Madrid	NP00000	madrid
orrorosso	horroroso	AQ0MS0	horroroso
de	de	SPS00	de
Caro	caro	AQ0MS0	caro
y	y	CC	y
sin	sin	SPS00	sin
ber	ver	VMN0000	ver
un	un	DI0MS0	uno
Real	real	NCMS000	real
	;	Fx	;
y	y	CC	y
grandisimas	grandísimas	AQSFP0	grande
nezesidades	necesidades	NCFP000	necesidad
y	y	CC	y
Poquisimos	poquísimos	DI0MP0	poquísimo
qe	que	PR0CN000	que
las	las	PP3FPA00	lo
soCorran	socorran	VMSP3P0	socorrer
	;	Fx	;
y	y	CC	y
el	el	DA0MS0	el
Pan	pan	NCMS000	pan
a	a	SPS00	a
8	8	Z	8
quartos	cuartos	NCMP000	cuarto
la	la	DA0FS0	el
libra	libra	NCFS000	libra
y	y	CC	y
no	no	RN	no
es	es	VSIP3S0	ser
bueno	bueno	AQ0MS0	bueno
Como	como	CS	como
el	el	DA0MS0	el
nro	nuestro	PX1MS0P0	nuestro
;	.	Fc	,
y	Y	CC	y
Prezindiendo	prescindiendo	VMG0000	prescindir
de	de	SPS00	de
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
esCrevi	escribí	VMIS1S0	escribir
a	a	SPS00	a
Vm	VM	NP00000	VM
y	y	CC	y
de	de	SPS00	de
qe	que	CS	que
esPero	espero	VMIP1S0	esperar
	,	Fc	,
si	si	CS	si
llego	llegó	VMIS3S0	llegar
a	a	SPS00	a
su	su	DP3CS0	su
mano	mano	NCFS000	mano
,	,	Fc	,
la	la	DA0FS0	el
ResPuesta	respuesta	NCFS000	respuesta
,	,	Fc	,
aora	ahora	RG	ahora
añado	añado	VMIP1S0	añadir
que	que	CS	que
	,	Fc	,
en	en	SPS00	en
Considerazion	consideración	NCFS000	consideración
de	de	SPS00	de
qe	que	CS	que
Vm	VM	NP00000	VM
abra	habrá	VAIF3S0	haber
bisto	visto	VMP0000	ver
los	los	DA0MP0	el
otros	otros	PI0MP000	otro
y	y	CC	y
aziendo	haciendo	VMG0000	hacer
el	el	DA0MS0	el
ConPuto	cómputo	NCMS000	cómputo
Por	por	SPS00	por
el	el	DA0MS0	el
bendido	vendido	VMP00SM	vender
qe	que	CS	que
le	le	PP3CSD00	le
Paresse	parece	VMIP3S0	parecer
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
baldran	valdrán	VMIF3P0	valer
;	.	Fp	.
Pues	Pues	CS	pues
en	en	SPS00	en
lo	lo	DA0NS0	el
de	de	SPS00	de
la	la	DA0FS0	el
madera	madera	NCFS000	madera
no	no	RN	no
Podra	podrá	VMIF3S0	poder
Vm	VM	NP00000	VM
hazer	hacer	VMN0000	hacer
esta	esta	DD0FS0	este
tasmia	tazmía	NCFS000	tazmía
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
mas	más	RC	más
difisil	difícil	AQ0CS0	difícil
;	;	Fx	;
solo	sólo	CC	sólo
si	sí	RG	sí
dezirme	decirme	VMN0000+PP1CS000	decir+me
si	si	CS	si
ay	hay	VMIP3S0	haber
buena	buena	AQ0FS0	bueno
Porzion	porción	NCFS000	porción
	,	Fc	,
Pues	pues	CS	pues
me	me	PP1CS000	me
sera	será	VSIF3S0	ser
de	de	SPS00	de
alibio	alivio	NCMS000	alivio
Con	con	SPS00	con
uno	uno	Z	1
y	y	CC	y
otro	otro	PI0MS000	otro
Cubrir	cubrir	VMN0000	cubrir
esta	esta	DD0FS0	este
deuda	deuda	NCFS000	deuda
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
el	el	DA0MS0	el
aPoderado	apoderado	NCMS000	apoderado
de	de	SPS00	de
quien	quien	PR0CS000	quien
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
esta	esta	DD0FS0	este
buena	buena	AQ0FS0	bueno
obra	obra	NCFS000	obra
le	le	PP3CSD00	le
escribe	escribe	VMIP3S0	escribir
que	que	CS	que
esto	esto	PD0NN000	esto
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
bender	vender	VMN0000	vender
con	con	SPS00	con
interbenzion	intervención	NCFS000	intervención
de	de	SPS00	de
el	el	DA0MS0	el
sor	señor	NP00000	señor
D	don	NP00000	don
Diego	Diego	NP00000	diego
Gil	Gil	NP00000	gil
de	de	SPS00	de
Cordoba	Córdoba	NP00000	córdoba
Como	como	CS	como
mi	mi	DP1CSS	mi
aPoderado	apoderado	NCMS000	apoderado
,	.	Fp	.
y	Y	CC	y
quando	cuando	PA000000	cuando
llegue	llegue	VMSP0S0	llegar
esta	ésta	PD0FS000	este
Puede	puede	VMIP3S0	poder
ser	ser	VSN0000	ser
que	que	CS	que
ay	ahí	RG	ahí
ayan	hayan	VASP3P0	haber
ido	ido	VMP0000	ir
a	a	SPS00	a
ber	ver	VMN0000	ver
los	los	DA0MP0	el
ornos	hornos	NCMP000	horno
y	y	CC	y
madera	madera	NCFS000	madera
,	.	Fp	.
y	Y	CC	y
tanbien	también	RG	también
e	he	VAIP1S0	haber
dicho	dicho	VMP0000	decir
yo	yo	PP1CSN00	yo
a	a	SPS00	a
este	este	DD0MS0	este
bienechor	bienhechor	NCMS000	bienhechor
que	que	CS	que
	,	Fc	,
en	en	SPS00	en
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
fuere	fuere	VSSF0S0	ser
dezente	decente	AQ0CS0	decente
y	y	CC	y
Pueda	pueda	VMSP0S0	poder
Vm	VM	NP00000	VM
ayudarme	ayudarme	VMN0000+PP1CS000	ayudar+me
,	,	Fc	,
tenia	tenía	VMII0S0	tener
Por	por	SPS00	por
zierto	cierto	RG	cierto
lo	lo	PP3CNA00	lo
aria	haría	VMIC0S0	hacer
,	.	Fp	.
y	Y	CC	y
assi	así	RG	así
no	no	RN	no
dudo	dudo	VMIP1S0	dudar
se	se	P00CN000	se
balgan	valgan	VMSP3P0	valer
de	de	SPS00	de
su	su	DP3CS0	su
Perssona	persona	NCFS000	persona
y	y	CC	y
autoridad	autoridad	NCFS000	autoridad
de	de	SPS00	de
Vm	VM	NP00000	VM
en	en	SPS00	en
muchas	muchas	DI0FP0	mucho
Cosas	cosas	NCFP000	cosa
que	que	PR0CN000	que
se	se	P00CN000	se
Pueden	pueden	VMIP3P0	poder
ofreser	ofrecer	VMN0000	ofrecer
,	,	Fc	,
y	y	CC	y
una	una	DI0FS0	uno
de	de	SPS00	de
ellas	ellas	PP3FP000	ellos
el	el	DA0MS0	el
dePozito	depósito	NCMS000	depósito
de	de	SPS00	de
algun	algún	DI0MS0	alguno
dinero	dinero	NCMS000	dinero
del	del	SPS00+DA0MS0	de+el
qe	que	PR0CN000	que
se	se	P00CN000	se
fuere	fuere	VMSF0S0	ir
haziendo	haciendo	VMG0000	hacer
;	.	Fp	.
y	Y	CC	y
lograra	logrará	VMIF3S0	lograr
Vm	VM	NP00000	VM
hazernos	hacernos	VMN0000+PP1CP000	hacer+nos
esta	esta	DD0FS0	este
buena	buena	AQ0FS0	bueno
obra	obra	NCFS000	obra
y	y	CC	y
asegurar	asegurar	VMN0000	asegurar
el	el	DA0MS0	el
Premio	premio	NCMS000	premio
de	de	SPS00	de
nro	Nuestro	DP1MSP	nuestro
Sor	Señor	NP00000	señor
	.	Fp	.
escribeme	Escríbeme	VMM02S0+PP1CS000	escribir+me
D	don	NP00000	don
eusebio	Eusebio	NP00000	eusebio
que	que	CS	que
queda	queda	VMIP3S0	quedar
Por	por	SPS00	por
entresaCar	entresacar	VMN0000	entresacar
la	la	DA0FS0	el
mitad	mitad	NCFS000	mitad
de	de	SPS00	de
la	la	DA0FS0	el
deessa	dehesa	NCFS000	dehesa
	.	Fp	.
que	Que	CS	que
	,	Fc	,
a	a	SPS00	a
ber	haber	VAN0000	haber
Podido	podido	VMP0000	poder
duPlicar	duplicar	VMN0000	duplicar
el	el	DA0MS0	el
numero	número	NCMS000	número
de	de	SPS00	de
Jente	gente	NCFS000	gente
	,	Fc	,
se	se	P00CN000	se
ubiera	hubiera	VASI0S0	haber
ConCluido	concluido	VMP0000	concluir
,	,	Fc	,
Pero	pero	CC	pero
ya	ya	RG	ya
qe	que	CS	que
no	no	RN	no
se	se	P00CN000	se
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
le	le	PP3CSD00	le
escribo	escribo	VMIP1S0	escribir
enCargue	encargue	VMSP0S0	encargar
a	a	SPS00	a
el	el	DA0MS0	el
mayordomo	mayordomo	NCMS000	mayordomo
de	de	SPS00	de
mi	mi	DP1CSS	mi
amigo	amigo	NP00000	amigo
	,	Fc	,
que	que	CS	que
a	a	SPS00	a
Cuidado	cuidado	NCMS000	cuidado
d	de	SPS00	de
este	este	DD0MS0	este
entreSaco	entresaco	VMIP1S0	entresacar
,	,	Fc	,
señale	señale	SPS00	señale
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
sacar	sacar	VMN0000	sacar
Por	por	SPS00	por
nabidad	Navidad	NP00000	navidad
Para	para	SPS00	para
esCusar	excusar	VMN0000	excusar
Contraberzias	controversias	NCFP000	controversia
Con	con	SPS00	con
el	el	DA0MS0	el
arrendador	arrendador	NCMS000	arrendador
,	,	Fc	,
qe	que	CS	que
tambien	también	RG	también
esPero	espero	VMIP1S0	esperar
saber	saber	VMN0000	saber
quien	quién	PT0CS000	quién
es	es	VSIP3S0	ser
	,	Fc	,
Pues	pues	CS	pues
D	don	NP00000	don
euzebio	Eusebio	NP00000	eusebio
no	no	RN	no
a	ha	VAIP3S0	haber
gustado	gustado	VMP0000	gustar
de	de	SPS00	de
dezirme	decirme	VMN0000+PP1CS000	decir+me
	,	Fc	,
ignorando	ignorando	VMG0000	ignorar
el	el	DA0MS0	el
motibo	motivo	NCMS000	motivo
qe	que	CS	que
Para	para	SPS00	para
ello	ello	PD0NN000	ello
Puede	puede	VMIP3S0	poder
tener	tener	VMN0000	tener
;	.	Fp	.
y	Y	CC	y
tambien	también	RG	también
me	me	PP1CS000	me
disse	dice	VMIP3S0	decir
se	se	P00CN000	se
ban	van	VMIP3P0	ir
haziendo	haciendo	VMG0000	hacer
los	los	DA0MP0	el
ReParos	reparos	NCMP000	reparo
mas	más	RC	más
Presisos	precisos	NCMP000	preciso
de	de	SPS00	de
la	la	DA0FS0	el
Cassa	casa	NCFS000	casa
,	,	Fc	,
qe	que	CS	que
nos	nos	PP1CP000	nos
a	ha	VMIP3S0	haber
de	de	SPS00	de
desaComodar	desacomodar	VMN0000	desacomodar
mucho	mucho	RQ	mucho
ser	ser	VSN0000	ser
tantos	tantos	PI0MP000	tanto
de	de	SPS00	de
los	los	DA0MP0	el
qe	que	PR0CN000	que
nezezita	necesita	VMIP3S0	necesitar
	.	Fp	.
dios	Dios	NP00000	dios
nos	nos	PP1CP000	nos
faboresCa	favorezca	VMSP0S0	favorecer
a	a	SPS00	a
todos	todos	PI0MP000	todo
Como	como	CS	como
Puede	puede	VMIP3S0	poder
	.	Fp	.
oy	Hoy	RG	hoy
me	me	PP1CS000	me
dise	dice	VMIP3S0	decir
el	el	DA0MS0	el
nombre	nombre	NCMS000	nombre
del	del	SPS00+DA0MS0	de+el
arrendador	arrendador	NCMS000	arrendador
	,	Fc	,
qe	que	CS	que
no	no	RN	no
ConosCo	conozco	VMIP1S0	conocer
,	.	Fp	.
y	Y	CC	y
me	me	PP1CS000	me
dira	dirá	VMIF3S0	decir
Vm	VM	NP00000	VM
Como	cómo	PA000000	cómo
le	le	PP3CSD00	le
ba	va	VMIP3S0	ir
Con	con	SPS00	con
el	él	PP3MS000	él
,	,	Fc	,
si	si	CS	si
mejor	mejor	RC	mejor
o	o	CC	o
Peor	peor	RC	peor
qe	que	CS	que
Con	con	SPS00	con
el	el	DA0MS0	el
qe	que	PR0CN000	que
salio	salió	VMIS3S0	salir
,	.	Fp	.
y	Y	CC	y
le	le	PP3CSD00	le
enCargo	encargo	VMIP1S0	encargar
mucho	mucho	RQ	mucho
a	a	SPS00	a
Joseph	José	NP00000	josé
guillen	Guillén	NP00000	guillén
enCamine	encamine	VMSP0S0	encaminar
esta	ésta	PD0FS000	este
con	con	SPS00	con
seguridad	seguridad	NCFS000	seguridad
a	a	SPS00	a
mano	mano	NCFS000	mano
de	de	SPS00	de
Vm	VM	NP00000	VM
,	,	Fc	,
quien	quien	PR0CS000	quien
	,	Fc	,
si	si	CS	si
me	me	PP1CS000	me
ubiere	hubiere	VMSF0S0	haber
de	de	SPS00	de
azer	hacer	VMN0000	hacer
merçed	merced	NCFS000	merced
de	de	SPS00	de
Responderme	responderme	VMN0000+PP1CS000	responder+me
	,	Fc	,
bendra	vendrá	VMIF3S0	venir
Como	como	CS	como
Joseph	José	NP00000	josé
dijere	dijere	VMSF0S0	decir
,	;	Fx	;
o	o	CC	o
	,	Fc	,
si	si	CS	si
el	el	DA0MS0	el
martes	martes	NCMN000	martes
biniere	viniere	VMSF0S0	venir
Persona	persona	NCFS000	persona
de	de	SPS00	de
su	su	DP3CS0	su
Confianza	confianza	NCFS000	confianza
de	de	SPS00	de
Vm	VM	NP00000	VM
qe	que	CS	que
la	la	PP3FSA00	lo
eche	eche	VMSP0S0	echar
en	en	SPS00	en
el	el	DA0MS0	el
Correo	correo	NCMS000	correo
	,	Fc	,
Con	con	SPS00	con
sobresCrito	sobrescrito	NCMS000	sobrescrito
Para	para	SPS00	para
mi	mí	PP1CSO00	mí
tambien	también	RG	también
biene	viene	VMIP3S0	venir
segura	segura	AQ0FS0	seguro
,	.	Fp	.
y	Y	CC	y
no	no	RN	no
quiero	quiero	VMIP1S0	querer
enbarazar	embarazar	VMN0000	embarazar
a	a	SPS00	a
Vm	VM	NP00000	VM
mas	más	RC	más
asta	hasta	SPS00	hasta
Conseguir	conseguir	VMN0000	conseguir
tener	tener	VMN0000	tener
notizia	noticia	NCFS000	noticia
de	de	SPS00	de
Vm	VM	NP00000	VM
,	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
nro	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
gde	guarde	VMSP0S0	guardar
muchos	muchos	DI0MP0	mucho
años	años	NCMP000	año
Como	como	CS	como
deseo	deseo	VMIP1S0	desear
	.	Fp	.
madrid	Madrid	NP00000	madrid
	,	Fc	,
y	y	CC	y
Junio	junio	NCMS000	junio
17	17	Z	17
de	de	SPS00	de
710	710	Z	710
	.	Fp	.
B	Besa	VMIP3S0	besar
L	las	DA0FP0	el
M	manos	NCFP000	mano
de	de	SPS00	de
Vm	VM	NP00000	VM
su	su	DP3CS0	su
mas	más	RC	más
seguro	seguro	AQ0MS0	seguro
seror	servidor	NCMS000	servidor
	,	Fc	,
El	el	DA0MS0	el
Marques	marqués	NCMS000	marqués
de	de	SPS00	de
Jelo	Gelo	NP00000	gelo
