yllmo	Ilustrísimo	AQSMS0	ilustre
salud	salud	NCFS000	salud
i	y	CC	y
mi	mi	DP1CSS	mi
amada	amada	VMP00SF	amar
yja	hija	NP00000	hijo
encarnazion	Encarnación	NP00000	encarnación
	,	Fc	,
a	a	SPS00	a
el	el	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
tiempo	tiempo	NCMS000	tiempo
no	no	RN	no
a	ha	VAIP3S0	haber
dejado	dejado	VMP0000	dejar
entre	entre	SPS00	entre
mis	mis	DP1CPS	mi
muchas	muchas	DI0FP0	mucho
penas	penas	NCFP000	pena
de	de	SPS00	de
aumentarme	aumentarme	VMN0000+PP1CS000	aumentar+me
estas	éstas	PD0FP000	este
por	por	SPS00	por
rrejistrar	registrar	VMN0000	registrar
en	en	SPS00	en
la	la	DA0FS0	el
suia	suya	PX3FS000	suyo
aya	haya	VASP0S0	haber
avido	habido	VMP0000	haber
quien	quien	PR0CS000	quien
auseria	osaría	VMIC0S0	osar
zertificase	certificase	VMSI0S0	certificar
mi	mi	DP1CSS	mi
muertte	muerte	NCFS000	muerte
,	,	Fc	,
yntenzion	intención	NCFS000	intención
a	a	SPS00	a
la	la	DA0FS0	el
verdad	verdad	NCFS000	verdad
depravada	depravada	VMP00SF	depravar
que	que	CS	que
no	no	RN	no
puede	puede	VMIP3S0	poder
tener	tener	VMN0000	tener
otro	otro	DI0MS0	otro
objeto	objeto	NCMS000	objeto
que	que	CS	que
	,	Fc	,
teniendome	teniéndome	VMG0000+PP1CS000	tener+me
vuseñoria	vueseñoría	NP00000	vueseñoría
	,	Fc	,
mi	mi	DP1CSS	mi
marido	marido	NCMS000	marido
y	y	CC	y
mi	mi	DP1CSS	mi
querida	querida	VMP00SF	querer
yja	hija	NCFS000	hijo
por	por	SPS00	por
muerta	muerta	VMP00SF	morir
	,	Fc	,
me	me	PP1CS000	me
diesen	diesen	VMSI3P0	dar
a	a	SPS00	a
el	el	DA0MS0	el
olvido	olvido	NCMS000	olvido
para	para	SPS00	para
que	que	CS	que
jamas	jamás	RG	jamás
descuvriesen	descubriesen	VMSI3P0	descubrir
siniestras	siniestras	AQ0FP0	siniestro
yntenziones	intenciones	NCFP000	intención
que	que	CS	que
no	no	RN	no
determino	determino	VMIP1S0	determinar
a	a	SPS00	a
esponer	exponer	VMN0000	exponer
a	a	SPS00	a
el	el	DA0MS0	el
papel	papel	NCMS000	papel
i	y	CC	y
si	sí	RG	sí
declarare	declararé	VMIF1S0	declarar
luego	luego	RG	luego
que	que	CS	que
tenga	tenga	VMSP0S0	tener
el	el	DA0MS0	el
consuelo	consuelo	NCMS000	consuelo
de	de	SPS00	de
avlar	hablar	VMN0000	hablar
a	a	SPS00	a
vuseñoria	vueseñoría	NP00000	vueseñoría
y	y	CC	y
a	a	SPS00	a
mi	mi	DP1CSS	mi
marido	marido	NCMS000	marido
	.	Fp	.
asimismo	Asimismo	RG	asimismo
	,	Fc	,
es	es	VSIP3S0	ser
falsa	falsa	AQ0FS0	falso
la	la	DA0FS0	el
notticia	noticia	NCFS000	noticia
de	de	SPS00	de
la	la	DA0FS0	el
salida	salida	NCFS000	salida
d	de	SPS00	de
este	este	DD0MS0	este
puevlo	pueblo	NCMS000	pueblo
para	para	SPS00	para
venavente	Benavente	NP00000	benavente
ni	ni	CC	ni
para	para	SPS00	para
otra	otra	DI0FS0	otro
partte	parte	NCFS000	parte
de	de	SPS00	de
mi	mi	DP1CSS	mi
yja	hija	NP00000	hijo
antonia	Antonia	NP00000	antonia
	,	Fc	,
pues	pues	CS	pues
esta	ésta	PD0FS000	este
desde	desde	SPS00	desde
el	el	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
dia	día	NCMS000	día
que	que	PR0CN000	que
falto	faltó	VMIS3S0	faltar
de	de	SPS00	de
esta	esta	DD0FS0	este
ziudad	ciudad	NCFS000	ciudad
mi	mi	DP1CSS	mi
marido	marido	NCMS000	marido
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
mi	mi	DP1CSS	mi
compañera	compañera	NCFS000	compañero
en	en	SPS00	en
los	los	DA0MP0	el
ynfinitos	infinitos	AQ0MP0	infinito
travajos	trabajos	NCMP000	trabajo
que	que	PR0CN000	que
e	he	VAIP1S0	haber
padezido	padecido	VMP0000	padecer
	,	Fc	,
sin	sin	SPS00	sin
aver	haber	VAN0000	haber
faltado	faltado	VMP0000	faltar
un	un	DI0MS0	uno
punto	punto	NCMS000	punto
de	de	SPS00	de
mi	mi	DP1CSS	mi
lado	lado	NCMS000	lado
ni	ni	CC	ni
aunque	aunque	CS	aunque
estos	éstos	PD0MP000	este
mas	más	RC	más
se	se	P00CN000	se
aumenten	aumenten	VMSP3P0	aumentar
a	a	SPS00	a
los	los	DA0MP0	el
que	que	PR0CN000	que
padezco	padezco	VMIP1S0	padecer
	.	Fp	.
a	A	SPS00	a
causa	causa	NCFS000	causa
en	en	SPS00	en
el	el	DA0MS0	el
dia	día	NCMS000	día
de	de	SPS00	de
mi	mi	DP1CSS	mi
mucha	mucha	DI0FS0	mucho
povreza	pobreza	NCFS000	pobreza
	,	Fc	,
no	no	RN	no
saldra	saldrá	VMIF3S0	salir
de	de	SPS00	de
mi	mi	DP1CSS	mi
lado	lado	NCMS000	lado
asta	hasta	SPS00	hasta
que	que	CS	que
nos	nos	PP1CP000	nos
separe	separe	VMSP0S0	separar
la	la	DA0FS0	el
muerte	muerte	NCFS000	muerte
o	o	CC	o
el	el	DA0MS0	el
zielo	cielo	NCMS000	cielo
dettermine	determine	VMSP0S0	determinar
por	por	SPS00	por
medio	medio	NCMS000	medio
de	de	SPS00	de
el	el	DA0MS0	el
piadoso	piadoso	AQ0MS0	piadoso
corazon	corazón	NCMS000	corazón
de	de	SPS00	de
vueseñoria	vueseñoría	NP00000	vueseñoría
los	los	DA0MP0	el
medios	medios	NCMP000	medio
para	para	SPS00	para
salir	salir	VMN0000	salir
donde	donde	PA000000	donde
disponga	disponga	VMSP0S0	disponer
	,	Fc	,
cuya	cuya	PU0FS000	cuyo
correspondenzia	correspondencia	NCFS000	correspondencia
o	o	CC	o
nottizia	noticia	NCFS000	noticia
de	de	SPS00	de
quanto	cuanto	PA000000	cuanto
vueseñoria	vueseñoría	NP00000	vueseñoría
quiera	quiera	VMSP0S0	querer
protejernos	protegernos	VMN0000+PP1CP000	proteger+nos
se	se	P00CN000	se
entendera	entenderá	VMIF3S0	entender
con	con	SPS00	con
el	el	DA0MS0	el
consavido	consabido	AQ0MS0	consabido
padre	padre	NCMS000	padre
cura	cura	NCMS000	cura
	,	Fc	,
unica	única	AQ0FS0	único
persona	persona	NCFS000	persona
en	en	SPS00	en
este	este	DD0MS0	este
puevlo	pueblo	NCMS000	pueblo
de	de	SPS00	de
mi	mi	DP1CSS	mi
confianza	confianza	NCFS000	confianza
y	y	CC	y
consuelo	consuelo	NCMS000	consuelo
.	.	Fp	.
no	No	RN	no
estraño	extraño	VMIP1S0	extrañar
que	que	CS	que
el	el	DA0MS0	el
discurso	discurso	NCMS000	discurso
de	de	SPS00	de
el	el	DA0MS0	el
tiempo	tiempo	NCMS000	tiempo
aga	haga	VMSP0S0	hacer
dudar	dudar	VMN0000	dudar
a	a	SPS00	a
vuseñoria	vueseñoría	NP00000	vueseñoría
en	en	SPS00	en
el	el	DA0MS0	el
conozimiento	conocimiento	NCMS000	conocimiento
de	de	SPS00	de
mi	mi	DP1CSS	mi
letra	letra	NCFS000	letra
y	y	CC	y
firma	firma	NCFS000	firma
	.	Fp	.
y	Y	CC	y
para	para	SPS00	para
no	no	RN	no
dejarle	dejarle	VMN0000+PP3CSD00	dejar+le
la	la	DA0FS0	el
menor	menor	AQ0CS0	menor
duda	duda	NCFS000	duda
de	de	SPS00	de
que	que	CS	que
vivo	vivo	VMIP1S0	vivir
	,	Fc	,
soy	soy	VSIP1S0	ser
la	la	DA0FS0	el
que	que	PR0CN000	que
escrive	escribe	VMIP3S0	escribir
esta	ésta	PD0FS000	este
	.	Fp	.
y	Y	CC	y
para	para	SPS00	para
en	en	SPS00	en
el	el	DA0MS0	el
caso	caso	NCMS000	caso
que	que	CS	que
mi	mi	DP1CSS	mi
marido	marido	NCMS000	marido
se	se	P00CN000	se
alle	halle	VMSP0S0	hallar
ausente	ausente	AQ0CS0	ausente
de	de	SPS00	de
esa	ésa	PD0FS000	ese
	,	Fc	,
rrecordare	recordaré	VMIF1S0	recordar
a	a	SPS00	a
vuseñoria	vueseñoría	NP00000	vueseñoría
algunas	algunas	DI0FP0	alguno
cosas	cosas	NCFP000	cosa
y	y	CC	y
pasos	pasos	NCMP000	paso
de	de	SPS00	de
el	el	DA0MS0	el
tiempo	tiempo	NCMS000	tiempo
que	que	PR0CN000	que
tuve	tuve	VMIS1S0	tener
el	el	DA0MS0	el
onor	honor	NCMS000	honor
de	de	SPS00	de
tratarle	tratarle	VMN0000+PP3CSD00	tratar+le
	.	Fp	.
fue	Fue	VMIS3S0	ir
viendo	viviendo	VMG0000	vivir
en	en	SPS00	en
esa	esa	DD0FS0	ese
ziudad	ciudad	NCFS000	ciudad
en	en	SPS00	en
casa	casa	NCFS000	casa
de	de	SPS00	de
el	el	DA0MS0	el
padre	padre	NCMS000	padre
luis	Luis	NP00000	luis
lopez	López	NP00000	lópez
	.	Fp	.
i	Y	CC	y
de	de	SPS00	de
el	el	DA0MS0	el
otro	otro	DI0MS0	otro
lado	lado	NCMS000	lado
de	de	SPS00	de
mi	mi	DP1CSS	mi
casa	casa	NCFS000	casa
vivia	vivía	VMII0S0	vivir
el	el	DA0MS0	el
padre	padre	NCMS000	padre
luis	Luis	NP00000	luis
de	de	SPS00	de
acosta	Acosta	NP00000	acosta
	.	Fp	.
me	Me	PP1CS000	me
dira	dirá	VMIF3S0	decir
vuseñoria	vueseñoría	NP00000	vueseñoría
que	qué	PT0CN000	qué
a	ha	VAIP3S0	haber
si	sido	VSP0000	ser
de	de	SPS00	de
el	el	DA0MS0	el
padre	padre	NCMS000	padre
cristoval	Cristóbal	NP00000	cristóbal
	,	Fc	,
que	que	CS	que
dezia	decía	VMII0S0	decir
la	la	DA0FS0	el
misa	misa	NCFS000	misa
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
dias	días	NCMP000	día
en	en	SPS00	en
su	su	DP3CS0	su
capilla	capilla	NCFS000	capilla
	.	Fp	.
espero	Espero	VMIP1S0	esperar
que	que	CS	que
	,	Fc	,
desengañado	desengañado	VMP00SM	desengañar
vueseñoria	vueseñoría	NP00000	vueseñoría
de	de	SPS00	de
la	la	DA0FS0	el
confianza	confianza	NCFS000	confianza
que	que	PR0CN000	que
deve	debe	VMIP3S0	deber
tener	tener	VMN0000	tener
en	en	SPS00	en
dirijir	dirigir	VMN0000	dirigir
sus	sus	DP3CP0	su
cartas	cartas	NCFP000	carta
al	al	SPS00+DA0MS0	a+el
padre	padre	NCMS000	padre
prieto	Prieto	NP00000	prieto
	,	Fc	,
me	me	PP1CS000	me
diga	diga	VMSP0S0	decir
con	con	SPS00	con
claridad	claridad	NCFS000	claridad
si	si	CS	si
vive	vive	VMIP3S0	vivir
mi	mi	DP1CSS	mi
marido	marido	NCMS000	marido
	,	Fc	,
donde	dónde	PA000000	dónde
devo	debo	VMIP1S0	deber
yr	ir	VMN0000	ir
	,	Fc	,
los	los	DA0MP0	el
medios	medios	NCMP000	medio
con	con	SPS00	con
que	que	PR0CN000	que
devo	debo	VMIP1S0	deber
azerlo	hacerlo	VMN0000+PP3CNA00	hacer+lo
	,	Fc	,
favoreziendome	favoreciéndome	VMG0000+PP1CS000	favorecer+me
ygualmente	igualmente	RG	igualmente
en	en	SPS00	en
ponerme	ponerme	VMN0000+PP1CS000	poner+me
a	a	SPS00	a
los	los	DA0MP0	el
pies	pies	NCMP000	pie
de	de	SPS00	de
mi	mi	DP1CSS	mi
señora	señora	NP00000	señor
doña	doña	NP00000	don
franzisca	Francisca	NP00000	francisca
y	y	CC	y
demas	demás	NCMS000	demás
señoras	señoras	NCFP000	señor
y	y	CC	y
señores	señores	NCMP000	señor
	,	Fc	,
no	no	RN	no
olvidando	olvidando	VMG0000	olvidar
dar	dar	VMN0000	dar
ynfinitos	infinitos	AQ0MP0	infinito
avrazos	abrazos	NCMP000	abrazo
y	y	CC	y
vesos	besos	NCMP000	beso
a	a	SPS00	a
mi	mi	DP1CSS	mi
amada	amada	VMP00SF	amar
Maria	María	NP00000	maría
josefa	Josefa	NP00000	josefa
de	de	SPS00	de
la	la	DA0FS0	el
encarnazion	Encarnación	NP00000	encarnación
	,	Fc	,
suplicando	suplicando	VMG0000	suplicar
a	a	SPS00	a
vueseñoria	vueseñoría	NP00000	vueseñoría
que	que	CS	que
	,	Fc	,
llegando	llegando	VMG0000	llegar
a	a	SPS00	a
devido	debido	VMP00SM	deber
efecto	efecto	NCMS000	efecto
lo	lo	DA0NS0	el
mucho	mucho	RQ	mucho
que	que	PR0CN000	que
siempre	siempre	RG	siempre
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
favorezido	favorecido	VMP0000	favorecer
	,	Fc	,
espero	espero	VMIP1S0	esperar
continue	continúe	VMSP0S0	continuar
sus	sus	DP3CP0	su
pendas	prendas	NCFP000	prenda
i	y	CC	y
fuese	fuese	VMSI0S0	ir
de	de	SPS00	de
el	el	DA0MS0	el
agrado	agrado	NCMS000	agrado
de	de	SPS00	de
vueseñoria	vueseñoría	NP00000	vueseñoría
darl	darle	VMN0000+PP3CSD00	dar+le
estado	estado	NCMS000	estado
asta	hasta	SPS00	hasta
tatanto	tanto	RG	tanto
que	que	CS	que
dios	Dios	NP00000	dios
me	me	PP1CS000	me
conzeda	conceda	VMSP0S0	conceder
el	el	DA0MS0	el
verla	verla	VMN0000+PP3FSA00	ver+lo
y	y	CC	y
darla	darla	VMN0000+PP3FSA00	dar+lo
mis	mis	DP1CPS	mi
vrazos	brazos	NCMP000	brazo
i	y	CC	y
mi	mi	DP1CSS	mi
corazon	corazón	NCMS000	corazón
	.	Fp	.
no	No	RN	no
canso	canso	VMIP1S0	cansar
mas	más	RC	más
la	la	DA0FS0	el
atenzio	atención	NCFS000	atención
de	de	SPS00	de
vueseñoria	vueseñoría	NP00000	vueseñoría
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
suplico	suplico	VMIP1S0	suplicar
perdone	perdone	VMSP0S0	perdonar
mi	mi	DP1CSS	mi
molestia	molestia	NCFS000	molestia
y	y	CC	y
que	que	CS	que
vuseñoria	vueseñoría	NP00000	vueseñoría
no	no	RN	no
eche	eche	VMSP0S0	echar
a	a	SPS00	a
olvido	olvido	NCMS000	olvido
la	la	DA0FS0	el
rrecomendazion	recomendación	NCFS000	recomendación
que	que	CS	que
en	en	SPS00	en
el	el	DA0MS0	el
correo	correo	NCMS000	correo
anterior	anterior	AQ0CS0	anterior
le	le	PP3CSD00	le
pidio	pidió	VMIS3S0	pedir
el	el	DA0MS0	el
padre	padre	NCMS000	padre
cura	cura	NCMS000	cura
:	,	Fc	,
dando	dando	VMG0000	dar
muchas	muchas	DI0FP0	mucho
memorias	memorias	NCFP000	memoria
i	y	CC	y
avrazos	abrazos	NCMP000	abrazo
a	a	SPS00	a
encarnazion	Encarnación	NP00000	encarnación
de	de	SPS00	de
parte	parte	NCFS000	parte
de	de	SPS00	de
su	su	DP3CS0	su
ermana	hermana	NCFS000	hermano
	,	Fc	,
quien	quien	PR0CS000	quien
la	la	PP3FSA00	lo
pide	pide	VMIP3S0	pedir
no	no	RN	no
la	la	PP3FSA00	lo
olvide	olvide	VMSP0S0	olvidar
	.	Fp	.
vesa	Besa	VMIP3S0	besar
la	la	DA0FS0	el
mano	mano	NCFS000	mano
a	a	SPS00	a
vuseñoria	vueseñoría	NP00000	vueseñoría
su	su	DP3CS0	su
mas	más	RC	más
reconozida	reconocida	VMP00SF	reconocer
y	y	CC	y
segura	segura	AQ0FS0	seguro
servidora	servidora	NCFS000	servidor
	,	Fc	,
Maria	María	NP00000	maría
Ana	Ana	NP00000	ana
enrriquez	Enríquez	NP00000	enríquez
