Mi	Mi	DP1CSS	mi
las	las	PP3FPA00	lo
a	ha	VAIP3S0	haber
Rezevido	recibido	VMP0000	recibir
	,	Fc	,
Pues	pues	CS	pues
sentire	sentiré	VMIF1S0	sentir
bayan	vayan	VMSP3P0	ir
a	a	SPS00	a
otra	otra	DI0FS0	otro
mano	mano	NCFS000	mano
	,	Fc	,
Pues	pues	CS	pues
la	la	DA0FS0	el
Primera	primera	AO0FS0	primero
ya	ya	CC	ya
tube	tuve	VMIS1S0	tener
serteza	certeza	NCFS000	certeza
de	de	SPS00	de
qe	que	CS	que
la	la	PP3FSA00	lo
abia	había	VAII0S0	haber
Rezevido	recibido	VMP0000	recibir
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
qto	cuanto	PA000000	cuanto
a	a	SPS00	a
no	no	RN	no
aberse	haberse	VAN0000+P00CN000	haber+se
allado	hallado	VMP0000	hallar
Con	con	SPS00	con
los	los	DA0MP0	el
Rs	reales	NCMP000	real
qe	que	PR0CN000	que
le	le	PP3CSD00	le
suPlicaba	suplicaba	VMII0S0	suplicar
Para	para	SPS00	para
el	el	DA0MS0	el
Portador	portador	NCMS000	portador
	,	Fc	,
a	a	SPS00	a
saver	saber	VMN0000	saber
yo	yo	PP1CSN00	yo
abia	había	VMII0S0	haber
de	de	SPS00	de
desaComodarle	desacomodarle	VMN0000+PP3CSD00	desacomodar+le
	,	Fc	,
no	no	RN	no
lo	lo	PP3CNA00	lo
ubiera	hubiera	VASI0S0	haber
eJecutado	ejecutado	VMP0000	ejecutar
	.	Fp	.
ya	Ya	RG	ya
estaran	estarán	VMIF3P0	estar
satisfechos	satisfechos	NCMP000	satisfecho
a	a	SPS00	a
Joseph	José	NP00000	josé
guillen	Guillén	NP00000	guillén
	,	Fc	,
quien	quien	PR0CS000	quien
los	los	PP3MPA00	lo
Suplio	suplió	VMIS3S0	suplir
	,	Fc	,
qe	que	CS	que
no	no	RN	no
fue	fue	VSIS3S0	ser
PoCa	poca	DI0FS0	poco
fortuna	fortuna	NCFS000	fortuna
em	en	SPS00	en
la	la	DA0FS0	el
mucha	mucha	DI0FS0	mucho
estrechez	estrechez	NCFS000	estrechez
qe	que	PR0CN000	que
me	me	PP1CS000	me
Consta	consta	VMIP3S0	constar
Padese	padece	VMIP3S0	padecer
;	.	Fp	.
que	Que	CS	que
esto	esto	PD0NN000	esto
es	es	VSIP3S0	ser
Jeneral	general	AQ0CS0	general
y	y	CC	y
en	en	SPS00	en
esta	esta	DD0FS0	este
Corte	corte	NCFS000	corte
Con	con	SPS00	con
estremos	extremos	NCMP000	extremo
	,	Fc	,
sin	sin	SPS00	sin
ser	ser	VSN0000	ser
menester	menester	NCMS000	menester
la	la	DA0FS0	el
PoCa	poca	DI0FS0	poco
Caridad	caridad	NCFS000	caridad
qe	que	PR0CN000	que
Commigo	conmigo	SPS00+PP1CSO00	con+mí
uza	usa	VMIP3S0	usar
D	don	NP00000	don
euzebio	Eusebio	NP00000	eusebio
	.	Fp	.
Pues	Pues	CS	pues
yo	yo	PP1CSN00	yo
no	no	RN	no
me	me	PP1CS000	me
queJo	quejo	VMIP1S0	quejar
de	de	SPS00	de
qe	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
imbie	envíe	VMSP0S0	enviar
dinero	dinero	NCMS000	dinero
si	si	CS	si
no	no	RN	no
le	le	PP3CSD00	le
ay	hay	VMIP3S0	haber
	,	Fc	,
sino	sino	CC	sino
de	de	SPS00	de
qe	que	CS	que
me	me	PP1CS000	me
le	le	PP3CSD00	le
ofresCa	ofrezca	VMSP0S0	ofrecer
con	con	SPS00	con
las	las	DA0FP0	el
zirCunstanzias	circunstancias	NCFP000	circunstancia
que	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
dicho	dicho	VMP00SM	decir
a	a	SPS00	a
Vm	VM	NP00000	VM
y	y	CC	y
todo	todo	PI0MS000	todo
salga	salga	VMSP0S0	salir
al	al	SPS00+DA0MS0	a+el
Contrario	contrario	NCMS000	contrario
	,	Fc	,
de	de	SPS00	de
qe	que	CS	que
se	se	P00CN000	se
siguen	siguen	VMIP3P0	seguir
muy	muy	RQ	muy
graves	graves	AQ0CP0	grave
PerJuisios	perjuicios	NCMP000	perjuicio
	,	Fc	,
de	de	SPS00	de
que	que	CS	que
le	le	PP3CSD00	le
da	da	VMIP3S0	dar
Poquisimo	poquísimo	AQ0MS0	poquísimo
Cuidado	cuidado	NCMS000	cuidado
	.	Fp	.
y	Y	CC	y
me	me	PP1CS000	me
tiene	tiene	VMIP3S0	tener
muy	muy	RQ	muy
desesPerado	desesperado	VMP00SM	desesperar
y	y	CC	y
a	a	SPS00	a
los	los	DA0MP0	el
muchos	muchos	PI0MP000	mucho
qe	que	CS	que
de	de	SPS00	de
mi	mí	PP1CSO00	mí
Penden	penden	VMIP3P0	pender
	.	Fp	.
y	Y	CC	y
de	de	SPS00	de
dios	Dios	NP00000	dios
tendra	tendrá	VMIF3S0	tener
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
el	el	DA0MS0	el
Premio	premio	NCMS000	premio
Cuidando	cuidando	VMG0000	cuidar
de	de	SPS00	de
esa	esa	DD0FS0	ese
azienda	hacienda	NCFS000	hacienda
	,	Fc	,
mientras	mientras	RG	mientras
lograre	lograre	VMSF0S0	lograr
yo	yo	PP1CSN00	yo
este	esté	VMSP0S0	estar
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
en	en	SPS00	en
ella	ella	PP3FS000	él
	,	Fc	,
en	en	SPS00	en
aqello	aquello	PD0NN000	aquello
qe	que	CS	que
Puede	puede	VMIP3S0	poder
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
abissandome	avisándome	VMG0000+PP1CS000	avisar+me
en	en	SPS00	en
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
fuere	fuere	VSSF0S0	ser
menester	menester	NCMS000	menester
Poner	poner	VMN0000	poner
remedio	remedio	NCMS000	remedio
	.	Fp	.
y	Y	CC	y
	,	Fc	,
aunqe	aunque	CS	aunque
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
oyga	oiga	VMSP0S0	oír
dezir	decir	VMN0000	decir
Cossa	cosa	NCFS000	cosa
que	que	PR0CN000	que
me	me	PP1CS000	me
esCriba	escriba	VMSP0S0	escribir
	,	Fc	,
no	no	RN	no
se	se	P00CN000	se
immute	inmute	VMIP3S0	inmuter
	,	Fc	,
Pues	pues	CS	pues
yo	yo	PP1CSN00	yo
la	la	PP3FSA00	lo
Pondre	pondré	VMIF1S0	poner
de	de	SPS00	de
manera	manera	NCFS000	manera
qe	que	CS	que
no	no	RN	no
tenga	tenga	VMSP0S0	tener
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
el	el	DA0MS0	el
menor	menor	AQ0CS0	menor
sinsabor	sinsabor	NCMS000	sinsabor
	.	Fp	.
y	Y	CC	y
me	me	PP1CS000	me
Parese	parece	VMIP3S0	parecer
muy	muy	RQ	muy
imPortante	importante	AQ0CS0	importante
hazer	hacer	VMN0000	hacer
a	a	SPS00	a
Vm	VM	NP00000	VM
esta	esta	DD0FS0	este
adbertenzia	advertencia	NCFS000	advertencia
Para	para	SPS00	para
que	que	CS	que
se	se	P00CN000	se
logre	logre	VMSP0S0	lograr
en	en	SPS00	en
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
me	me	PP1CS000	me
iziere	hiciere	VMSF0S0	hacer
merçed	merced	NCFS000	merced
y	y	CC	y
Caridad	caridad	NCFS000	caridad
	,	Fc	,
qe	que	CS	que
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
PrinziPal	principal	AQ0CS0	principal
	.	Fp	.
y	Y	CC	y
no	no	RN	no
dudo	dudo	VMIP1S0	dudar
lo	lo	PP3CNA00	lo
exeCute	ejecute	VMSP0S0	ejecutar
en	en	SPS00	en
qto	cuanto	PA000000	cuanto
estubiere	estuviere	VMSF0S0	estar
de	de	SPS00	de
su	su	DP3CS0	su
Parte	parte	NCFS000	parte
	,	Fc	,
en	en	SPS00	en
qe	que	CS	que
asegurara	asegurará	VMIF3S0	asegurar
el	el	DA0MS0	el
Premio	premio	NCMS000	premio
de	de	SPS00	de
nro	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
esta	ésta	PD0FS000	este
no	no	RN	no
Podre	podré	VMIF1S0	poder
alargarme	alargarme	VMN0000+PP1CS000	alargar+me
Porque	porque	CS	porque
boy	voy	VMIP1S0	ir
a	a	SPS00	a
solizitar	solicitar	VMN0000	solicitar
Cartas	cartas	NCFP000	carta
Para	para	SPS00	para
el	el	DA0MS0	el
asistente	asistente	AQ0CS0	asistente
	.	Fp	.
Por	Por	SPS00	por
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
me	me	PP1CS000	me
disse	dice	VMIP3S0	decir
	,	Fc	,
imPortan	importan	VMIP3P0	importar
	.	Fp	.
y	Y	CC	y
de	de	SPS00	de
Camino	camino	NCMS000	camino
busCare	buscaré	VMIF1S0	buscar
a	a	SPS00	a
su	su	DP3CS0	su
Pariente	pariente	NCMS000	pariente
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
	,	Fc	,
qe	que	CS	que
me	me	PP1CS000	me
olgare	holgaré	VMIF1S0	holgar
mucho	mucho	RQ	mucho
de	de	SPS00	de
Conozerle	conocerle	VMN0000+PP3CSA00	conocer+le
y	y	CC	y
tener	tener	VMN0000	tener
oCazion	ocasión	NCFS000	ocasión
de	de	SPS00	de
servirle	servirle	VMN0000+PP3CSA00	servir+le
en	en	SPS00	en
algo	algo	PI0CS000	algo
	.	Fp	.
y	Y	CC	y
solizitare	solicitaré	VMIF1S0	solicitar
baya	vaya	VMSP0S0	ir
esta	ésta	PD0FS000	este
Por	por	SPS00	por
la	la	DA0FS0	el
bia	vía	NCFS000	vía
qe	que	PR0CN000	que
ban	van	VMIP3P0	ir
las	las	DA0FP0	el
de	de	SPS00	de
su	su	DP3CS0	su
merçed	merced	NCFS000	merced
	,	Fc	,
Pues	pues	CS	pues
me	me	PP1CS000	me
imPorta	importa	VMIP3S0	importar
mucho	mucho	RQ	mucho
asegurarlas	asegurarlas	VMN0000+PP3FPA00	asegurar+lo
de	de	SPS00	de
tantos	tantos	DI0MP0	tanto
enemigos	enemigos	NCMP000	enemigo
Como	como	CS	como
quiere	quiere	VMIP3S0	querer
dios	Dios	NP00000	dios
tenga	tenga	VMSP0S0	tener
	,	Fc	,
sin	sin	SPS00	sin
darles	darles	VMN0000+PP3CPD00	dar+le
el	el	DA0MS0	el
menor	menor	AQ0CS0	menor
motibo	motivo	NCMS000	motivo
	,	Fc	,
Pero	pero	CC	pero
esto	esto	PD0NN000	esto
Combendra	convendrá	VMIF3S0	convenir
asi	así	RG	así
	.	Fp	.
y	Y	CC	y
esPero	espero	VMIP1S0	esperar
me	me	PP1CS000	me
diga	diga	VMSP0S0	decir
Vm	VM	NP00000	VM
la	la	DA0FS0	el
obra	obra	NCFS000	obra
qe	que	CS	que
se	se	P00CN000	se
asse	hace	VMIP3S0	hacer
aora	ahora	RG	ahora
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
tiemPo	tiempo	NCMS000	tiempo
de	de	SPS00	de
azer	hacer	VMN0000	hacer
mucha	mucha	DI0FS0	mucho
	,	Fc	,
Pues	pues	CS	pues
la	la	DA0FS0	el
Jente	gente	NCFS000	gente
estara	estará	VMIF3S0	estar
toda	toda	DI0FS0	todo
en	en	SPS00	en
los	los	DA0MP0	el
,	.	Fp	.
quiera	Quiera	VMSP0S0	querer
dios	Dios	NP00000	dios
no	no	RN	no
sea	sea	VSSP0S0	ser
zierto	cierto	AQ0MS0	cierto
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
an	han	VAIP3P0	haber
dicho	dicho	VMP0000	decir
de	de	SPS00	de
qe	que	CS	que
se	se	P00CN000	se
a	ha	VAIP3S0	haber
torzido	torcido	VMP0000	torcer
mucho	mucho	RQ	mucho
la	la	DA0FS0	el
Cosecha	cosecha	NCFS000	cosecha
;	.	Fp	.
y	Y	CC	y
	,	Fc	,
assimismo	asimismo	RG	asimismo
	,	Fc	,
me	me	PP1CS000	me
dira	dirá	VMIF3S0	decir
Vm	VM	NP00000	VM
si	si	CS	si
tardara	tardará	VMIF3S0	tardar
mucho	mucho	RQ	mucho
en	en	SPS00	en
Cozerse	cocerse	VMN0000+P00CN000	cocer+se
los	los	DA0MP0	el
ornos	hornos	NCMP000	horno
	,	Fc	,
Pues	pues	CS	pues
en	en	SPS00	en
emPessando	empezando	VMG0000	empezar
a	a	SPS00	a
darles	darles	VMN0000+PP3CPD00	dar+le
estan	están	VMIP3P0	estar
em	en	SPS00	en
mayor	mayor	AQ0CS0	mayor
Peligro	peligro	NCMS000	peligro
y	y	CC	y
mas	más	RC	más
Con	con	SPS00	con
las	las	DA0FP0	el
zirCunstançias	circunstancias	NCFP000	circunstancia
que	que	PR0CN000	que
sabemos	sabemos	VMIP1P0	saber
;	.	Fp	.
y	Y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
esPanto	espanto	VMIP1S0	espantar
es	es	VSIP3S0	ser
qe	que	CS	que
	,	Fc	,
siendo	siendo	VSG0000	ser
Cossa	cosa	NCFS000	cosa
tan	tan	RC	tan
Prezisa	precisa	AQ0FS0	preciso
Para	para	SPS00	para
la	la	DA0FS0	el
bida	vida	NCFS000	vida
umana	humana	NCFS000	humano
y	y	CC	y
el	el	DA0MS0	el
Jenero	género	NCMS000	género
de	de	SPS00	de
tam	tan	RC	tan
buena	buena	AQ0FS0	bueno
Calidad	calidad	NCFS000	calidad
	,	Fc	,
no	no	RN	no
ay	hay	VMIP3S0	haber
quien	quien	PR0CS000	quien
de	dé	VMSP0S0	dar
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
es	es	VSIP3S0	ser
Razon	razón	NCFS000	razón
Para	para	SPS00	para
el	el	DA0MS0	el
Carbon	carbón	NCMS000	carbón
,	.	Fp	.
Pazienzia	Paciencia	NCFS000	paciencia
	,	Fc	,
qe	que	CS	que
bien	bien	RG	bien
es	es	VSIP3S0	ser
menester	menester	NCMS000	menester
;	.	Fp	.
y	Y	CC	y
si	si	CS	si
se	se	P00CN000	se
bende	vende	VMIP3S0	vender
alguna	alguna	DI0FS0	alguno
madera	madera	NCFS000	madera
y	y	CC	y
si	si	CS	si
se	se	P00CN000	se
dilata	dilata	VMIP3S0	dilatar
el	el	DA0MS0	el
azerrar	serrar	VMN0000	serrar
la	la	DA0FS0	el
que	que	PR0CN000	que
Vm	VM	NP00000	VM
disse	dice	VMIP3S0	decir
	,	Fc	,
sin	sin	SPS00	sin
duda	duda	NCFS000	duda
se	se	P00CN000	se
abrira	abrirá	VMIF3S0	abrir
	,	Fc	,
Pues	pues	CS	pues
tengo	tengo	VMIP1S0	tener
bastante	bastante	RQ	bastante
esPerienzia	experiencia	NCFS000	experiencia
de	de	SPS00	de
ello	ello	PD0NN000	ello
	.	Fp	.
y	Y	CC	y
no	no	RN	no
quiero	quiero	VMIP1S0	querer
Canzar	cansar	VMN0000	cansar
mas	más	RC	más
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
	,	Fc	,
Pues	pues	CS	pues
solo	sólo	RG	sólo
deseo	deseo	VMIP1S0	desear
oCaziones	ocasiones	NCFP000	ocasión
de	de	SPS00	de
servirle	servirle	VMN0000+PP3CSA00	servir+le
y	y	CC	y
qe	que	CS	que
le	le	PP3CSD00	le
gde	guarde	VMSP0S0	guardar
dios	Dios	NP00000	dios
muchos	muchos	DI0MP0	mucho
años	años	NCMP000	año
Como	como	CS	como
deseo	deseo	VMIP1S0	desear
	.	Fp	.
madrid	Madrid	NP00000	madrid
	,	Fc	,
y	y	CC	y
Jullio	julio	NCMS000	julio
1	1	Z	1
de	de	SPS00	de
710	710	Z	710
	.	Fp	.
B	Besa	VMIP3S0	besar
L	las	DA0FP0	el
M	manos	NCFP000	mano
de	de	SPS00	de
Vm	VM	NP00000	VM
su	su	DP3CS0	su
mas	más	RC	más
afecto	afecto	NCMS000	afecto
seror	servidor	NCMS000	servidor
	,	Fc	,
el	el	DA0MS0	el
Marques	marqués	NCMS000	marqués
de	de	SPS00	de
Gelo	Gelo	NP00000	gelo
oy	Hoy	RG	hoy
a	a	SPS00	a
las	las	DA0FP0	el
onze	once	Z	11
logre	logré	VMIS1S0	lograr
allar	hallar	VMN0000	hallar
en	en	SPS00	en
S	San	NP00000	san
miguel	Miguel	NP00000	miguel
a	a	SPS00	a
su	su	DP3CS0	su
ermano	hermano	NCMS000	hermano
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
lo	lo	PP3CNA00	lo
e	he	VAIP1S0	haber
stimado	estimado	VMP0000	estimar
mucho	mucho	RQ	mucho
	,	Fc	,
y	e	CC	y
iba	iba	VMII0S0	ir
al	al	SPS00+DA0MS0	a+el
Correo	correo	NCMS000	correo
a	a	SPS00	a
ber	ver	VMN0000	ver
si	si	CS	si
tenia	tenía	VMII0S0	tener
Carta	carta	NCFS000	carta
de	de	SPS00	de
Vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
yo	yo	PP1CSN00	yo
queria	quería	VMII0S0	querer
fuesse	fuese	VMSI0S0	ir
esta	ésta	PD0FS000	este
Por	por	SPS00	por
su	su	DP3CS0	su
mano	mano	NCFS000	mano
;	,	Fc	,
Pero	pero	CC	pero
no	no	RN	no
esCribe	escribe	VMIP3S0	escribir
	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
Correo	correo	NCMS000	correo
qe	que	PR0CN000	que
biene	viene	VMIP3S0	venir
arto	harto	RG	harto
le	le	PP3CSD00	le
encargo	encargo	VMIP1S0	encargar
a	a	SPS00	a
Josephe	José	NP00000	josé
guillen	Guillén	NP00000	guillén
Ponga	ponga	VMSP0S0	poner
em	en	SPS00	en
mano	mano	NCFS000	mano
de	de	SPS00	de
Vm	VM	NP00000	VM
esta	ésta	PD0FS000	este
Por	por	SPS00	por
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
me	me	PP1CS000	me
imPorta	importa	VMIP3S0	importar
	.	Fp	.
y	Y	CC	y
dios	Dios	NP00000	dios
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
Pague	pague	VMSP0S0	pagar
a	a	SPS00	a
Vm	VM	NP00000	VM
	.	Fp	.
beo	Veo	VMIP1S0	ver
el	el	DA0MS0	el
buen	buen	AQ0MS0	bueno
Cobro	cobro	NCMS000	cobro
qe	que	PR0CN000	que
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
dio	dio	VMIS3S0	dar
al	al	SPS00+DA0MS0	a+el
azeite	aceite	NCMS000	aceite
de	de	SPS00	de
la	la	DA0FS0	el
lamPara	lámpara	NCFS000	lámpara
	.	Fp	.
y	Y	CC	y
me	me	PP1CS000	me
dira	dirá	VMIF3S0	decir
Como	cómo	PA000000	cómo
se	se	P00CN000	se
ComPonen	componen	VMIP3P0	componer
las	las	DA0FP0	el
otras	otras	DI0FP0	otro
3	3	Z	3
a	arrobas	NCFP000	arroba
	,	Fc	,
qe	que	CS	que
son	son	VSIP3P0	ser
menester	menester	NCMS000	menester
Presissamente	precisamente	RG	precisamente
	.	Fp	.
