AMigo	Amigo		
mañana	mañana		
ya	ya		
estan	están		
muertos	muertos		
	,		
Cosa	cosa		
que	que		
nos	nos		
tiene	tiene		
sin	sin		
sentido	sentido		
	.		
que	Que		
lo	lo		
uno	uno		
esto	esto		
	;		
l	lo		
otro	otro		
	,		
el	el		
que	que		
este	este		
lugr	lugar		
pareze	parece		
que	que		
por	por		
todos	todos		
lados	lados		
desean	desean		
los	los		
abitadores	habitadores		
de	de		
el	él		
quitarnos	quitarnos		
la	la		
bida	vida		
y	y		
el	el		
dinero	dinero		
	.		
que	Que		
sin	sin		
pasar	pasar		
a	a		
mas	más		
	,		
que	que		
es	es		
un	un		
puchero	puchero		
de	de		
baca	vaca		
y	y		
tozino	tocino		
nos	nos		
Cuesta	cuesta		
A	a		
Dn	don		
lorenzo	Lorenzo		
sarabia	Sarabia		
Y	y		
a	a		
mi	mí		
ZinCo	cinco		
pesos	pesos		
	;		
todos	todos		
los	los		
dias	días		
pagando	pagando		
la	la		
casa	casa		
Dnde	donde		
estamos	estamos		
de	de		
los	los		
zinco	cinco		
ps	pesos		
	.		
que	Que		
Yo	yo		
Crei	creí		
Con	con		
lo	lo		
que	que		
me	me		
quedo	quedó		
de	de		
los	los		
zin	cien		
pesos	pesos		
hazer	hacer		
el	el		
gasto	gasto		
y	y		
me	me		
fue	fue		
prezisso	preciso		
	,		
por	por		
no	no		
llegar	llegar		
a	a		
los	los		
dos	dos		
mill	mil		
pesos	pesos		
	,		
el	el		
pedir	pedir		
a	a		
Carandia	Carandia		
30	30		
ps	pesos		
y	y		
los	los		
dos	dos		
mill	mil		
ban	van		
a	a		
españa	España		
segun	según		
y	y		
Como	como		
salieron	salieron		
de	de		
Casa	casa		
	.		
esto	Esto		
digo	digo		
a	a		
Vmd	VM		
porque	porque		
Crea	crea		
y	y		
este	esté		
en	en		
la	la		
Cuenta	cuenta		
que	que		
todos	todos		
mis	mis		
deseos	deseos		
los	los		
quisiera	quisiera		
medir	medir		
Con	con		
los	los		
de	de		
Vmd	VM		
sin	sin		
herar	errar		
en	en		
nada	nada		
	,		
mas	mas		
de	de		
mi	mi		
Corto	corto		
DisCurso	discurso		
no	no		
espero	espero		
sino	sino		
el	el		
herra	errar		
en	en		
todo	todo		
.	.		
la	La		
emfermedad	enfermedad		
que	que		
tube	tuve		
en	en		
el	el		
biaje	viaje		
me	me		
Costo	costó		
30	30		
broCas	brocas		
de	de		
barbero	barbero		
y	y		
zirujano	cirujano		
	,		
Y	y		
la	la		
asistenzia	asistencia		
que	que		
tube	tuve		
del	del		
sor	señor		
Cozinero	cocinero		
de	de		
la	la		
nao	nao		
	,		
que	que		
por	por		
ocho	ocho		
dias	días		
u	o		
quinze	quince		
que	que		
me	me		
dio	dio		
de	de		
Comer	comer		
	,		
que	que		
en	en		
los	los		
qles	cuales		
no	no		
pude	pude		
Comer	comer		
en	en		
el	el		
rrancho	rancho		
que	que		
boy	voy		
	,		
me	me		
pidyo	pidió		
aqui	aquí		
25	25		
ps	pesos		
	;		
por	por		
lo	lo		
qual	cual		
renimos	reñimos		
y	y		
perdi	perdí		
Con	con		
El	él		
la	la		
grazia	gracia		
para	para		
el	el		
delante	delante		
	,		
en	en		
medio	medio		
de	de		
que	que		
le	le		
di	di		
12	12		
ps	pesos		
	,		
que	que		
en	en		
mi	mi		
tiera	tierra		
es	es		
mucho	mucho		
dinero	dinero		
y	y		
qui	aquí		
no	no		
es	es		
nada	nada		
.	.		
esto	Esto		
es	es		
dar	dar		
Cuenta	cuenta		
de	de		
todo	todo		
lo	lo		
que	que		
me	me		
suzede	sucede		
	.		
y	Y		
Con	con		
esto	esto		
	,		
hermano	hermano		
y	y		
sor	señor		
de	de		
mi	mi		
Corazon	corazón		
	,		
ADios	adiós		
	.		
l	La		
abana	Habana		
	,		
y	y		
Julio	julio		
20	20		
de	de		
1702	1702		
	.		
Besa	Besa		
l	la		
Mo	mano		
de	de		
Vmd	VM		
su	su		
herno	hermano		
que	que		
mas	más		
le	le		
estima	estima		
y	y		
su	su		
salud	salud		
desea	desea		
	,		
BAlthasar	Baltasar		
De	de		
noriega	Noriega		
sor	Señor		
Y	y		
hermano	hermano		
de	de		
mi	mi		
Corazon	corazón		
Dn	don		
Po	Pedro		
de	de		
Mendoza	Mendoza		
y	y		
esCalante	Escalante		
	.		
