Arahal	Arahal	NP00000	arahal
charitativa	caritativa	AQ0FS0	caritativo
inclinacion	inclinación	NCFS000	inclinación
a	a	SPS00	a
lo	lo	DA0NS0	el
mas	más	RC	más
piadoso	piadoso	AQ0MS0	piadoso
)	)	Fbt	)
asseverandole	aseverándole	VMG0000+PP3CSD00	aseverar+le
que	que	CS	que
	,	Fc	,
sin	sin	SPS00	sin
perdida	pérdida	NCFS000	pérdida
de	de	SPS00	de
correo	correo	NCMS000	correo
	,	Fc	,
escriví	escribí	VMIS1S0	escribir
al	al	SPS00+DA0MS0	a+el
Pe	padre	NP00000	padre
fr	fray	NP00000	fray
Baltazar	Baltasar	NP00000	baltasar
con	con	SPS00	con
la	la	DA0FS0	el
mas	más	RC	más
eficaz	eficaz	AQ0CS0	eficaz
insinuacion	insinuación	NCFS000	insinuación
y	y	CC	y
emplazandolo	emplazándolo	VMG0000+PP3MSA00	emplazar+lo
à	a	SPS00	a
sufrir	sufrir	VMN0000	sufrir
una	una	DI0FS0	uno
rigorosa	rigurosa	AQ0FS0	riguroso
providencia	providencia	NCFS000	providencia
si	si	CS	si
no	no	RN	no
presenta	presenta	VMIP3S0	presentar
à	a	SPS00	a
su	su	DP3CS0	su
hermano	hermano	NP00000	hermano
Marzelino	Marcelino	NP00000	marcelino
para	para	SPS00	para
que	que	CS	que
cumpla	cumpla	VMSP0S0	cumplir
el	el	DA0MS0	el
contrato	contrato	NCMS000	contrato
espozalicio	esposalicio	AQ0MS0	esposalicio
celebrado	celebrado	VMP00SM	celebrar
con	con	SPS00	con
la	la	DA0FS0	el
hija	hija	NCFS000	hijo
de	de	SPS00	de
vmd	VM	NP00000	VM
	;	Fx	;
y	y	CC	y
que	que	CS	que
	,	Fc	,
en	en	SPS00	en
su	su	DP3CS0	su
defecto	defecto	NCMS000	defecto
,	,	Fc	,
se	se	P00CN000	se
ganara	ganará	VMIF3S0	ganar
comission	comisión	NCFS000	comisión
conminatoria	conminatoria	AQ0FS0	conminatorio
para	para	SPS00	para
qe	que	CS	que
su	su	DP3CS0	su
padre	padre	NCMS000	padre
lo	lo	PP3MSA00	lo
presente	presente	VMSP0S0	presentar
atento	atento	AQ0MS0	atento
a	a	SPS00	a
que	que	CS	que
este	éste	PD0MS000	este
,	,	Fc	,
con	con	SPS00	con
acuerdo	acuerdo	NCMS000	acuerdo
de	de	SPS00	de
las	las	DA0FP0	el
hijas	hijas	NCFP000	hijo
,	,	Fc	,
mandaron	mandaron	VMIS3P0	mandar
retirar	retirar	VMN0000	retirar
à	a	SPS00	a
Marzelino	Marcelino	NP00000	marcelino
à	a	SPS00	a
Ximena	Jimena	NP00000	jimena
con	con	SPS00	con
el	el	DA0MS0	el
assilo	asilo	NCMS000	asilo
del	del	SPS00+DA0MS0	de+el
hermano	hermano	NCMS000	hermano
religioso	religioso	AQ0MS0	religioso
:	.	Fp	.
Me	Me	PP1CS000	me
consta	consta	VMIP3S0	constar
que	que	CS	que
en	en	SPS00	en
el	el	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
correo	correo	NCMS000	correo
escribio	escribió	VMIS3S0	escribir
el	el	DA0MS0	el
Pe	padre	NCMS000	padre
	,	Fc	,
estimulado	estimulado	VMP00SM	estimular
por	por	SPS00	por
mi	mí	PP1CSO00	mí
	,	Fc	,
cominandole	conminándole	VMG0000+PP3CSD00	conminar+le
que	que	CS	que
	,	Fc	,
de	de	SPS00	de
no	no	RN	no
assentir	asentir	VMN0000	asentir
a	a	SPS00	a
mi	mi	DP1CSS	mi
instancia	instancia	NCFS000	instancia
,	,	Fc	,
tendria	tendría	VMIC0S0	tener
que	que	CS	que
sentir	sentir	VMN0000	sentir
;	.	Fp	.
y	Y	CC	y
aun	aun	RG	aun
quando	cuando	PA000000	cuando
intente	intente	VMSP0S0	intentar
destinar	destinar	VMN0000	destinar
a	a	SPS00	a
su	su	DP3CS0	su
hijo	hijo	NCMS000	hijo
à	a	SPS00	a
la	la	DA0FS0	el
milicia	milicia	NCFS000	milicia
,	,	Fc	,
se	se	P00CN000	se
sacaria	sacaría	VMIC0S0	sacar
vajo	bajo	SPS00	bajo
las	las	DA0FP0	el
reales	reales	AQ0CP0	real
Banderas	banderas	NCFP000	bandera
.	.	Fp	.
Y	Y	CC	y
atento	atento	AQ0MS0	atento
à	a	SPS00	a
que	que	CS	que
tengo	tengo	VMIP1S0	tener
prevenida	prevenida	VMP00SF	prevenir
espia	espía	NCCS000	espía
secreta	secreta	AQ0FS0	secreto
para	para	SPS00	para
que	que	CS	que
	,	Fc	,
en	en	SPS00	en
caso	caso	NCMS000	caso
que	que	CS	que
Marzelino	Marcelino	NP00000	marcelino
venga	venga	VMSP0S0	venir
repudiado	repudiado	VMP00SM	repudiar
de	de	SPS00	de
ximena	Jimena	NP00000	jimena
,	,	Fc	,
incontinenti	incontinenti	RG	incontinenti
me	me	PP1CS000	me
avise	avise	VMSP0S0	avisar
para	para	SPS00	para
arrestarlo	arrestarlo	VMN0000+PP3MSA00	arrestar+lo
sin	sin	SPS00	sin
comission	comisión	NCFS000	comisión
,	,	Fc	,
cuyo	cuyo	PU0MS000	cuyo
gasto	gasto	NCMS000	gasto
escusara	excusará	VMIF3S0	excusar
vmd	VM	NP00000	VM
por	por	SPS00	por
lo	lo	DA0NS0	el
respectivo	respectivo	RG	respectivo
à	a	SPS00	a
mis	mis	DP1CPS	mi
facultades	facultades	NCFP000	facultad
;	,	Fc	,
atento	atento	AQ0MS0	atento
a	a	SPS00	a
que	que	CS	que
el	el	DA0MS0	el
contrayente	contrayente	NCMS000	contrayente
me	me	PP1CS000	me
contexto	contestó	VMIS3S0	contestar
la	la	DA0FS0	el
palabra	palabra	NCFS000	palabra
;	.	Fp	.
y	Y	CC	y
si	si	CS	si
,	,	Fc	,
en	en	SPS00	en
caso	caso	NCMS000	caso
nezesario	necesario	AQ0MS0	necesario
,	,	Fc	,
deve	debe	VMIP3S0	deber
vmd	VM	NP00000	VM
ganar	ganar	VMN0000	ganar
la	la	DA0FS0	el
correspondte	correspondiente	AQ0CS0	correspondiente
requisitoria	requisitoria	NCFS000	requisitoria
para	para	SPS00	para
el	el	DA0MS0	el
Sr	señor	NP00000	señor
Ordinario	ordinario	NP00000	ordinario
de	de	SPS00	de
Cadiz	Cádiz	NP00000	cádiz
y	y	CC	y
que	que	CS	que
libre	libre	VMSP0S0	librar
su	su	DP3CS0	su
comission	comisión	NCFS000	comisión
para	para	SPS00	para
el	el	DA0MS0	el
vicario	vicario	NCMS000	vicario
de	de	SPS00	de
ximena	Jimena	NP00000	jimena
	,	Fc	,
passe	pase	VMSP0S0	pasar
al	al	SPS00+DA0MS0	a+el
convto	convento	NCMS000	convento
de	de	SPS00	de
Minimos	Mínimos	NP00000	mínimos
y	y	CC	y
pida	pida	VMSP0S0	pedir
se	se	P00CN000	se
le	le	PP3CSD00	le
entregue	entregue	VMSP0S0	entregar
la	la	DA0FS0	el
persona	persona	NCFS000	persona
de	de	SPS00	de
Marzelino	Marcelino	NP00000	marcelino
Negri	Negrí	NP00000	negrí
occulto	oculto	AQ0MSP	oculto
en	en	SPS00	en
la	la	DA0FS0	el
zelda	celda	NCFS000	celda
de	de	SPS00	de
fr	fray	NP00000	fray
Balthazar	Baltasar	NP00000	baltasar
Negri	Negrí	NP00000	negrí
	,	Fc	,
su	su	DP3CS0	su
hermano	hermano	NCMS000	hermano
.	.	Fp	.
es	Es	VSIP3S0	ser
quanto	cuanto	PA000000	cuanto
devo	debo	VMIP1S0	deber
insinuar	insinuar	VMN0000	insinuar
à	a	SPS00	a
vmd	VM	NP00000	VM
para	para	SPS00	para
su	su	DP3CS0	su
govierno	gobierno	NCMS000	gobierno
y	y	CC	y
que	que	CS	que
mande	mande	VMSP0S0	mandar
qto	cuanto	PA000000	cuanto
fuere	fuere	VSSF0S0	ser
de	de	SPS00	de
su	su	DP3CS0	su
agrado	agrado	NCMS000	agrado
y	y	CC	y
del	del	SPS00+DA0MS0	de+el
de	de	SPS00	de
Dios	Dios	NP00000	dios
N	Nuestro	DP1MSP	nuestro
Sor	Señor	NP00000	señor
	,	Fc	,
que	que	PR0CN000	que
le	le	PP3CSD00	le
guarde	guarde	VMSP0S0	guardar
y	y	CC	y
comunique	comunique	VMSP0S0	comunicar
su	su	DP3CS0	su
divina	divina	AQ0FS0	divino
gracia	gracia	NCFS000	gracia
con	con	SPS00	con
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
proporciones	proporciones	NCFP000	proporción
temporales	temporales	AQ0CP0	temporal
que	que	PR0CN000	que
le	le	PP3CSD00	le
deseo	deseo	VMIP1S0	desear
.	.	Fp	.
M	Muy	RQ	muy
Afftto	afecto	AQ0MSP	afecto
a	a	SPS00	a
vmd	VM	NP00000	VM
su	su	DP3CS0	su
servor	servidor	NCMS000	servidor
	,	Fc	,
Dr	doctor	NP00000	doctor
Dn	don	NP00000	don
Diego	Diego	NP00000	diego
Hilarion	Hilarión	NP00000	hilarión
Sanchez	Sánchez	NP00000	sánchez
Zotomor	Sotomayor	NP00000	sotomayor
Sr	Señor	NP00000	señor
Dn	don	NP00000	don
Manuel	Manuel	NP00000	manuel
de	de	SPS00	de
Olibera	Olivera	NP00000	olivera
	.	Fp	.
