Exmo	Excelentísimo	AQSMS0	excelente
echaban	echaban	VMII3P0	echar
al	al	SPS00+DA0MS0	a+el
campo	campo	NCMS000	campo
	,	Fc	,
quando	cuando	PA000000	cuando
nunca	nunca	RN	nunca
ha	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
costtumbre	costumbre	NCFS000	costumbre
.	.	Fp	.
Save	Sabe	VMIP3S0	saber
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
que	que	CS	que
enttre	entre	SPS00	entre
el	el	DA0MS0	el
Picaro	pícaro	NCMS000	pícaro
Castillo	Castillo	NP00000	castillo
y	y	CC	y
su	su	DP3CS0	su
Compañero	compañero	NCMS000	compañero
	,	Fc	,
despues	después	RG	después
de	de	SPS00	de
haverles	haberles	VAN0000+PP3CPD00	haber+le
echo	hecho	NCMS000	hecho
tantos	tantos	DI0MP0	tanto
fabores	favores	NCMP000	favor
Asenjo	Asenjo	NP00000	asenjo
	,	Fc	,
a	a	SPS00	a
no	no	RN	no
haverle	haberle	VAN0000+PP3CSD00	haber+le
hasisttido	asistido	VMP0000	asistir
su	su	DP3CS0	su
tuttoria	tutoría	NCFS000	tutoría
	,	Fc	,
prudenzia	prudencia	NCFS000	prudencia
y	y	CC	y
poderio	poderío	NCMS000	poderío
	,	Fc	,
le	le	PP3CSD00	le
hubiera	hubiera	VASI0S0	haber
atropellado	atropellado	VMP0000	atropellar
	.	Fp	.
y	Y	CC	y
hasi	así	RG	así
vera	verá	VMIF3S0	ver
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
en	en	SPS00	en
el	el	DA0MS0	el
pleitto	pleito	NCMS000	pleito
pendiente	pendiente	AQ0CS0	pendiente
como	cómo	PA000000	cómo
queda	queda	VMIP3S0	quedar
el	el	DA0MS0	el
dho	dicho	NCMS000	dicho
Castillo	Castillo	NP00000	castillo
.	.	Fp	.
Save	Sabe	VMIP3S0	saber
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
como	como	CS	como
la	la	DA0FS0	el
mujer	mujer	NCFS000	mujer
del	del	SPS00+DA0MS0	de+el
dho	dicho	NCMS000	dicho
Castillo	Castillo	NP00000	castillo
da	da	VMIP3S0	dar
mill	mil	Z	1000
escandalos	escándalos	NCMP000	escándalo
con	con	SPS00	con
el	el	DA0MS0	el
Correjidor	corregidor	NCMS000	corregidor
	,	Fc	,
Correjidora	corregidora	NCFS000	corregidor
y	y	CC	y
el	el	DA0MS0	el
Salinero	salinero	NCMS000	salinero
de	de	SPS00	de
estta	esta	DD0FS0	este
villa	villa	NCFS000	villa
	,	Fc	,
el	el	DA0MS0	el
qe	que	PR0CN000	que
manttiene	mantiene	VMIP3S0	mantener
una	una	DI0FS0	uno
y	y	CC	y
ottra	otra	DI0FS0	otro
casa	casa	NCFS000	casa
	,	Fc	,
qe	que	CS	que
hazer	hacer	VMN0000	hacer
lo	lo	DA0NS0	el
ottro	otro	PI0MS000	otro
le	le	PP3CSD00	le
ubiera	hubiera	VASI0S0	haber
echado	echado	VMP0000	echar
a	a	SPS00	a
un	un	DI0MS0	uno
presido	presidio	NCMS000	presidio
	.	Fp	.
y	Y	CC	y
todo	todos	DI0MP0	todo
esttos	estos	DD0MP0	este
perjuizios	perjuicios	NCMP000	perjuicio
y	y	CC	y
daños	daños	NCMP000	daño
se	se	P00CN000	se
an	han	VMIP3P0	haber
de	de	SPS00	de
consenttir	consentir	VMN0000	consentir
	,	Fc	,
qe	que	CS	que
van	van	VMIP3P0	ir
a	a	SPS00	a
cargo	cargo	NCMS000	cargo
de	de	SPS00	de
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
por	por	SPS00	por
no	no	RN	no
mudar	mudar	VMN0000	mudar
de	de	SPS00	de
gobierno	gobierno	NCMS000	gobierno
como	como	CS	como
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
piden	piden	VMIP3P0	pedir
su	su	DP3CS0	su
vasallos	vasallos	NCMS000	vasallos
.	.	Fp	.
corre	Corre	VMIP3S0	correr
por	por	SPS00	por
estta	esta	DD0FS0	este
villa	villa	NCFS000	villa
qe	que	PR0CN000	que
vuesttro	vuestro	DP2MSP	vuestro
tesorero	tesorero	NCMS000	tesorero
	(	Fba	(
dios	Dios	NP00000	dios
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
salud	salud	NCFS000	salud
	,	Fc	,
qe	que	CS	que
es	es	VSIP3S0	ser
el	el	DA0MS0	el
amparo	amparo	NCMS000	amparo
a	a	SPS00	a
los	los	DA0MP0	el
miserables	miserables	NCMP000	miserabl
de	de	SPS00	de
vuesttros	vuestros	DP2MPP	vuestro
vasallos	vasallos	NCMP000	vasallo
	)	Fbt	)
fue	fue	VMIS3S0	ir
a	a	SPS00	a
Valld	Valladolid	NP00000	valladolid
o	o	CC	o
a	a	SPS00	a
madrid	Madrid	NP00000	madrid
	.	Fp	.
si	Si	CS	si
acaso	acaso	RG	acaso
se	se	P00CN000	se
presenta	presenta	VMIP3S0	presentar
a	a	SPS00	a
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
	,	Fc	,
que	que	CS	que
le	le	PP3CSD00	le
imforme	informe	VMSP0S0	informar
	,	Fc	,
que	que	CS	que
aunque	aunque	CS	aunque
sea	sea	VSSP0S0	ser
conttra	contra	SPS00	contra
si	sí	RG	sí
dira	dirá	VMIF3S0	decir
la	la	DA0FS0	el
verdad	verdad	NCFS000	verdad
como	como	CS	como
acosttumbra	acostumbra	VMIP3S0	acostumbrar
	.	Fp	.
por	Por	SPS00	por
estte	éste	PD0MS000	este
esperamos	esperamos	VMIP1P0	esperar
el	el	DA0MS0	el
titulo	título	NCMS000	título
de	de	SPS00	de
tenientte	teniente	NP00000	teniente
correjidor	corregidor	NCMS000	corregidor
para	para	SPS00	para
quien	quien	PR0CS000	quien
fuese	fuese	VMSI0S0	ir
del	del	SPS00+DA0MS0	de+el
agrado	agrado	NCMS000	agrado
de	de	SPS00	de
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
	,	Fc	,
que	que	CS	que
de	de	SPS00	de
ese	ese	DD0MS0	ese
modo	modo	NCMS000	modo
queda	queda	VMIP3S0	quedar
vuesttra	vuestra	DP2FSP	vuestro
villa	villa	NCFS000	villa
en	en	SPS00	en
paz	paz	NCFS000	paz
y	y	CC	y
en	en	SPS00	en
grazia	gracia	NCFS000	gracia
de	de	SPS00	de
dios	Dios	NP00000	dios
	.	Fp	.
y	Y	CC	y
de	de	SPS00	de
lo	lo	DA0NS0	el
conttrario	contrario	NCMS000	contrario
	,	Fc	,
quantto	cuanto	PA000000	cuanto
suceda	suceda	VMSP0S0	suceder
va	va	VMIP3S0	ir
a	a	SPS00	a
cargo	cargo	NCMS000	cargo
de	de	SPS00	de
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
	,	Fc	,
pues	pues	CS	pues
vuesttros	vuestros	DP2MPP	vuestro
vasallos	vasallos	NCMP000	vasallo
esttan	están	VMIP3P0	estar
derrenegando	derrenegando	NCMS000	derrenegando
	.	Fp	.
que	Que	CS	que
de	de	SPS00	de
no	no	RN	no
conponer	componer	VMN0000	componer
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
estto	esto	PD0NN000	esto
como	como	CS	como
se	se	P00CN000	se
pide	pide	VMIP3S0	pedir
	,	Fc	,
abra	habrá	VMIF3S0	haber
qe	que	CS	que
senttir	sentir	VMN0000	sentir
	.	Fp	.
dios	Dios	NP00000	dios
no	no	RN	no
lo	lo	PP3CNA00	lo
permitta	permita	VMSP0S0	permitir
y	y	CC	y
estte	éste	PD0MS000	este
gue	guarde	VMSP0S0	guardar
la	la	DA0FS0	el
vida	vida	NCFS000	vida
de	de	SPS00	de
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
los	los	DA0MP0	el
años	años	NCMP000	año
qe	que	PR0CN000	que
nezesittamos	necesitamos	VMIP1P0	necesitar
esttos	estos	DD0MP0	este
fieles	fieles	AQ0CP0	fiel
vallo	vasallos	NCMP000	vasallo
puestos	puestos	VMP00PM	poner
a	a	SPS00	a
sus	sus	DP3CP0	su
Pies	pies	NCMP000	pie
rrendidamte	rendidamente	RG	rendidamente
	.	Fp	.
en	En	SPS00	en
la	La	DA0FS0	el
Bañeza	Bañeza	NP00000	bañeza
	,	Fc	,
y	y	CC	y
Julio	julio	NCMS000	julio
2	2	Z	2
