Exmo	Excelentísimo	AQSMS0	excelente
Asenjo	Asenjo	NP00000	asenjo
como	como	CS	como
de	de	SPS00	de
conzienzia	conciencia	NCFS000	conciencia
informara	informará	VMIF3S0	informar
a	a	SPS00	a
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
Justo	justo	AQ0MS0	justo
	,	Fc	,
por	por	SPS00	por
quien	quien	PR0CS000	quien
esperamos	esperamos	VMIP1P0	esperar
los	los	DA0MP0	el
titulos	títulos	NCMP000	título
los	los	DA0MP0	el
qe	que	PR0CN000	que
pedimos	pedimos	VMIP1P0	pedir
salgan	salgan	VMSP3P0	salir
de	de	SPS00	de
los	los	DA0MP0	el
empleos	empleos	NCMP000	empleo
	,	Fc	,
pues	pues	CS	pues
es	es	VSIP3S0	ser
de	de	SPS00	de
Justizia	justicia	NCFS000	justicia
y	y	CC	y
hasi	así	RG	así
lo	lo	PP3CNA00	lo
manda	manda	VMIP3S0	mandar
dios	Dios	NP00000	dios
	,	Fc	,
para	para	SPS00	para
qe	que	CS	que
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
ebite	evite	SPS00	evite
muchos	muchos	DI0MP0	mucho
daños	daños	NCMP000	daño
.	.	Fp	.
Dios	Dios	NP00000	dios
gue	guarde	VMSP0S0	guardar
a	a	SPS00	a
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
	.	Fp	.
28	28	Z	28
de	de	SPS00	de
Jullio	julio	NCMS000	julio
