Mi	Mi	DP1CSS	mi
que	que	CS	que
a	a	SPS00	a
mi	mí	PP1CSO00	mí
	.	Fp	.
Amante	Amante	NP00000	amante
firme	firme	AQ0CS0	firme
y	y	CC	y
costante	constante	AQ0CS0	constante
.	,	Fc	,
Juan	Juan	NP00000	juan
Gutierrez	Gutiérrez	NP00000	gutiérrez
Cano	Cano	NP00000	cano
Hermana	Hermana	NP00000	hermano
Phelipa	Felipa	NP00000	felipa
de	de	SPS00	de
Mora	Mora	NP00000	mora
	.	Fp	.
