Joseph	José	NP00000	josé
consuelo	consuelo	NCMS000	consuelo
a	a	SPS00	a
tus	tus	DP2CPS	tu
trabajos	trabajos	NCMP000	trabajo
ô	o	CC	o
ia	ya	CC	ya
para	para	SPS00	para
q	que	CS	que
te	te	PP2CS000	te
sirviera	sirviera	VMSI0S0	servir
de	de	SPS00	de
algun	algún	DI0MS0	alguno
freno	freno	NCMS000	freno
para	para	SPS00	para
tus	tus	DP2CPS	tu
divaneos	devaneos	NCMP000	devaneo
,	,	Fc	,
que	que	PR0CN000	que
quiera	quiera	VMSP0S0	querer
Dios	Dios	NP00000	dios
los	los	PP3MPA00	lo
aias	hayas	VASP2S0	haber
perdido	perdido	VMP0000	perder
;	.	Fp	.
tu	Tu	DP2CSS	tu
Padre	padre	NCMS000	padre
se	sé	VMIP1S0	saber
q	que	CS	que
esta	está	VMIP3S0	estar
vivo	vivo	AQ0MS0	vivo
y	y	CC	y
no	no	RN	no
tengo	tengo	VMIP1S0	tener
otra	otra	DI0FS0	otro
noticia	noticia	NCFS000	noticia
de	de	SPS00	de
el	él	PP3MS000	él
,	.	Fp	.
me	Me	PP1CS000	me
dices	dices	VMIP2S0	decir
estas	estás	VMIP2S0	estar
en	en	SPS00	en
el	el	DA0MS0	el
quartel	cuartel	NCMS000	cuartel
de	de	SPS00	de
santa	Santa	AQ0FS0	santo
theresa	Teresa	NP00000	teresa
de	de	SPS00	de
cartajena	Cartagena	NP00000	cartagena
y	y	CC	y
q	que	CS	que
si	si	CS	si
tengo	tengo	VMIP1S0	tener
algun	algún	DI0MS0	alguno
empeño	empeño	NCMS000	empeño
para	para	SPS00	para
aliviarte	aliviarte	VMN0000+PP2CS000	aliviar+te
de	de	SPS00	de
el	él	PP3MS000	él
,	.	Fp	.
no	No	RN	no
me	me	PP1CS000	me
dices	dices	VMIP2S0	decir
en	en	SPS00	en
q	qué	DT0CN0	qué
formas	formas	NCFP000	forma
estas	estás	VMIP2S0	estar
en	en	SPS00	en
el	él	PP3MS000	él
,	,	Fc	,
si	si	CSI	si
pr	por	SPS00	por
soldado	soldado	NCMS000	soldado
aquartelado	acuartelado	VMP00SM	acuartelar
ô	o	CC	o
por	por	SPS00	por
presidiario	presidiario	NCMS000	presidiario
,	,	Fc	,
y	y	CC	y
si	si	CSI	si
as	has	VAIP2S0	haber
cumplido	cumplido	VMP0000	cumplir
la	la	DA0FS0	el
penitencia	penitencia	NCFS000	penitencia
q	que	PR0CN000	que
te	te	PP2CS000	te
an	han	VAIP3P0	haber
dado	dado	VMP0000	dar
pr	por	SPS00	por
tu	tu	DP2CSS	tu
mala	mala	AQ0FS0	malo
caveza	cabeza	NCFS000	cabeza
,	,	Fc	,
conq	conque	CS	conque
en	en	SPS00	en
este	este	DD0MS0	este
punto	punto	NCMS000	punto
no	no	RN	no
puedo	puedo	VMIP1S0	poder
responderte	responderte	VMN0000+PP2CS000	responder+te
si	si	CS	si
no	no	RN	no
das	das	VMIP2S0	dar
mas	más	RC	más
razon	razón	NCFS000	razón
	.	Fp	.
tambien	También	RG	también
me	me	PP1CS000	me
dices	dices	VMIP2S0	decir
q	que	CS	que
si	si	CSI	si
ai	hay	VMIP3S0	haber
pr	por	SPS00	por
aca	acá	RG	acá
una	una	DI0FS0	uno
sacristia	sacristía	NCFS000	sacristía
ô	o	CC	o
maestria	maestría	NCFS000	maestría
de	de	SPS00	de
niños	niños	NCMP000	niño
,	,	Fc	,
y	y	CC	y
q	que	CS	que
te	te	PP2CS000	te
haga	haga	VMSP0S0	hacer
un	un	DI0MS0	uno
par	par	NCMS000	par
de	de	SPS00	de
medias	medias	NCFP000	media
,	.	Fp	.
todo	Todo	DI0MS0	todo
esto	esto	PD0NN000	esto
son	son	VSIP3P0	ser
palabras	palabras	NCFP000	palabra
contraditorias	contradictorias	AQ0FP0	contradictorio
	,	Fc	,
pues	pues	CS	pues
si	si	CS	si
me	me	PP1CS000	me
dices	dices	VMIP2S0	decir
busq	busque	VMSP0S0	buscar
enpeños	empeños	NCMP000	empeño
para	para	SPS00	para
alibiarte	aliviarte	VMN0000+PP2CS000	aliviar+te
,	,	Fc	,
mal	mal	RG	mal
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
executar	ejecutar	VMN0000	ejecutar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
pides	pides	VMIP2S0	pedir
,	.	Fp	.
y	Y	CC	y
tambien	también	RG	también
me	me	PP1CS000	me
dices	dices	VMIP2S0	decir
q	que	CS	que
dentro	dentro	RG	dentro
de	de	SPS00	de
la	la	DA0FS0	el
carta	carta	NCFS000	carta
te	te	PP2CS000	te
embie	envíe	VMSP0S0	enviar
3	3	Z	3
ô	o	CC	o
4	4	Z	4
pesillos	pesillos	NCMP000	pesillo
de	de	SPS00	de
seda	seda	NCFS000	seda
azul	azul	AQ0CS0	azul
,	.	Fp	.
estraño	Extraño	VMIP1S0	extrañar
mui	muy	RQ	muy
mucho	mucho	RQ	mucho
esto	esto	PD0NN000	esto
,	,	Fc	,
pues	pues	CS	pues
pr	por	SPS00	por
alla	allá	RG	allá
no	no	RN	no
ai	hay	VMIP3S0	haber
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
de	de	SPS00	de
sobra	sobra	NCFS000	sobra
,	,	Fc	,
y	y	CC	y
io	yo	PP1CSN00	yo
no	no	RN	no
puedo	puedo	VMIP1S0	poder
mantenerme	mantenerme	VMN0000+PP1CS000	mantener+me
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
q	que	CS	que
sea	sea	VSSP0S0	ser
las	las	DA0FP0	el
vuenas	buenas	AQ0FP0	bueno
almas	almas	NCFP000	alma
q	que	PR0CN000	que
me	me	PP1CS000	me
faborecen	favorecen	VMIP3P0	favorecer
,	.	Fp	.
no	No	RN	no
se	sé	VMIP1S0	saber
como	cómo	PA000000	cómo
entiendo	entiendo	VMIP1S0	entender
esto	esto	PD0NN000	esto
,	:	Fd	:
ô	o	CC	o
ia	ya	RG	ya
porq	porque	CS	porque
conozcas	conozcas	VMSP2S0	conocer
q	que	CS	que
te	te	PP2CS000	te
escribo	escribo	VMIP1S0	escribir
,	,	Fc	,
ô	o	CC	o
pr	por	SPS00	por
hazer	hacer	VMN0000	hacer
tu	tú	PP2CSN00	tú
algun	algún	DI0MS0	alguno
enrredo	enredo	NCMS000	enredo
,	,	Fc	,
lo	lo	DA0NS0	el
q	que	PR0CN000	que
Dios	Dios	NP00000	dios
no	no	RN	no
quiera	quiera	VMSP0S0	querer
y	y	CC	y
se	se	P00CN000	se
compadezca	compadezca	VMSP0S0	compadecer
de	de	SPS00	de
ti	ti	PP2CSO00	ti
,	.	Fp	.
io	Yo	PP1CSN00	yo
	,	Fc	,
si	si	CS	si
estas	estás	VMIP2S0	estar
arrepentido	arrepentido	VMP00SM	arrepentir
	,	Fc	,
sere	seré	VSIF1S0	ser
gustosa	gustosa	AQ0FS0	gustoso
el	el	DA0MS0	el
q	que	CS	que
te	te	PP2CS000	te
vengas	vengas	VMSP2S0	venir
con	con	SPS00	con
la	la	DA0FS0	el
lizencia	licencia	NCFS000	licencia
q	que	PR0CN000	que
sea	sea	VSSP0S0	ser
necesaria	necesaria	AQ0FS0	necesario
	,	Fc	,
pues	pues	CS	pues
conmigo	conmigo	SPS00+PP1CSO00	con+mí
no	no	RN	no
quieras	quieras	VMSP2S0	querer
disculparte	disculparte	VMN0000+PP2CS000	disculpar+te
en	en	SPS00	en
el	el	DA0MS0	el
tribunal	Tribunal	NP00000	tribunal
divino	Divino	AQ0MS0	divino
	,	Fc	,
pues	pues	CS	pues
bien	bien	RG	bien
saves	sabes	VMIP2S0	saber
io	yo	PP1CSN00	yo
no	no	RN	no
tengo	tengo	VMIP1S0	tener
culpa	culpa	NCFS000	culpa
de	de	SPS00	de
tus	tus	DP2CPS	tu
ierros	yerros	NCMP000	yerro
,	.	Fp	.
escribe	Escribe	VMM02S0	escribir
con	con	SPS00	con
indibidualidad	individualidad	NCFS000	individualidad
de	de	SPS00	de
como	cómo	PA000000	cómo
estas	estás	VMIP2S0	estar
y	y	CC	y
si	si	CSI	si
puedes	puedes	VMIP2S0	poder
venirte	venirte	VMN0000+PP2CS000	venir+te
sin	sin	SPS00	sin
recelo	recelo	NCMS000	recelo
alguno	alguno	DI0MS0	alguno
,	,	Fc	,
pues	pues	CS	pues
de	de	SPS00	de
lo	lo	DA0NS0	el
contrario	contrario	AQ0CS0	contrario
bien	bien	RG	bien
puedes	puedes	VMIP2S0	poder
conocer	conocer	VMN0000	conocer
q	que	CS	que
io	yo	PP1CSN00	yo
no	no	RN	no
puedo	puedo	VMIP1S0	poder
nada	nada	PI0NN00N	nada
para	para	SPS00	para
buscar	buscar	VMN0000	buscar
enpeño	empeño	NCMS000	empeño
alguno	alguno	DI0MS0	alguno
,	.	Fp	.
no	No	RN	no
tengo	tengo	VMIP1S0	tener
aora	ahora	RG	ahora
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
q	que	PR0CN000	que
decirte	decirte	VMN0000+PP2CS000	decir+te
	.	Fp	.
	¡	Faa	¡
q	Que	CS	que
no	no	RN	no
te	te	PP2CS000	te
recuerdes	recuerdes	VMSP2S0	recordar
de	de	SPS00	de
la	la	DA0FS0	el
nina	niña	NCFS000	niño
q	que	PR0CN000	que
tu	tú	PP2CSN00	tú
bete	vete	VMIS2S0+PP2CS000	ver+te
de	de	SPS00	de
tu	tu	DP2CSS	tu
manzeba	manceba	NCFS000	mancebo
,	!	Fat	!
q	Que	CS	que
Dios	Dios	NP00000	dios
es	es	VSIP3S0	ser
Padre	padre	NCMS000	padre
de	de	SPS00	de
todos	todos	PI0MP000	todo
y	y	CC	y
la	la	PP3FSA00	lo
faborecera	favorecerá	VMIF3S0	favorecer
,	,	Fc	,
pues	pues	CS	pues
tu	tú	PP2CSN00	tú
no	no	RN	no
puedes	puedes	VMIP2S0	poder
estando	estando	VMG0000	estar
con	con	SPS00	con
la	la	DA0FS0	el
obligazn	obligación	NCFS000	obligación
q	que	PR0CN000	que
tienes	tienes	VMIP2S0	tener
	.	Fp	.
a	A	SPS00	a
Dios	Dios	NP00000	dios
q	que	CS	que
te	te	PP2CS000	te
Ge	guarde	VMSP0S0	guardar
m	muchos	DI0MP0	mucho
a	años	NCMP000	año
en	en	SPS00	en
su	su	DP3CS0	su
santo	santo	AQ0MS0	santo
servicio	servicio	NCMS000	servicio
	.	Fp	.
de	De	SPS00	de
esta	ésta	PD0FS000	este
de	de	SPS00	de
Aguilar	Aguilar	NP00000	aguilar
de	de	SPS00	de
campos	Campos	NP00000	campos
	,	Fc	,
y	y	CC	y
dice	diciembre	NCMS000	diciembre
27	27	Z	27
de	de	SPS00	de
1757	1757	Z	1757
	.	Fp	.
tu	Tu	DP2CSS	tu
esposa	esposa	NCFS000	esposo
q	que	PR0CN000	que
desea	desea	VMIP3S0	desear
arrepentido	arrepentido	VMP00SM	arrepentir
verte	verte	VMN0000+PP2CS000	ver+te
	,	Fc	,
Manuela	Manuela	NP00000	manuela
de	de	SPS00	de
mansilla	Mansilla	NP00000	mansilla
esposo	Esposo	NCMS000	esposo
Joseph	José	NP00000	josé
saez	Sáez	NP00000	sáez
cantos	Cantos	NP00000	cantos
	.	Fp	.
quando	Cuando	PA000000	cuando
respondas	respondas	VMSP2S0	responder
lo	lo	PP3CNA00	lo
haras	harás	VMIF2S0	hacer
a	a	SPS00	a
el	el	DA0MS0	el
sr	señor	NP00000	señor
cura	cura	NCMS000	cura
de	de	SPS00	de
villamuriel	Villamuriel	NP00000	villamuriel
	,	Fc	,
q	que	CS	que
ai	ahí	RG	ahí
va	va	VMIP3S0	ir
su	su	DP3CS0	su
nre	nombre	NCMS000	nombre
si	si	CS	si
es	es	VSIP3S0	ser
q	que	CS	que
no	no	RN	no
te	te	PP2CS000	te
responde	responde	VMIP3S0	responder
,	,	Fc	,
y	y	CC	y
no	no	RN	no
a	a	SPS00	a
la	la	DA0FS0	el
justicia	justicia	NCFS000	justicia
de	de	SPS00	de
esta	esta	DD0FS0	este
va	villa	NCFS000	villa
	,	Fc	,
q	que	CS	que
no	no	RN	no
es	es	VSIP3S0	ser
razon	razón	NCFS000	razón
cansarla	cansarla	VMN0000+PP3FSA00	cansar+lo
	,	Fc	,
pues	pues	CS	pues
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
no	no	RN	no
se	se	P00CN000	se
pierden	pierden	VMIP3P0	perder
.	.	Fp	.
