Agto	Agosto	NCMS000	agosto
ya	ya	RG	ya
la	la	PP3FSA00	lo
e	he	VAIP1S0	haber
scrito	escrito	VMP0000	escribir
dos	dos	Z	2
bezes	veces	NCFP000	vez
	(	Fba	(
y	y	CC	y
con	con	SPS00	con
esta	ésta	PD0FS000	este
q	que	CS	que
escribo	escribo	VMIP1S0	escribir
oy	hoy	RG	hoy
tres	tres	AQ0CP0	tres
	)	Fbt	)
y	y	CC	y
me	me	PP1CS000	me
tiene	tiene	VMIP3S0	tener
con	con	SPS00	con
grandisima	grandísima	AQSFS0	grande
pesadumbre	pesadumbre	NCFS000	pesadumbre
no	no	RN	no
saber	saber	VMN0000	saber
q	qué	PT0CN000	qué
es	es	VSIP3S0	ser
la	la	DA0FS0	el
causa	causa	NCFS000	causa
	.	Fp	.
quiera	Quiera	VMSP0S0	querer
Dios	Dios	NP00000	dios
no	no	RN	no
sea	sea	VSSP0S0	ser
falta	falta	NCFS000	falta
de	de	SPS00	de
salud	salud	NCFS000	salud
de	de	SPS00	de
una	una	DI0FS0	uno
cassa	casa	NCFS000	casa
ni	ni	CC	ni
de	de	SPS00	de
otra	otra	PI0FS000	otro
	,	Fc	,
q	que	CS	que
ese	ése	PD0MS000	ese
es	es	VSIP3S0	ser
el	el	DA0MS0	el
mayor	mayor	AQ0CS0	mayor
cuidado	cuidado	NCMS000	cuidado
	.	Fp	.
y	Y	CC	y
encargo	encargo	NCMS000	encargo
a	a	SPS00	a
Vm	VM	NP00000	VM
q	que	CS	que
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
Dios	Dios	NP00000	dios
me	me	PP1CS000	me
escriva	escriba	VMSP0S0	escribir
para	para	SPS00	para
lo	lo	DA0NS0	el
q	que	PR0CN000	que
usted	usted	PP2CS000	usted
nos	nos	PP1CP000	nos
quisiere	quisiere	VMSF0S0	querer
mandar	mandar	VMN0000	mandar
	,	Fc	,
q	que	CS	que
le	le	PP3CSD00	le
obedezeremos	obedeceremos	VMIF1P0	obedecer
con	con	SPS00	con
la	la	DA0FS0	el
boluntad	voluntad	NCFS000	voluntad
q	que	CS	que
Vm	VM	NP00000	VM
sabe	sabe	VMIP3S0	saber
.	.	Fp	.
thio	Tío	NP00000	tío
mio	mío	DP1MSS	mío
	,	Fc	,
con	con	SPS00	con
la	la	DA0FS0	el
ocasion	ocasión	NCFS000	ocasión
de	de	SPS00	de
hallarnos	hallarnos	VMN0000+PP1CP000	hallar+nos
muy	muy	RQ	muy
apurados	apurados	NP00000	apurados
de	de	SPS00	de
dinero	dinero	NCMS000	dinero
ni	ni	CC	ni
tener	tener	VMN0000	tener
donde	dónde	PA000000	dónde
cobrar	cobrar	VMN0000	cobrar
por	por	SPS00	por
aber	haber	VAN0000	haber
puestole	puéstole	VMP0000+PP3CSD00	poner+le
a	a	SPS00	a
Dn	don	NP00000	don
Balthasar	Baltasar	NP00000	baltasar
un	un	DI0MS0	uno
pleitto	pleito	NCMS000	pleito
las	las	DA0FP0	el
monjas	monjas	NCFP000	monja
de	de	SPS00	de
la	la	DA0FS0	el
conzepzion	Concepción	NCFS000	concepción
y	y	CC	y
aberle	haberle	VAN0000+PP3CSD00	haber+le
enbargado	embargado	VMP0000	embargar
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
renttas	rentas	NCFP000	renta
donde	donde	PA000000	donde
abia	había	VMII0S0	haber
de	de	SPS00	de
cobrar	cobrar	VMN0000	cobrar
	(	Fba	(
y	y	CC	y
asta	hasta	SPS00	hasta
que	que	CS	que
se	se	P00CN000	se
concluya	concluya	VMSP0S0	concluir
no	no	RN	no
poder	poder	VMN0000	poder
cobrar	cobrar	VMN0000	cobrar
nada	nada	PI0NN00N	nada
	)	Fbt	)
	,	Fc	,
cansamos	cansamos	VMIP1P0	cansar
a	a	SPS00	a
Vm	VM	NP00000	VM
pidiendole	pidiéndole	VMG0000+PP3CSD00	pedir+le
que	que	CS	que
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
Dios	Dios	NP00000	dios
nos	nos	PP1CP000	nos
aga	haga	VMSP0S0	hacer
gusto	gusto	NCMS000	gusto
de	de	SPS00	de
darnos	darnos	VMN0000+PP1CP000	dar+nos
quatro	cuatro	Z	4
o	o	CC	o
cinco	cinco	Z	5
mill	mil	Z	1000
Rs	reales	NCMP000	real
sobre	sobre	SPS00	sobre
las	las	DA0FP0	el
goyas	joyas	NCFP000	joya
mias	mías	PX1FP0S0	mío
	,	Fc	,
que	que	CS	que
mas	más	RC	más
que	que	CS	que
esa	esa	DD0FS0	ese
cantidad	cantidad	NCFS000	cantidad
bale	vale	VMIP3S0	valer
	,	Fc	,
asta	hasta	SPS00	hasta
que	que	CS	que
cobremos	cobremos	VMSP1P0	cobrar
y	y	CC	y
se	se	PP3CN000	se
los	los	DA0MP0	el
bolberemos	volveremos	VMSP1P0	volver
a	a	SPS00	a
Vm	VM	NP00000	VM
	.	Fp	.
porque	Porque	CS	porque
de	de	SPS00	de
cathaluña	Cataluña	NP00000	cataluña
escribe	escribe	VMIP3S0	escribir
Dn	don	NP00000	don
Geronimo	Gerónimo	NP00000	gerónimo
q	que	CS	que
a	ha	VMIP3S0	haber
menester	menester	NCMS000	menester
al	al	SPS00+DA0MS0	a+el
pie	pie	NCMS000	pie
de	de	SPS00	de
quatro	cuatro	Z	4
mill	mil	Z	1000
Rs	reales	NCMP000	real
	,	Fc	,
porque	porque	CS	porque
llega	llega	VMIP3S0	llegar
ya	ya	RG	ya
el	el	DA0MS0	el
tienpo	tiempo	NCMS000	tiempo
de	de	SPS00	de
las	las	DA0FP0	el
sentenzias	sentencias	NCFP000	sentencia
y	y	CC	y
Dn	don	NP00000	don
Balthasar	Baltasar	NP00000	baltasar
no	no	RN	no
sabe	sabe	VMIP3S0	saber
que	qué	PT0CN000	qué
azer	hacer	VMN0000	hacer
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
aca	acá	RG	acá
no	no	RN	no
a	ha	VAIP3S0	haber
topado	topado	VMP0000	topar
quien	quien	PR0CS000	quien
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
dinero	dinero	NCMS000	dinero
sobre	sobre	SPS00	sobre
alaxas	alhajas	NCFP000	alhaja
ninguna	ninguna	DI0FS0	ninguno
porq	porque	CS	porque
aqui	aquí	RG	aquí
tiene	tiene	VMIP3S0	tener
poco	poco	DI0MS0	poco
conocimto	conocimiento	NCMS000	conocimiento
mio	mío	DP1MSS	mío
	.	Fp	.
a	Ha	VMIP3S0	haber
poco	poco	RQ	poco
q	que	CS	que
benimos	venimos	VMIP1P0	venir
	.	Fp	.
y	Y	CC	y
si	si	CS	si
Vm	VM	NP00000	VM
supiese	supiese	VMSI0S0	saber
de	de	SPS00	de
alguna	alguna	DI0FS0	alguno
persona	persona	NCFS000	persona
de	de	SPS00	de
satisfazion	satisfacción	NCFS000	satisfacción
que	que	CS	que
de	dé	VMSP0S0	dar
esta	esta	DD0FS0	este
cantidad	cantidad	NCFS000	cantidad
o	o	CC	o
mas	más	RC	más
sobre	sobre	SPS00	sobre
dhas	dichas	VMP00PF	decir
alaxas	alhajas	NCFP000	alhaja
	,	Fc	,
nos	nos	PP1CP000	nos
lo	lo	PP3CNA00	lo
escribira	escribirá	VMIF3S0	escribir
con	con	SPS00	con
la	la	DA0FS0	el
mayor	mayor	AQ0CS0	mayor
brebedad	brevedad	NCFS000	brevedad
que	que	CS	que
pueda	pueda	VMSP0S0	poder
	,	Fc	,
porq	porque	CS	porque
lo	lo	PP3CNA00	lo
de	de	SPS00	de
cataluña	Cataluña	NP00000	cataluña
no	no	RN	no
da	da	VMIP3S0	dar
dilazion	dilación	NCFS000	dilación
	.	Fp	.
que	Que	CS	que
la	la	DA0FS0	el
poca	poca	DI0FS0	poco
fortuna	fortuna	NCFS000	fortuna
de	de	SPS00	de
no	no	RN	no
aber	haber	VAN0000	haber
bendido	vendido	VMP0000	vender
la	la	DA0FS0	el
paja	paja	NCFS000	paja
	(	Fba	(
que	que	CS	que
ynporta	importa	VMIP3S0	importar
mucho	mucho	DI0MS0	mucho
dinero	dinero	NCMS000	dinero
	)	Fbt	)
y	y	CC	y
el	el	DA0MS0	el
tenerlo	tenerlo	VMN0000+PP3CNA00	tener+lo
ajustado	ajustado	VMP0000	ajustar
Dn	don	NP00000	don
Baltasar	Baltasar	NP00000	baltasar
a	a	SPS00	a
diez	diez	Z	10
qs	cuartos	NCMP000	cuarto
la	la	DA0FS0	el
aroba	arroba	NCFS000	arroba
a	a	SPS00	a
un	un	DI0MS0	uno
mesonero	mesonero	AQ0MS0	mesonero
y	y	CC	y
aber	haber	VAN0000	haber
dado	dado	VMP0000	dar
tan	tan	RC	tan
malas	malas	AQ0FP0	malo
notizias	noticias	NCFP000	noticia
de	de	SPS00	de
su	su	DP3CS0	su
paga	paga	NCFS000	paga
Y	y	CC	y
no	no	RN	no
aber	haber	VAN0000	haber
topado	topado	VMP0000	topar
otra	otra	DI0FS0	otro
persona	persona	NCFS000	persona
q	que	CS	que
lo	lo	PP3CNA00	lo
tome	tome	VMSP0S0	tomar
ni	ni	CC	ni
poder	poder	VMN0000	poder
bender	vender	VMN0000	vender
el	el	DA0MS0	el
trigo	trigo	NCMS000	trigo
que	que	PR0CN000	que
se	se	P00CN000	se
a	ha	VAIP3S0	haber
corido	corrido	VMP0000	correr
	(	Fba	(
que	que	CS	que
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
poco	poco	RQ	poco
y	y	CC	y
de	de	SPS00	de
tan	tan	RC	tan
mala	mala	AQ0FS0	malo
calidad	calidad	NCFS000	calidad
que	que	CS	que
no	no	RN	no
ay	hay	VMIP3S0	haber
quien	quien	PR0CS000	quien
lo	lo	PP3CNA00	lo
quiera	quiera	VMSP0S0	querer
	)	Fbt	)
	,	Fc	,
nos	nos	PP1CP000	nos
obliga	obliga	VMIP3S0	obligar
a	a	SPS00	a
a	a	SPS00	a
8	8	Z	8
m	m	NCFS000	m
	.	Fp	.
y	Y	CC	y
Dn	don	NP00000	don
Baltasar	Baltasar	NP00000	baltasar
no	no	RN	no
escribe	escribe	VMIP3S0	escribir
al	al	SPS00+DA0MS0	a+el
porque	porque	CS	porque
bien	bien	RG	bien
sabe	sabe	VMIP3S0	saber
su	su	DP3CS0	su
natural	natural	NCMS000	natural
	,	Fc	,
que	que	CS	que
se	se	P00CN000	se
dexa	deja	VMIP3S0	dejar
antes	antes	RG	antes
morir	morir	VMN0000	morir
que	que	CS	que
pedir	pedir	VMN0000	pedir
nada	nada	PI0NN00N	nada
a	a	SPS00	a
nadie	nadie	PI0NN00N	nadie
	.	Fp	.
que	Que	CS	que
aseguro	aseguro	VMIP1S0	asegurar
a	a	SPS00	a
Vm	VM	NP00000	VM
que	que	CS	que
yo	yo	PP1CSN00	yo
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
tan	tan	RC	tan
aburrida	aburrida	VMP00SF	aburrir
de	de	SPS00	de
nuestra	nuestra	DP1FSP	nuestro
poca	poca	DI0FS0	poco
fortuna	fortuna	NCFS000	fortuna
q	que	CS	que
y	y	CC	y
ber	ver	VMN0000	ver
siete	siete	Z	7
criaturas	criaturas	NCMS000	cri
careziendo	careciendo	VMG0000	carecer
de	de	SPS00	de
muchas	muchas	DI0FP0	mucho
cosas	cosas	NCFP000	cosa
y	y	CC	y
no	no	RN	no
poderlo	poderlo	VMN0000+PP3CNA00	poder+lo
remediar	remediar	VMN0000	remediar
le	le	PP3CSD00	le
diera	diera	VMSI0S0	dar
a	a	SPS00	a
qualquiera	cualquiera	DI0CS0	cualquiera
lastima	lástima	NCFS000	lástima
	.	Fp	.
agase	Hágase	VMSP0S0+P00CN000	hacer+se
la	la	DA0FS0	el
boluntad	voluntad	NCFS000	voluntad
del	del	SPS00+DA0MS0	de+el
Sr	Señor	NP00000	señor
	,	Fc	,
pues	pues	CS	pues
asi	así	RG	así
lo	lo	PP3CNA00	lo
quiere	quiere	VMIP3S0	querer
	.	Fp	.
no	No	RN	no
canso	canso	VMIP1S0	cansar
mas	más	RC	más
a	a	SPS00	a
Vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
mi	mi	DP1CSS	mi
tia	tía	NCFS000	tía
le	le	PP3CSD00	le
dara	dará	VMIF3S0	dar
Vm	VM	NP00000	VM
mui	muy	RQ	muy
cariñosas	cariñosas	AQ0FP0	cariñoso
memorias	memorias	NCFP000	memoria
y	y	CC	y
me	me	PP1CS000	me
dira	dirá	VMIF3S0	decir
Vm	VM	NP00000	VM
si	si	CS	si
a	ha	VAIP3S0	haber
venido	venido	VMP0000	venir
de	de	SPS00	de
los	los	DA0MP0	el
banos	baños	NCMP000	baño
	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
aya	haya	VASP0S0	haber
benido	venido	VMP0000	venir
libre	libre	VMSP0S0	librar
de	de	SPS00	de
su	su	DP3CS0	su
racha	racha	NCFS000	racha
	.	Fp	.
y	Y	CC	y
de	de	SPS00	de
Dn	don	NP00000	don
Baltasar	Baltasar	NP00000	baltasar
rezibira	recibirá	VMIF3S0	recibir
Vm	VM	NP00000	VM
muy	muy	RQ	muy
cariñosas	cariñosas	AQ0FP0	cariñoso
memorias	memorias	NCFP000	memoria
y	y	CC	y
se	se	PP3CN000	se
las	las	PP3FPA00	lo
dara	dará	VMIF3S0	dar
a	a	SPS00	a
mi	mi	DP1CSS	mi
tia	tía	NCFS000	tía
de	de	SPS00	de
su	su	DP3CS0	su
pte	parte	NCFS000	parte
	;	Fx	;
y	y	CC	y
a	a	SPS00	a
polonia	Polonia	NP00000	polonia
de	de	SPS00	de
pte	parte	NCFS000	parte
de	de	SPS00	de
ambos	ambos	PI0MP000	ambos
y	y	CC	y
que	que	CS	que
no	no	RN	no
dexe	deje	VMSP0S0	dejar
de	de	SPS00	de
escribirme	escribirme	VMN0000+PP1CS000	escribir+me
	.	Fp	.
Ds	Dios	NP00000	dios
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vm	VM	NP00000	VM
los	los	DA0MP0	el
dilatados	dilatados	VMP00PM	dilatar
a	años	NCMP000	año
como	como	CS	como
deseo	deseo	VMIP1S0	desear
y	y	CC	y
e	he	VMIP1S0	haber
menester	menester	NCMS000	menester
	.	Fp	.
Madrid	Madrid	NP00000	madrid
	,	Fc	,
y	y	CC	y
agosto	agosto	NCMS000	agosto
de	de	SPS00	de
1702	1702	Z	1702
	.	Fp	.
Sobrina	Sobrina	NCFS000	sobrino
de	de	SPS00	de
Vm	VM	NP00000	VM
que	que	PR0CN000	que
m	muchos	DI0MP0	mucho
a	años	NCMP000	año
que	que	PR0CN000	que
mas	más	RC	más
quiere	quiere	VMIP3S0	querer
y	y	CC	y
dese	desea	VMIP3S0	desear
ber	ver	VMN0000	ver
	,	Fc	,
Doña	doña	NP00000	don
Catalina	Catalina	NP00000	catalina
A	A	SPS00	a
Dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
Sor	Señor	NP00000	señor
y	y	CC	y
anglo	Angulo	NP00000	angulo
	,	Fc	,
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
y	y	CC	y
sor	señor	NP00000	señor
	.	Fp	.
