Jhus	Jesus	NP00000	jesus
lhe	lhe	PP3CSD00	lhe
faca	faça	VMSP0S0	fazer
muiya	muita	DI0FS0	muito
omra	honra	NCFS000	honra
e	e	CC	e
a	a	PP3FSA00	o
favorecer	favorecer	VMN0000	favorecer
	.	Fp	.
e	E	CC	e
	,	Fc	,
como	como	CS	como
diguo	digo	VMIP1S0	dizer
	,	Fc	,
nã	não	RN	não
tem	tem	VMIP3S0	ter
necydade	necessidade	NCFS000	necessidade
de	de	SPS00	de
nada	nada	PI0NN00N	nada
	,	Fc	,
q	que	CS	que
esta	está	VMIP3S0	estar
a	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
vomtade	vontade	NCFS000	vontade
	,	Fc	,
senã	senão	CC	senão
q	que	CS	que
nã	não	RN	não
tem	tem	VMIP3S0	ter
paciemcia	paciência	NCFS000	paciência
ao	ao	SPS00+DA0MS0	a+o
voso	vosso	DP2MSP	vosso
desamor	desamor	NCMS000	desamor
temdovolo	tendo-vo-lo	VMG0000+PP2CP000+PP3MSA00	ter+vos+o
ela	ela	PP3FS000	ele
tam	tão	RC	tão
firme	firme	AQ0CS0	firme
e	e	CC	e
moremdo	morrendo	VMG0000	morrer
por	por	SPS00	por
as	as	DA0FP0	o
vosas	vossas	DP2FPP	vosso
couzas	coisas	NCFP000	coisa
	.	Fp	.
e	E	CC	e
por	por	SPS00	por
serto	certo	NCMS000	certo
q	que	CS	que
	,	Fc	,
semdo	sendo	VSG0000	ser
ela	ela	PP3FS000	ele
a	a	SPS00	a
q	que	CS	que
nã	não	RN	não
dyvera	devera	VMIM0S0	dever
	,	Fc	,
nã	não	RN	não
fora	fora	RG	fora
tam	tão	RC	tão
favorecida	favorecida	AQ0FS0	favorecido
de	de	SPS00	de
todos	todos	PI0MP000	todo
e	e	CC	e
de	de	SPS00	de
voso	vosso	DP2MSP	vosso
paĩ	pai	NCMS000	pai
e	e	CC	e
irmãos	irmãos	NCMP000	irmão
q	que	PR0CN000	que
nã	não	RN	não
lhe	lhe	PP3CSD00	lhe
saem	saem	VMIP3P0	sair
de	de	SPS00	de
casa	casa	NCFS000	casa
	,	Fc	,
damdovos	dando-vos	VMG0000+PP2CP000	dar+vos
tamtas	tantas	DI0FP0	tanto
culpas	culpas	NCFP000	culpa
como	como	PA000000	como
vos	vós	PP2CP000	vós
tendes	tendes	VMIP2P0	ter
	,	Fc	,
e	e	CC	e
a	a	PP3FSA00	o
tem	tem	DA0MS0	o
mais	mais	RC	mais
por	por	SPS00	por
fa	filha	NCFS000	filho
q	que	CS	que
a	a	SPS00	a
vos	vós	PP2CP000	vós
por	por	SPS00	por
fo	filho	NCMS000	filho
por	por	SPS00	por
conhecerem	conhecerem	VMN03P0	conhecer
dela	dela	SPS00+PP3FS000	de+ele
tamtas	tantas	DI0FP0	tanto
bomdades	bondades	NCFP000	bondade
e	e	CC	e
vertudes	virtudes	NCFP000	virtude
como	como	PA000000	como
ela	ela	PP3FS000	ele
tem	tem	VMIP3S0	ter
	.	Fp	.
e	E	CC	e
	,	Fc	,
se	se	CS	se
vos	vos	PP2CP000	vos
parecer	parecer	VMN0000	parecer
esta	esta	DD0FS0	este
carta	carta	NCFS000	carta
	,	Fc	,
maes	mais	CC	mais
pior	pior	RC	pior
me	me	PP1CS000	me
pareçe	parece	VMIP3S0	parecer
a	a	SPS00	a
mĩ	mim	PP1CSO00	mim
ho	o	DA0MS0	o
q	que	PR0CN000	que
vos	vós	PP2CP000	vós
temdes	tendes	VMIP2P0	ter
feito	feito	VMP0000	fazer
	.	Fp	.
praza	Praza	VMSP0S0	prazer
a	a	SPS00	a
ds	Deus	NP00000	deus
q	que	CS	que
vos	vos	PP2CP000	vos
torne	torne	VMSP0S0	tornar
a	a	SPS00	a
Vdadeyro	verdadeiro	AQ0MS0	verdadeiro
e	e	CC	e
aRypymdimto	arrependimento	NCMS000	arrependimento
pa	para	SPS00	para
q	que	CS	que
	,	Fc	,
por	por	SPS00	por
este	este	DD0MS0	este
pecado	pecado	NCMS000	pecado
q	que	PR0CN000	que
cõ	com	SPS00	com
ela	ela	PP3FS000	ele
temdes	tendes	VAIP2P0	ter
feyto	feito	VMP0000	fazer
	,	Fc	,
tomeis	tomeis	VMSP2P0	tomar
por	por	SPS00	por
vos	vós	PP2CP000	vós
mesmo	mesmo	RG	mesmo
a	a	DA0FS0	o
penytemcia	penitência	NCFS000	penitência
e	e	CC	e
cõ	com	SPS00	com
lhe	lhe	PP3CSD00	lhe
pedir	pedir	VMN0000	pedir
muitas	muitas	DI0FP0	muito
vezes	vezes	NCFP000	vez
perdam	perdão	NCMS000	perdão
	.	Fp	.
eu	Eu	PP1CSN00	eu
e	e	CC	e
milha	minha	DP1FSS	meu
molher	mulher	NCFS000	mulher
nos	nos	PP1CP000	nos
ẽconẽdamos	encomendamos	VMIP1P0	encomendar
ẽ	em	SPS00	em
Vm	VM	NP00000	VM
	.	Fp	.
voso	Vosso	DP2MSP	vosso
