snora	Senhora	NP00000	senhor
pagarã	pagarão	VMIF3P0	pagar
	.	Fp	.
quera	Queira	VMSP0S0	querer
noso	Nosso	DP1MSP	nosso
snor	Senhor	NP00000	senhor
acabarvos	acabar-vos	NP00000	senhor
vosos	vossos	DP2MPP	vosso
trabalos	trabalhos	NCMP000	trabalho
ẽ	em	SPS00	em
tanto	tanto	DI0MS0	tanto
gasto	gasto	NCMS000	gasto
e	e	CC	e
cõsolacam	consolação	NCFS000	consolação
como	como	CS	como
eu	eu	PP1CSN00	eu
desejo	desejo	VMIP1S0	desejar
	,	Fc	,
q	que	CS	que
creo	creio	VMIP1S0	crer
q	que	CS	que
bem	bem	RG	bem
crereis	crereis	DA0MS0	crereis
quanto	quanto	PR0CN000	quanto
eu	eu	PP1CSN00	eu
iso	isso	PD0NN000	isso
desejo	desejo	VMIP1S0	desejar
	.	Fp	.
novas	Novas	NP00000	nova
de	de	SPS00	de
ca	cá	RG	cá
san	são	AQ0MS0	são
esperã	esperam	VMIP3P0	esperar
q	que	CS	que
nos	nos	PP2CP000	nos
mandeis	mandeis	VMSP2P0	mandar
largas	largas	AQ0FP0	largo
novas	novas	NCFP000	nova
	,	Fc	,
asi	assim	RG	assim
de	de	SPS00	de
vos	vós	PP2CP000	vós
como	como	CS	como
de	de	SPS00	de
voso	vosso	DP2MSP	vosso
snor	senhor	NCMS000	senhor
	.	Fp	.
costanca	Constança	NP00000	Constança
gil	Gil	NP00000	gil
esta	está	VMIP3S0	estar
doẽte	doente	AQ0CS0	doente
	,	Fc	,
sangrada	sangrada	VMP00SF	sangrar
duas	duas	Z	duas
vezes	vezes	NCFP000	vez
	.	Fp	.
andre	André	NP00000	andré
esta	está	VMIP3S0	estar
bẽ	bem	RG	bem
	,	Fc	,
esperado	esperando	VMG0000	esperar
q	que	CS	que
ds	Deus	NP00000	deus
traga	traga	VMSP0S0	trazer
seu	seu	DP3MS0	seu
snor	senhor	NCMS000	senhor
e	e	CC	e
pai	pai	NCMS000	pai
e	e	CC	e
a	a	SPS00	a
vos	vós	PP2CP000	vós
cõ	com	SPS00	com
ele	ele	PP3MS000	ele
	.	Fp	.
ds	Deus	NP00000	deus
ho	o	PP3MSA00	o
fara	fará	VMIF3S0	fazer
	.	Fp	.
esta	Está	VMIP3S0	estar
aqui	aqui	RG	aqui
hũ	um	DI0MS0	um
ẽquisidor	inquisidor	NCMS000	inquisidor
d	de	SPS00	de
evoa	Évora	NP00000	évora
	.	Fp	.
dizẽ	Dizem	VMIP3P0	dizer
q	que	CS	que
nen	nem	CC	nem
sobre	sobre	SPS00	sobre
voso	vosso	DP2MSP	vosso
snor	senhor	NCMS000	senhor
não	não	RN	não
sabemos	sabemos	VMIP1P0	saber
a	a	SPS00	a
quẽ	quem	PR0CN000	quem
quererã	quererão	VMIF3P0	querer
	,	Fc	,
ds	Deus	NP00000	deus
q	que	PR0CN000	que
sarã	serão	VSIF3P0	ser
por	por	SPS00	por
seu	seu	DP3MS0	seu
bẽ	bem	NCMS000	bem
	.	Fp	.
outra	Outra	NP00000	outra
veze	vez	NCFS000	vez
vos	vos	PP2CP000	vos
peço	peço	VMIP1S0	pedir
q	que	CS	que
vos	vos	PP2CP000	vos
cõsoleis	consoleis	NCFP000	consolei
e	e	CC	e
anemeis	animeis	NCMP000	animei
esperãdo	esperando	VMG0000	esperar
ẽ	em	SPS00	em
ds	Deus	NP00000	deus
q	que	CS	que
vos	vos	PP2CP000	vos
fara	fará	VMIF3S0	fazer
merce	mercê	NCFS000	mercê
q	que	CS	que
todos	todos	PI0MP000	todo
lhe	lhe	PP3CSD00	lhe
pidimos	pedimos	VMIP1P0	pedir
q	que	CS	que
he	é	VSIP3S0	ser
bdade	verdade	NCFS000	verdade
q	que	PR0CN000	que
san	são	VSIP3P0	ser
mts	muitas	DI0FP0	muito
as	as	DA0FP0	o
q	que	PR0CN000	que
lha	lha	PP3CSD00+PP3FSA00	lhe+o
pede	pede	VMIP3S0	pedir
q	que	CS	que
vos	vos	PP2CP000	vos
cõsole	console	VMSP0S0	consolar
	.	Fp	.
la	Lá	RG	lá
vos	vos	PP2CP000	vos
mande	mandei	VMIS1S0	mandar
outra	outra	DI0FS0	outro
carta	carta	NCFS000	carta
cõ	com	SPS00	com
a	a	DA0FS0	o
do	do	SPS00+DA0MS0	de+o
padre	padre	NCMS000	padre
	.	Fp	.
não	Não	RN	não
sei	sei	VMIP1S0	saber
se	se	CS	se
vola	vo-la	PP2CP000+PP3FSA00	vos+o
derã	deram	VMIS3P0	dar
porq	porque	CS	porque
não	não	RN	não
vi	vi	VMIS1S0	ver
respota	resposta	NCFS000	resposta
	.	Fp	.
tanbẽ	Também	RG	também
pidi	pedi	VMIS1S0	pedir
a	a	SPS00	a
hũa	uma	DI0FS0	um
moler	mulher	NCFS000	mulher
q	que	PR0CN000	que
vos	vos	PP2CP000	vos
fose	fosse	VMSI0S0	ir
b	ver	VMN0000	ver
	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
briatiz	Beatriz	NP00000	beatriz
gomes	Gomes	NP00000	gomes
	.	Fp	.
mandaime	Mandai-me	VMM02P0+PP1CS000	mandar+me
dizer	dizer	VMN0000	dizer
se	se	CS	se
ho	o	PP3MSA00	o
fez	fez	VMIS3S0	fazer
asi	assim	RG	assim
e	e	CC	e
mamdainos	mandai-nos	CC	e
dezer	dizer	VMN0000	dizer
como	como	CS	como
esta	está	VMIP3S0	estar
voso	vosso	DP2MSP	vosso
snor	senhor	NCMS000	senhor
	.	Fp	.
e	E	CC	e
mais	mais	RC	mais
vos	vos	PP2CP000	vos
peco	peço	VMIP1S0	pedir
hũa	uma	DI0FS0	um
grande	grande	AQ0CS0	grande
charidade	caridade	NCFS000	caridade
	:	Fp	:
q	que	CS	que
nos	nos	PP2CP000	nos
mandeis	mandeis	VMSP2P0	mandar
se	se	CS	se
tendes	tendes	VMIP2P0	ter
hũ	um	DI0MS0	um
escrito	escrito	NCMS000	escrito
de	de	SPS00	de
voso	vosso	DP2MSP	vosso
snor	senhor	NCMS000	senhor
	,	Fc	,
mitido	metido	VMP00SM	meter
dentro	dentro	RG	dentro
na	na	SPS00+DA0FS0	em+o
carta	carta	NCFS000	carta
q	que	PR0CN000	que
me	me	PP1CS000	me
mandardes	mandardes	VMSF2P0	mandar
	,	Fc	,
porq	porque	CS	porque
folgarei	folgarei	VMIF1S0	folgar
de	de	SPS00	de
ho	o	DA0MS0	o
b	ver	VMN0000	ver
e	e	CC	e
asi	assim	RG	assim
tudo	tudo	PI0NN000	tudo
ho	o	DA0MS0	o
mais	mais	NCMS000	mais
q	que	PR0CN000	que
pasais	passais	VMIP2P0	passar
anbos	ambos	PI0MP000	ambos
	.	Fp	.
digo	Digo	VMIP1S0	dizer
se	se	CS	se
lhe	lhe	PP3CSD00	lhe
mandais	mandais	VMIP2P0	mandar
recado	recado	NCMS000	recado
	,	Fc	,
se	se	CS	se
vos	vos	PP2CP000	vos
respode	responde	VMIP3S0	responder
elle	ele	PP3MS000	ele
e	e	CC	e
se	se	CS	se
sabeis	sabeis	VMIP2P0	saber
alguma	alguma	DI0FS0	algum
cousa	coisa	NCFS000	coisa
de	de	SPS00	de
sua	sua	DP3FS0	seu
soltura	soltura	NCFS000	soltura
	.	Fp	.
tudo	Tudo	PI0NN000	tudo
nos	nos	PP2CP000	nos
fazei	fazei	VMM02P0	fazer
merce	mercê	NCFS000	mercê
de	de	SPS00	de
nos	nos	PP1CP000	nos
mandar	mandar	VMN0000	mandar
dezer	dizer	VMN0000	dizer
	,	Fc	,
cõ	com	SPS00	com
esperaca	esperança	NCFS000	esperança
q	que	CS	que
ainda	ainda	RG	ainda
ẽ	em	SPS00	em
algu	algum	DI0MS0	algum
tenpo	tempo	NCMS000	tempo
vos	vos	PP2CP000	vos
servirei	servirei	VMIF1S0	servir
	.	Fp	.
não	Não	RN	não
digo	digo	VMIP1S0	dizer
mais	mais	RC	mais
senão	senão	CC	senão
ja	já	RG	já
arrogado	arrogado	VMP00SM	arrogar
a	a	SPS00	a
ds	Deus	NP00000	deus
q	que	CS	que
a	a	PP3FSA00	o
cõsole	console	VMSP0S0	consolar
e	e	CC	e
live	livre	VMSP0S0	livrar
destes	destes	SPS00+DD0MP0	de+este
trabalos	trabalhos	NCMP000	trabalho
	,	Fc	,
ame	amém	NCMS000	amém
	.	Fp	.
feita	Feita	NP00000	feita
oje	hoje	RG	hoje
	,	Fc	,
a	a	SPS00	a
quatorze	catorze	Z	catorze
d	de	SPS00	de
agoto	agosto	NCMS000	agosto
	,	Fc	,
bespora	véspera	NCFS000	véspera
da	da	SPS00+DA0FS0	de+o
snora	Senhora	NP00000	senhor
d	de	SPS00	de
asucam	Assunção	NP00000	assunção
	.	Fp	.
da	Da	SPS00+DA0FS0	de+o
vosa	vossa	DP2FSP	vosso
mto	muito	RQ	muito
lial	leal	AQ0CS0	leal
amiga	amiga	NCFS000	amigo
	,	Fc	,
briatiz	Beatriz	NP00000	beatriz
anes	Anes	NP00000	anes
