Prometi	Prometi	VMIS1S0	prometer
elle	ele	PP3MS000	ele
,	.	PP3MS000	ele
mãodeilhe	Mandei-lhe	VMIS1S0+PP3CSD00	mandar+lhe
dizer	dizer	VMN0000	dizer
algũas	algumas	DI0FP0	algum
vezes	vezes	NCFP000	vez
que	que	CS	que
não	não	RN	não
faz	faz	VMIP3S0	fazer
bem	bem	RG	bem
andar	andar	VMN0000	andar
sem	sem	SPS00	sem
elle	ele	PP3MS000	ele
e	e	CC	e
	,	Fc	,
nada	nada	PI0NN00N	nada
basta	basta	VMIP3S0	bastar
	,	Fc	,
fezme	fez-me	VMIS3S0+PP1CS000	fazer+me
tombẽ	também	RG	também
queixume	queixume	NCMS000	queixume
disto	disto	SPS00+PD0NN000	de+isto
o	o	DA0MS0	o
Juiz	juiz	NCMS000	juiz
de	de	SPS00	de
fora	fora	RG	fora
	,	Fc	,
dizendo	dizendo	VMG0000	dizer
que	que	CS	que
escandalizava	escandalizava	VMII0S0	escandalizar
pello	pelo	SPS00+DA0MS0	por+o
verẽ	verem	VMII3P0	ver
andar	andar	VMN0000	andar
sem	sem	SPS00	sem
elle	ele	PP3MS000	ele
:	.	PP3MS000	ele
quãdo	Quando	CS	quando
esta	está	VMIP3S0	estar
na	na	SPS00+DA0FS0	em+o
Igreja	igreja	NCFS000	igreja
	,	Fc	,
vai	vai	VMIP3S0	ir
o	ao	SPS00+DA0MS0	a+o
samtissimo	Santíssimo	NP0000A	santíssimo
sacramẽto	Sacramento	NP00000	sacramento
mtas	muitas	DI0FP0	muito
vezes	vezes	NCFP000	vez
fora	fora	RG	fora
e	e	CC	e
elle	ele	PP3MS000	ele
o	o	PP3MSA00	o
não	não	RN	não
quer	quer	VMIP3S0	querer
acompanhar	acompanhar	VMN0000	acompanhar
e	e	CC	e
fiquase	fica-se	VMIP3S0+P00CN000	ficar+se
no	no	SPS00+DA0MS0	em+o
cãto	canto	NCMS000	canto
metido	metido	VMP00SM	meter
,	,	Fc	,
cõ	com	SPS00	com
o	o	DA0MS0	o
que	que	PR0CN000	que
escandaliza	escandaliza	VMIP3S0	escandalizar
:	.	VMIP3S0	escandalizar
não	Não	RN	não
deixe	deixe	VMSP0S0	deixar
vm	VM	NP00000	VM
de	de	SPS00	de
avisar	avisar	VMN0000	avisar
disto	disto	SPS00+PD0NN000	de+isto
a	a	SPS00	a
Coymbra	Coimbra	NP00000	coimbra
e	e	CC	e
venha	venha	VMSP0S0	vir
algũa	alguma	DI0FS0	algum
cõmissom	comissão	NCFS000	comissão
pera	para	SPS00	para
o	o	DA0MS0	o
Juiz	juiz	NCMS000	juiz
de	de	SPS00	de
fora	fora	RG	fora
o	o	PP3MSA00	o
avisar	avisar	VMN0000	avisar
que	que	CS	que
cũpra	cumpra	VMSP0S0	cumprir
sua	sua	DP3FS0	seu
penetencia	penitência	NCFS000	penitência
	,	Fc	,
como	como	CS	como
he	é	VSIP3S0	ser
obrigado	obrigado	VMP00SM	obrigar
	.	Fp	.
tambem	Também	RG	também
sai	sai	VMIP3S0	sair
de	de	SPS00	de
noite	noite	NCFS000	noite
e	e	CC	e
vem	vem	VMIP3S0	vir
a	a	SPS00	a
casa	casa	NCFS000	casa
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
sogro	sogro	NCMS000	sogro
	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
meu	meu	DP1MSS	meu
vezinho	vizinho	NCMS000	vizinho
parede	parede	NCFS000	parede
e	e	CC	e
meas	meias	NCFP000	meia
	,	Fc	,
sem	sem	SPS00	sem
habito	hábito	NCMS000	hábito
,	,	Fc	,
e	e	CC	e
porq	porque	CS	porque
esta	esta	PD0FS000	este
não	não	RN	não
he	é	VSIP3S0	ser
pera	para	SPS00	para
mais	mais	RC	mais
	.	RC	mais
nosso	Nosso	DP1MSP	nosso
snor	Senhor	NP00000	senhor
	,	Fc	,
ett	etc	NCMS000	etc
	.	Fp	.
de	De	Fp	.
ponte	Ponte	Fp	.
de	de	Fp	.
lima	Lima	Fp	.
	,	Fp	.
e	e	Fp	.
de	de	Fp	.
Julho	julho	Fp	.
20	20	Fp	.
de	de	Fp	.
98	98	Fp	.
anos	anos	Fp	.
o	o	Fp	.
prior	prior	Fp	.
Xpvão	Cristóvão	Fp	.
Cardoso	Cardoso	Fp	.
