Feyta	Feita	VMP00SF	fazer
as	as	DA0FP0	o
amostras	amostras	NCFP000	amostra
he	e	CC	e
a	a	DA0FS0	o
emcomemda	encomenda	NCFS000	encomenda
	,	Fc	,
q	que	PR0CN000	que
mamda	manda	VMIP3S0	mandar
pedyr	pedir	VMN0000	pedir
a	a	DA0FS0	o
molher	mulher	NCFS000	mulher
de	de	SPS00	de
Rodryguo	Rodrigo	NP00000	rodrigo
freyre	Freire	NP00000	freire
	,	Fc	,
he	e	CC	e
hũ	um	DI0MS0	um
pouco	pouco	NCMS000	pouco
d	de	SPS00	de
estanho	estanho	NCMS000	estanho
	,	Fc	,
q	que	PR0CN000	que
na	na	SPS00+DA0FS0	em+o
outra	outra	DI0FS0	outro
carta	carta	NCFS000	carta
dys	diz	VMIP3S0	dizer
	,	Fc	,
he	e	CC	e
mamde lh	mande-lhe	VMSP0S0+PP3CSD00	mandar+lhe
ũ	um	DI0MS0	um
Roupam	roupão	NCMS000	roupão
	,	Fc	,
que	que	CS	que
	,	Fc	,
se	se	CS	se
ha	há	VMIP3S0	haver
de	de	SPS00	de
yr	ir	VMN0000	ir
dyoguo	Diogo	NP00000	diogo
silveyra	Silveira	NP00000	silveira
pera	para	SPS00	para
hevora	Évora	NP00000	évora
	,	Fc	,
mamdolho	mando-lho	VMIP1S0+PP3CSD00+PP3MSA00	mandar+lhe+o
pedyr	pedir	VMN0000	pedir
	,	Fc	,
porque	porque	CS	porque
mo	mo	PP1CS000+PP3MSA00	me+o
tomou	tomou	VMIS3S0	tomar
ho	o	DA0MS0	o
ladram	ladrão	NCMS000	ladrão
de	de	SPS00	de
pero	Pero	NP00000	pero
luys	Luís	NP00000	luís
poq	porque	CS	porque
a	à	SPS00+DA0FS0	a+o
vymda	vinda	NCFS000	vinda
estyvemos	estivemos	VMIS1P0	estar
em	em	SPS00	em
galyza	Galiza	NP00000	galiza
ho	o	DA0MS0	o
mes	mês	NCMS000	mês
d	de	SPS00	de
abril	abril	NCMS000	abril
e	e	CC	e
pasamos	passámos	VMIS3P0	passar
por	por	SPS00	por
vyla	Vila	NP00000	vila
de	de	SPS00	de
comde	Conde	NP00000	conde
	.	Fp	.
estevemos	Estivemos	VMIS1P0	estar
dous	dois	Z	dois
dias	dias	NCMP000	dia
ahe	aí	RG	aí
e	e	CC	e
eu	eu	PP1CSN00	eu
esteve	estive	VMIS1S0	estar
em	em	SPS00	em
sua	sua	DP3FS0	seu
çasa	casa	NCFS000	casa
dous	dois	Z	dois
deas	dias	NCMP000	dia
	,	Fc	,
q	que	CS	que
dyse	disse	VMIS3S0	dizer
q	que	CS	que
q	que	CS	que
avya	havia	VAII0S0	haver
gastado	gastado	VMP0000	gastar
hũ	um	DI0MS0	um
cruzado	cruzado	NCMS000	cruzado
comyguo	comigo	SPS00+PP1CSO00	com+mim
	.	Fp	.
senhor	Senhor	NCMS000	senhor
	,	Fc	,
mynha	minha	DP1FSS	meu
tya	tia	NCFS000	tio
lhe	lhe	PP3CSD00	lhe
mamda	manda	VMIP3S0	mandar
hũ	um	DI0MS0	um
pyparote	piparote	NCMS000	piparote
q	que	PR0CN000	que
leva	leva	VMIP3S0	levar
mea	meia	AQ0FS0	mau
aRoba	arroba	NCFS000	arroba
de	de	SPS00	de
asuquare	açúcar	NCMS000	açúcar
Rosado	rosado	AQ0MS0	rosado
e	e	CC	e
outro	outro	DI0MS0	outro
leva	leva	VMIP3S0	levar
pyparote	piparote	NCMS000	piparote
leva	leva	VMIP3S0	levar
quatro	quatro	Z	quatro
duzyas	dúzias	NCFP000	dúzia
de	de	SPS00	de
bolos	bolos	NCMP000	bolo
	,	Fc	,
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
mamde	mande	VMSP0S0	mandar
algua	alguma	DI0FS0	algum
cousa	coisa	NCFS000	coisa
he	e	CS	e
algum	algum	DI0MS0	algum
pedaso	pedaço	NCMS000	pedaço
de	de	SPS00	de
pano	pano	NCMS000	pano
pera	para	SPS00	para
fazer	fazer	VMN0000	fazer
hũ	um	DI0MS0	um
sayo	saio	VMIP1S0	sair
	.	Fp	.
sabera	Saberá	VMIF3S0	saber
vosa	Vossa	DP2FSP	vosso
merse	Mercê	NP00000	mercê
como	como	SPS00	como
amtonyo	António	NP00000	antónio
gomes	Gomes	NP00000	gomes
vay	vai	VMIP3S0	ir
pera	para	SPS00	para
seyta	Ceuta	NP00000	ceuta
	,	Fc	,
vay	vai	VMIP3S0	ir
por	por	SPS00	por
potecayro	boticário	NCMS000	boticário
	,	Fc	,
e	e	CC	e
fyca	fica	VMIP3S0	ficar
mynha	minha	DP1FSS	meu
tea	tia	NCFS000	tio
so	só	AQ0CS0	só
	.	Fp	.
mamdelhe	Mande-lhe	VMIP3S0+PP3CSD00	mandar+lhe
hos	os	DA0MP0	o
piparotes	piparotes	NCMP000	piparote
q	que	PR0CN000	que
la	lá	RG	lá
mamdar	mandar	VMN0000	mandar
com	com	SPS00	com
algua	alguma	DI0FS0	algum
mamteyga	manteiga	NCFS000	manteiga
	.	Fp	.
po	Por	SPS00	por
aguora	agora	RG	agora
nam	não	RN	não
dyguo	digo	VMIP1S0	dizer
mays	mais	RC	mais
senam	senão	CC	senão
q	que	CS	que
me	me	PP1CS000	me
mamde	mande	VMSP0S0	mandar
dyzer	dizer	VMN0000	dizer
como	como	CS	como
esta	está	VMIP3S0	estar
a	a	DA0FS0	o
senora	senhora	NCFS000	senhor
mynha	minha	DP1FSS	meu
may	mãe	NCFS000	mãe
e	e	CC	e
mynha	minha	DP1FSS	meu
yrmam	irmã	NCFS000	irmão
e	e	CC	e
yrmaos	irmãos	NCMP000	irmão
	.	Fp	.
faso	Faço	VMIP1S0	fazer
por	por	SPS00	por
apremder	aprender	VMN0000	aprender
mays	mais	RC	mais
sedo	cedo	RG	cedo
q	que	CS	que
poder	puder	VMSF0S0	poder
	.	Fp	.
deos	Deus	NP00000	deus
lhe	lhe	PP3CSD00	lhe
acresemte	acrescente	VMSP0S0	acrescentar
hos	os	DA0MP0	o
deas	dias	NCMP000	dia
de	de	SPS00	de
vyda	vida	NCFS000	vida
a	a	SPS00	a
vosa	Vossa	NP00000	vossa
merse	Mercê	NP00000	mercê
he	e	CC	e
a	à	SPS00+DA0FS0	a+o
senhora	senhora	NCFS000	senhor
may	mãe	NCFS000	mãe
e	e	CC	e
yrmãos	irmãos	NCMP000	irmão
/	.	Fp	.
de	Do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
hopedeemte	obediente	AQ0CS0	obediente
fylho	filho	NCMS000	filho
	,	Fc	,
alvaro	Álvaro	NP00000	álvaro
nunez	Nunes	NP00000	nunes
