Filho	Filho	NCMS000	filho
nesesidade	necessidade	NCFS000	necessidade
de	de	SPS00	de
minha	minha	DP1FSS	meu
lisemsa	licença	NCFS000	licença
	,	Fc	,
q	que	CS	que
eu	eu	PP1CSN00	eu
seria	seria	VSIC0S0	ser
cõtemte	contente	AQ0CS0	contente
do	do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
vos	vós	PP2CP000	vós
foses	fosses	VSSI2S0	ser
	.	Fp	.
aguora	Agora	RG	agora
olhai	olhai	VMM02P0	olhar
vos	vós	PP2CP000	vós
la	lá	RG	lá
o	o	DA0MS0	o
que	que	PR0CN000	que
vos	vos	PP2CP000	vos
cumpre	cumpre	VMIP3S0	cumprir
	,	Fc	,
q	que	CS	que
ya	já	RG	já
aguora	agora	RG	agora
tendes	tendes	VMIP2P0	ter
idade	idade	NCFS000	idade
pa	para	SPS00	para
iso	isso	PD0NN000	isso
/	.	Fp	.
qamto	Quanto	PA000000	quanto
he	é	VSIP3S0	ser
do	do	SPS00+DA0MS0	de+o
voso	vosso	DP2MSP	vosso
neguosio	negócio	NCMS000	negócio
q	que	PR0CN000	que
me	me	PP1CS000	me
mãdastes	mandastes	VMIS2S0	mandar
dizer	dizer	VMN0000	dizer
/	,	Fc	,
que	que	CS	que
qua	cá	RG	cá
deixastes	deixastes	VMIS2S0	deixar
em	em	SPS00	em
poder	poder	VMN0000	poder
de	de	SPS00	de
pero	Pero	NP00000	pero
frz	Fernandes	NP00000	fernandes
	,	Fc	,
o	o	DA0MS0	o
escrivão	escrivão	NCMS000	escrivão
da	da	SPS00+DA0FS0	de+o
rainha	rainha	NCFS000	rainha
	,	Fc	,
não	não	RN	não
vos	vos	PP2CP000	vos
paresa	pareça	VMSP0S0	parecer
q	que	CS	que
me	me	PP1CS000	me
esquese	esquece	VMIP3S0	esquecer
	.	Fp	.
quantas	Quantas	DT0FP0	quanto
vezes	vezes	NCFP000	vez
lho	lho	PP3CSD00+PP3MSA00	lhe+o
vou	vou	VMIP1S0	ir
a	a	SPS00	a
lembar	lembrar	VMN0000	lembrar
/	.	Fp	.
e	E	CC	e
aguora	agora	RG	agora
muyto	muito	RQ	muito
milhor	melhor	RC	melhor
ho	o	PP3MSA00	o
poso	posso	VMIP1S0	poder
fazer	fazer	VMN0000	fazer
porque	porque	CS	porque
paso	passo	VMIP1S0	passar
pola	pela	SPS00+DA0FS0	por+o
porta	porta	NCFS000	porta
	,	Fc	,
porque	porque	CS	porque
se	se	P00CN000	se
mudou	mudou	VMIS3S0	mudar
vosa	vossa	DP2FSP	vosso
irmã	irmã	NCFS000	irmão
p	para	SPS00	para
ahi	aí	RG	aí
	.	Fp	.
mas	Mas	CC	mas
segumda fra	segunda-feira	NCFS000	segunda-feira
lhe	lhe	PP3CSD00	lhe
falei	falei	VMIS1S0	falar
	,	Fc	,
e	e	CC	e
apertey	apertei	VMIS1S0	apertar
tamto	tanto	RC	tanto
cõ	com	SPS00	com
ele	ele	PP3MS000	ele
q	que	CS	que
me	me	PP1CS000	me
disese	dissesse	VMSI0S0	dizer
se	se	CSI	se
avya	havia	VMII0S0	haver
d	de	SPS00	de
emtrar	entrar	VMN0000	entrar
a	a	DA0FS0	o
rainha	rainha	NCFS000	rainha
sedo	cedo	RG	cedo
nese	nesse	SPS00+DD0MS0	em+esse
despacho	despacho	NCMS000	despacho
	,	Fc	,
ele	ele	PP3MS000	ele
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
q	que	CS	que
sedo	cedo	RG	cedo
	,	Fc	,
e	e	CC	e
dahi	daí	SPS00+RG	de+aí
não	não	RN	não
sei	sei	VMIP1S0	saber
o	o	DA0MS0	o
que	que	PR0CN000	que
sera	será	VSIF3S0	ser
/	.	Fp	.
eu	Eu	PP1CSN00	eu
follgaria	folgaria	VMIC0S0	folgar
tamto	tanto	RC	tanto
como	como	CS	como
vos	vós	PP2CP000	vós
e	e	CC	e
mais	mais	RC	mais
ainda	ainda	RG	ainda
/	.	Fp	.
a	A	DA0FS0	o
carta	carta	NCFS000	carta
que	que	PR0CN000	que
me	me	PP1CS000	me
mãdais	mandais	VMIP2P0	mandar
pedir	pedir	VMN0000	pedir
de	de	SPS00	de
dona	Dona	NP00000	dona
ana	Ana	NP00000	ana
/	,	Fc	,
loguo	logo	RG	logo
mãdey	mandei	VMIS1S0	mandar
aquele	aquele	DD0MS0	aquele
dia	dia	NCMS000	dia
que	que	PR0CN000	que
la	lá	RG	lá
fuy	fui	VMIS1S0	ir
/	.	Fp	.
vos	Vós	PP2CP000	vós
me	me	PP1CS000	me
disestes	dissestes	VMIS2P0	dizer
q	que	CS	que
vola	vo-la	PP2CP000+PP3FSA00	vos+o
mãdase	mandasse	VMSI0S0	mandar
a	a	SPS00	a
moura	Moura	NP00000	moura
/	,	Fc	,
eu	eu	PP1CSN00	eu
loguo	logo	RG	logo
a	a	PP3FSA00	o
mãdei	mandei	VMIS1S0	mandar
	,	Fc	,
em	em	SPS00	em
cudamdo	cuidando	VMG0000	cuidar
que	que	CS	que
estiveses	estivesses	VMSI2S0	estar
ahi	aí	RG	aí
allgũs	alguns	DI0MP0	algum
par	par	NCMS000	par
de	de	SPS00	de
dias	dias	NCMP000	dia
e	e	CC	e
vos	vós	PP2CP000	vós
tivestes	tivestes	VMIS2S0	ter
tamanha	tamanha	AQ0FS0	tamanho
presa	pressa	NCFS000	pressa
q	que	CS	que
loguo	logo	RG	logo
vos	vos	PP2CP000	vos
fostes	fostes	VMIS2S0	ir
e	e	CC	e
não	não	RN	não
quisestes	quisestes	VMIS2P0	querer
espeRar	esperar	VMN0000	esperar
pola	pela	SPS00+DA0FS0	por+o
carta	carta	NCFS000	carta
/	.	Fp	.
vosa	Vossa	DP2FSP	vosso
irmã	irmã	NCFS000	irmã
branqua	Branca	NP00000	branca
quabrall	Cabral	NP00000	cabral
ha	a	PP3FSA00	o
tem	tem	VMIP3S0	ter
/	,	Fc	,
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
mãdei	mandei	VMIS1S0	mandar
dizer	dizer	VMN0000	dizer
q	que	CS	que
vola	vo-la	PP2CP000+PP3FSA00	vos+o
mãdase	mandasse	VMSI0S0	mandar
por	por	SPS00	por
pesoa	pessoa	NCFS000	pessoa
serta	certa	AQ0FS0	certo
por	por	SPS00	por
ele	ele	PP3MS000	ele
	,	Fc	,
que	que	CS	que
não	não	RN	não
achou	achou	VMIS3S0	achar
quẽ	quem	PR0CN000	quem
vola	vo-la	PP2CP000+PP3FSA00	vos+o
levase	levasse	VMSI0S0	levar
/	.	Fp	.
se	Se	CS	se
vos	vós	PP2CP000	vós
porvemtura	porventura	RG	porventura
souberdes	souberdes	VMSF2P0	saber
quẽ	quem	PR0CN000	quem
ven	vem	VMIP3S0	vir
pa	para	SPS00	para
moura	Moura	NP00000	moura
	,	Fc	,
podelhe	pode-lhe	VMIP3S0+PP3CSD00	poder+lhe
hir	ir	VMN0000	ir
pedir	pedir	VMN0000	pedir
a	a	DA0FS0	o
carta	carta	NCFS000	carta
a	a	SPS00	a
vosa	vossa	DP2FSP	vosso
yrmã	irmã	NCFS000	irmão
q	que	PR0CN000	que
a	a	PP3FSA00	o
tem	tem	VMIP3S0	ter
/	.	Fp	.
o	O	DA0MS0	o
sor	senhor	NP00000	senhor
duarte	Duarte	NP00000	duarte
de	de	SPS00	de
sousa	Sousa	NP00000	sousa
esta	está	VMIP3S0	estar
muyto	muito	RQ	muito
menẽquorio	merencório	AQ0MS0	merencório
de	de	SPS00	de
vos	vós	PP2CP000	vós
	,	Fc	,
porque	porque	CS	porque
vos	vos	PP2CP000	vos
fostes	fostes	VMIS2S0	ir
	,	Fc	,
e	e	CC	e
sem	sem	SPS00	sem
lhe	lhe	PP3CSD00	lhe
falardes	falardes	VMN02P0	falar
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
dardes	dardes	VMN02P0	dar
cõta	conta	NCFS000	conta
de	de	SPS00	de
vos	vós	PP2CP000	vós
	.	Fp	.
mas	Mas	CC	mas
	,	Fc	,
porem	porém	RG	porém
	,	Fc	,
se	se	CS	se
ele	ele	PP3MS000	ele
aquy	aqui	RG	aqui
estevera	estivera	VMIM0S0	estar
ele	ele	PP3MS000	ele
vos	vos	PP2CP000	vos
escrevera	escrevera	VMIM0S0	escrever
.	.	Fp	.
mas	Mas	CC	mas
he	é	VSIP3S0	ser
hido	ido	VMP00SM	ir
daquy	daqui	SPS00+RG	de+aqui
a	a	SPS00	a
trimta	trinta	Z	trinta
leguõas	léguas	NCFP000	légua
	,	Fc	,
busquar	buscar	VMN0000	buscar
hũs	uns	DI0MP0	um
gaviãs	gaviãs	X	X
vosas	vossas	DP2FPP	vosso
yrmãs	irmãs	NCFP000	irmão
	.	Fp	.
fico	Fico	VMIP1S0	ficar
de	de	SPS00	de
saude	saúde	NCFS000	saúde
rogando	rogando	VMG0000	rogar
a	a	SPS00	a
noso	Nosso	DP1MSP	nosso
sor	Senhor	NP00000	senhor
q	que	CS	que
vos	vos	PP2CP000	vos
de	dê	VMSP0S0	dar
muyta	muita	DI0FS0	muito
vyda	vida	NCFS000	vida
e	e	CC	e
muyta	muita	DI0FS0	muito
saude	saúde	NCFS000	saúde
	.	Fp	.
oye	Hoje	RG	hoje
	,	Fc	,
treze	treze	Z	treze
dias	dias	NCMP000	dia
do	do	SPS00+DA0MS0	de+o
mes	mês	NCMS000	mês
de	de	SPS00	de
yulho	julho	NCMS000	julho
1558	1558	Z	1558
	.	Fp	.
quanto	Quanto	PA000000	quanto
he	é	VSIP3S0	ser
ao	ao	SPS00+DA0MS0	a+o
que	que	PR0CN000	que
mẽ	me	PP1CS000	me
mãdastes	mandastes	VMIS2S0	mandar
dizer	dizer	VMN0000	dizer
de	de	SPS00	de
dom	Dom	NP00000	dom
fernão	Fernão	NP00000	fernão
d	de	SPS00	de
allvres	Alvarez	NP00000	alvarez
	,	Fc	,
q	que	PR0CN000	que
vos	vos	PP2CP000	vos
fezera	fizera	VMIM0S0	fazer
boa	boa	AQ0FS0	bom
cõpanhia	companhia	NCFS000	companhia
e	e	CC	e
vos	vos	PP2CP000	vos
agazalhara	agasalhara	VMIM0S0	agasalhar
muyto	muito	RQ	muito
bem	bem	RG	bem
	,	Fc	,
follguo	folgo	VMIP1S0	folgar
muyto	muito	RQ	muito
niso	nisso	SPS00+PD0NN000	em+isso
	.	Fp	.
de	De	SPS00	de
vosa	vossa	DP2FSP	vosso
May	mãe	NCFS000	mãe
	,	Fc	,
ynes	Inês	NP00000	inês
bautista	Batista	NP00000	batista
