snors	Senhores	NP00000	senhor
tinhão	tinham	VAII3P0	ter
feito	feito	VMP0000	fazer
la	lá	RG	lá
	.	Fp	.
não	Não	RN	não
soubera	soubera	VMIM0S0	saber
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
avia	havia	VMII0S0	haver
ho	o	DA0MS0	o
corogedor	corregedor	NCMS000	corregedor
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
houtra	outra	DI0FS0	outro
q	que	PR0CN000	que
me	me	PP1CS000	me
roguava	rogava	VMII0S0	rogar
q	que	CS	que
lhos	lhos	PP3CSD00+PP3MPA00	lhe+o
emsinase	ensinasse	VMSI0S0	ensinar
	.	Fp	.
e	E	CC	e
emsinãodolhos	ensinando-lhos	VMG0000+PP3CSD00+PP3MPA00	ensinar+lhe+o
me	me	PP1CS000	me
tão	tão	RC	tão
sivell	cível	AQ0CS0	cível
como	como	CS	como
aquella	aquela	PD0FS000	aquele
e	e	CC	e
baixa	baixa	AQ0FS0	baixo
se	se	P00CN000	se
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
metia	metia	VMII0S0	meter
mais	mais	RC	mais
	.	Fp	.
e	E	CC	e
asi	assim	RG	assim
me	me	PP1CS000	me
dixe	disse	VMIS3S0	dizer
q	que	CS	que
se	se	CS	se
o	o	PP3MSA00	o
llevavão	levavam	VMII3P0	levar
as	às	SPS00+DA0FP0	a+o
casinhas	casinhas	NCFP00D	casa
q	que	CS	que
ho	o	PP3MSA00	o
	.	Fp	.
pgumtãodolhe	Perguntando-lhe	VMG0000+PP3CSD00	perguntar+lhe
eu	eu	PP1CSN00	eu
porq	porque	CS	porque
q	que	CS	que
não	não	RN	não
dixese	dissesse	VMSI0S0	dizer
tall	tal	PD0CS000	tal
	,	Fc	,
respomdeome	respondeu-me	VMIS3S0+PP1CS000	responder+me
q	que	CS	que
	,	Fc	,
como	como	CS	como
elle	ele	PP3MS000	ele
se	se	P00CN000	se
lla	lá	RG	lá
fose	fosse	VMSI0S0	ir
	,	Fc	,
q	que	CS	que
todo	tudo	PI0NN000	tudo
lla	lá	RG	lá
se	se	P00CN000	se
pderia	perderia	VMIC0S0	perder
e	e	CC	e
avera	haverá	VMIF3S0	haver
de	de	SPS00	de
pder	perder	VMN0000	perder
poq	porque	CS	porque
sido	sido	VSP0000	ser
de	de	SPS00	de
todos	todos	PI0MP000	todo
	.	Fp	.
mais	Mais	RC	mais
dixe	disse	VMIS3S0	dizer
po	por	SPS00	por
hum	um	DI0MS0	um
cllerigo	clérigo	NCMS000	clérigo
q	que	CS	que
aqui	aqui	RG	aqui
aõda	anda	VMIP3S0	andar
estãodo	estando	VMG0000	estar
os	os	DA0MP0	o
mãodamtos	mandamentos	NCMP000	mandamento
vimdo	vindo	VMG0000	vir
pasoãodo	passeando	VMG0000	passear
	.	Fp	.
q	Que	CS	que
cão	cão	NCMS000	cão
aquelle	aquele	DD0MS0	aquele
	!	Fa	!
mais	Mais	RC	mais
me	me	PP1CS000	me
dixe  lhe	disse-lhe	VMIS3S0+PP3CSD00	dizer+lhe
eu	eu	PP1CSN00	eu
q	que	CS	que
se	se	P00CN000	se
lhe	lhe	PP3CSD00	lhe
fisesẽ	fizessem	VMSI3P0	fazer
pregumtas	perguntas	NCFP000	pergunta
outra	outra	DI0FS0	outro
vez	vez	NCFS000	vez
q	que	CS	que
dixese	dissesse	VMSI0S0	dizer
q	que	CS	que
os	os	DA0MP0	o
mãodamẽtos	mandamentos	NCMP000	mandamento
q	que	PR0CN000	que
era	era	VSII0S0	ser
poq	porque	CS	porque
era	era	VSII0S0	ser
de	de	SPS00	de
novẽta	noventa	Z	noventa
anos	anos	NCMP000	ano
	.	Fp	.
dixe	Disse	VMIS3S0	dizer
q	que	CS	que
não	não	RN	não
	,	Fc	,
sua	sua	DP3FS0	seu
natura	natura	NCFS000	natura
se	se	CSI	se
a	a	PP3FSA00	o
tinha	tinha	VMII3P0	ter
fanada	fanada	VMP00SF	fanar
	.	Fp	.
mais	Mais	RC	mais
me	me	PP1CS000	me
dixe	disse	VMIS3S0	dizer
dar	dar	VMN0000	dar
duvida	dúvida	NCFS000	dúvida
ho	o	DA0MS0	o
comer	comer	VMN0000	comer
e	e	CC	e
	,	Fc	,
aguastãodose	agastando-se	VMG0000+P00CN000	agastar+se
elle	ele	PP3MS000	ele
	,	Fc	,
dizẽdolhe	dizendo-lhe	VMG0000+PP3CSD00	dizer+lhe
eu	eu	PP1CSN00	eu
q	que	CS	que
se	se	P00CN000	se
não	não	RN	não
aguastase	agastasse	VMSI0S0	agastar
o	o	DA0MS0	o
comer	comer	VMN0000	comer
	,	Fc	,
senão	senão	CC	senão
per	por	SPS00	por
a	a	DA0FS0	o
nova	nova	NCFS000	novo
ma	má	AQ0FS0	mau
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
avia	havia	VMII0S0	haver
de	de	SPS00	de
vir	vir	VMN0000	vir
	.	Fp	.
e	E	CC	e
tornãodolhe	tornando-lhe	VMG0000+PP3CSD00	tornar+lhe
dixeme	disse-me	VMIS3S0+PP1CS000	dizer+me
q	que	PR0CN000	que
era	era	VSII0S0	ser
de	de	SPS00	de
lhe	lhe	PP3CSD00	lhe
fazerẽ	fazerem	VMN03P0	fazer
allgumas	algumas	DI0FP0	algum
pgumtas	perguntas	NCFP000	pergunta
outra	outra	DI0FS0	outro
a	a	SPS00	a
emtero	emtero	NCMS000	emtero
dar	dar	VMN0000	dar
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
vir	vir	VMN0000	vir
ho	o	DA0MS0	o
comer	comer	VMN0000	comer
pera	para	SPS00	para
q	que	CS	que
se	se	P00CN000	se
fizese	fizesse	VMSI0S0	fazer
	,	Fc	,
pasãodome	passando-me	VMN0000+PP1CS000	passar+me
pera	para	SPS00	para
esta	esta	DD0FS0	este
casa	casa	NCFS000	casa
de	de	SPS00	de
sima	cima	RG	cima
omde	onde	PA000000	onde
estou	estou	VMIP1S0	estar
	,	Fc	,
dizẽdo	dizendo	VMG0000	dizer
q	que	CS	que
po	por	SPS00	por
não	não	RN	não
ouvir	ouvir	VMN0000	ouvir
ho	o	DA0MS0	o
q	que	PR0CN000	que
se	se	P00CN000	se
amanhã	amanhã	RG	amanhã
fazia	fazia	VMII0S0	fazer
q	que	CS	que
era	era	VSII0S0	ser
milhor	melhor	RC	melhor
q	que	CS	que
não	não	RN	não
aqui	aqui	RG	aqui
	.	Fp	.
tornãodolhe	Tornando-lhe	VMG0000+PP3CSD00	tornar+lhe
eu	eu	PP1CSN00	eu
a	a	SPS00	a
pgumtar	perguntar	VMN0000	perguntar
poq	porquê	PT0NS000	porquê
	,	Fp	.
dixeme	disse-me	VMIS3S0+PP1CS000	dizer+me
q	que	CS	que
po	por	SPS00	por
iso	isso	PD0NN000	isso
q	que	CS	que
se	se	P00CN000	se
fazia	fazia	VMII0S0	fazer
amanhã	amanhã	RG	amanhã
	.	Fp	.
histo	Isto	PD0NN000	isto
tudo	tudo	PI0NN000	tudo
me	me	PP1CS000	me
dixe	disse	VMIS3S0	dizer
em	em	SPS00	em
minha	minha	DP1FSS	meu
comsiemsia	consciência	NCFS000	consciência
	,	Fc	,
q	que	CS	que
eu	eu	PP1CSN00	eu
ho	o	PP3MSA00	o
não	não	RN	não
vi	vi	VMIS1S0	ver
senão	senão	CC	senão
alli	ali	RG	ali
nem	nem	CCN	nem
conheso	conheço	VMIP1S0	conhecer
parẽte	parente	NCMS000	parente
seu	seu	DP3MS0	seu
mais	mais	RC	mais
q	que	CS	que
isto	isto	PD0NN000	isto
poq	porque	CS	porque
ho	o	PP3MSA00	o
escrevi	escrevi	VMIS1S0	escrever
a	a	SPS00	a
hũ	um	DI0MS0	um
cõfesor	confessor	NCMS000	confessor
fradinho	fradinho	NCMS00D	frade
da	da	SPS00+DA0FS0	de+o
capucha	capucha	NCFS000	capucha
	.	Fp	.
q	que	CS	que
ho	o	PP3MSA00	o
escrevese	escrevesse	VMSI0S0	escrever
lloguo	logo	RG	logo
a	a	SPS00	a
vosasms	VMs	NP00000	VM
q	que	CS	que
se	se	P00CN000	se
chama	chama	VMIP3S0	chamar
frei	frei	NCMS000	frei
lho	lho	PP3CSD00+PP3MSA00	lhe+o
escrevo	escrevo	VMIP1S0	escrever
	.	Fp	.
o	O	DA0MS0	o
cristão novo	cristão-novo	NCMS000	cristão-novo
se	se	P00CN000	se
chama	chama	VMIP3S0	chamar
simão	Simão	NP00000	simão
memdes	Mendes	NP00000	mendes
ao	ao	SPS00+DA0MS0	a+o
poso	Poço	NP00000	poço
do	do	SPS00+DA0MS0	de+o
chão	Chão	NP00000	chão
ao	ao	SPS00+DA0MS0	a+o
crosofisio	Crucifixo	RG	crucifixo
	.	Fp	.
não	Não	RN	não
sei	sei	VMIP1S0	saber
mais	mais	RC	mais
q	que	CS	que
isto	isto	PD0NN000	isto
e	e	CC	e
isto	isto	PD0NN000	isto
em	em	SPS00	em
minha	minha	DP1FSS	meu
allma	alma	NCFS000	alma
	.	Fp	.
eu	Eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
quero	quero	VMIP1S0	querer
mall	mal	NCMS000	mal
nẽ	nem	CCN	nem
no	no	PP3MSA00	o
conheso	conheço	VMIP1S0	conhecer
a	a	SPS00	a
vs	VSa	NP00000	VSa
	.	Fp	.
noso	Nosso	DP1MSP	nosso
sor	Senhor	NP00000	senhor
cõserve	conserve	VMSP0S0	conservar
a	a	SPS00	a
vs	VSa	NP00000	VSa
ẽ	em	SPS00	em
a	a	SPS00	a
mim	mim	PP1CSO00	mim
e	e	CC	e
me	me	PP1CS000	me
llivre	livre	VMSP0S0	livrar
desta	desta	SPS00+DD0FS0	de+este
salla	sala	NCFS000	sala
da	da	SPS00+DA0FS0	de+o
sidade	cidade	NCFS000	cidade
	.	Fp	.
hoje	Hoje	RG	hoje
	,	Fc	,
sabdo	sábado	NCMS000	sábado
hesta	está	VMIP3S0	estar
aimda	ainda	RG	ainda
preso	preso	VMP00SM	prender
na	na	SPS00+DA0FS0	em+o
pisão	prisão	NCFS000	prisão
desta	desta	SPS00+DD0FS0	de+este
sidade	cidade	NCFS000	cidade
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
casa	casa	NCFS000	casa
q	que	CS	que
	,	Fc	,
omde	onde	PA000000	onde
estão	estão	VMIP3P0	estar
outros	outros	DI0MP0	outro
mtos	muitos	DI0MP0	muito
cristãos novos	cristãos-novos	NCMP000	cristão-novo
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
como	como	CS	como
	.	Fp	.
Fellipe	Filipe	NP00000	filipe
vaz	Vaz	NP00000	vaz
llobo	Lobo	NP00000	lobo
