Sõr	Senhor	NP00000	senhor
cheguar	chegar	VMN0000	chegar
q	que	CS	que
vira	vira	VMIM0S0	ver
esta	esta	DD0FS0	este
tera	terra	NCFS000	terra
chea	cheia	AQ0FS0	cheio
de	de	SPS00	de
luteranos	luteranos	NCMP000	luterano
he	e	CC	e
as	as	DA0FP0	o
igreyjas	igrejas	NCFP000	igreja
deRibadas	derribadas	VMP00PF	derribar
e	e	SPS00	de
q	que	CS	que
serviram	serviram	VMIS3P0	servir
d	de	SPS00	de
estrebarias	estrebarias	NCFP000	estrebaria
pois	pois	CS	pois
nã	não	RN	não
ham	hão	VMIP3P0	haver
de	de	SPS00	de
valer	valer	VMN0000	valer
haos	aos	SPS00+DA0MP0	a+o
homẽs	homens	NCMP000	homem
	.	Fp	.
e	E	CC	e
isto	isto	PD0NN000	isto
digo	digo	VMIP1S0	dizer
de	de	SPS00	de
coRacam	coração	NCMS000	coração
	.	Fp	.
e	E	CC	e
de	de	SPS00	de
ve	verdade	NCFS000	verdade
he	é	VSIP3S0	ser
esta	esta	PD0FS000	este
a	a	DA0FS0	o
comfisam	confissão	NCFS000	confissão
q	que	PR0CN000	que
tenho	tenho	VMIP1S0	ter
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
e	e	CC	e
outra	outra	PI0FS000	outro
nã	não	RN	não
	.	Fp	.
e	E	CC	e
mais	mais	RC	mais
me	me	PP1CS000	me
lembra	lembra	VMIP3S0	lembrar
que	que	CS	que
ouvi	ouvi	VMIS1S0	ouvir
dizer	dizer	VMN0000	dizer
a	a	SPS00	a
dois	dois	Z	dois
cleriguos	clérigos	NCMP000	clérigo
q	que	PR0CN000	que
viram	viram	VMIP3P0	virar
hũ	um	DI0MS0	um
livro	livro	NCMS000	livro
q	que	PR0CN000	que
dezia	dizia	VMII0S0	dizer
q	que	CS	que
nãa	não	RN	não
avia	havia	VMII0S0	haver
paraiso	Paraíso	NP00000	paraíso
nẽ	nem	CCN	nem
inferno	Inferno	NP00000	inferno
	,	Fc	,
e	e	CC	e
eu	eu	PP1CSN00	eu
asi	assim	RG	assim
o	o	PP3MSA00	o
creo	creio	VMIP1S0	crer
e	e	CC	e
asino	assino	VMIP1S0	assinar
aqui	aqui	RG	aqui
de	de	SPS00	de
meu	meu	DP1MSS	meu
sinall	sinal	NCMS000	sinal
	.	Fp	.
de	De	SPS00	de
xxij	XXII	Z	xxii
de	de	SPS00	de
novẽbro	novembro	NCMS000	novembro
de	de	SPS00	de
1593	1593	Z	1593
anos	anos	NCMP000	ano
	.	Fp	.
frco	Francisco	NP00000	francisco
frz	Fernandes	NP00000	fernandes
