Charissma	Carísima	AQSFS0	caro
	.	Fp	.
q	Que	CS	que
de	de	SPS00	de
no	no	RN	no
obedezerme	obedecerme	VMN0000+PP1CS000	obedecer+me
y	y	CC	y
darle	darle	VMN0000+PP3CSD00	dar+le
oydos	oídos	NCMP000	oído
a	a	SPS00	a
la	la	DA0FS0	el
serpiente	serpiente	NCFS000	serpiente
te	te	PP2CS000	te
naçen	nacen	VMIP3P0	nacer
esos	esos	DD0MP0	ese
males	males	NCMP000	mal
que	que	PR0CN000	que
has	has	VAIP2S0	haber
pasado	pasado	VMP0000	pasar
y	y	CC	y
pasas	pasas	NCFP000	pasa
.	.	Fp	.
eso	Eso	PD0NN000	eso
que	que	PR0CN000	que
fue	fue	VMIS3S0	ir
en	en	SPS00	en
mi	mi	DP1CSS	mi
pañuelo	pañuelo	NCMS000	pañuelo
es	es	VSIP3S0	ser
efecto	efecto	NCMS000	efecto
de	de	SPS00	de
mi	mi	DP1CSS	mi
charidad	caridad	NCFS000	caridad
por	por	SPS00	por
tu	tu	DP2CSS	tu
salud	salud	NCFS000	salud
spiritual	espiritual	AQ0CS0	espiritual
y	y	CC	y
corporal	corporal	AQ0CS0	corporal
	,	Fc	,
qu	que	CS	que
es	es	VSIP3S0	ser
un	un	DI0MS0	uno
sacrificio	sacrificio	NCMS000	sacrificio
que	que	PR0CN000	que
hize	hice	VMIS1S0	hacer
yo	yo	PP1CSN00	yo
anoche	anoche	RG	anoche
por	por	SPS00	por
tu	tu	DP2CSS	tu
salud	salud	NCFS000	salud
.	.	Fp	.
trata	Trata	VMIP3S0	tratar
de	de	SPS00	de
quietarte	quietarte	VMN0000+PP2CS000	quietar+te
y	y	CC	y
de	de	SPS00	de
obedezerme	obedecerme	VMN0000+PP1CS000	obedecer+me
en	en	SPS00	en
todo	todo	PI0MS000	todo
	.	Fp	.
mira	Mira	VMM02S0	mirar
que	que	CS	que
te	te	PP2CS000	te
has	has	VMIP2S0	haber
de	de	SPS00	de
perder	perder	VMN0000	perder
.	.	Fp	.
siempre	Siempre	RG	siempre
que	que	CS	que
fuse	fuese	VMSI0S0	ir
necessd	necesidad	NCFS000	necesidad
te	te	PP2CS000	te
hablare	hablaré	VMIF1S0	hablar
de	de	SPS00	de
criaturas	criaturas	NCFP000	criatura
y	y	CC	y
en	en	SPS00	en
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
descuida	descuida	VMIP3S0	descuidar
.	.	Fp	.
a	A	SPS00	a
tu	tu	DP2CSS	tu
salud	salud	NCFS000	salud
e	he	VAIP1S0	haber
ayudado	ayudado	VMP0000	ayudar
y	y	CC	y
ayudo	ayudo	VMIP1S0	ayudar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
puedo	puedo	VMIP1S0	poder
	,	Fc	,
no	no	RN	no
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
a	ha	VMIP3S0	haber
de	de	SPS00	de
mandar	mandar	VMN0000	mandar
Dios	Dios	NP00000	dios
	.	Fp	.
algunas	Algunas	DI0FP0	alguno
cosas	cosas	NCFP000	cosa
de	de	SPS00	de
tu	tu	DP2CSS	tu
papel	papel	NCMS000	papel
de	de	SPS00	de
oy	hoy	RG	hoy
no	no	RN	no
las	las	PP3FPA00	lo
entiendo	entiendo	VMIP1S0	entender
porque	porque	CS	porque
mi	mi	DP1CSS	mi
contra	contraria	NCFS000	contrario
la	la	PP3FSA00	lo
beo	veo	VMIP1S0	ver
muy	muy	RQ	muy
segura	segura	AQ0FS0	seguro
muchos	muchos	DI0MP0	mucho
años	años	NCMP000	año
à	ha	VMIP3S0	haber
	.	Fp	.
y	Y	CC	y
arredro	arredro	RG	arredro
baya	vaya	VMSP0S0	ir
el	el	DA0MS0	el
que	que	CS	que
yo	yo	PP1CSN00	yo
quiera	quiera	VMSP0S0	querer
a	a	SPS00	a
otra	otra	PI0FS000	otro
que	que	CS	que
á	a	SPS00	a
christo	Cristo	NP00000	cristo
mi	mi	DP1CSS	mi
bien	bien	NCMS000	bien
à	a	SPS00	a
quien	quien	PR0CS000	quien
sirbo	sirvo	VMIP1S0	servir
con	con	SPS00	con
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
spiritu	espíritu	NCMS000	espíritu
	,	Fc	,
corazon	corazón	NCMS000	corazón
y	y	CC	y
alma	alma	NCFS000	alma
	.	Fp	.
àDios	Adiós	I	adiós
por	por	SPS00	por
àora	ahora	RG	ahora
.	.	Fp	.
