considerando	Considerando	VMG0000	considerar
guarde	Guarde	VMSP0S0	guardar
nro	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
a	a	SPS00	a
vmd	VM	NP00000	VM
muchos	muchos	DI0MP0	mucho
años	años	NCMP000	año
con	con	SPS00	con
la	la	DA0FS0	el
salud	salud	NCFS000	salud
y	y	CC	y
prosperida	prosperidad	NCFS000	prosperidad
q	que	CS	que
yo	yo	PP1CSN00	yo
deseo	deseo	VMIP1S0	desear
	.	Fp	.
de	De	SPS00	de
yepes	Yepes	NP00000	yepes
	,	Fc	,
y	y	CC	y
diçienbre	diciembre	NCMS000	diciembre
treçe	trece	Z	13
de	de	SPS00	de
mill	mil	Z	1000
y	y	CC	y
sisçientos	seiscientos	Z	600
y	y	CC	y
diezysiete	diecisiete	Z	17
	.	Fp	.
Ay	Ahí	RG	ahí
llevan	llevan	VMIP3P0	llevar
una	una	DI0FS0	uno
bota	bota	NCFS000	bota
de	de	SPS00	de
cuño	cuño	NCMS000	cuño
	.	Fp	.
vmd	VM	NP00000	VM
perdone	perdone	VMSP0S0	perdonar
	,	Fc	,
q	que	CS	que
yo	yo	PP1CSN00	yo
quisiera	quisiera	VMSI0S0	querer
fuera	fuera	VSSI0S0	ser
mejor	mejor	RC	mejor
	.	Fp	.
luis	Luis	NP00000	luis
alvarez	Álvarez	NP00000	álvarez
el	el	DA0MS0	el
aguila	Águila	NP00000	águila
