En	En	SPS00	en
Quanto	Cuanto	PA000000	cuanto
mas	más	RC	más
que	que	CS	que
en	en	SPS00	en
ley	ley	NCFS000	ley
de	de	SPS00	de
buena	buena	AQ0FS0	bueno
cortesia	cortesía	NCFS000	cortesía
se	se	P00CN000	se
deben	deben	VMIP3P0	deber
essa	ésa	PD0FS000	ese
los	los	DA0MP0	el
de	de	SPS00	de
un	un	DI0MS0	uno
mismo	mismo	AQ0MS0	mismo
arte	arte	NCCS000	arte
	,	Fc	,
que	que	CS	que
durate	durante	SPS00	durante
la	la	DA0FS0	el
conducta	conducta	NCFS000	conducta
no	no	RN	no
se	se	P00CN000	se
debe	debe	VMIP3S0	deber
de	de	SPS00	de
tratar	tratar	VMN0000	tratar
de	de	SPS00	de
sacar	sacar	VMN0000	sacar
a	a	SPS00	a
quien	quien	PR0CS000	quien
esta	está	VMIP3S0	estar
conducido	conducido	VMP00SM	conducir
.	.	Fp	.
Aqui	Aquí	RG	aquí
ha	ha	VMIP3S0	haber
de	de	SPS00	de
haber	haber	VMN0000	haber
muy	muy	RQ	muy
grandes	grandes	AQ0CP0	grande
disgustos	disgustos	NCMP000	disgusto
entre	entre	SPS00	entre
los	los	DA0MP0	el
ss	señores	NCMP000	señor
jurados	jurados	NCMP000	jurado
y	y	CC	y
el	el	DA0MS0	el
cirujano	cirujano	NCCS000	cirujano
y	y	CC	y
la	la	DA0FS0	el
maior	mayor	AQ0CS0	mayor
parte	parte	NCFS000	parte
de	de	SPS00	de
los	los	DA0MP0	el
vesinos	vecinos	NCMP000	vecino
de	de	SPS00	de
esta	esta	DD0FS0	este
villa	villa	NCFS000	villa
.	,	Fc	,
de	de	SPS00	de
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
seguir	seguir	VMN0000	seguir
muy	muy	RQ	muy
grandes	grandes	AQ0CP0	grande
offenssas	ofensas	NCFP000	ofensa
de	de	SPS00	de
Dios	Dios	NP00000	dios
y	y	CC	y
turbacion	turbación	NCFS000	turbación
del	del	SPS00+DA0MS0	de+el
bien	bien	NCMS000	bien
comun	común	AQ0CS0	común
.	.	Fp	.
Que	Que	CS	que
aunque	aunque	CS	aunque
estos	estos	DD0MP0	este
ss	señores	NCMP000	señor
lo	lo	PP3CNA00	lo
haian	hayan	VASP3P0	haber
hecho	hecho	VMP0000	hacer
	,	Fc	,
yo	yo	PP1CSN00	yo
creo	creo	VMIP1S0	creer
que	que	CS	que
lo	lo	PP3CNA00	lo
sienten	sienten	VMIP3P0	sentir
	,	Fc	,
aunque	aunque	CS	aunque
no	no	RN	no
lo	lo	PP3CNA00	lo
muestran	muestran	VMIP3P0	mostrar
	,	Fc	,
de	de	SPS00	de
que	que	CS	que
sin	sin	SPS00	sin
occassion	ocasión	NCFS000	ocasión
al	al	SPS00+DA0MS0	a+el
menos	menos	RC	menos
legitima	legítima	AQ0FS0	legítimo
haian	hayan	VASP3P0	haber
despidido	despedido	VMP0000	despedir
a	a	SPS00	a
una	una	DI0FS0	uno
persona	persona	NCFS000	persona
tan	tan	RC	tan
benemerita	benemérita	AQ0FS0	benemérito
de	de	SPS00	de
la	la	DA0FS0	el
conducta	conducta	NCFS000	conducta
de	de	SPS00	de
l	La	DA0FS0	el
almolda	Almolda	NP00000	almolda
como	como	CS	como
la	la	DA0FS0	el
que	que	PR0CN000	que
tienen	tienen	VMIP3P0	tener
	.	Fp	.
y	Y	CC	y
pues	pues	CS	pues
a	a	SPS00	a
Vm	VM	NP00000	VM
no	no	RN	no
le	le	PP3CSD00	le
han	han	VMIP3P0	haber
de	de	SPS00	de
faltar	faltar	VMN0000	faltar
conductas	conductas	NCFP000	conducta
tan	tan	RC	tan
honrradas	honradas	AQ0FP0	honrado
como	como	CS	como
las	las	DA0FP0	el
de	de	SPS00	de
esta	esta	DD0FS0	este
villa	villa	NCFS000	villa
y	y	CC	y
de	de	SPS00	de
tanto	tanto	DI0MS0	tanto
provecho	provecho	NCMS000	provecho
	,	Fc	,
dexesse	déjese	VMSP0S0+P00CN000	dejar+se
Vm	VM	NP00000	VM
de	de	SPS00	de
quentos	cuentos	NCMP000	cuento
de	de	SPS00	de
benir	venir	VMN0000	venir
a	a	SPS00	a
servir	servir	VMN0000	servir
adonde	adonde	PA000000	adonde
no	no	RN	no
viene	viene	VMIP3S0	venir
con	con	SPS00	con
gusto	gusto	NCMS000	gusto
de	de	SPS00	de
todos	todos	PI0MP000	todo
y	y	CC	y
que	que	CS	que
a	a	SPS00	a
qualquiere	cualquiera	DI0CS0	cualquiera
nineria	niñería	NCFS000	niñería
a	ha	VMIP3S0	haber
de	de	SPS00	de
estar	estar	VMN0000	estar
siempre	siempre	RG	siempre
inquieto	inquieto	AQ0MS0	inquieto
	.	Fp	.
Y	Y	CC	y
ssi	si	CS	si
le	le	PP3CSD00	le
pareze	parece	VMIP3S0	parecer
que	que	CS	que
yo	yo	PP1CSN00	yo
le	le	PP3CSA00	le
engaño	engaño	VMIP1S0	engañar
	,	Fc	,
bengase	véngase	VMSP0S0+P00CN000	venir+se
Vm	VM	NP00000	VM
aqui	aquí	RG	aquí
y	y	CC	y
rescivira	recibirá	VMIF3S0	recibir
desengaño	desengaño	NCMS000	desengaño
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
le	le	PP3CSD00	le
digo	digo	VMIP1S0	decir
	.	Fp	.
Y	Y	CC	y
no	no	RN	no
digo	digo	VMIP1S0	decir
mas	más	RC	más
	,	Fc	,
sino	sino	CC	sino
sapienti	sapienti	NCMS000	sapiens
pauca	pauca	PI0NP000	paucus
	.	Fp	.
Y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
nro	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vm	VM	NP00000	VM
	.	Fp	.
de	De	SPS00	de
l	La	DA0FS0	el
almolda	Almolda	NP00000	almolda
	,	Fc	,
y	y	CC	y
octubre	octubre	NCMS000	octubre
a	a	SPS00	a
29	29	Z	29
de	de	SPS00	de
1611	1611	Z	1611
	.	Fp	.
Joan	Juan	NP00000	juan
Palacio	Palacio	NP00000	palacio
