A	A		
diçe	dice		
q	que		
	,		
aunq	aunque		
sea	sea		
muriendose	muriéndose		
en	en		
conformidad	conformidad		
de	de		
lo	lo		
q	que		
el	el		
sor	señor		
don	don		
po	Pedro		
le	le		
dixo	dijo		
qdo	cuando		
estubo	estuvo		
en	en		
sta	Santa		
ma	María		
del	del		
campo	Campo		
esta	esta		
ultima	última		
bez	vez		
	,		
que	que		
fuesse	fuese		
en	en		
abisandole	avisándole		
	,		
q	que		
lo	lo		
hara	hará		
luego	luego		
	;		
q	que		
le	le		
abise	avise		
pa	para		
que	qué		
dia	día		
y	y		
adonde	adónde		
	.		
todo	Todo		
esto	esto		
podra	podrá		
vmd	VM		
remitir	remitir		
y	y		
enbiarme	enviarme		
a	a		
mandar	mandar		
	.		
y	Y		
porq	porque		
creo	creo		
q	que		
don	don		
manuel	Manuel		
y	y		
ma	María		
escriben	escriben		
a	a		
vmd	VM		
y	y		
a	a		
essas	esas		
sas	señoras		
	,		
yo	yo		
no	no		
sere	seré		
mas	más		
largo	largo		
mas	más		
de	de		
q	que		
me	me		
olgare	holgaré		
esta	ésta		
alle	halle		
a	a		
vmd	VM		
con	con		
la	la		
salud	salud		
q	que		
toda	toda		
esta	esta		
casa	casa		
le	le		
desea	desea		
	,		
a	a		
quien	quien		
su	su		
po	Pedro		
me	me		
mande	mande		
	.		
de	De		
san	San		
clemte	Clemente		
	,		
22	22		
de	de		
sete	septiembre		
1634	1634		
	.		
sebastian	Sebastián		
moreno	Moreno		
