Luego	Luego	RG	luego
dado	dado	VMP0000	dar
pte	parte	NCFS000	parte
	.	Fp	.
açerto	Acertó	VMIS3S0	acertar
a	a	SPS00	a
estar	estar	VMN0000	estar
en	en	SPS00	en
la	la	DA0FS0	el
carçel	cárcel	NCFS000	cárcel
Uno	uno	Z	1
de	de	SPS00	de
los	los	DA0MP0	el
Ss	señores	NCMP000	señor
	.	Fp	.
y	Y	CC	y
procurando	procurando	VMG0000	procurar
como	como	CS	como
mejor	mejor	RC	mejor
y	y	CC	y
mas	más	RC	más
secreto	secreto	NCMS000	secreto
pudiera	pudiera	VMSI0S0	poder
deçir	decir	VMN0000	decir
	,	Fc	,
tratandolo	tratándolo	VMG0000+PP3MSA00	tratar+lo
con	con	SPS00	con
el	él	PP3MS000	él
Ju	Juan	NP00000	juan
garçia	García	NP00000	garcía
	,	Fc	,
familiar	familiar	AQ0CS0	familiar
	,	Fc	,
para	para	SPS00	para
que	que	CS	que
lo	lo	PP3CNA00	lo
llamase	llamase	VMSI0S0	llamar
	,	Fc	,
no	no	RN	no
se	se	P00CN000	se
atrebio	atrevió	VMIS3S0	atrever
a	a	SPS00	a
sacarlo	sacarlo	VMN0000+PP3MSA00	sacar+lo
de	de	SPS00	de
la	la	DA0FS0	el
carçel	cárcel	NCFS000	cárcel
por	por	SPS00	por
tenerlo	tenerlo	VMN0000+PP3CNA00	tener+lo
preso	preso	AQ0MS0	preso
su	su	DP3CS0	su
compañero	compañero	NCMS000	compañero
ni	ni	CC	ni
tanpoco	tampoco	RG	tampoco
a	a	SPS00	a
deçirselo	decírselo	VMN0000+PP3CN000+PP3CNA00	decir+se+lo
	,	Fc	,
porque	porque	CS	porque
le	le	PP3CSD00	le
pareçio	pareció	VMIS3S0	parecer
que	que	CS	que
se	se	P00CN000	se
haria	haría	VMIC0S0	hacer
el	el	DA0MS0	el
negoçio	negocio	NCMS000	negocio
publico	público	AQ0MS0	público
y	y	CC	y
el	el	DA0MS0	el
Alcalde	alcalde	NCMS000	alcalde
no	no	RN	no
lo	lo	PP3CNA00	lo
daria	daría	VMIC0S0	dar
sin	sin	SPS00	sin
querer	querer	VMN0000	querer
saber	saber	VMN0000	saber
lo	lo	DA0NS0	el
que	que	PR0CN000	que
era	era	VSII0S0	ser
	.	Fp	.
y	Y	CC	y
ansi	así	RG	así
nos	nos	PP1CP000	nos
encamino	encaminó	VMIS3S0	encaminar
Al	al	SPS00+DA0MS0	a+el
notario	notario	NCMS000	notario
y	y	CC	y
a	a	SPS00	a
mi	mí	PP1CSO00	mí
A	a	SPS00	a
la	la	DA0FS0	el
carçel	cárcel	NCFS000	cárcel
	,	Fc	,
qu	que	CS	que
esta	está	VMIP3S0	estar
en	en	SPS00	en
la	la	DA0FS0	el
plaça	plaza	NCFS000	plaza
de	de	SPS00	de
la	la	DA0FS0	el
Va	villa	NCFS000	villa
	,	Fc	,
y	y	CC	y
la	la	PP3FSA00	lo
hallamos	hallamos	VMIP1P0	hallar
Abierta	abierta	VMP00SF	abrir
y	y	CC	y
casi	casi	RG	casi
A	a	SPS00	a
la	la	DA0FS0	el
puerta	puerta	NCFS000	puerta
	,	Fc	,
sentado	sentado	VMP00SM	sentar
con	con	SPS00	con
grillos	grillos	NCMP000	grillo
	,	Fc	,
miguel	Miguel	NP00000	miguel
sanchez	Sánchez	NP00000	sánchez
	.	Fp	.
conoçi	Conocí	VMIS1S0	conocer
era	era	VSII0S0	ser
el	él	PP3MS000	él
por	por	SPS00	por
las	las	DA0FP0	el
señas	señas	NCFP000	seña
y	y	CC	y
porque	porque	CS	porque
no	no	RN	no
abia	había	VMII0S0	haber
otro	otro	PI0MS000	otro
.	.	Fp	.
llamele	Llamele	VMIS1S0+PP3CSD00	llamar+le
apte	aparte	RG	aparte
y	y	CC	y
conforme	conforme	RG	conforme
al	al	SPS00+DA0MS0	a+el
estilo	estilo	NCMS000	estilo
le	le	PP3CSD00	le
examine	examiné	VMIS1S0	examinar
en	en	SPS00	en
Un	un	DI0MS0	uno
aposento	aposento	NCMS000	aposento
	.	Fp	.
i	Y	CC	y
A	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
a	ha	VAIP3S0	haber
bisto	visto	VMP0000	ver
	,	Fc	,
el	el	DA0MS0	el
Comisso	comisario	NCCS000	comisario
nos	nos	PP1CP000	nos
açecho	acechó	VMIS3S0	acechar
desde	desde	SPS00	desde
que	que	CS	que
entramos	entramos	VMIP1P0	entrar
	,	Fc	,
Porque	porque	CS	porque
nos	nos	PP1CP000	nos
bio	vio	VMIS3S0	ver
su	su	DP3CS0	su
hermano	hermano	NCMS000	hermano
y	y	CC	y
conoçio	conoció	VMIS3S0	conocer
	,	Fc	,
como	como	CS	como
confeso	confesó	VMIS3S0	confesar
en	en	SPS00	en
la	la	DA0FS0	el
carçel	cárcel	NCFS000	cárcel
	,	Fc	,
yendo	yendo	VMG0000	ir
a	a	SPS00	a
conpañar	acompañar	VMN0000	acompañar
al	al	SPS00+DA0MS0	a+el
alcalde	alcalde	NCMS000	alcalde
finalmte	finalmente	RG	finalmente
su	su	DP3CS0	su
hermano	hermano	NCMS000	hermano
	.	Fp	.
el	El	DA0MS0	el
Comisso	comisario	NCCS000	comisario
nos	nos	PP1CP000	nos
açeho	acechó	VMIS3S0	acechar
estando	estando	VMG0000	estar
examinando	examinando	VMG0000	examinar
Al	al	SPS00+DA0MS0	a+el
preso	preso	AQ0MS0	preso
	.	Fp	.
conoçi	Conocí	VMIS1S0	conocer
gente	gente	NCFS000	gente
por	por	SPS00	por
entre	entre	SPS00	entre
la	la	DA0FS0	el
puerta	puerta	NCFS000	puerta
y	y	CC	y
oy	oí	VMIS1S0	oír
el	el	DA0MS0	el
Ruydo	ruido	NCMS000	ruido
	.	Fp	.
hiçe	Hice	VMIS1S0	hacer
Al	al	SPS00+DA0MS0	a+el
preso	preso	AQ0MS0	preso
saliera	saliera	VMSI0S0	salir
por	por	SPS00	por
mejor	mejor	RC	mejor
	,	Fc	,
como	como	CS	como
estaba	estaba	VMII0S0	estar
co	con	SPS00	con
grillos	grillos	NCMP000	grillo
	.	Fp	.
di	Di	VMIS1S0	dar
lugar	lugar	NCMS000	lugar
a	a	SPS00	a
guardarse	guardarse	VMN0000+P00CN000	guardar+se
	.	Fp	.
acabe	Acabé	VMIS1S0	acabar
de	de	SPS00	de
examinarlo	examinarlo	VMN0000+PP3MSA00	examinar+lo
y	y	CC	y
quando	cuando	PA000000	cuando
salimos	salimos	VMIP1P0	salir
el	el	DA0MS0	el
notario	notario	NCMS000	notario
y	y	CC	y
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
Alcançamos	alcanzamos	VMIP1P0	alcanzar
a	a	SPS00	a
ber	ver	VMN0000	ver
que	que	CS	que
salia	salía	VMII0S0	salir
aprisa	aprisa	RG	aprisa
	.	Fp	.
yo	Yo	PP1CSN00	yo
le	le	PP3CSD00	le
conoçi	conocí	VMIS1S0	conocer
y	y	CC	y
ansi	así	RG	así
bolbi	volví	VMIS1S0	volver
con	con	SPS00	con
el	el	DA0MS0	el
notario	notario	NCMS000	notario
a	a	SPS00	a
la	la	DA0FS0	el
carçelera	carcelera	NCFS000	carcelero
a	a	SPS00	a
preguntarle	preguntarle	VMN0000+PP3CSD00	preguntar+le
quienes	quiénes	PT0CP000	quién
eran	eran	VSII3P0	ser
los	los	DA0MP0	el
que	que	PR0CN000	que
alli	allí	RG	allí
abian	habían	VAII3P0	haber
entrado	entrado	VMP0000	entrar
	.	Fp	.
y	Y	CC	y
alborotose	alborotose	VMIS3S0+P00CN000	alborotar+se
con	con	SPS00	con
su	su	DP3CS0	su
preñado	preñado	NCMS000	preñado
y	y	CC	y
ocasionome	ocasionome	VMIS3S0+PP1CS000	ocasionar+me
	.	Fp	.
yo	Yo	PP1CSN00	yo
me	me	PP1CS000	me
Arme	armé	VMIS1S0	armar
de	de	SPS00	de
paçiençia	paciencia	NCFS000	paciencia
	.	Fp	.
bi	Vi	VMIS1S0	ver
Al	al	SPS00+DA0MS0	a+el
comisso	comisario	NCCS000	comisario
en	en	SPS00	en
Un	un	DI0MS0	uno
coRo	corro	NCMS000	corro
y	y	CC	y
a	a	SPS00	a
el	el	DA0MS0	el
Alcalde	alcalde	NCMS000	alcalde
con	con	SPS00	con
otros	otros	PI0MP000	otro
	.	Fp	.
binieron	Vinieron	VMIS3P0	venir
para	para	SPS00	para
nosotros	nosotros	PP1MP000	nosotros
y	y	CC	y
en	en	SPS00	en
la	la	DA0FS0	el
carçel	cárcel	NCFS000	cárcel
el	el	DA0MS0	el
Alcalde	alcalde	NCMS000	alcalde
nos	nos	PP1CP000	nos
trato	trató	VMIS3S0	tratar
como	como	CS	como
no	no	RN	no
causo	causó	VMIS3S0	causar
A	a	SPS00	a
Vsa	VSa	NP00000	VSa
	,	Fc	,
quiriendo	queriendo	VMG0000	querer
saber	saber	VMN0000	saber
lo	lo	DA0NS0	el
que	que	PR0CN000	que
era	era	VSII0S0	ser
y	y	CC	y
amedrantandonos	amedrentándonos	VMG0000+PP1CP000	amedrentar+nos
con	con	SPS00	con
prisiones	prisiones	NCFP000	prisión
	.	Fp	.
acompañole	Acompañole	VMIS3S0+PP3CSA00	acompañar+le
el	el	DA0MS0	el
hermano	hermano	NCMS000	hermano
del	del	SPS00+DA0MS0	de+el
comisso	comisario	NCCS000	comisario
q	que	CS	que
nos	nos	PP1CP000	nos
abia	había	VAII0S0	haber
bisto	visto	VMP0000	ver
entrar	entrar	VMN0000	entrar
(	(	Fba	(
segun	según	SPS00	según
el	el	DA0MS0	el
confeso	confesó	VMIS3S0	confesar
)	)	Fbt	)
y	y	CC	y
otros	otros	PI0MP000	otro
que	que	CS	que
	,	Fc	,
como	como	CS	como
eran	eran	VSII3P0	ser
ya	ya	RG	ya
las	las	DA0FP0	el
onçe	once	Z	11
y	y	CC	y
yo	yo	PP1CSN00	yo
forastero	forastero	AQ0MS0	forastero
	,	Fc	,
no	no	RN	no
conoçi	conocí	VMIS1S0	conocer
mas	más	RC	más
de	de	SPS00	de
que	que	PR0CN000	que
benian	venían	VMII3P0	venir
de	de	SPS00	de
mano	mano	NCFS000	mano
Armada	armada	NCFS000	armada
y	y	CC	y
qu	que	CS	que
el	el	DA0MS0	el
comisso	comisario	NCCS000	comisario
se	se	P00CN000	se
abia	había	VAII0S0	haber
quedado	quedado	VMP0000	quedar
a	a	SPS00	a
longe	longe	NCMS000	longe
	.	Fp	.
y	Y	CC	y
como	como	CS	como
por	por	SPS00	por
Umildad	humildad	NCFS000	humildad
conbençi	convencí	VMIS1S0	convencer
Al	al	SPS00+DA0MS0	a+el
Alcalde	alcalde	NCMS000	alcalde
y	y	CC	y
Raçones	razones	NCFP000	razón
q	que	PR0CN000	que
pude	pude	VMIS1S0	poder
	,	Fc	,
pidiendo	pidiendo	VMG0000	pedir
testimonio	testimonio	NCMS000	testimonio
Al	al	SPS00+DA0MS0	a+el
notario	notario	NCMS000	notario
de	de	SPS00	de
la	la	DA0FS0	el
injusta	injusta	NCFS000	injusto
prission	prisión	NCFS000	prisión
y	y	CC	y
comedimtos	comedimientos	NCFP000	comedimiento
siendo	siendo	VSG0000	ser
clerigos	clérigos	NCMP000	clérigo
	,	Fc	,
y	y	CC	y
no	no	RN	no
dando	dando	VMG0000	dar
ocasion	ocasión	NCFS000	ocasión
	,	Fc	,
nos	nos	PP1CP000	nos
dejo	dejó	VMIS3S0	dejar
encomendados	encomendados	NCMP000	encomendado
Al	al	SPS00+DA0MS0	a+el
Alguaçil	alguacil	NCMS000	alguacil
y	y	CC	y
herno	hermano	NCMS000	hermano
del	del	SPS00+DA0MS0	de+el
comisso	comisario	NCCS000	comisario
	.	Fp	.
y	Y	CC	y
sin	sin	SPS00	sin
salir	salir	VMN0000	salir
de	de	SPS00	de
la	la	DA0FS0	el
puerta	puerta	NCFS000	puerta
luego	luego	RG	luego
hiço	hizo	VMIS3S0	hacer
jornada	jornada	NCFS000	jornada
el	el	DA0MS0	el
comisso	comisario	NCCS000	comisario
	;	Fx	;
y	y	CC	y
entro	entró	VMIS3S0	entrar
como	como	CS	como
a	a	SPS00	a
haçer	hacer	VMN0000	hacer
paçes	paces	NCFP000	paz
o	o	CC	o
treguas	treguas	NCFP000	tregua
	;	Fx	;
y	y	CC	y
me	me	PP1CS000	me
conbido	convidó	VMIS3S0	convidar
co	con	SPS00	con
posada	posada	NCFS000	posada
y	y	CC	y
querello	querelló	VMIS3S0	querellar
no	no	RN	no
me	me	PP1CS000	me
ubiese	hubiese	VASI0S0	haber
ydo	ido	VMP0000	ir
a	a	SPS00	a
ella	ella	PP3FS000	él
	.	Fp	.
siguionos	Siguionos	VMIS3S0+PP1CP000	seguir+nos
el	él	PP3MS000	él
y	y	CC	y
el	el	DA0MS0	el
Alcalde	alcalde	NCMS000	alcalde
hasta	hasta	SPS00	hasta
q	que	CS	que
nos	nos	PP1CP000	nos
bolbimos	volvimos	VMIS1P0	volver
A	a	SPS00	a
la	la	DA0FS0	el
posada	posada	NCFS000	posada
	,	Fc	,
despedidos	despedidos	NP00000	despedido
d	de	SPS00	de
ellos	ellos	PP3MP000	ellos
	.	Fp	.
procuro	Procuró	VMIS3S0	procurar
el	el	DA0MS0	el
Comisso	comisario	NCCS000	comisario
saber	saber	VMN0000	saber
de	de	SPS00	de
los	los	DA0MP0	el
familiares	familiares	NCMP000	familiar
a	a	SPS00	a
que	qué	PT0CN000	qué
abiamos	habíamos	VAII1P0	haber
ydo	ido	VMP0000	ir
.	.	Fp	.
Al	Al	SPS00+DA0MS0	a+el
preso	preso	AQ0MS0	preso
el	el	DA0MS0	el
Alcalde	alcalde	NCMS000	alcalde
aprisiono	aprisionó	VMIS3S0	aprisionar
mas	más	RC	más
para	para	SPS00	para
que	que	CS	que
dijera	dijera	VMSI0S0	decir
lo	lo	DA0NS0	el
que	que	PR0CN000	que
le	le	PP3CSD00	le
abiamos	habíamos	VAII1P0	haber
querido	querido	VMP0000	querer
	,	Fc	,
y	y	CC	y
el	el	DA0MS0	el
Comisso	comisario	NCCS000	comisario
a	a	SPS00	a
los	los	DA0MP0	el
demas	demás	NCMS000	demás
	.	Fp	.
y	Y	CC	y
he	he	VAIP1S0	haber
cho	hecho	VMP0000	hacer
las	las	DA0FP0	el
diligençias	diligencias	NCFP000	diligencia
que	que	PR0CN000	que
sirbiendose	sirviéndose	VMG0000+P00CN000	servir+se
VSa	VSa	NP00000	VSa
Por	por	SPS00	por
esas	esas	DD0FP0	ese
cartas	cartas	NCFP000	carta
bera	verá	VMIF3S0	ver
	.	Fp	.
yo	Yo	PP1CSN00	yo
no	no	RN	no
soy	soy	VSIP1S0	ser
nada	nada	RQ	nada
bengatibo	vengativo	AQ0MS0	vengativo
y	y	CC	y
entiendo	entiendo	VMIP1S0	entender
que	que	CS	que
no	no	RN	no
vive	vive	VMIP3S0	vivir
mas	más	RC	más
el	el	DA0MS0	el
leal	leal	AQ0CS0	leal
etta	etc	NCMS000	etcétera
	.	Fp	.
A	A	SPS00	a
VSa	VSa	NP00000	VSa
humilmte	humildemente	RG	humildemente
suppco	suplico	VMIP1S0	suplicar
coforme	conforme	RG	conforme
a	a	SPS00	a
esta	esta	DD0FS0	este
berdad	verdad	NCFS000	verdad
se	se	P00CN000	se
sirva	sirva	VMSP0S0	servir
haçer	hacer	VMN0000	hacer
en	en	SPS00	en
todo	todo	PI0MS000	todo
como	como	CS	como
mas	más	RC	más
combenga	convenga	VMSP0S0	convenir
a	a	SPS00	a
su	su	DP3CS0	su
so	servicio	NCMS000	servicio
	.	Fp	.
Ge	Guarde	VMSP0S0	guardar
nro	Nuestro	DP1MSP	nuestro
sr	Señor	NP00000	señor
A	a	SPS00	a
VSa	VSa	NP00000	VSa
con	con	SPS00	con
el	el	DA0MS0	el
Aumento	aumento	NCMS000	aumento
qu	que	PR0CN000	que
este	este	DD0MS0	este
su	su	DP3CS0	su
menor	menor	AQ0CS0	menor
sierbo	siervo	NCMS000	siervo
desea	desea	VMIP3S0	desear
siempre	siempre	RG	siempre
	,	Fc	,
sirbiendo	sirviendo	VMG0000	servir
A	a	SPS00	a
nro	Nuestro	DP1MSP	nuestro
Sr	Señor	NP00000	señor
con	con	SPS00	con
todo	todo	PI0MS000	todo
	.	Fp	.
de	De	SPS00	de
Pastrana	Pastrana	NP00000	pastrana
	,	Fc	,
Julio	julio	NCMS000	julio
12	12	Z	12
de	de	SPS00	de
1613	1613	Z	1613
.	.	Fp	.
gasPar	Gaspar	NP00000	gaspar
Maçuelas	Mazuelas	NP00000	mazuelas
SSes	Señores	NP00000	señor
Inquisidores	inquisidores	NCMP000	inquisidor
del	del	SPS00+DA0MS0	de+el
sto	Santo	NP00000	santo
offo	Oficio	NP00000	oficio
	.	Fp	.
