dn	Don	NP00000	don
are	haré	VMIF1S0	hacer
si	si	CS	si
tu	tú	PP2CSN00	tú
gustas	gustas	VMIP2S0	gustar
	,	Fc	,
q	que	CS	que
io	yo	PP1CSN00	yo
no	no	RN	no
quiero	quiero	VMIP1S0	querer
mas	más	RC	más
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
tu	tú	PP2CSN00	tú
quisieres	quisieres	VMSF2S0	querer
	.	Fp	.
si	Si	CS	si
quieres	quieres	VMIP2S0	querer
q	que	CS	que
lo	lo	PP3CNA00	lo
aga	haga	VMSP0S0	hacer
abisamela	avísamela	VMN0000+PP1CS000+PP3FSA00	avisar+me+lo
i	y	CC	y
benga	venga	VMSP0S0	venir
la	la	DA0FS0	el
Respuesta	respuesta	NCFS000	respuesta
con	con	SPS00	con
Recato	recato	NCMS000	recato
	.	Fp	.
io	Yo	PP1CSN00	yo
estoi	estoy	VMIP1S0	estar
cual	cual	PR0CS000	cual
no	no	RN	no
esten	estén	VMSP3P0	estar
los	los	DA0MP0	el
ereges	herejes	NCCP000	hereje
	.	Fp	.
pidele	Pídele	VMM02S0+PP3CSD00	pedir+le
a	a	SPS00	a
dios	Dios	NP00000	dios
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
Reçiba	reciba	VMSP0S0	recibir
en	en	SPS00	en
discuento	descuento	NCMS000	descuento
de	de	SPS00	de
mis	mis	DP1CPS	mi
culpas	culpas	NCFP000	culpa
	.	Fp	.
i	Y	CC	y
mira	mira	VMM02S0	mirar
q	que	CS	que
me	me	PP1CS000	me
abises	avises	VMSP2S0	avisar
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
e	he	VMIP1S0	haber
de	de	SPS00	de
açer	hacer	VMN0000	hacer
	,	Fc	,
q	que	CS	que
ia	ya	RG	ya
q	que	CS	que
io	yo	PP1CSN00	yo
padeçgo	padezco	VMIP1S0	padecer
no	no	RN	no
quierio	quiero	VMIP1S0	querer
q	que	CS	que
tu	tú	PP2CSN00	tú
padesgas	padezcas	VMSP2S0	padecer
estando	estando	VMG0000	estar
de	de	SPS00	de
todo	todo	PI0MS000	todo
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
	,	Fc	,
pues	pues	CS	pues
en	en	SPS00	en
esto	esto	PD0NN000	esto
no	no	RN	no
dire	diré	VMIF1S0	decir
mas	más	RC	más
de	de	SPS00	de
lla	la	DA0FS0	el
berdad	verdad	NCFS000	verdad
	,	Fc	,
q	que	CS	que
no	no	RN	no
se	sé	VMIP1S0	saber
como	cómo	PA000000	cómo
tu	tú	PP2CSN00	tú
echo	hecho	VMP0000	hacer
esto	esto	PD0NN000	esto
	.	Fp	.
si	Si	CS	si
digeren	dijeren	VMSF3P0	decir
de	de	SPS00	de
josefa	Josefa	NP00000	josefa
	,	Fc	,
deçir	decir	VMN0000	decir
q	que	CS	que
tu	tú	PP2CSN00	tú
no	no	RN	no
as	has	VAIP2S0	haber
bisto	visto	VMP0000	ver
nada	nada	PI0NN00N	nada
	.	Fp	.
