Don	Don	NP00000	don
a	a	SPS00	a
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
y	y	CC	y
a	a	SPS00	a
mi	mí	PP1CSO00	mí
mi	mi	DP1CSS	mi
Aguela	abuela	NCFS000	abuelo
y	y	CC	y
nos	nos	PP1CP000	nos
dixo	dijo	VMIS3S0	decir
q	que	CS	que
le	le	PP3CSD00	le
avian	habían	VAII3P0	haber
dicho	dicho	VMP0000	decir
q	que	CS	que
yo	yo	PP1CSN00	yo
decia	decía	VMII0S0	decir
a	a	SPS00	a
vozes	voces	NCFP000	voz
q	que	PR0CN000	que
su	su	DP3CS0	su
exa	excelencia	NP00000	excelencia
me	me	PP1CS000	me
echava	echaba	VMII0S0	echar
de	de	SPS00	de
su	su	DP3CS0	su
casa	casa	NCFS000	casa
	;	Fx	;
y	y	CC	y
q	que	CS	que
esso	eso	PD0NN000	eso
no	no	RN	no
qria	quería	VMII0S0	querer
q	que	CS	que
se	se	P00CN000	se
dixesse	dijese	VMSI0S0	decir
	;	Fx	;
y	y	CC	y
q	que	CS	que
por	por	SPS00	por
lo	lo	DA0NS0	el
q	que	PR0CN000	que
su	su	DP3CS0	su
exa	excelencia	NCFS000	excelencia
nos	nos	PP1CP000	nos
mandava	mandaba	VMII0S0	mandar
q	que	CS	que
nos	nos	PP1CP000	nos
fuessemos	fuésemos	VMSI1P0	ir
era	era	VSII0S0	ser
por	por	SPS00	por
la	la	DA0FS0	el
salud	salud	NCFS000	salud
de	de	SPS00	de
la	la	DA0FS0	el
duqsa	duquesa	NCFS000	duque
y	y	CC	y
ser	ser	VSN0000	ser
buen	buen	AQ0MS0	bueno
sucesso	suceso	NCMS000	suceso
del	del	SPS00+DA0MS0	de+el
parto	parto	VMIP1S0	partir
	.	Fp	.
y	Y	CC	y
dixe	dije	VMIS1S0	decir
q	que	CS	que
yo	yo	PP1CSN00	yo
no	no	RN	no
avia	había	VAII0S0	haber
dicho	dicho	VMP0000	decir
a	a	SPS00	a
nadie	nadie	PI0NN00N	nadie
q	que	CS	que
su	su	DP3CS0	su
exa	excelencia	NP00000	excelencia
me	me	PP1CS000	me
echava	echaba	VMII0S0	echar
	,	Fc	,
sino	sino	CC	sino
q	que	CS	que
a	a	SPS00	a
los	los	DA0MP0	el
q	que	PR0CN000	que
pensavan	pensaban	VMII3P0	pensar
q	que	CS	que
iva	iba	VMII0S0	ir
contra	contra	SPS00	contra
su	su	DP3CS0	su
gusto	gusto	NCMS000	gusto
le	le	PP3CSD00	le
respondia	respondía	VMII0S0	responder
yo	yo	PP1CSN00	yo
q	que	CS	que
io	yo	PP1CSN00	yo
no	no	RN	no
avia	había	VAII0S0	haber
hablado	hablado	VMP0000	hablar
en	en	SPS00	en
la	la	DA0FS0	el
jornada	jornada	NCFS000	jornada
ni	ni	CC	ni
mi	mi	DP1CSS	mi
muger	mujer	NCFS000	mujer
ni	ni	CC	ni
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
	,	Fc	,
sino	sino	CC	sino
q	que	CS	que
avia	había	VAII0S0	haber
salido	salido	VMP0000	salir
de	de	SPS00	de
su	su	DP3CS0	su
exa	excelencia	NCFS000	excelencia
el	el	DA0MS0	el
mandarnoslo	mandárnoslo	NCMS000	mandárnoslo
	.	Fp	.
con	Con	SPS00	con
esto	esto	PD0NN000	esto
la	la	PP3FSA00	lo
satisfice	satisfice	VMIS1S0	satisfacer
	.	Fp	.
luego	Luego	RG	luego
se	se	P00CN000	se
me	me	PP1CS000	me
quexo	quejó	VMIS3S0	quejar
de	de	SPS00	de
q	que	CS	que
	,	Fc	,
aviendola	habiéndola	VAG0000+PP3FSA00	haber+lo
visto	visto	VMP0000	ver
tam	tan	RC	tan
mala	mala	AQ0FS0	malo
	,	Fc	,
no	no	RN	no
me	me	PP1CS000	me
avia	había	VAII0S0	haber
obligado	obligado	VMP0000	obligar
a	a	SPS00	a
las	las	DA0FP0	el
deudas	deudas	NCFP000	deuda
	.	Fp	.
yo	Yo	PP1CSN00	yo
le	le	PP3CSD00	le
respondi	respondí	VMIS1S0	responder
q	que	CS	que
yo	yo	PP1CSN00	yo
no	no	RN	no
me	me	PP1CS000	me
avia	había	VMII0S0	haber
de	de	SPS00	de
ofrecer	ofrecer	VMN0000	ofrecer
a	a	SPS00	a
ello	ello	PD0NN000	ello
pa	para	SPS00	para
q	que	CS	que
luego	luego	RG	luego
dirian	dirían	VMIC3P0	decir
q	que	CS	que
yo	yo	PP1CSN00	yo
juzgava	juzgaba	VMII0S0	juzgar
a	a	SPS00	a
su	su	DP3CS0	su
exa	excelencia	NCFS000	excelencia
por	por	SPS00	por
muerta	muerta	VMP00SF	morir
y	y	CC	y
q	que	CS	que
lo	lo	PP3CNA00	lo
desseava	deseaba	VMII0S0	desear
	.	Fp	.
y	Y	CC	y
si	si	CS	si
su	su	DP3CS0	su
exa	excelencia	NP00000	excelencia
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
mandasse	mandase	VMSI0S0	mandar
	,	Fc	,
veria	vería	VMIC0S0	ver
como	como	CS	como
io	yo	PP1CSN00	yo
la	la	PP3FSA00	lo
obedecia	obedecía	VMII0S0	obedecer
	.	Fp	.
offrecer	ofrecer	VMN0000	ofrecer
a	a	SPS00	a
esto	esto	PD0NN000	esto
si	si	CS	si
tenia	tenía	VMII0S0	tener
su	su	DP3CS0	su
exa	excelencia	NP00000	excelencia
curados	curados	NP00000	curados
de	de	SPS00	de
los	los	DA0MP0	el
mas	más	RC	más
confidentes	confidentes	AQ0CP0	confidente
mios	míos	PX1MP0S0	mío
q	que	CS	que
me	me	PP1CS000	me
aconsejavan	aconsejaban	VMII3P0	aconsejar
lo	lo	DA0NS0	el
contrario	contrario	NCMS000	contrario
	.	Fp	.
preguntome	Preguntome	VMIS3S0+PP1CS000	preguntar+me
q	que	CS	que
quien	quién	PT0CS000	quién
era	era	VSII0S0	ser
el	el	DA0MS0	el
y	y	CC	y
le	le	PP3CSD00	le
dixe	dije	VMIS1S0	decir
q	que	CS	que
don	don	NP00000	don
luis	Luis	NP00000	luis
de	de	SPS00	de
lauri	Lauri	NP00000	lauri
me	me	PP1CS000	me
avia	había	VAII0S0	haber
dicho	dicho	VMP0000	decir
	,	Fc	,
quando	cuando	PA000000	cuando
su	su	DP3CS0	su
exa	excelencia	NP00000	excelencia
estuvo	estuvo	VMIS3S0	estar
mala	mala	AQ0FS0	malo
la	la	DA0FS0	el
otra	otra	DI0FS0	otro
ves	vez	NCFS000	vez
	,	Fc	,
q	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
obligasse	obligase	VMSI0S0	obligar
a	a	SPS00	a
nada	nada	PI0NN00N	nada
ni	ni	CC	ni
me	me	PP1CS000	me
passase	pasase	VMSI0S0	pasar
por	por	SPS00	por
el	el	DA0MS0	el
pensamiento	pensamiento	NCMS000	pensamiento
	,	Fc	,
prq	porque	CS	porque
sin	sin	SPS00	sin
obligarme	obligarme	VMN0000+PP1CS000	obligar+me
era	era	VSII0S0	ser
todo	todo	PI0MS000	todo
mio	mío	DP1MSS	mío
	.	Fp	.
dixome	Díjome	VMIS3S0+PP1CS000	decir+me
su	su	DP3CS0	su
exa	excelencia	NCFS000	excelencia
q	que	CS	que
no	no	RN	no
lo	lo	PP3CNA00	lo
avia	había	VAII0S0	haber
oido	oído	VMP0000	oír
hasta	hasta	SPS00	hasta
aora	ahora	RG	ahora
y	y	CC	y
io	yo	PP1CSN00	yo
le	le	PP3CSD00	le
respondi	respondí	VMIS1S0	responder
q	que	CS	que
q	que	CS	que
	,	Fc	,
si	si	CS	si
todo	todo	PI0MS000	todo
lo	lo	PP3CNA00	lo
sabia	sabía	VMII0S0	saber
por	por	SPS00	por
chismes	chismes	NCMP000	chisme
de	de	SPS00	de
don	don	NP00000	don
luis	Luis	NP00000	luis
	,	Fc	,
q	que	CS	que
no	no	RN	no
avia	había	VMII0S0	haber
de	de	SPS00	de
decir	decir	VMN0000	decir
el	él	PP3MS000	él
lo	lo	DA0NS0	el
q	que	PR0CN000	el
le	le	PP3CSD00	le
estava	estaba	VMII0S0	estar
mal	mal	NCMS000	mal
	.	Fp	.
dixome	Díjome	VMIS3S0+PP1CS000	decir+me
su	su	DP3CS0	su
exa	excelencia	NCFS000	excelencia
q	que	CS	que
todos	todos	PI0MP000	todo
le	le	PP3CSD00	le
querian	querían	VMII3P0	querer
mal	mal	RG	mal
y	y	CC	y
q	que	CS	que
le	le	PP3CSD00	le
murmuravan	murmuraban	VMII3P0	murmurar
y	y	CC	y
io	yo	PP1CSN00	yo
le	le	PP3CSD00	le
dixe	dije	VMIS1S0	decir
q	que	CS	que
lo	lo	DA0NS0	el
q	que	PR0CN000	que
me	me	PP1CS000	me
avia	había	VAII0S0	haber
dicho	dicho	VMP0000	decir
el	él	PP3MS000	él
a	a	SPS00	a
mi	mí	PP1CSO00	mí
no	no	RN	no
lo	lo	PP3CNA00	lo
sabia	sabía	VMII0S0	saber
nadie	nadie	PI0NN00N	nadie
sino	sino	CC	sino
io	yo	PP1CSN00	yo
y	y	CC	y
q	que	CS	que
yo	yo	PP1CSN00	yo
no	no	RN	no
avia	había	VMII0S0	haber
de	de	SPS00	de
desi	decir	VMN0000	decir
una	una	DI0FS0	uno
pr	por	SPS00	por
otra	otra	PI0FS000	otro
	.	Fp	.
dexela	Dejela	VMIS1S0+PP3FSA00	dejar+lo
satisfecha	satisfecha	VMP00SF	satisfacer
y	y	CC	y
al	al	SPS00+DA0MS0	a+el
pareser	parecer	NCMS000	parecer
desenojada	desenojada	VMP00SF	desenojar
	,	Fc	,
porq	porque	CS	porque
luego	luego	RG	luego
bolvio	volvió	VMIS3S0	volver
con	con	SPS00	con
mui	muy	RQ	muy
buen	buen	AQ0MS0	bueno
semblante	semblante	NCMS000	semblante
diciendo	diciendo	VMG0000	decir
q	que	CS	que
desseava	deseaba	VMII0S0	desear
mucho	mucho	RQ	mucho
q	que	CS	que
hiciesse	hiciese	VMSI0S0	hacer
buenos	buenos	AQ0MP0	bueno
dias	días	NCMP000	día
y	y	CC	y
q	que	CS	que
no	no	RN	no
lloviesse	lloviese	VMSI0S0	llover
pr	por	SPS00	por
el	el	DA0MS0	el
camino	camino	NCMS000	camino
	,	Fc	,
y	y	CC	y
se	se	P00CN000	se
puso	puso	VMIS3S0	poner
a	a	SPS00	a
hablar	hablar	VMN0000	hablar
en	en	SPS00	en
otras	otras	DI0FP0	otro
materias	materias	NCFP000	materia
	.	Fp	.
olbidavaseme	Olvidábaseme	VMII0S0+P00CN000+PP1CS000	olvidar+se+me
de	de	SPS00	de
deciros	deciros	VMN0000+PP2CP000	decir+os
q	que	CS	que
dixo	dijo	VMIS3S0	decir
mi	mi	DP1CSS	mi
Aguela	abuela	NCFS000	abuelo
q	que	CS	que
que	qué	DT0CN0	qué
aviamos	habíamos	VMII1P0	haber
de	de	SPS00	de
comer	comer	VMN0000	comer
y	y	CC	y
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
le	le	PP3CSD00	le
respondio	respondió	VMIS3S0	responder
q	que	CS	que
donde	donde	PA000000	donde
el	él	PP3MS000	él
estava	estaba	VMII0S0	estar
no	no	RN	no
me	me	PP1CS000	me
avia	había	VMII0S0	haber
de	de	SPS00	de
faltar	faltar	VMN0000	faltar
nada	nada	PI0NN00N	nada
	.	Fp	.
y	Y	CC	y
assi	así	RG	así
despues	después	RG	después
nos	nos	PP1CP000	nos
dixo	dijo	VMIS3S0	decir
su	su	DP3CS0	su
señoria	señoría	NP00000	señoría
ilustrissima	ilustrísima	AQSFS0	ilustre
q	que	CS	que
no	no	RN	no
teniamos	teníamos	VMII1P0	tener
q	que	CS	que
aiuda	ayudar	VMN0000	ayudar
del	del	SPS00+DA0MS0	de+el
plato	plato	NCMS000	plato
	,	Fc	,
q	que	CS	que
el	él	PP3MS000	él
nos	nos	PP1CP000	nos
daria	daría	VMIC0S0	dar
de	de	SPS00	de
comer	comer	VMN0000	comer
y	y	CC	y
q	que	CS	que
para	para	SPS00	para
esso	eso	PD0NN000	eso
avia	había	VAII0S0	haber
enbiado	enviado	VMP0000	enviar
por	por	SPS00	por
su	su	DP3CS0	su
plata	plata	NCFS000	plata
y	y	CC	y
sus	sus	DP3CP0	su
criados	criados	NCMP000	criado
	,	Fc	,
y	y	CC	y
q	que	CS	que
assi	así	RG	así
q	que	CS	que
descuidassemos	descuidásemos	VMSI1P0	descuidar
	.	Fp	.
esta	Ésta	PD0FS000	este
era	era	VSII0S0	ser
la	la	DA0FS0	el
difficultad	dificultad	NCFS000	dificultad
q	que	CS	que
se	se	P00CN000	se
nos	nos	PP1CP000	nos
offrecia	ofrecía	VMII0S0	ofrecer
	:	Fd	:
no	no	RN	no
tene	tener	VMN0000	tener
con	con	SPS00	con
q	qué	PT0CN000	qué
comer	comer	VMN0000	comer
en	en	SPS00	en
Madrid	Madrid	NP00000	madrid
	.	Fp	.
ya	Ya	RG	ya
lo	lo	PP3CNA00	lo
tenemos	tenemos	VMIP1P0	tener
	,	Fc	,
pues	pues	CS	pues
nos	nos	PP1CP000	nos
lo	lo	PP3CNA00	lo
da	da	VMIP3S0	dar
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
	,	Fc	,
y	y	CC	y
assi	así	RG	así
ya	ya	RG	ya
no	no	RN	no
nos	nos	PP1CP000	nos
faltta	falta	VMIP3S0	faltar
nada	nada	PI0NN00N	nada
	.	Fp	.
e	Y	CC	y
os	os	PP2CP000	os
querido	querido	VMP0000	querer
escribir	escribir	VMN0000	escribir
todo	todo	DI0MS0	todo
esto	esto	PD0NN000	esto
para	para	SPS00	para
q	que	CS	que
	,	Fc	,
si	si	CS	si
alguien	alguien	PI0CS000	alguien
os	os	PP2CP000	os
dixere	dijere	VMSF0S0	decir
algo	algo	PI0CS000	algo
de	de	SPS00	de
q	que	CS	que
yo	yo	PP1CSN00	yo
no	no	RN	no
gusto	gusto	VMIP1S0	gustar
de	de	SPS00	de
mi	mi	DP1CSS	mi
Aguela	abuela	NCFS000	abuelo
	,	Fc	,
pudais	podáis	VMSP2P0	poder
con	con	SPS00	con
verdad	verdad	NCFS000	verdad
responder	responder	VMN0000	responder
como	como	CS	como
no	no	RN	no
es	es	VSIP3S0	ser
sino	sino	CC	sino
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
gusto	gusto	NCMS000	gusto
suio	suyo	DP3CS0	suyo
y	y	CC	y
q	que	CS	que
yo	yo	PP1CSN00	yo
no	no	RN	no
queria	quería	VMII0S0	querer
salir	salir	VMN0000	salir
pie	pie	NCMS000	pie
de	de	SPS00	de
aqui	aquí	RG	aquí
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
con	con	SPS00	con
la	la	DA0FS0	el
seguridad	seguridad	NCFS000	seguridad
de	de	SPS00	de
sufragar	sufragar	VMN0000	sufragar
d	de	SPS00	de
ello	ello	PD0NN000	ello
	.	Fp	.
dios	Dios	NP00000	dios
os	os	PP2CP000	os
guarde	guarde	VMSP0S0	guardar
	.	Fp	.
Guadalaxara	Guadalajara	NP00000	guadalajara
	,	Fc	,
18	18	Z	18
de	de	SPS00	de
9e	noviembre	NCMS000	noviembre
1630	1630	Z	1630
	.	Fp	.
el	El	DA0MS0	el
duq	duque	NCMS000	duque
