Jhs	JHS		
mi	mi		
sa	señora		
Da	doña		
Josefa	Josefa		
	,		
segun	según		
lo	lo		
que	que		
vmd	VM		
me	me		
tiene	tiene		
dicho	dicho		
de	de		
la	la		
mucha	mucha		
mrd	merced		
	,		
fabores	favores		
y	y		
honrras	honras		
que	que		
le	le		
haze	hace		
	,		
que	que		
en	en		
esta	esta		
ocasion	ocasión		
le	le		
abra	habrá		
su	su		
mrd	merced		
asistido	asistido		
y	y		
cuidado	cuidado		
de	de		
su	su		
Regalo	regalo		
como	como		
si	si		
fuera	fuera		
su	su		
propio	propio		
hijo	hijo		
	.		
que	Que		
	,		
atendiendo	atendiendo		
a	a		
esta	esta		
obligazion	obligación		
	,		
aunque	aunque		
mi	mi		
sobrino	sobrino		
no	no		
me	me		
dize	dice		
nada	nada		
me	me		
parezio	pareció		
con	con		
ocasion	ocasión		
de	de		
la	la		
bienvenida	bienvenida		
del	del		
sr	señor		
don	don		
baltasar	Baltasar		
de	de		
escribir	escribir		
a	a		
su	su		
mrd	merced		
y	y		
de	de		
camino	camino		
rrendir	rendir		
las	las		
grazias	gracias		
de	de		
la	la		
caridad	caridad		
que	que		
le	le		
haze	hace		
a	a		
mi	mi		
sobrino	sobrino		
	.		
y	Y		
le	le		
agradezco	agradezco		
la	la		
adbertenzia	advertencia		
de	de		
aber	haber		
cumplido	cumplido		
por	por		
mi	mí		
con	con		
el	el		
sr	señor		
don	don		
baltasar	Baltasar		
	.		
me	Me		
a	ha		
sido	sido		
de	de		
mucho	mucho		
consuelo	consuelo		
el	el		
que	que		
su	su		
mrd	merced		
aya	haya		
benido	venido		
	,		
que	que		
con	con		
su	su		
asistenzia	asistencia		
y	y		
fabor	favor		
pa	para		
el	el		
votarse	votarse		
el	el		
pleito	pleito		
y	y		
la	la		
rrebista	revista		
sera	será		
de	de		
grande	grande		
ymportanzia	importancia		
pa	para		
con	con		
esos	esos		
sres	señores		
su	su		
presenzia	presencia		
	;		
y	y		
el	el		
que	que		
sea	sea		
con	con		
brevedad	brevedad		
	,		
que	que		
deseo	deseo		
infinito	infinito		
el	el		
ber	ver		
a	a		
mi	mi		
sobrino	sobrino		
que	que		
este	esté		
en	en		
su	su		
casa	casa		
con	con		
quietud	quietud		
y	y		
descanso	descanso		
	.		
crea	Crea		
vmd	VM		
	,		
hijo	hijo		
mio	mío		
	,		
que	que		
no	no		
queda	queda		
por	por		
oraziones	oraciones		
y	y		
juntamente	juntamente		
solizitando	solicitando		
las	las		
d	de		
esta	esta		
sta	santa		
comunidad	comunidad		
que	que		
ofreze	ofrece		
con	con		
mucho	mucho		
gusto	gusto		
y	y		
cuidado	cuidado		
todos	todos		
los	los		
dias	días		
su	su		
Ra	reverenda		
nra	nuestra		
me	madre		
Abba	abadesa		
	,		
de	de		
quien	quien		
rreziba	reciba		
vmd	VM		
mui	muy		
afectos	afectos		
rrecados	recados		
	.		
que	Que		
a	ha		
sentido	sentido		
mucho	mucho		
su	su		
Ra	reverenda		
aia	haya		
estado	estado		
mi	mi		
sobrino	sobrino		
tan	tan		
malo	malo		
y	y		
al	al		
presente	presente		
conbalesca	convalezca		
tan	tan		
mal	mal		
	.		
buelvo	Vuelvo		
a	a		
suplicarle	suplicarle		
encarezidamente	encarecidamente		
a	a		
mi	mi		
querido	querido		
hijo	hijo		
mire	mire		
por	por		
amor	amor		
de	de		
Dios	Dios		
por	por		
su	su		
salus	salud		
i	y		
se	se		
sirba	sirva		
	,		
pues	pues		
be	ve		
vmd	VM		
con	con		
la	la		
pena	pena		
y	y		
cuidado	cuidado		
que	que		
quedo	quedo		
	,		
luego	luego		
que	que		
rreziba	reciba		
esta	ésta		
de	de		
abisarme	avisarme		
como	cómo		
se	se		
siente	siente		
y	y		
lo	lo		
que	que		
rresultare	resultare		
del	del		
pleito	pleito		
	,		
que	que		
no	no		
es	es		
dezible	decible		
con	con		
el	el		
cuidado	cuidado		
y	y		
pena	pena		
que	que		
vmd	VM		
me	me		
a	ha		
tenido	tenido		
estos	estos		
6	6		
correos	correos		
que	que		
me	me		
an	han		
faltado	faltado		
sus	sus		
letras	letras		
	;		
que	que		
de	de		
la	la		
mrd	merced		
que	que		
me	me		
haze	hace		
siempre	siempre		
estaba	estaba		
temiendo	temiendo		
que	que		
el	el		
faltarme	faltarme		
este	este		
consuelo	consuelo		
era	era		
por	por		
falta	falta		
de	de		
salud	salud		
de	de		
mi	mi		
querido	querido		
hijo	hijo		
	.		
ia	Ya		
estaba	estaba		
determinada	determinada		
	,		
si	si		
este	este		
correo	correo		
no	no		
tenia	tenía		
carta	carta		
	,		
de	de		
escribirle	escribirle		
a	a		
nro	nuestro		
pe	padre		
fr	fray		
Diego	Diego		
	,		
a	a		
quien	quien		
dara	dará		
vmd	VM		
mis	mis		
humildes	humildes		
y	y		
afectos	afectos		
rrecados	recados		
	.		
y	Y		
que	que		
	,		
fiada	fiada		
de	de		
la	la		
mrd	merced		
que	que		
haze	hace		
a	a		
mi	mi		
sobrino	sobrino		
y	y		
su	su		
mucha	mucha		
caridad	caridad		
	,		
le	le		
suplico	suplico		
a	a		
su	su		
pd	paternidad		
que	que		
	,		
qdo	cuando		
vmd	VM		
no	no		
pueda	pueda		
por	por		
estar	estar		
malo	malo		
escribirme	escribirme		
	,		
su	su		
pd	paternidad		
se	se		
sirba	sirva		
de	de		
hazerlo	hacerlo		
abisandome	avisándome		
del	del		
estado	estado		
de	de		
su	su		
salud	salud		
	.		
que	Que		
su	Su		
diva	Divina		
mgd	Majestad		
me	me		
conzeda	conceda		
la	la		
goze	goce		
vmd	VM		
mui	muy		
cumplida	cumplida		
qdo	cuando		
esta	ésta		
llegue	llegue		
a	a		
sus	sus		
manos	manos		
con	con		
copiosos	copiosos		
aumentos	aumentos		
de	de		
su	su		
sta	santa		
grazia	gracia		
y	y		
feliz	feliz		
suzeso	suceso		
del	del		
pleito	pleito		
	.		
Baeza	Baeza		
	,		
d	de		
este	este		
convto	convento		
de	de		
sta	Santa		
Cata	Catalina		
	,		
de	de		
sete	septiembre		
22	22		
de	de		
1676	1676		
	.		
De	De		
mi	mi		
querido	querido		
sobrino	sobrino		
quien	quien		
su	su		
mayor	mayor		
bien	bien		
le	le		
desea	desea		
	,		
Js	JSH		
Cata	Catalina		
getdis	Gertrudis		
de	de		
Jesus	Jesús		
ma	María		
Mi	Mi		
querido	querido		
sobrino	sobrino		
y	y		
sr	señor		
	.		
