su	Su		
muerte	muerte		
y	y		
byda	vida		
lo	lo		
esta	está		
	,		
porq	porque		
byvyendo	viviendo		
ya	ya		
be	ve		
vm	VM		
q	que		
podremos	podremos		
dejar	dejar		
de	de		
pagar	pagar		
y	y		
q	que		
	,		
por	por		
sy	si		
acaso	acaso		
dyos	Dios		
me	me		
llevare	llevare		
antes	antes		
q	que		
esto	esto		
sea	sea		
	,		
le	le		
prometo	prometo		
como	como		
quyen	quien		
soy	soy		
q	que		
prymera	primera		
deuda	deuda		
q	que		
mando	mando		
en	en		
my	mi		
testamento	testamento		
q	que		
se	se		
page	pague		
es	es		
la	la		
de	de		
vm	VM		
	.		
porq	Porque		
nynguna	ninguna		
tengo	tengo		
por	por		
mas	más		
propya	propia		
ny	ni		
de	de		
my	mi		
consençya	conciencia		
q	que		
esta	ésta		
	,		
por	por		
solo	sólo		
fyarla	fiarla		
vm	VM		
de	de		
my	mi		
palabra	palabra		
a	a		
pesar	pesar		
de	de		
tantos	tantos		
q	que		
se	se		
lo	lo		
quyjeron	quisieron		
estorbar	estorbar		
y	y		
aberselo	habérselo		
yo	yo		
pedydo	pedido		
con	con		
las	las		
beras	veras		
y	y		
encaresymyentos	encarecimientos		
q	que		
lo	lo		
suplyq	supliqué		
a	a		
vm	VM		
	.		
y	Y		
esto	esto		
es	es		
mas	más		
en	en		
my	mí		
q	que		
cuantas	cuantas		
cosas	cosas		
de	de		
sygurydad	seguridad		
ay	hay		
en	en		
la	la		
tyerra	tierra		
	,		
porq	porque		
no	no		
estymo	estimo		
nada	nada		
d	de		
ella	ella		
syno	sino		
el	el		
agradesyda	agradecida		
y	y		
cumplyr	cumplir		
con	con		
las	las		
oblygasyones	obligaciones		
q	que		
tengo	tengo		
de	de		
ser	ser		
crystyana	cristiana		
y	e		
hyja	hija		
de	de		
mys	mis		
padres	padres		
	.		
q	Que		
no	no		
me	me		
contento	contento		
con	con		
serlo	serlo		
	,		
syno	sino		
con	con		
q	que		
lo	lo		
pareza	parezca		
todo	todo		
lo	lo		
q	que		
hyzyere	hiciere		
y	y		
las	las		
obras	obras		
de	de		
serlo	serlo		
	.		
y	Y		
no	no		
lo	lo		
fuera	fuera		
yo	yo		
ny	ni		
las	las		
hyzyera	hiciera		
como	como		
tal	tal		
sy	si		
no	no		
cumplyra	cumpliera		
lo	lo		
q	que		
tengo	tengo		
puesto	puesto		
con	con		
vm	VM		
como	como		
devo	debo		
y	y		
lo	lo		
e	he		
dycho	dicho		
	.		
agora	Ahora		
entra	entra		
lo	lo		
de	de		
ay	ahí		
	.		
yo	Yo		
l	le		
e	he		
escryto	escrito		
a	a		
pyneda	Pineda		
y	y		
a	a		
masada	Masada		
q	que		
en	en		
todo	todo		
se	se		
ayudasen	ayudasen		
de	de		
la	la		
m	merced		
q	que		
vm	VM		
me	me		
haze	hace		
pa	para		
el	el		
buen	buen		
suseso	suceso		
de	de		
la	la		
cobranza	cobranza		
d	de		
esa	esa		
hazyenda	hacienda		
	.		
q	Que		
se	se		
pasa	pasa		
y	y		
a	ha		
pasado	pasado		
el	el		
trabajo	trabajo		
q	que		
vm	VM		
abra	habrá		
bysto	visto		
en	en		
ello	ello		
	,		
porq	porque		
el	el		
duq	duque		
no	no		
llevava	llevaba		
myra	mira		
syno	sino		
de	de		
nunca	nunca		
pagarme	pagarme		
y	y		
q	que		
todo	todo		
se	se		
fuese	fuese		
entreter	entretener		
	.		
y	Y		
bysto	visto		
esto	esto		
se	se		
a	ha		
pretado	apretado		
y	y		
dado	dado		
pryesa	prisa		
como	como		
vm	VM		
be	ve		
	.		
y	Y		
el	el		
deseo	deseo		
de	de		
quytar	quitar		
ese	ese		
dynero	dinero		
a	ha		
sydo	sido		
el	el		
tener	tener		
serca	cerca		
de	de		
my	mí		
casa	casa		
para	para		
balernos	valernos		
de	de		
la	la		
rrenta	renta		
	.		
y	Y		
en	en		
lo	lo		
q	que		
le	le		
an	han		
dycho	dicho		
a	a		
vm	VM		
q	que		
el	el		
conde	conde		
de	de		
myranda	Miranda		
me	me		
dava	daba		
facultad	facultad		
sobre	sobre		
la	la		
hazyenda	hacienda		
del	del		
Conde	conde		
	,		
por	por		
la	la		
ymajynaçyon	imaginación		
no	no		
nos	nos		
a	ha		
pasado	pasado		
tal	tal		
cosa	cosa		
ny	ni		
a	a		
my	mí		
no	no		
me	me		
estava	estaba		
byen	bien		
eso	eso		
ny	ni		
el	el		
Conde	conde		
tal	tal		
no	no		
a	ha		
querydo	querido		
ny	ni		
tal	tal		
me	me		
a	ha		
dycho	dicho		
ny	ni		
pensado	pensado		
	.		
y	Y		
byen	bien		
claro	claro		
se	se		
echa	echa		
de	de		
ber	ver		
	,		
pues	pues		
tenemos	tenemos		
ya	ya		
conprados	comprados		
juros	juros		
con	con		
muy	muy		
buena	buena		
fynca	finca		
	.		
y	Y		
ansy	así		
se	se		
andan	andan		
hazyendo	haciendo		
las	las		
escryturas	escrituras		
	,		
q	que		
se	se		
acavaran	acabarán		
luego	luego		
y	y		
con	con		
symon	Simón		
sanly	Sanli		
	.		
y	Y		
se	se		
le	le		
da	da		
poder	poder		
pa	para		
entregarle	entregarle		
el	el		
dynero	dinero		
ay	ahí		
	.		
y	Y		
el	él		
se	se		
nos	nos		
oblyga	obliga		
ante	ante		
la	la		
justyçya	justicia		
	,		
q	que		
	,		
como	como		
es	es		
bynculado	vinculado		
	,		
no	no		
se	se		
puede	puede		
conprar	comprar		
nada	nada		
q	que		
no	no		
sea	sea		
aprobasyon	aprobación		
d	de		
ella	ella		
y	y		
del	del		
consejo	Consejo		
	.		
y	Y		
ansy	así		
todos	todos		
an	han		
dado	dado		
por	por		
buenos	buenos		
estos	estos		
juros	juros		
y	y		
conpra	compra		
	.		
y	Y		
se	se		
oblyga	obliga		
el	el		
dycho	dicho		
symon	Simón		
sanly	Sanli		
	,		
q	que		
es	es		
el	el		
q	que		
los	los		
bende	vende		
	,		
de	de		
dentro	dentro		
de	de		
tres	tres		
meses	meses		
tener	tener		
sacado	sacado		
el	el		
prybylejo	privilegio		
en	en		
my	mi		
caveza	cabeza		
con	con		
todas	todas		
las	las		
fuerzas	fuerzas		
y	y		
causas	causas		
q	que		
el	el		
mayor	mayor		
gasgo	gasto		
tyene	tiene		
	.		
y	Y		
ansy	así		
estamos	estamos		
muy	muy		
contentos	contentos		
de	de		
aber	haber		
echo	hecho		
tan	tan		
buena	buena		
conpra	compra		
y	y		
la	la		
mysma	misma		
espeçya	especia		
	,		
pues	pues		
es	es		
el	el		
dynero	dinero		
en	en		
los	los		
juros	juros		
	.		
tyene	Tiene		
vm	VM		
oblygada	obligada		
su	su		
deuda	deuda		
donde	donde		
ellos	ellos		
estan	están		
y	y		
como	como		
rresare	rezare		
el	el		
prybylejo	privilegio		
	,		
pues	pues		
son	son		
byenes	bienes		
myos	míos		
	.		
myre	Mire		
vm	VM		
sy	si		
estaran	estarán		
oblygados	obligados		
a	a		
pagarle	pagarle		
	,		
pues	pues		
yo	yo		
lo	lo		
estoy	estoy		
	.		
y	Y		
byen	bien		
se	se		
le	le		
parezyo	pareció		
al	al		
mercader	mercader		
q	que		
no	no		
era	era		
letrado	letrado		
	,		
pues	pues		
le	le		
dyjo	dijo		
a	a		
vm	VM		
lo	lo		
q	que		
dyze	dice		
	.		
porq	Porque		
como	como		
nosotros	nosotros		
conpremos	compremos		
y	y		
sea	sea		
con	con		
el	el		
tenor	tenor		
de	de		
la	la		
facultad	facultad		
q	que		
el	el		
rrey	rey		
me	me		
dyo	dio		
	,		
nynguna	ninguna		
deuda	deuda		
me	me		
puede	puede		
estorbar	estorbar		
	.		
esto	Esto		
y	y		
lo	lo		
q	que		
yo	yo		
devyere	debiere		
estara	estará		
syenpre	siempre		
oblygado	obligado		
donde	donde		
yo	yo		
hyzyere	hiciere		
la	la		
dycha	dicha		
conpra	compra		
a	a		
pagarlo	pagarlo		
	,		
mas	mas		
estorbarme	estorbarme		
q	que		
nosotros	nosotros		
la	la		
hagamos	hagamos		
	.		
no	No		
puede	puede		
ser	ser		
porq	porque		
fuera	fuera		
mucho	mucho		
daño	daño		
pa	para		
nosotros	nosotros		
y	y		
pa	para		
pagar	pagar		
	,		
q	que		
al	al		
fyn	fin		
	,		
tenyendo	teniendo		
rredytos	réditos		
y	y		
el	el		
prynsypal	principal		
en	en		
pye	pie		
	,		
ay	hay		
con	con		
q	qué		
poder	poder		
pagar	pagar		
	.		
esto	Esto		
todo	todo		
es	es		
hablar	hablar		
con	con		
pura	pura		
llaneza	llaneza		
a	a		
vm	VM		
y	y		
con	con		
la	la		
berdad	verdad		
q	que		
tocara	tocara		
con	con		
las	las		
manos	manos		
	.		
y	Y		
pues	pues		
no	no		
es	es		
cumplydo	cumplido		
el	el		
plazo	plazo		
q	que		
vm	VM		
nos	nos		
a	ha		
echo	hecho		
	,		
m	me		
e	he		
de	de		
esperar	esperar		
	.		
no	No		
ay	hay		
q	que		
hazer	hacer		
nynguna	ninguna		
dylyjencya	diligencia		
	,		
q	que		
el	el		
dya	día		
q	que		
lo	lo		
fuere	fuere		
nosotros	nosotros		
dezymos	decimos		
desde	desde		
agora	ahora		
q	que		
	,		
sy	si		
no	no		
cumplyremos	cumpliremos		
con	con		
vm	VM		
como	como		
esta	está		
asentado	asentado		
	,		
q	que		
enbye	envíe		
donde	donde		
quyera	quiera		
q	que		
tuvyeremos	tuviéremos		
hazyenda	hacienda		
	,		
ansy	así		
de	de		
los	los		
juros	juros		
q	que		
conpramos	compramos		
como	como		
de	de		
todo	todo		
el	el		
trygo	trigo		
q	que		
tenemos	tenemos		
oblygado	obligado		
a	a		
vm	VM		
y	y		
de	de		
lo	lo		
mas	más		
q	que		
tenemos	tenemos		
de	de		
hazyenda	hacienda		
	.		
y	Y		
q	que		
de	de		
todo	todo		
cobre	cobre		
y	y		
lo	lo		
benda	venda		
y	y		
se	se		
haga	haga		
pagado	pagado		
	,		
porq	porque		
a	a		
buen	buen		
pagador	pagador		
no	no		
le	le		
duelen	duelen		
prendas	prendas		
	.		
y	Y		
nynguna	ninguna		
cosa	cosa		
e	he		
sentydo	sentido		
de	de		
vm	VM		
q	que		
me	me		
a	ha		
llegado	llegado		
al	al		
alma	alma		
mas	más		
q	que		
es	es		
el	el		
dalle	darle		
cuydado	cuidado		
este	este		
nego	negocio		
	,		
porq	porque		
sy	si		
bendyera	vendiera		
todos	todos		
mys	mis		
hyjos	hijos		
no	no		
dejara	dejara		
de	de		
pagar	pagar		
a	a		
vm	VM		
	.		
y	Y		
ansy	así		
crea	crea		
q	que		
ny	ni		
tyene	tiene		
hazyenda	hacienda		
ny	ni		
juros	juros		
mas	más		
syertos	ciertos		
ny	ni		
syguros	seguros		
q	que		
lo	lo		
q	que		
le	le		
devemos	debemos		
	;		
y	y		
q	que		
la	la		
serteza	certeza		
d	de		
esto	esto		
sera	será		
tan	tan		
presto	presto		
como	como		
vm	VM		
lo	lo		
bera	verá		
	;		
y	y		
q	que		
no	no		
sea	sea		
menester	menester		
acordarse	acordarse		
del	del		
consejo	consejo		
de	de		
po	Pedro		
de	de		
fryas	Frías		
	,		
syno	sino		
de	de		
la	la		
palabra	palabra		
de	de		
quyen	quien		
la	la		
tyene	tiene		
en	en		
mas	más		
q	que		
cuantos	cuantos		
an	han		
nasydo	nacido		
del	del		
mundo	mundo		
	.		
y	Y		
ansy	así		
suplyco	suplico		
a	a		
vm	VM		
tenga	tenga		
al	al		
conde	conde		
y	y		
a	a		
my	mí		
en	en		
la	la		
pusyçyon	posición		
q	que		
nos	nos		
a	ha		
tenydo	tenido		
y	y		
se	se		
asygure	asegure		
q	que		
somos	somos		
crystyanos	cristianos		
y	y		
no	no		
le	le		
pase	pase		
por	por		
el	el		
pensamyento	pensamiento		
q	que		
por	por		
tan	tan		
buenas	buenas		
obras	obras		
ny	ni		
vm	VM		
ny	ni		
nadye	nadie		
las	las		
a	ha		
de	de		
rrezyvyr	recibir		
malas	malas		
de	de		
nosotros	nosotros		
	,		
cuanto	cuanto		
mas	más		
avyendolas	habiéndolas		
rrezyvydo	recibido		
tan	tan		
buenas	buenas		
de	de		
vm	VM		
	.		
y	Y		
ansy	así		
nynguna	ninguna		
me	me		
puede	puede		
hazer	hacer		
vm	VM		
mayor	mayor		
ny	ni		
q	que		
mas	más		
estime	estime		
q	que		
sosegarse	sosegarse		
	,		
ny	ni		
es	es		
menester	menester		
enbyar	enviar		
persona	persona		
	.		
q	Que		
cumplydo	cumplido		
el	el		
tyempo	tiempo		
entonses	entonces		
	,		
no	no		
avyendo	habiendo		
complydo	cumplido		
lo	lo		
asentado	asentado		
con	con		
vm	VM		
	,		
no	no		
dygo	digo		
yo	yo		
una	una		
syno	sino		
muchas	muchas		
pueden	pueden		
benyr	venir		
y	y		
qmarlo	quemarlo		
todo	todo		
	,		
q	que		
ansy	así		
lo	lo		
quyere	quiere		
el	el		
conde	conde		
y	y		
o	yo		
sy	si		
no	no		
se	se		
paga	paga		
a	a		
vm	VM		
antes	antes		
	.		
q	Que		
le	le		
prometo	prometo		
como	como		
crystyana	cristiana		
q	que		
nynguna	ninguna		
deuda	deuda		
tenemos	tenemos		
mas	más		
delante	delante		
de	de		
los	los		
ojos	ojos		
q	que		
la	la		
de	de		
vm	VM		
y	y		
q	que		
	,		
sy	si		
es	es		
pa	para		
benyrse	venirse		
vm	VM		
presto	presto		
por	por		
aca	acá		
	,		
q	que		
procuremos	procuremos		
q	que		
se	se		
page	pague		
antes	antes		
q	que		
llege	llegue		
el	el		
tyenpo	tiempo		
por	por		
tenerle	tenerle		
desde	desde		
mas	más		
serca	cerca		
pa	para		
mejor	mejor		
servyr	servir		
a	a		
vm	VM		
	.		
q	Que		
syento	siento		
arto	harto		
las	las		
nesesydades	necesidades		
de	de		
las	las		
personas	personas		
q	que		
vm	VM		
tyene	tiene		
oblygaçyon	obligación		
de	de		
acudyrles	acudirles		
	,		
q	que		
por	por		
las	las		
q	que		
el	el		
conde	conde		
y	y		
o	yo		
tenemos	tenemos		
a	a		
vm	VM		
les	les		
syrvyremos	serviremos		
de	de		
muy	muy		
buena	buena		
gana	gana		
	.		
el	El		
monte	monte		
de	de		
san	San		
myguel	Miguel		
se	se		
ba	va		
benefyçyando	beneficiando		
	.		
espero	Espero		
en	en		
dyos	Dios		
q	que		
nos	nos		
a	ha		
de	de		
ayudar	ayudar		
de	de		
suerte	suerte		
q	que		
en	en		
este	este		
año	año		
y	y		
en	en		
el	el		
q	que		
byene	viene		
avemos	hemos		
de	de		
salyr	salir		
d	de		
estos	estos		
cuydados	cuidados		
	.		
el	El		
conde	conde		
besa	besa		
las	las		
ms	manos		
de	de		
vm	VM		
y	y		
le	le		
suplyca	suplica		
crea	crea		
q	que		
con	con		
gran	gran		
brevedad	brevedad		
saldra	saldrá		
d	de		
este	éste		
pagando	pagando		
a	a		
vm	VM		
como	como		
es	es		
rrazon	razón		
	.		
esta	Está		
mucho	mucho		
mejor	mejor		
y	y		
los	los		
nyños	niños		
buenos	buenos		
	.		
todos	Todos		
besamos	besamos		
las	las		
ms	manos		
de	de		
vm	VM		
	,		
a	a		
quyen	quien		
dyos	Dios		
gde	guarde		
	,		
y	y		
de	de		
lo	lo		
q	que		
deseo	deseo		
	.		
a	A		
beynte	veinte		
y	y		
nuebe	nueve		
de	de		
abryl	abril		
	.		
la	La		
condessa	condesa		
de	de		
byllalonso	Villalonso		
despues	Después		
de	de		
aber	haber		
fyrmado	firmado		
esta	ésta		
	,		
se	se		
acavo	acabó		
del	del		
todo	todo		
la	la		
conpra	compra		
de	de		
los	los		
juros	juros		
	.		
y	Y		
	,		
anq	aunque		
los	los		
deseamos	deseamos		
aquy	aquí		
	,		
como	como		
nos	nos		
an	han		
dycho	dicho		
tanto	tanto		
byen	bien		
d	de		
estos	estos		
de	de		
cordova	Córdoba		
los	los		
avemos	hemos		
conprado	comprado		
en	en		
las	las		
alcavalas	alcabalas		
byejas	viejas		
	.		
dyzen	Dicen		
es	es		
bonysyma	bonísima		
fynca	finca		
	.		
y	Y		
ansy	así		
la	la		
tendra	tendrá		
vm	VM		
mas	más		
serca	cerca		
alla	allá		
esta	esta		
hazyenda	hacienda		
	,		
anq	aunque		
me	me		
rremyto	remito		
a	a		
lo	lo		
q	que		
dygo	digo		
	,		
q	que		
es	es		
cumplyr	cumplir		
con	con		
la	la		
puntualydad	puntualidad		
de	de		
q	que		
dygo	digo		
en	en		
esta	ésta		
	.		
