yho	Hijo	NP00000	hijo
asucar	azúcar	NCCS000	azúcar
con	con	SPS00	con
ll	libras	NCFP000	libra
650	650	Z	650
prosedido	procedido	VMP00SM	proceder
de	de	SPS00	de
la	la	DA0FS0	el
escarlata	escarlata	AQ0CS0	escarlata
de	de	SPS00	de
mi	mi	DP1CSS	mi
nieta	nieta	NCFS000	nieto
	,	Fc	,
que	que	CS	que
en	en	SPS00	en
dicho	dicho	VMP00SM	decir
avise	avisé	VMIS1S0	avisar
tenia	tenía	VMII0S0	tener
vendido	vendido	VMP00SM	vender
por	por	SPS00	por
ll	libras	NCFP000	libra
800	800	Z	800
con	con	SPS00	con
su	su	DP3CS0	su
guarnision	guarnición	NCFS000	guarnición
	.	Fp	.
las	Las	DA0FP0	el
Dusientas	doscientas	Z	200
siecenta	sesenta	Z	60
tengo	tengo	VMIP1S0	tener
para	para	SPS00	para
enbiar	enviar	VMN0000	enviar
con	con	SPS00	con
tresientas	trescientas	Z	300
y	y	CC	y
sicoenta	cincuenta	Z	50
que	que	PR0CN000	que
me	me	PP1CS000	me
dieron	dieron	VMIS3P0	dar
por	por	SPS00	por
el	el	DA0MS0	el
corte	corte	NCMS000	corte
del	del	SPS00+DA0MS0	de+el
vestido	vestido	NCMS000	vestido
que	que	PR0CN000	que
me	me	PP1CS000	me
enbio	envió	VMIS3S0	enviar
vm	VM	NP00000	VM
conprado	comprado	VMP0000	comprar
en	en	SPS00	en
gelanda	Holanda	NP00000	holanda
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
ser	ser	VSN0000	ser
mui	muy	RQ	muy
pesado	pesado	VMP0000	pesar
no	no	RN	no
me	me	PP1CS000	me
estrevi	atrevi	NCMS000	atrevis
a	a	SPS00	a
aserlo	hacerlo	VMN0000+PP3CNA00	hacer+lo
	.	Fp	.
ansi	Así	RG	así
que	que	CS	que
yra	irá	VMIF3S0	ir
para	para	SPS00	para
	,	Fc	,
aviendo	habiendo	VMG0000	haber
pas	paz	NCFS000	paz
y	y	CC	y
salud	salud	NCFS000	salud
	,	Fc	,
aser	hacer	VMN0000	hacer
otro	otro	PI0MS000	otro
de	de	SPS00	de
cosa	cosa	NCFS000	cosa
mas	más	RC	más
ligera	ligera	AQ0FS0	ligero
	,	Fc	,
que	que	CS	que
sera	será	VSIF3S0	ser
por	por	SPS00	por
el	el	DA0MS0	el
navio	navío	NCMS000	navío
que	que	PR0CN000	que
partira	partirá	VMIF3S0	partir
de	de	SPS00	de
aqui	aquí	RG	aquí
	,	Fc	,
que	que	CS	que
se	se	P00CN000	se
llama	llama	VMIP3S0	llamar
el	el	DA0MS0	el
capitan	capitán	NP00000	capitán
jan	Jan	NP00000	jan
andris	Andris	NP00000	andris
u	u	CC	o
otro	otro	DI0MS0	otro
pitre	Peter	NP00000	peter
duncher	Donger	NP00000	donger
	.	Fp	.
y	Y	CC	y
tengo	tengo	VMIP1S0	tener
pedido	pedido	VMP0000	pedir
a	a	SPS00	a
la	la	DA0FS0	el
de	de	SPS00	de
caseres	Cáceres	NP00000	cáceres
me	me	PP1CS000	me
vaya	vaya	VMSP0S0	ir
dado	dado	VMP00SM	dar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
pudiere	pudiere	VMSF0S0	poder
para	para	SPS00	para
enbiar	enviar	VMN0000	enviar
a	a	SPS00	a
quenta	cuenta	NCFS000	cuenta
de	de	SPS00	de
las	las	DA0FP0	el
seis	seis	Z	6
mil	mil	Z	1000
libras	libras	NCFP000	libra
que	que	CS	que
	,	Fc	,
por	por	SPS00	por
agusto	ajuste	NCMS000	ajuste
de	de	SPS00	de
las	las	DA0FP0	el
malas	malas	AQ0FP0	malo
quentas	cuentas	NCFP000	cuenta
que	que	PR0CN000	que
dio	dio	VMIS3S0	dar
	,	Fc	,
dise	dice	VMIP3S0	decir
deve	debe	VMIP3S0	deber
	.	Fp	.
y	Y	CC	y
asta	hasta	SPS00	hasta
oi	hoy	RG	hoy
no	no	RN	no
lo	lo	PP3CNA00	lo
a	ha	VAIP3S0	haber
gecho	hecho	VMP0000	hacer
ni	ni	CC	ni
e	he	VAIP1S0	haber
Resebido	recibido	VMP0000	recibir
mas	más	RC	más
que	que	CS	que
lo	lo	PP3CNA00	lo
de	de	SPS00	de
las	las	DA0FP0	el
puntas	puntas	NCFP000	punta
	,	Fc	,
como	como	CS	como
tengo	tengo	VMIP1S0	tener
avisado	avisado	VMP00SM	avisar
	.	Fp	.
fue	Fue	VMIS3S0	ir
por	por	SPS00	por
el	el	DA0MS0	el
navio	navío	NCMS000	navío
que	que	PR0CN000	que
vino	vino	VMIS3S0	venir
de	de	SPS00	de
Rotradan	Róterdam	NP00000	róterdam
y	y	CC	y
el	el	DA0MS0	el
capitan	capitán	NCMS000	capitán
se	se	P00CN000	se
llama	llama	VMIP3S0	llamar
devite	Devite	NP00000	devite
	.	Fp	.
y	Y	CC	y
ansi	así	RG	así
mas	más	RC	más
dos	dos	Z	2
baRiles	barriles	NCMP000	barril
que	que	CS	que
por	por	SPS00	por
todos	todos	PI0MP000	todo
son	son	VSIP3P0	ser
4	4	Z	4
con	con	SPS00	con
ll	libras	NCFP000	libra
dos	dos	Z	2
mil	mil	Z	1000
y	y	CC	y
senquenta	cincuenta	Z	50
	.	Fp	.
dios	Dios	NP00000	dios
lo	lo	PP3CNA00	lo
aya	haya	VASP0S0	haber
llevado	llevado	VMP0000	llevar
en	en	SPS00	en
pas	paz	NCFS000	paz
y	y	CC	y
de	dé	VMSP0S0	dar
megor	mejor	RC	mejor
suseso	suceso	NCMS000	suceso
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
tubo	tuvo	VMIS3S0	tener
el	el	DA0MS0	el
fuerte	Fuerte	AQ0CS0	fuerte
silandia	Zeelandia	NP00000	zeelandia
	.	Fp	.
y	Y	CC	y
todo	todo	PI0MS000	todo
se	se	P00CN000	se
quente	cuente	VMSP0S0	contar
con	con	SPS00	con
vida	vida	NCFS000	vida
y	y	CC	y
se	se	PP3CN000	se
la	la	PP3FSA00	lo
de	dé	VMSP0S0	dar
dios	Dios	NP00000	dios
a	a	SPS00	a
vm	VM	NP00000	VM
para	para	SPS00	para
que	que	CS	que
Restaure	restaure	VMSP0S0	restaurar
sus	sus	DP3CP0	su
perdidas	pérdidas	NCFP000	pérdida
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esta	ésta	PD0FS000	este
Remito	remito	VMIP1S0	remitir
a	a	SPS00	a
pinto	Pinto	NP00000	pinto
el	el	DA0MS0	el
segundo	segundo	AO0MS0	segundo
conosimiento	conocimiento	NCMS000	conocimiento
del	del	SPS00+DA0MS0	de+el
baril	barril	NCMS000	barril
que	que	PR0CN000	que
digo	digo	VMIP1S0	decir
enbie	envié	VMIS1S0	enviar
en	en	SPS00	en
suitelinge	Sutelinge	NP00000	sutelinge
	.	Fp	.
y	Y	CC	y
no	no	RN	no
se	se	P00CN000	se
me	me	PP1CS000	me
ofrese	ofrece	VMIP3S0	ofrecer
de	de	SPS00	de
que	qué	PT0CN000	qué
poder	poder	VMN0000	poder
ser	ser	VSN0000	ser
ma	más	RC	más
larga	larga	AQ0FS0	largo
	.	Fp	.
solo	Sólo	RG	sólo
que	que	CS	que
a	a	SPS00	a
mi	mi	DP1CSS	mi
querida	querida	VMP00SF	querer
yha	hija	NCFS000	hijo
ofresco	ofrezco	VMIP1S0	ofrecer
esta	ésta	PD0FS000	este
por	por	SPS00	por
propia	propia	AQ0FS0	propio
y	y	CC	y
que	que	CS	que
la	la	DA0FS0	el
bendision	bendición	NCFS000	bendición
de	de	SPS00	de
dios	Dios	NP00000	dios
y	y	CC	y
la	la	DA0FS0	el
mia	mía	PX1FS0S0	mío
la	la	PP3FSA00	lo
quubra	cubra	VMSP0S0	cubrir
	,	Fc	,
y	y	CC	y
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
a	a	SPS00	a
mis	mis	DP1CPS	mi
queridos	queridos	VMP00PM	querer
nietos	nietos	NCMP000	nieto
	.	Fp	.
y	Y	CC	y
su	su	DP3CS0	su
ermana	hermana	NCFS000	hermano
Rica	Rica	AQ0FS0	rico
se	se	P00CN000	se
le	le	PP3CSD00	le
Reencomienda	encomienda	VMIP3S0	encomendar
con	con	SPS00	con
todo	todo	DI0MS0	todo
amor	amor	NCMS000	amor
	.	Fp	.
y	Y	CC	y
ella	ella	PP3FS000	él
tiene	tiene	VMIP3S0	tener
escrito	escrito	VMP00SM	escribir
por	por	SPS00	por
algunas	algunas	DI0FP0	alguno
vias	vías	NCFP000	vía
	.	Fp	.
dios	Dios	NP00000	dios
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
vm	VM	NP00000	VM
y	y	CC	y
pospere	prospere	VMSP0S0	prosperar
como	como	CS	como
deseo	deseo	VMIP1S0	desear
	.	Fp	.
madre	Madre	NP00000	madre
que	que	PR0CN000	que
le	le	PP3CSD00	le
quiere	quiere	VMIP3S0	querer
y	y	CC	y
estima	estima	VMIP3S0	estimar
mas	más	RC	más
que	que	CS	que
yho	hijo	NP00000	hijo
	.	Fp	.
Raquel	Raquel	NP00000	raquel
castaños	Castaños	NP00000	castaños
pido	Pido	VMIP1S0	pedir
me	me	PP1CS000	me
enbie	envíe	VMSP0S0	enviar
vm	VM	NP00000	VM
un	un	DI0MS0	uno
poquito	poquito	RQ	poquito
de	de	SPS00	de
y	y	CC	y
papel	papel	NCMS000	papel
	,	Fc	,
que	que	CS	que
no	no	RN	no
tengo	tengo	VMIP1S0	tener
con	con	SPS00	con
que	qué	PT0CN000	qué
escrivir	escribir	VMN0000	escribir
	.	Fp	.
